=> Saving data in Logs/FRL~try=549
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 6 | test acc 0.1031 test loss 2.268913 best test_acc 0.1031
e 1 | malicious users: 7 | test acc 0.3565 test loss 1.889434 best test_acc 0.3565
e 2 | malicious users: 2 | test acc 0.5579 test loss 1.835407 best test_acc 0.5579
e 3 | malicious users: 9 | test acc 0.2244 test loss 2.201535 best test_acc 0.5579
e 4 | malicious users: 6 | test acc 0.5048 test loss 1.804903 best test_acc 0.5579
e 5 | malicious users: 5 | test acc 0.5093 test loss 1.380962 best test_acc 0.5579
e 6 | malicious users: 2 | test acc 0.6144 test loss 1.318073 best test_acc 0.6144
e 7 | malicious users: 4 | test acc 0.5758 test loss 1.110438 best test_acc 0.6144
e 8 | malicious users: 6 | test acc 0.5459 test loss 1.185441 best test_acc 0.6144
e 9 | malicious users: 5 | test acc 0.4992 test loss 1.296020 best test_acc 0.6144
e 10 | malicious users: 4 | test acc 0.6579 test loss 1.098554 best test_acc 0.6579
e 11 | malicious users: 11 | test acc 0.1501 test loss 3.872463 best test_acc 0.6579
e 12 | malicious users: 8 | test acc 0.4018 test loss 2.226194 best test_acc 0.6579
e 13 | malicious users: 8 | test acc 0.3643 test loss 1.774712 best test_acc 0.6579
e 14 | malicious users: 6 | test acc 0.4986 test loss 1.784131 best test_acc 0.6579
e 15 | malicious users: 3 | test acc 0.4203 test loss 1.530849 best test_acc 0.6579
e 16 | malicious users: 5 | test acc 0.4881 test loss 1.544707 best test_acc 0.6579
e 17 | malicious users: 5 | test acc 0.5519 test loss 1.236647 best test_acc 0.6579
e 18 | malicious users: 4 | test acc 0.5206 test loss 1.444433 best test_acc 0.6579
e 19 | malicious users: 8 | test acc 0.3858 test loss 1.629077 best test_acc 0.6579
e 20 | malicious users: 5 | test acc 0.5566 test loss 1.689835 best test_acc 0.6579
e 21 | malicious users: 5 | test acc 0.5995 test loss 1.199035 best test_acc 0.6579
e 22 | malicious users: 8 | test acc 0.4528 test loss 1.700674 best test_acc 0.6579
e 23 | malicious users: 7 | test acc 0.6690 test loss 0.978445 best test_acc 0.6690
e 24 | malicious users: 4 | test acc 0.4533 test loss 1.728634 best test_acc 0.6690
e 25 | malicious users: 6 | test acc 0.4066 test loss 1.413231 best test_acc 0.6690
e 26 | malicious users: 7 | test acc 0.3647 test loss 1.856015 best test_acc 0.6690
e 27 | malicious users: 10 | test acc 0.1212 test loss 2.325866 best test_acc 0.6690
e 28 | malicious users: 7 | test acc 0.1378 test loss 2.285546 best test_acc 0.6690
e 29 | malicious users: 6 | test acc 0.1714 test loss 2.205584 best test_acc 0.6690
e 30 | malicious users: 3 | test acc 0.3468 test loss 2.071733 best test_acc 0.6690
e 31 | malicious users: 9 | test acc 0.2474 test loss 2.105569 best test_acc 0.6690
e 32 | malicious users: 6 | test acc 0.3924 test loss 2.026640 best test_acc 0.6690
e 33 | malicious users: 4 | test acc 0.1870 test loss 1.921722 best test_acc 0.6690
e 34 | malicious users: 5 | test acc 0.2854 test loss 2.047250 best test_acc 0.6690
e 35 | malicious users: 9 | test acc 0.3903 test loss 1.815324 best test_acc 0.6690
e 36 | malicious users: 4 | test acc 0.3505 test loss 2.140686 best test_acc 0.6690
e 37 | malicious users: 7 | test acc 0.4628 test loss 1.563610 best test_acc 0.6690
e 38 | malicious users: 5 | test acc 0.1230 test loss 2.220904 best test_acc 0.6690
e 39 | malicious users: 4 | test acc 0.1326 test loss 2.107121 best test_acc 0.6690
e 40 | malicious users: 8 | test acc 0.2852 test loss 2.052273 best test_acc 0.6690
e 41 | malicious users: 6 | test acc 0.2059 test loss 2.045878 best test_acc 0.6690
e 42 | malicious users: 3 | test acc 0.2302 test loss 2.181576 best test_acc 0.6690
e 43 | malicious users: 3 | test acc 0.0948 test loss 2.157188 best test_acc 0.6690
e 44 | malicious users: 4 | test acc 0.2527 test loss 2.030365 best test_acc 0.6690
e 45 | malicious users: 3 | test acc 0.1566 test loss 2.055481 best test_acc 0.6690
e 46 | malicious users: 5 | test acc 0.3253 test loss 2.074783 best test_acc 0.6690
e 47 | malicious users: 9 | test acc 0.2796 test loss 2.178927 best test_acc 0.6690
e 48 | malicious users: 8 | test acc 0.1730 test loss 2.177209 best test_acc 0.6690
e 49 | malicious users: 8 | test acc 0.2083 test loss 2.093379 best test_acc 0.6690
e 50 | malicious users: 3 | test acc 0.2544 test loss 1.997225 best test_acc 0.6690
e 51 | malicious users: 5 | test acc 0.2354 test loss 1.866759 best test_acc 0.6690
e 52 | malicious users: 5 | test acc 0.1013 test loss 2.036586 best test_acc 0.6690
e 53 | malicious users: 7 | test acc 0.3124 test loss 1.969565 best test_acc 0.6690
e 54 | malicious users: 5 | test acc 0.1910 test loss 2.046837 best test_acc 0.6690
e 55 | malicious users: 2 | test acc 0.2149 test loss 1.964312 best test_acc 0.6690
e 56 | malicious users: 8 | test acc 0.2565 test loss 1.757445 best test_acc 0.6690
e 57 | malicious users: 3 | test acc 0.3121 test loss 1.889336 best test_acc 0.6690
e 58 | malicious users: 5 | test acc 0.3827 test loss 1.909750 best test_acc 0.6690
e 59 | malicious users: 4 | test acc 0.3345 test loss 1.957216 best test_acc 0.6690
e 60 | malicious users: 2 | test acc 0.3178 test loss 1.822432 best test_acc 0.6690
e 61 | malicious users: 7 | test acc 0.3088 test loss 1.811534 best test_acc 0.6690
e 62 | malicious users: 4 | test acc 0.2852 test loss 1.827626 best test_acc 0.6690
e 63 | malicious users: 3 | test acc 0.3313 test loss 1.810322 best test_acc 0.6690
e 64 | malicious users: 4 | test acc 0.3410 test loss 1.791998 best test_acc 0.6690
e 65 | malicious users: 6 | test acc 0.3128 test loss 1.720609 best test_acc 0.6690
e 66 | malicious users: 3 | test acc 0.5365 test loss 1.570324 best test_acc 0.6690
e 67 | malicious users: 4 | test acc 0.4190 test loss 1.901857 best test_acc 0.6690
e 68 | malicious users: 8 | test acc 0.4495 test loss 1.698182 best test_acc 0.6690
e 69 | malicious users: 6 | test acc 0.2996 test loss 1.945758 best test_acc 0.6690
e 70 | malicious users: 7 | test acc 0.3991 test loss 1.556959 best test_acc 0.6690
e 71 | malicious users: 7 | test acc 0.1848 test loss 2.215627 best test_acc 0.6690
e 72 | malicious users: 5 | test acc 0.3691 test loss 1.822848 best test_acc 0.6690
e 73 | malicious users: 5 | test acc 0.3136 test loss 1.821876 best test_acc 0.6690
e 74 | malicious users: 7 | test acc 0.3517 test loss 2.146585 best test_acc 0.6690
e 75 | malicious users: 3 | test acc 0.2148 test loss 2.093246 best test_acc 0.6690
e 76 | malicious users: 3 | test acc 0.2048 test loss 1.998861 best test_acc 0.6690
e 77 | malicious users: 5 | test acc 0.2671 test loss 1.941516 best test_acc 0.6690
e 78 | malicious users: 6 | test acc 0.3428 test loss 1.682948 best test_acc 0.6690
e 79 | malicious users: 5 | test acc 0.1846 test loss 1.971327 best test_acc 0.6690
e 80 | malicious users: 5 | test acc 0.3805 test loss 1.880450 best test_acc 0.6690
e 81 | malicious users: 2 | test acc 0.3350 test loss 1.824375 best test_acc 0.6690
e 82 | malicious users: 5 | test acc 0.3653 test loss 1.681419 best test_acc 0.6690
e 83 | malicious users: 3 | test acc 0.5739 test loss 1.552654 best test_acc 0.6690
e 84 | malicious users: 11 | test acc 0.1855 test loss 2.733175 best test_acc 0.6690
e 85 | malicious users: 6 | test acc 0.1392 test loss 2.210685 best test_acc 0.6690
e 86 | malicious users: 3 | test acc 0.1592 test loss 2.075360 best test_acc 0.6690
e 87 | malicious users: 4 | test acc 0.1668 test loss 2.201127 best test_acc 0.6690
e 88 | malicious users: 7 | test acc 0.3117 test loss 2.022791 best test_acc 0.6690
e 89 | malicious users: 6 | test acc 0.0970 test loss 2.237806 best test_acc 0.6690
e 90 | malicious users: 5 | test acc 0.1541 test loss 2.089540 best test_acc 0.6690
e 91 | malicious users: 3 | test acc 0.1302 test loss 2.110368 best test_acc 0.6690
e 92 | malicious users: 6 | test acc 0.1351 test loss 2.140350 best test_acc 0.6690
e 93 | malicious users: 5 | test acc 0.2147 test loss 2.151348 best test_acc 0.6690
e 94 | malicious users: 6 | test acc 0.0706 test loss 2.048521 best test_acc 0.6690
e 95 | malicious users: 6 | test acc 0.1492 test loss 2.157535 best test_acc 0.6690
e 96 | malicious users: 6 | test acc 0.1035 test loss 2.298951 best test_acc 0.6690
e 97 | malicious users: 7 | test acc 0.1992 test loss 2.165510 best test_acc 0.6690
e 98 | malicious users: 5 | test acc 0.1889 test loss 2.270607 best test_acc 0.6690
e 99 | malicious users: 2 | test acc 0.2279 test loss 2.072183 best test_acc 0.6690
e 100 | malicious users: 6 | test acc 0.2530 test loss 1.942457 best test_acc 0.6690
e 101 | malicious users: 7 | test acc 0.1206 test loss 2.142206 best test_acc 0.6690
e 102 | malicious users: 5 | test acc 0.1887 test loss 2.023016 best test_acc 0.6690
e 103 | malicious users: 4 | test acc 0.1210 test loss 2.090573 best test_acc 0.6690
e 104 | malicious users: 7 | test acc 0.2153 test loss 2.350464 best test_acc 0.6690
e 105 | malicious users: 5 | test acc 0.1989 test loss 2.161841 best test_acc 0.6690
e 106 | malicious users: 4 | test acc 0.1225 test loss 2.125701 best test_acc 0.6690
e 107 | malicious users: 5 | test acc 0.1842 test loss 2.116215 best test_acc 0.6690
e 108 | malicious users: 9 | test acc 0.1671 test loss 2.690502 best test_acc 0.6690
e 109 | malicious users: 6 | test acc 0.1065 test loss 2.276077 best test_acc 0.6690
e 110 | malicious users: 4 | test acc 0.1716 test loss 2.221301 best test_acc 0.6690
e 111 | malicious users: 5 | test acc 0.1111 test loss 2.213533 best test_acc 0.6690
e 112 | malicious users: 5 | test acc 0.1499 test loss 2.196483 best test_acc 0.6690
e 113 | malicious users: 4 | test acc 0.1769 test loss 2.243162 best test_acc 0.6690
e 114 | malicious users: 3 | test acc 0.1215 test loss 2.189922 best test_acc 0.6690
e 115 | malicious users: 2 | test acc 0.1109 test loss 2.178079 best test_acc 0.6690
e 116 | malicious users: 5 | test acc 0.1447 test loss 2.232350 best test_acc 0.6690
e 117 | malicious users: 3 | test acc 0.0956 test loss 2.213874 best test_acc 0.6690
e 118 | malicious users: 6 | test acc 0.1225 test loss 2.399176 best test_acc 0.6690
e 119 | malicious users: 6 | test acc 0.1726 test loss 2.238900 best test_acc 0.6690
e 120 | malicious users: 5 | test acc 0.2496 test loss 2.168578 best test_acc 0.6690
e 121 | malicious users: 4 | test acc 0.1188 test loss 2.213323 best test_acc 0.6690
e 122 | malicious users: 6 | test acc 0.1635 test loss 2.152792 best test_acc 0.6690
e 123 | malicious users: 4 | test acc 0.1641 test loss 2.045244 best test_acc 0.6690
e 124 | malicious users: 5 | test acc 0.1157 test loss 2.178848 best test_acc 0.6690
e 125 | malicious users: 4 | test acc 0.0321 test loss 2.223286 best test_acc 0.6690
e 126 | malicious users: 2 | test acc 0.1028 test loss 2.219904 best test_acc 0.6690
e 127 | malicious users: 5 | test acc 0.2436 test loss 2.226298 best test_acc 0.6690
e 128 | malicious users: 2 | test acc 0.1865 test loss 2.053924 best test_acc 0.6690
e 129 | malicious users: 7 | test acc 0.1044 test loss 2.212755 best test_acc 0.6690
e 130 | malicious users: 5 | test acc 0.0222 test loss 2.220174 best test_acc 0.6690
e 131 | malicious users: 7 | test acc 0.0927 test loss 2.187783 best test_acc 0.6690
e 132 | malicious users: 3 | test acc 0.1993 test loss 2.158287 best test_acc 0.6690
e 133 | malicious users: 4 | test acc 0.2261 test loss 2.096897 best test_acc 0.6690
e 134 | malicious users: 7 | test acc 0.1042 test loss 2.099315 best test_acc 0.6690
e 135 | malicious users: 2 | test acc 0.2369 test loss 2.075206 best test_acc 0.6690
e 136 | malicious users: 7 | test acc 0.1924 test loss 2.220955 best test_acc 0.6690
e 137 | malicious users: 2 | test acc 0.1980 test loss 2.044330 best test_acc 0.6690
e 138 | malicious users: 3 | test acc 0.1644 test loss 2.123821 best test_acc 0.6690
e 139 | malicious users: 6 | test acc 0.2062 test loss 2.079383 best test_acc 0.6690
e 140 | malicious users: 4 | test acc 0.1824 test loss 2.152979 best test_acc 0.6690
e 141 | malicious users: 4 | test acc 0.1682 test loss 2.173443 best test_acc 0.6690
e 142 | malicious users: 3 | test acc 0.1946 test loss 2.223304 best test_acc 0.6690
e 143 | malicious users: 4 | test acc 0.1899 test loss 2.154691 best test_acc 0.6690
e 144 | malicious users: 3 | test acc 0.0824 test loss 2.229339 best test_acc 0.6690
e 145 | malicious users: 9 | test acc 0.1963 test loss 2.792542 best test_acc 0.6690
e 146 | malicious users: 8 | test acc 0.1941 test loss 2.252509 best test_acc 0.6690
e 147 | malicious users: 3 | test acc 0.1025 test loss 2.246336 best test_acc 0.6690
e 148 | malicious users: 4 | test acc 0.1150 test loss 2.247184 best test_acc 0.6690
e 149 | malicious users: 5 | test acc 0.1927 test loss 2.188774 best test_acc 0.6690
e 150 | malicious users: 3 | test acc 0.1355 test loss 2.237603 best test_acc 0.6690
e 151 | malicious users: 5 | test acc 0.1135 test loss 2.264321 best test_acc 0.6690
e 152 | malicious users: 3 | test acc 0.0126 test loss 2.246635 best test_acc 0.6690
e 153 | malicious users: 4 | test acc 0.1033 test loss 2.242718 best test_acc 0.6690
e 154 | malicious users: 4 | test acc 0.1136 test loss 2.198710 best test_acc 0.6690
e 155 | malicious users: 6 | test acc 0.2138 test loss 2.202046 best test_acc 0.6690
e 156 | malicious users: 5 | test acc 0.1147 test loss 2.213953 best test_acc 0.6690
e 157 | malicious users: 5 | test acc 0.0990 test loss 2.184417 best test_acc 0.6690
e 158 | malicious users: 5 | test acc 0.1139 test loss 2.235559 best test_acc 0.6690
e 159 | malicious users: 6 | test acc 0.1929 test loss 2.277092 best test_acc 0.6690
e 160 | malicious users: 2 | test acc 0.1723 test loss 2.279132 best test_acc 0.6690
e 161 | malicious users: 7 | test acc 0.2049 test loss 2.264234 best test_acc 0.6690
e 162 | malicious users: 6 | test acc 0.1702 test loss 2.199186 best test_acc 0.6690
e 163 | malicious users: 4 | test acc 0.1747 test loss 2.186434 best test_acc 0.6690
e 164 | malicious users: 5 | test acc 0.1809 test loss 2.162263 best test_acc 0.6690
e 165 | malicious users: 4 | test acc 0.2378 test loss 2.085486 best test_acc 0.6690
e 166 | malicious users: 4 | test acc 0.1855 test loss 2.166690 best test_acc 0.6690
e 167 | malicious users: 5 | test acc 0.1263 test loss 2.188929 best test_acc 0.6690
e 168 | malicious users: 7 | test acc 0.0976 test loss 2.268658 best test_acc 0.6690
e 169 | malicious users: 2 | test acc 0.1755 test loss 2.240558 best test_acc 0.6690
e 170 | malicious users: 3 | test acc 0.1923 test loss 2.066935 best test_acc 0.6690
e 171 | malicious users: 3 | test acc 0.1165 test loss 2.182001 best test_acc 0.6690
e 172 | malicious users: 4 | test acc 0.1621 test loss 2.144451 best test_acc 0.6690
e 173 | malicious users: 8 | test acc 0.2193 test loss 2.242367 best test_acc 0.6690
e 174 | malicious users: 2 | test acc 0.1325 test loss 2.102931 best test_acc 0.6690
e 175 | malicious users: 3 | test acc 0.1423 test loss 2.250722 best test_acc 0.6690
e 176 | malicious users: 4 | test acc 0.1650 test loss 2.173354 best test_acc 0.6690
e 177 | malicious users: 3 | test acc 0.1267 test loss 2.149606 best test_acc 0.6690
e 178 | malicious users: 4 | test acc 0.1821 test loss 2.183619 best test_acc 0.6690
e 179 | malicious users: 2 | test acc 0.1868 test loss 2.072592 best test_acc 0.6690
e 180 | malicious users: 6 | test acc 0.2413 test loss 2.008746 best test_acc 0.6690
e 181 | malicious users: 6 | test acc 0.2173 test loss 2.135186 best test_acc 0.6690
e 182 | malicious users: 5 | test acc 0.0992 test loss 2.190877 best test_acc 0.6690
e 183 | malicious users: 2 | test acc 0.2627 test loss 2.248115 best test_acc 0.6690
e 184 | malicious users: 2 | test acc 0.1121 test loss 2.094729 best test_acc 0.6690
e 185 | malicious users: 5 | test acc 0.1733 test loss 2.174448 best test_acc 0.6690
e 186 | malicious users: 5 | test acc 0.1280 test loss 2.023178 best test_acc 0.6690
e 187 | malicious users: 4 | test acc 0.1286 test loss 2.079085 best test_acc 0.6690
e 188 | malicious users: 1 | test acc 0.1495 test loss 2.151903 best test_acc 0.6690
e 189 | malicious users: 3 | test acc 0.1401 test loss 2.028023 best test_acc 0.6690
e 190 | malicious users: 4 | test acc 0.1786 test loss 2.060181 best test_acc 0.6690
e 191 | malicious users: 5 | test acc 0.1471 test loss 2.179031 best test_acc 0.6690
e 192 | malicious users: 5 | test acc 0.1840 test loss 1.931870 best test_acc 0.6690
