=> Saving data in Logs/FRL~try=556
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.9
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.4112 test loss 2.151772 best test_acc 0.4112
e 1 | malicious users: 4 | test acc 0.4796 test loss 1.786984 best test_acc 0.4796
e 2 | malicious users: 6 | test acc 0.5961 test loss 1.599182 best test_acc 0.5961
e 3 | malicious users: 5 | test acc 0.6101 test loss 1.300498 best test_acc 0.6101
e 4 | malicious users: 3 | test acc 0.5902 test loss 1.346035 best test_acc 0.6101
e 5 | malicious users: 2 | test acc 0.7052 test loss 1.152294 best test_acc 0.7052
e 6 | malicious users: 2 | test acc 0.5931 test loss 1.064705 best test_acc 0.7052
e 7 | malicious users: 6 | test acc 0.5405 test loss 1.305892 best test_acc 0.7052
e 8 | malicious users: 4 | test acc 0.7023 test loss 0.947090 best test_acc 0.7052
e 9 | malicious users: 5 | test acc 0.7493 test loss 0.806698 best test_acc 0.7493
e 10 | malicious users: 8 | test acc 0.5160 test loss 1.652728 best test_acc 0.7493
e 11 | malicious users: 5 | test acc 0.6661 test loss 0.877613 best test_acc 0.7493
e 12 | malicious users: 7 | test acc 0.6517 test loss 1.332326 best test_acc 0.7493
e 13 | malicious users: 5 | test acc 0.7442 test loss 0.726904 best test_acc 0.7493
e 14 | malicious users: 4 | test acc 0.6897 test loss 1.110449 best test_acc 0.7493
e 15 | malicious users: 6 | test acc 0.6563 test loss 0.912953 best test_acc 0.7493
e 16 | malicious users: 6 | test acc 0.6524 test loss 1.265895 best test_acc 0.7493
e 17 | malicious users: 9 | test acc 0.2191 test loss 2.785347 best test_acc 0.7493
e 18 | malicious users: 5 | test acc 0.5325 test loss 1.676310 best test_acc 0.7493
e 19 | malicious users: 9 | test acc 0.4391 test loss 1.861029 best test_acc 0.7493
e 20 | malicious users: 9 | test acc 0.3847 test loss 1.783000 best test_acc 0.7493
e 21 | malicious users: 5 | test acc 0.6851 test loss 1.238392 best test_acc 0.7493
e 22 | malicious users: 4 | test acc 0.6159 test loss 1.146914 best test_acc 0.7493
e 23 | malicious users: 4 | test acc 0.5930 test loss 1.342446 best test_acc 0.7493
e 24 | malicious users: 4 | test acc 0.6742 test loss 0.959269 best test_acc 0.7493
e 25 | malicious users: 4 | test acc 0.7018 test loss 1.261463 best test_acc 0.7493
e 26 | malicious users: 3 | test acc 0.7377 test loss 0.758021 best test_acc 0.7493
e 27 | malicious users: 3 | test acc 0.6788 test loss 1.160902 best test_acc 0.7493
e 28 | malicious users: 3 | test acc 0.7530 test loss 0.840872 best test_acc 0.7530
e 29 | malicious users: 4 | test acc 0.6612 test loss 0.961626 best test_acc 0.7530
e 30 | malicious users: 5 | test acc 0.5813 test loss 1.121725 best test_acc 0.7530
e 31 | malicious users: 8 | test acc 0.5405 test loss 1.386125 best test_acc 0.7530
e 32 | malicious users: 3 | test acc 0.7119 test loss 1.080139 best test_acc 0.7530
e 33 | malicious users: 3 | test acc 0.7206 test loss 0.815930 best test_acc 0.7530
e 34 | malicious users: 3 | test acc 0.6746 test loss 0.979784 best test_acc 0.7530
e 35 | malicious users: 3 | test acc 0.7400 test loss 0.941878 best test_acc 0.7530
e 36 | malicious users: 6 | test acc 0.7013 test loss 0.907188 best test_acc 0.7530
e 37 | malicious users: 5 | test acc 0.7420 test loss 0.999246 best test_acc 0.7530
e 38 | malicious users: 2 | test acc 0.6382 test loss 1.020724 best test_acc 0.7530
e 39 | malicious users: 7 | test acc 0.5981 test loss 1.104607 best test_acc 0.7530
e 40 | malicious users: 7 | test acc 0.6401 test loss 1.182254 best test_acc 0.7530
e 41 | malicious users: 7 | test acc 0.3361 test loss 1.573620 best test_acc 0.7530
e 42 | malicious users: 4 | test acc 0.5889 test loss 1.154170 best test_acc 0.7530
e 43 | malicious users: 2 | test acc 0.6847 test loss 1.086317 best test_acc 0.7530
e 44 | malicious users: 3 | test acc 0.7028 test loss 0.901506 best test_acc 0.7530
e 45 | malicious users: 7 | test acc 0.6558 test loss 1.156606 best test_acc 0.7530
e 46 | malicious users: 9 | test acc 0.4006 test loss 1.981224 best test_acc 0.7530
e 47 | malicious users: 4 | test acc 0.7140 test loss 1.338820 best test_acc 0.7530
e 48 | malicious users: 5 | test acc 0.7129 test loss 1.013356 best test_acc 0.7530
e 49 | malicious users: 6 | test acc 0.5354 test loss 1.247748 best test_acc 0.7530
e 50 | malicious users: 2 | test acc 0.6813 test loss 1.198412 best test_acc 0.7530
e 51 | malicious users: 6 | test acc 0.4271 test loss 1.566178 best test_acc 0.7530
e 52 | malicious users: 7 | test acc 0.5810 test loss 1.424399 best test_acc 0.7530
e 53 | malicious users: 11 | test acc 0.1630 test loss 9.669495 best test_acc 0.7530
e 54 | malicious users: 6 | test acc 0.1293 test loss 2.302334 best test_acc 0.7530
e 55 | malicious users: 3 | test acc 0.1702 test loss 2.300279 best test_acc 0.7530
e 56 | malicious users: 7 | test acc 0.0980 test loss 2.290013 best test_acc 0.7530
e 57 | malicious users: 6 | test acc 0.1967 test loss 2.211622 best test_acc 0.7530
e 58 | malicious users: 5 | test acc 0.1516 test loss 2.136917 best test_acc 0.7530
e 59 | malicious users: 9 | test acc 0.3206 test loss 2.159549 best test_acc 0.7530
e 60 | malicious users: 6 | test acc 0.4207 test loss 2.088520 best test_acc 0.7530
e 61 | malicious users: 7 | test acc 0.4308 test loss 1.704323 best test_acc 0.7530
e 62 | malicious users: 5 | test acc 0.3931 test loss 2.088734 best test_acc 0.7530
e 63 | malicious users: 7 | test acc 0.4397 test loss 1.762051 best test_acc 0.7530
e 64 | malicious users: 6 | test acc 0.2864 test loss 2.230629 best test_acc 0.7530
e 65 | malicious users: 3 | test acc 0.3342 test loss 1.973571 best test_acc 0.7530
e 66 | malicious users: 3 | test acc 0.5136 test loss 2.146478 best test_acc 0.7530
e 67 | malicious users: 4 | test acc 0.3030 test loss 1.894262 best test_acc 0.7530
e 68 | malicious users: 5 | test acc 0.4437 test loss 1.956695 best test_acc 0.7530
e 69 | malicious users: 3 | test acc 0.4144 test loss 1.733487 best test_acc 0.7530
e 70 | malicious users: 6 | test acc 0.3987 test loss 1.947735 best test_acc 0.7530
e 71 | malicious users: 6 | test acc 0.4757 test loss 1.537551 best test_acc 0.7530
e 72 | malicious users: 4 | test acc 0.4361 test loss 1.959826 best test_acc 0.7530
e 73 | malicious users: 7 | test acc 0.5043 test loss 1.429141 best test_acc 0.7530
e 74 | malicious users: 4 | test acc 0.4047 test loss 1.961422 best test_acc 0.7530
e 75 | malicious users: 5 | test acc 0.6640 test loss 1.304659 best test_acc 0.7530
e 76 | malicious users: 3 | test acc 0.4355 test loss 1.933108 best test_acc 0.7530
e 77 | malicious users: 4 | test acc 0.6045 test loss 1.464397 best test_acc 0.7530
e 78 | malicious users: 4 | test acc 0.5335 test loss 1.586555 best test_acc 0.7530
e 79 | malicious users: 5 | test acc 0.5928 test loss 1.438137 best test_acc 0.7530
e 80 | malicious users: 4 | test acc 0.4923 test loss 1.537094 best test_acc 0.7530
e 81 | malicious users: 3 | test acc 0.4990 test loss 1.362001 best test_acc 0.7530
e 82 | malicious users: 7 | test acc 0.2925 test loss 1.984527 best test_acc 0.7530
e 83 | malicious users: 4 | test acc 0.6057 test loss 1.419607 best test_acc 0.7530
e 84 | malicious users: 4 | test acc 0.5338 test loss 1.569274 best test_acc 0.7530
e 85 | malicious users: 3 | test acc 0.4648 test loss 1.407341 best test_acc 0.7530
e 86 | malicious users: 5 | test acc 0.4939 test loss 1.567819 best test_acc 0.7530
e 87 | malicious users: 10 | test acc 0.1071 test loss 2.299260 best test_acc 0.7530
e 88 | malicious users: 6 | test acc 0.1340 test loss 2.286674 best test_acc 0.7530
e 89 | malicious users: 5 | test acc 0.3039 test loss 2.029539 best test_acc 0.7530
e 90 | malicious users: 8 | test acc 0.3307 test loss 1.969108 best test_acc 0.7530
e 91 | malicious users: 4 | test acc 0.2956 test loss 1.952597 best test_acc 0.7530
e 92 | malicious users: 5 | test acc 0.3526 test loss 1.817534 best test_acc 0.7530
e 93 | malicious users: 6 | test acc 0.3502 test loss 1.718532 best test_acc 0.7530
e 94 | malicious users: 5 | test acc 0.5635 test loss 1.602561 best test_acc 0.7530
e 95 | malicious users: 5 | test acc 0.4024 test loss 1.602713 best test_acc 0.7530
e 96 | malicious users: 8 | test acc 0.4880 test loss 1.621130 best test_acc 0.7530
e 97 | malicious users: 4 | test acc 0.3447 test loss 1.725010 best test_acc 0.7530
e 98 | malicious users: 5 | test acc 0.4689 test loss 1.504678 best test_acc 0.7530
e 99 | malicious users: 7 | test acc 0.5582 test loss 1.492919 best test_acc 0.7530
e 100 | malicious users: 6 | test acc 0.2248 test loss 1.823046 best test_acc 0.7530
e 101 | malicious users: 6 | test acc 0.5887 test loss 1.384569 best test_acc 0.7530
e 102 | malicious users: 7 | test acc 0.3476 test loss 1.788667 best test_acc 0.7530
e 103 | malicious users: 5 | test acc 0.3923 test loss 1.594345 best test_acc 0.7530
e 104 | malicious users: 7 | test acc 0.3623 test loss 1.812812 best test_acc 0.7530
e 105 | malicious users: 8 | test acc 0.3307 test loss 1.880146 best test_acc 0.7530
e 106 | malicious users: 5 | test acc 0.3848 test loss 1.733781 best test_acc 0.7530
e 107 | malicious users: 6 | test acc 0.1740 test loss 2.106659 best test_acc 0.7530
e 108 | malicious users: 4 | test acc 0.4509 test loss 1.607090 best test_acc 0.7530
e 109 | malicious users: 3 | test acc 0.3755 test loss 1.583972 best test_acc 0.7530
e 110 | malicious users: 6 | test acc 0.4582 test loss 1.592519 best test_acc 0.7530
e 111 | malicious users: 5 | test acc 0.3610 test loss 1.808898 best test_acc 0.7530
e 112 | malicious users: 7 | test acc 0.3506 test loss 1.979586 best test_acc 0.7530
e 113 | malicious users: 6 | test acc 0.3078 test loss 1.893343 best test_acc 0.7530
e 114 | malicious users: 5 | test acc 0.3732 test loss 1.778579 best test_acc 0.7530
e 115 | malicious users: 4 | test acc 0.1490 test loss 1.977067 best test_acc 0.7530
e 116 | malicious users: 5 | test acc 0.4077 test loss 1.701949 best test_acc 0.7530
e 117 | malicious users: 6 | test acc 0.4438 test loss 1.569384 best test_acc 0.7530
e 118 | malicious users: 6 | test acc 0.1621 test loss 2.397579 best test_acc 0.7530
e 119 | malicious users: 3 | test acc 0.3452 test loss 1.892062 best test_acc 0.7530
e 120 | malicious users: 5 | test acc 0.2933 test loss 1.859858 best test_acc 0.7530
e 121 | malicious users: 3 | test acc 0.2577 test loss 1.938199 best test_acc 0.7530
e 122 | malicious users: 5 | test acc 0.3092 test loss 2.010546 best test_acc 0.7530
e 123 | malicious users: 7 | test acc 0.3228 test loss 1.771200 best test_acc 0.7530
e 124 | malicious users: 4 | test acc 0.3632 test loss 1.941711 best test_acc 0.7530
e 125 | malicious users: 3 | test acc 0.4022 test loss 1.721616 best test_acc 0.7530
e 126 | malicious users: 5 | test acc 0.4086 test loss 1.683825 best test_acc 0.7530
e 127 | malicious users: 3 | test acc 0.2400 test loss 1.768025 best test_acc 0.7530
e 128 | malicious users: 7 | test acc 0.2966 test loss 1.865911 best test_acc 0.7530
e 129 | malicious users: 7 | test acc 0.3629 test loss 1.574595 best test_acc 0.7530
e 130 | malicious users: 4 | test acc 0.2394 test loss 2.083565 best test_acc 0.7530
e 131 | malicious users: 6 | test acc 0.4817 test loss 1.386738 best test_acc 0.7530
e 132 | malicious users: 5 | test acc 0.3983 test loss 1.857914 best test_acc 0.7530
e 133 | malicious users: 8 | test acc 0.4831 test loss 1.473883 best test_acc 0.7530
e 134 | malicious users: 4 | test acc 0.2558 test loss 2.209281 best test_acc 0.7530
e 135 | malicious users: 5 | test acc 0.2961 test loss 1.933358 best test_acc 0.7530
e 136 | malicious users: 5 | test acc 0.2658 test loss 1.894780 best test_acc 0.7530
e 137 | malicious users: 8 | test acc 0.1403 test loss 2.334406 best test_acc 0.7530
e 138 | malicious users: 5 | test acc 0.3362 test loss 2.065843 best test_acc 0.7530
e 139 | malicious users: 5 | test acc 0.2357 test loss 1.913118 best test_acc 0.7530
e 140 | malicious users: 4 | test acc 0.2676 test loss 1.894641 best test_acc 0.7530
e 141 | malicious users: 7 | test acc 0.2146 test loss 1.931973 best test_acc 0.7530
e 142 | malicious users: 5 | test acc 0.2458 test loss 1.883880 best test_acc 0.7530
e 143 | malicious users: 6 | test acc 0.2689 test loss 1.833393 best test_acc 0.7530
e 144 | malicious users: 3 | test acc 0.0570 test loss 2.114588 best test_acc 0.7530
e 145 | malicious users: 4 | test acc 0.2226 test loss 1.948040 best test_acc 0.7530
e 146 | malicious users: 1 | test acc 0.1076 test loss 2.025300 best test_acc 0.7530
e 147 | malicious users: 8 | test acc 0.2715 test loss 2.001687 best test_acc 0.7530
e 148 | malicious users: 5 | test acc 0.2470 test loss 1.836961 best test_acc 0.7530
e 149 | malicious users: 4 | test acc 0.2356 test loss 1.996250 best test_acc 0.7530
e 150 | malicious users: 5 | test acc 0.3003 test loss 1.828132 best test_acc 0.7530
e 151 | malicious users: 5 | test acc 0.4559 test loss 1.641413 best test_acc 0.7530
e 152 | malicious users: 4 | test acc 0.1710 test loss 1.970375 best test_acc 0.7530
e 153 | malicious users: 6 | test acc 0.3122 test loss 1.822515 best test_acc 0.7530
e 154 | malicious users: 5 | test acc 0.1960 test loss 1.980046 best test_acc 0.7530
e 155 | malicious users: 3 | test acc 0.1869 test loss 1.880960 best test_acc 0.7530
e 156 | malicious users: 5 | test acc 0.4079 test loss 1.712250 best test_acc 0.7530
e 157 | malicious users: 0 | test acc 0.2751 test loss 1.874444 best test_acc 0.7530
e 158 | malicious users: 4 | test acc 0.1976 test loss 1.959626 best test_acc 0.7530
e 159 | malicious users: 6 | test acc 0.4023 test loss 1.861801 best test_acc 0.7530
e 160 | malicious users: 5 | test acc 0.2548 test loss 1.963634 best test_acc 0.7530
e 161 | malicious users: 7 | test acc 0.3438 test loss 1.839819 best test_acc 0.7530
e 162 | malicious users: 5 | test acc 0.2744 test loss 1.989240 best test_acc 0.7530
e 163 | malicious users: 8 | test acc 0.4473 test loss 1.806285 best test_acc 0.7530
e 164 | malicious users: 6 | test acc 0.1887 test loss 2.184495 best test_acc 0.7530
e 165 | malicious users: 5 | test acc 0.2504 test loss 2.083033 best test_acc 0.7530
e 166 | malicious users: 6 | test acc 0.3056 test loss 2.045376 best test_acc 0.7530
e 167 | malicious users: 4 | test acc 0.2095 test loss 2.101470 best test_acc 0.7530
e 168 | malicious users: 2 | test acc 0.3075 test loss 1.994013 best test_acc 0.7530
e 169 | malicious users: 9 | test acc 0.2456 test loss 2.511883 best test_acc 0.7530
e 170 | malicious users: 6 | test acc 0.1846 test loss 2.143002 best test_acc 0.7530
e 171 | malicious users: 4 | test acc 0.3278 test loss 1.893685 best test_acc 0.7530
e 172 | malicious users: 4 | test acc 0.2927 test loss 1.939221 best test_acc 0.7530
e 173 | malicious users: 3 | test acc 0.3747 test loss 1.840762 best test_acc 0.7530
e 174 | malicious users: 6 | test acc 0.3507 test loss 2.016278 best test_acc 0.7530
e 175 | malicious users: 2 | test acc 0.1550 test loss 2.029538 best test_acc 0.7530
e 176 | malicious users: 6 | test acc 0.3559 test loss 1.830429 best test_acc 0.7530
e 177 | malicious users: 5 | test acc 0.1315 test loss 2.068930 best test_acc 0.7530
e 178 | malicious users: 3 | test acc 0.3750 test loss 1.864828 best test_acc 0.7530
e 179 | malicious users: 6 | test acc 0.0902 test loss 2.170145 best test_acc 0.7530
e 180 | malicious users: 6 | test acc 0.2317 test loss 1.926357 best test_acc 0.7530
e 181 | malicious users: 1 | test acc 0.2055 test loss 1.972700 best test_acc 0.7530
e 182 | malicious users: 9 | test acc 0.2056 test loss 2.445842 best test_acc 0.7530
e 183 | malicious users: 3 | test acc 0.2365 test loss 2.076692 best test_acc 0.7530
e 184 | malicious users: 2 | test acc 0.0231 test loss 2.203984 best test_acc 0.7530
e 185 | malicious users: 3 | test acc 0.0949 test loss 2.156842 best test_acc 0.7530
e 186 | malicious users: 3 | test acc 0.1774 test loss 2.142892 best test_acc 0.7530
e 187 | malicious users: 4 | test acc 0.1883 test loss 2.052626 best test_acc 0.7530
e 188 | malicious users: 5 | test acc 0.1529 test loss 2.103456 best test_acc 0.7530
e 189 | malicious users: 3 | test acc 0.0916 test loss 2.206202 best test_acc 0.7530
e 190 | malicious users: 2 | test acc 0.2297 test loss 2.123477 best test_acc 0.7530
e 191 | malicious users: 4 | test acc 0.1956 test loss 2.027093 best test_acc 0.7530
e 192 | malicious users: 5 | test acc 0.2354 test loss 2.066290 best test_acc 0.7530
e 193 | malicious users: 5 | test acc 0.2140 test loss 2.095589 best test_acc 0.7530
e 194 | malicious users: 6 | test acc 0.2328 test loss 1.943089 best test_acc 0.7530
e 195 | malicious users: 5 | test acc 0.1461 test loss 2.133663 best test_acc 0.7530
e 196 | malicious users: 5 | test acc 0.0534 test loss 2.137236 best test_acc 0.7530
e 197 | malicious users: 6 | test acc 0.2031 test loss 2.109944 best test_acc 0.7530
e 198 | malicious users: 7 | test acc 0.1082 test loss 2.313907 best test_acc 0.7530
e 199 | malicious users: 1 | test acc 0.1784 test loss 2.087113 best test_acc 0.7530
e 200 | malicious users: 7 | test acc 0.2725 test loss 1.951410 best test_acc 0.7530
e 201 | malicious users: 1 | test acc 0.2104 test loss 2.163833 best test_acc 0.7530
e 202 | malicious users: 1 | test acc 0.1899 test loss 2.019828 best test_acc 0.7530
e 203 | malicious users: 4 | test acc 0.2853 test loss 2.008117 best test_acc 0.7530
e 204 | malicious users: 6 | test acc 0.2928 test loss 2.007338 best test_acc 0.7530
e 205 | malicious users: 4 | test acc 0.2925 test loss 1.864509 best test_acc 0.7530
e 206 | malicious users: 5 | test acc 0.2561 test loss 1.985618 best test_acc 0.7530
e 207 | malicious users: 7 | test acc 0.4414 test loss 1.805164 best test_acc 0.7530
e 208 | malicious users: 5 | test acc 0.0486 test loss 2.249448 best test_acc 0.7530
e 209 | malicious users: 9 | test acc 0.1821 test loss 3.010307 best test_acc 0.7530
e 210 | malicious users: 2 | test acc 0.0809 test loss 2.219328 best test_acc 0.7530
e 211 | malicious users: 2 | test acc 0.1791 test loss 2.082958 best test_acc 0.7530
e 212 | malicious users: 4 | test acc 0.0988 test loss 2.151349 best test_acc 0.7530
e 213 | malicious users: 5 | test acc 0.1541 test loss 2.026344 best test_acc 0.7530
e 214 | malicious users: 4 | test acc 0.1023 test loss 2.212717 best test_acc 0.7530
e 215 | malicious users: 8 | test acc 0.1224 test loss 2.429831 best test_acc 0.7530
e 216 | malicious users: 4 | test acc 0.1603 test loss 2.221882 best test_acc 0.7530
e 217 | malicious users: 3 | test acc 0.2376 test loss 2.089095 best test_acc 0.7530
e 218 | malicious users: 6 | test acc 0.1025 test loss 2.234913 best test_acc 0.7530
e 219 | malicious users: 5 | test acc 0.2864 test loss 2.120347 best test_acc 0.7530
e 220 | malicious users: 4 | test acc 0.3180 test loss 1.875408 best test_acc 0.7530
e 221 | malicious users: 5 | test acc 0.2236 test loss 2.149846 best test_acc 0.7530
e 222 | malicious users: 7 | test acc 0.2960 test loss 2.004049 best test_acc 0.7530
e 223 | malicious users: 6 | test acc 0.2605 test loss 2.185489 best test_acc 0.7530
e 224 | malicious users: 5 | test acc 0.2413 test loss 1.936679 best test_acc 0.7530
e 225 | malicious users: 6 | test acc 0.1565 test loss 2.183669 best test_acc 0.7530
e 226 | malicious users: 6 | test acc 0.3654 test loss 1.901029 best test_acc 0.7530
e 227 | malicious users: 5 | test acc 0.1133 test loss 2.262622 best test_acc 0.7530
e 228 | malicious users: 5 | test acc 0.1934 test loss 1.907897 best test_acc 0.7530
