=> Saving data in Logs/FRL~try=562
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.3
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.0953 test loss 2.295701 best test_acc 0.0953
e 1 | malicious users: 4 | test acc 0.1825 test loss 2.154522 best test_acc 0.1825
e 2 | malicious users: 2 | test acc 0.4911 test loss 2.022547 best test_acc 0.4911
e 3 | malicious users: 5 | test acc 0.4441 test loss 1.944695 best test_acc 0.4911
e 4 | malicious users: 11 | test acc 0.5186 test loss 1.866529 best test_acc 0.5186
e 5 | malicious users: 7 | test acc 0.3823 test loss 1.691457 best test_acc 0.5186
e 6 | malicious users: 7 | test acc 0.5334 test loss 1.613903 best test_acc 0.5334
e 7 | malicious users: 3 | test acc 0.5663 test loss 1.381616 best test_acc 0.5663
e 8 | malicious users: 1 | test acc 0.7359 test loss 1.324349 best test_acc 0.7359
e 9 | malicious users: 7 | test acc 0.5693 test loss 1.296532 best test_acc 0.7359
e 10 | malicious users: 7 | test acc 0.5331 test loss 1.380825 best test_acc 0.7359
e 11 | malicious users: 4 | test acc 0.7374 test loss 1.142645 best test_acc 0.7374
e 12 | malicious users: 6 | test acc 0.6303 test loss 1.100588 best test_acc 0.7374
e 13 | malicious users: 5 | test acc 0.6368 test loss 1.063173 best test_acc 0.7374
e 14 | malicious users: 3 | test acc 0.6956 test loss 1.027888 best test_acc 0.7374
e 15 | malicious users: 5 | test acc 0.6445 test loss 1.092154 best test_acc 0.7374
e 16 | malicious users: 5 | test acc 0.6762 test loss 0.987991 best test_acc 0.7374
e 17 | malicious users: 5 | test acc 0.5538 test loss 1.224207 best test_acc 0.7374
e 18 | malicious users: 6 | test acc 0.6961 test loss 1.031076 best test_acc 0.7374
e 19 | malicious users: 6 | test acc 0.6764 test loss 1.096707 best test_acc 0.7374
e 20 | malicious users: 4 | test acc 0.6885 test loss 0.970904 best test_acc 0.7374
e 21 | malicious users: 6 | test acc 0.7193 test loss 1.029443 best test_acc 0.7374
e 22 | malicious users: 4 | test acc 0.7208 test loss 0.969300 best test_acc 0.7374
e 23 | malicious users: 7 | test acc 0.6975 test loss 0.897824 best test_acc 0.7374
e 24 | malicious users: 5 | test acc 0.4612 test loss 1.421049 best test_acc 0.7374
e 25 | malicious users: 3 | test acc 0.7237 test loss 1.006574 best test_acc 0.7374
e 26 | malicious users: 9 | test acc 0.7081 test loss 1.105628 best test_acc 0.7374
e 27 | malicious users: 7 | test acc 0.8686 test loss 0.783332 best test_acc 0.8686
e 28 | malicious users: 6 | test acc 0.8396 test loss 0.845732 best test_acc 0.8686
e 29 | malicious users: 9 | test acc 0.7925 test loss 0.808699 best test_acc 0.8686
e 30 | malicious users: 5 | test acc 0.7779 test loss 0.771391 best test_acc 0.8686
e 31 | malicious users: 6 | test acc 0.8070 test loss 0.741448 best test_acc 0.8686
e 32 | malicious users: 7 | test acc 0.8003 test loss 0.863088 best test_acc 0.8686
e 33 | malicious users: 4 | test acc 0.7641 test loss 0.825150 best test_acc 0.8686
e 34 | malicious users: 5 | test acc 0.8801 test loss 0.930310 best test_acc 0.8801
e 35 | malicious users: 3 | test acc 0.8398 test loss 0.720676 best test_acc 0.8801
e 36 | malicious users: 4 | test acc 0.7803 test loss 0.832936 best test_acc 0.8801
e 37 | malicious users: 3 | test acc 0.7631 test loss 0.739386 best test_acc 0.8801
e 38 | malicious users: 5 | test acc 0.8058 test loss 0.812686 best test_acc 0.8801
e 39 | malicious users: 3 | test acc 0.8486 test loss 0.712769 best test_acc 0.8801
e 40 | malicious users: 2 | test acc 0.8753 test loss 0.788662 best test_acc 0.8801
e 41 | malicious users: 7 | test acc 0.6758 test loss 0.838056 best test_acc 0.8801
e 42 | malicious users: 3 | test acc 0.7706 test loss 0.816659 best test_acc 0.8801
e 43 | malicious users: 5 | test acc 0.7876 test loss 0.866194 best test_acc 0.8801
e 44 | malicious users: 4 | test acc 0.7283 test loss 0.896337 best test_acc 0.8801
e 45 | malicious users: 4 | test acc 0.7157 test loss 0.903148 best test_acc 0.8801
e 46 | malicious users: 6 | test acc 0.7528 test loss 0.806670 best test_acc 0.8801
e 47 | malicious users: 6 | test acc 0.7311 test loss 0.947796 best test_acc 0.8801
e 48 | malicious users: 2 | test acc 0.8706 test loss 0.616698 best test_acc 0.8801
e 49 | malicious users: 9 | test acc 0.8292 test loss 0.535438 best test_acc 0.8801
e 50 | malicious users: 3 | test acc 0.7989 test loss 0.756914 best test_acc 0.8801
e 51 | malicious users: 3 | test acc 0.8635 test loss 0.734317 best test_acc 0.8801
e 52 | malicious users: 5 | test acc 0.6211 test loss 1.043500 best test_acc 0.8801
e 53 | malicious users: 4 | test acc 0.6478 test loss 1.013946 best test_acc 0.8801
e 54 | malicious users: 4 | test acc 0.7403 test loss 0.893582 best test_acc 0.8801
e 55 | malicious users: 6 | test acc 0.6226 test loss 1.025893 best test_acc 0.8801
e 56 | malicious users: 5 | test acc 0.8034 test loss 0.773631 best test_acc 0.8801
e 57 | malicious users: 6 | test acc 0.8156 test loss 0.627193 best test_acc 0.8801
e 58 | malicious users: 1 | test acc 0.7740 test loss 0.837713 best test_acc 0.8801
e 59 | malicious users: 4 | test acc 0.7080 test loss 0.986886 best test_acc 0.8801
e 60 | malicious users: 8 | test acc 0.8684 test loss 0.637380 best test_acc 0.8801
e 61 | malicious users: 5 | test acc 0.8731 test loss 0.609190 best test_acc 0.8801
e 62 | malicious users: 6 | test acc 0.7883 test loss 0.739138 best test_acc 0.8801
e 63 | malicious users: 3 | test acc 0.7622 test loss 0.780532 best test_acc 0.8801
e 64 | malicious users: 8 | test acc 0.7111 test loss 0.838215 best test_acc 0.8801
e 65 | malicious users: 5 | test acc 0.7214 test loss 0.936988 best test_acc 0.8801
e 66 | malicious users: 4 | test acc 0.7445 test loss 0.801129 best test_acc 0.8801
e 67 | malicious users: 7 | test acc 0.8162 test loss 0.841138 best test_acc 0.8801
e 68 | malicious users: 7 | test acc 0.7316 test loss 0.782198 best test_acc 0.8801
e 69 | malicious users: 6 | test acc 0.7061 test loss 0.949827 best test_acc 0.8801
