=> Saving data in Logs/FRL~try=563
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 3 | test acc 0.1608 test loss 2.248939 best test_acc 0.1608
e 1 | malicious users: 6 | test acc 0.2716 test loss 2.098287 best test_acc 0.2716
e 2 | malicious users: 3 | test acc 0.4428 test loss 1.903899 best test_acc 0.4428
e 3 | malicious users: 4 | test acc 0.5340 test loss 1.570725 best test_acc 0.5340
e 4 | malicious users: 8 | test acc 0.5978 test loss 1.362604 best test_acc 0.5978
e 5 | malicious users: 1 | test acc 0.6145 test loss 1.501365 best test_acc 0.6145
e 6 | malicious users: 2 | test acc 0.6469 test loss 1.386249 best test_acc 0.6469
e 7 | malicious users: 8 | test acc 0.4657 test loss 1.497702 best test_acc 0.6469
e 8 | malicious users: 3 | test acc 0.5261 test loss 1.555024 best test_acc 0.6469
e 9 | malicious users: 7 | test acc 0.4788 test loss 1.286477 best test_acc 0.6469
e 10 | malicious users: 5 | test acc 0.6349 test loss 1.380823 best test_acc 0.6469
e 11 | malicious users: 8 | test acc 0.6320 test loss 1.036172 best test_acc 0.6469
e 12 | malicious users: 7 | test acc 0.7464 test loss 0.912403 best test_acc 0.7464
e 13 | malicious users: 3 | test acc 0.6771 test loss 0.911136 best test_acc 0.7464
e 14 | malicious users: 2 | test acc 0.7607 test loss 0.800200 best test_acc 0.7607
e 15 | malicious users: 7 | test acc 0.7262 test loss 0.776289 best test_acc 0.7607
e 16 | malicious users: 2 | test acc 0.8090 test loss 0.664100 best test_acc 0.8090
e 17 | malicious users: 4 | test acc 0.8201 test loss 0.904428 best test_acc 0.8201
e 18 | malicious users: 3 | test acc 0.7938 test loss 0.791638 best test_acc 0.8201
e 19 | malicious users: 4 | test acc 0.8016 test loss 0.705442 best test_acc 0.8201
e 20 | malicious users: 5 | test acc 0.8160 test loss 0.879633 best test_acc 0.8201
e 21 | malicious users: 6 | test acc 0.8044 test loss 0.611662 best test_acc 0.8201
e 22 | malicious users: 2 | test acc 0.7331 test loss 0.757061 best test_acc 0.8201
e 23 | malicious users: 3 | test acc 0.7821 test loss 0.712616 best test_acc 0.8201
e 24 | malicious users: 3 | test acc 0.7985 test loss 0.726433 best test_acc 0.8201
e 25 | malicious users: 6 | test acc 0.7501 test loss 0.682502 best test_acc 0.8201
e 26 | malicious users: 4 | test acc 0.7362 test loss 0.885053 best test_acc 0.8201
e 27 | malicious users: 5 | test acc 0.7845 test loss 0.839231 best test_acc 0.8201
e 28 | malicious users: 6 | test acc 0.7476 test loss 0.734932 best test_acc 0.8201
e 29 | malicious users: 4 | test acc 0.7394 test loss 0.702173 best test_acc 0.8201
e 30 | malicious users: 5 | test acc 0.8275 test loss 0.720171 best test_acc 0.8275
e 31 | malicious users: 3 | test acc 0.8184 test loss 0.624432 best test_acc 0.8275
e 32 | malicious users: 3 | test acc 0.8746 test loss 0.497640 best test_acc 0.8746
e 33 | malicious users: 7 | test acc 0.8771 test loss 0.494705 best test_acc 0.8771
e 34 | malicious users: 4 | test acc 0.8719 test loss 0.499218 best test_acc 0.8771
e 35 | malicious users: 4 | test acc 0.8491 test loss 0.644455 best test_acc 0.8771
e 36 | malicious users: 8 | test acc 0.8300 test loss 0.630671 best test_acc 0.8771
e 37 | malicious users: 1 | test acc 0.8038 test loss 0.711891 best test_acc 0.8771
e 38 | malicious users: 2 | test acc 0.8329 test loss 0.569849 best test_acc 0.8771
e 39 | malicious users: 2 | test acc 0.8377 test loss 0.501693 best test_acc 0.8771
e 40 | malicious users: 3 | test acc 0.8316 test loss 0.526291 best test_acc 0.8771
e 41 | malicious users: 6 | test acc 0.7420 test loss 0.759521 best test_acc 0.8771
e 42 | malicious users: 2 | test acc 0.8351 test loss 0.545699 best test_acc 0.8771
e 43 | malicious users: 4 | test acc 0.9270 test loss 0.445270 best test_acc 0.9270
e 44 | malicious users: 9 | test acc 0.8357 test loss 0.540672 best test_acc 0.9270
e 45 | malicious users: 2 | test acc 0.8438 test loss 0.593586 best test_acc 0.9270
e 46 | malicious users: 6 | test acc 0.7036 test loss 0.874107 best test_acc 0.9270
e 47 | malicious users: 7 | test acc 0.8419 test loss 0.644118 best test_acc 0.9270
e 48 | malicious users: 4 | test acc 0.8698 test loss 0.469185 best test_acc 0.9270
e 49 | malicious users: 5 | test acc 0.8299 test loss 0.598696 best test_acc 0.9270
e 50 | malicious users: 4 | test acc 0.8300 test loss 0.654184 best test_acc 0.9270
e 51 | malicious users: 3 | test acc 0.8115 test loss 0.726555 best test_acc 0.9270
e 52 | malicious users: 4 | test acc 0.8366 test loss 0.552965 best test_acc 0.9270
e 53 | malicious users: 6 | test acc 0.7934 test loss 0.597709 best test_acc 0.9270
e 54 | malicious users: 3 | test acc 0.6694 test loss 0.829266 best test_acc 0.9270
e 55 | malicious users: 6 | test acc 0.8262 test loss 0.584147 best test_acc 0.9270
e 56 | malicious users: 6 | test acc 0.8088 test loss 0.658059 best test_acc 0.9270
e 57 | malicious users: 5 | test acc 0.8066 test loss 0.637066 best test_acc 0.9270
e 58 | malicious users: 3 | test acc 0.7692 test loss 0.642409 best test_acc 0.9270
e 59 | malicious users: 2 | test acc 0.8513 test loss 0.486041 best test_acc 0.9270
e 60 | malicious users: 5 | test acc 0.8394 test loss 0.624535 best test_acc 0.9270
e 61 | malicious users: 5 | test acc 0.6825 test loss 0.877739 best test_acc 0.9270
e 62 | malicious users: 4 | test acc 0.9053 test loss 0.471975 best test_acc 0.9270
e 63 | malicious users: 8 | test acc 0.7018 test loss 0.877448 best test_acc 0.9270
e 64 | malicious users: 4 | test acc 0.8084 test loss 0.578079 best test_acc 0.9270
e 65 | malicious users: 5 | test acc 0.7508 test loss 0.760639 best test_acc 0.9270
e 66 | malicious users: 3 | test acc 0.8319 test loss 0.646449 best test_acc 0.9270
e 67 | malicious users: 4 | test acc 0.7862 test loss 0.726669 best test_acc 0.9270
e 68 | malicious users: 3 | test acc 0.8736 test loss 0.537110 best test_acc 0.9270
e 69 | malicious users: 7 | test acc 0.8467 test loss 0.467469 best test_acc 0.9270
e 70 | malicious users: 6 | test acc 0.7906 test loss 0.679742 best test_acc 0.9270
e 71 | malicious users: 3 | test acc 0.7338 test loss 0.653591 best test_acc 0.9270
e 72 | malicious users: 4 | test acc 0.8366 test loss 0.609436 best test_acc 0.9270
e 73 | malicious users: 4 | test acc 0.8258 test loss 0.618942 best test_acc 0.9270
e 74 | malicious users: 5 | test acc 0.7891 test loss 0.581726 best test_acc 0.9270
e 75 | malicious users: 2 | test acc 0.8295 test loss 0.552029 best test_acc 0.9270
e 76 | malicious users: 8 | test acc 0.7995 test loss 0.640508 best test_acc 0.9270
e 77 | malicious users: 4 | test acc 0.8845 test loss 0.503911 best test_acc 0.9270
e 78 | malicious users: 5 | test acc 0.8042 test loss 0.622995 best test_acc 0.9270
e 79 | malicious users: 1 | test acc 0.8348 test loss 0.549812 best test_acc 0.9270
e 80 | malicious users: 5 | test acc 0.8901 test loss 0.538644 best test_acc 0.9270
e 81 | malicious users: 5 | test acc 0.8955 test loss 0.467841 best test_acc 0.9270
e 82 | malicious users: 5 | test acc 0.7299 test loss 0.805240 best test_acc 0.9270
e 83 | malicious users: 3 | test acc 0.8346 test loss 0.704902 best test_acc 0.9270
e 84 | malicious users: 2 | test acc 0.8355 test loss 0.658168 best test_acc 0.9270
e 85 | malicious users: 8 | test acc 0.8366 test loss 0.645402 best test_acc 0.9270
e 86 | malicious users: 3 | test acc 0.8871 test loss 0.500015 best test_acc 0.9270
e 87 | malicious users: 2 | test acc 0.9055 test loss 0.473729 best test_acc 0.9270
e 88 | malicious users: 4 | test acc 0.8276 test loss 0.573228 best test_acc 0.9270
e 89 | malicious users: 7 | test acc 0.7611 test loss 0.756886 best test_acc 0.9270
e 90 | malicious users: 7 | test acc 0.7651 test loss 0.826616 best test_acc 0.9270
e 91 | malicious users: 4 | test acc 0.7349 test loss 0.662454 best test_acc 0.9270
e 92 | malicious users: 5 | test acc 0.8534 test loss 0.584451 best test_acc 0.9270
e 93 | malicious users: 3 | test acc 0.7353 test loss 0.712387 best test_acc 0.9270
e 94 | malicious users: 9 | test acc 0.8264 test loss 0.585359 best test_acc 0.9270
e 95 | malicious users: 7 | test acc 0.8789 test loss 0.459843 best test_acc 0.9270
e 96 | malicious users: 5 | test acc 0.7560 test loss 0.778581 best test_acc 0.9270
e 97 | malicious users: 3 | test acc 0.7857 test loss 0.687102 best test_acc 0.9270
e 98 | malicious users: 5 | test acc 0.8230 test loss 0.561461 best test_acc 0.9270
e 99 | malicious users: 8 | test acc 0.9081 test loss 0.356448 best test_acc 0.9270
e 100 | malicious users: 6 | test acc 0.7778 test loss 0.671315 best test_acc 0.9270
e 101 | malicious users: 5 | test acc 0.6620 test loss 0.885448 best test_acc 0.9270
e 102 | malicious users: 5 | test acc 0.8806 test loss 0.724880 best test_acc 0.9270
e 103 | malicious users: 9 | test acc 0.9279 test loss 0.353442 best test_acc 0.9279
e 104 | malicious users: 2 | test acc 0.8551 test loss 0.695560 best test_acc 0.9279
e 105 | malicious users: 4 | test acc 0.8618 test loss 0.543021 best test_acc 0.9279
e 106 | malicious users: 4 | test acc 0.6310 test loss 0.898776 best test_acc 0.9279
e 107 | malicious users: 6 | test acc 0.7871 test loss 0.730058 best test_acc 0.9279
e 108 | malicious users: 2 | test acc 0.8274 test loss 0.721998 best test_acc 0.9279
e 109 | malicious users: 4 | test acc 0.9141 test loss 0.394174 best test_acc 0.9279
e 110 | malicious users: 5 | test acc 0.8742 test loss 0.446043 best test_acc 0.9279
e 111 | malicious users: 5 | test acc 0.8533 test loss 0.650159 best test_acc 0.9279
e 112 | malicious users: 3 | test acc 0.8296 test loss 0.653620 best test_acc 0.9279
e 113 | malicious users: 5 | test acc 0.7672 test loss 0.647632 best test_acc 0.9279
e 114 | malicious users: 6 | test acc 0.7960 test loss 0.672869 best test_acc 0.9279
e 115 | malicious users: 8 | test acc 0.7679 test loss 0.898026 best test_acc 0.9279
e 116 | malicious users: 8 | test acc 0.8494 test loss 0.575224 best test_acc 0.9279
e 117 | malicious users: 5 | test acc 0.7663 test loss 0.705081 best test_acc 0.9279
e 118 | malicious users: 4 | test acc 0.8608 test loss 0.617628 best test_acc 0.9279
e 119 | malicious users: 4 | test acc 0.8396 test loss 0.624401 best test_acc 0.9279
e 120 | malicious users: 4 | test acc 0.8496 test loss 0.569397 best test_acc 0.9279
e 121 | malicious users: 3 | test acc 0.8318 test loss 0.703112 best test_acc 0.9279
e 122 | malicious users: 2 | test acc 0.8943 test loss 0.451699 best test_acc 0.9279
e 123 | malicious users: 4 | test acc 0.8801 test loss 0.480961 best test_acc 0.9279
e 124 | malicious users: 4 | test acc 0.7707 test loss 0.617277 best test_acc 0.9279
e 125 | malicious users: 9 | test acc 0.7943 test loss 0.768960 best test_acc 0.9279
e 126 | malicious users: 5 | test acc 0.7937 test loss 0.658041 best test_acc 0.9279
e 127 | malicious users: 3 | test acc 0.8701 test loss 0.451352 best test_acc 0.9279
e 128 | malicious users: 6 | test acc 0.8178 test loss 0.630145 best test_acc 0.9279
e 129 | malicious users: 5 | test acc 0.8030 test loss 0.628654 best test_acc 0.9279
e 130 | malicious users: 4 | test acc 0.9029 test loss 0.415592 best test_acc 0.9279
e 131 | malicious users: 5 | test acc 0.8323 test loss 0.666184 best test_acc 0.9279
e 132 | malicious users: 5 | test acc 0.8544 test loss 0.665171 best test_acc 0.9279
e 133 | malicious users: 8 | test acc 0.8748 test loss 0.484727 best test_acc 0.9279
e 134 | malicious users: 5 | test acc 0.7731 test loss 0.550777 best test_acc 0.9279
e 135 | malicious users: 6 | test acc 0.8470 test loss 0.480471 best test_acc 0.9279
e 136 | malicious users: 4 | test acc 0.8877 test loss 0.600750 best test_acc 0.9279
e 137 | malicious users: 3 | test acc 0.8624 test loss 0.619541 best test_acc 0.9279
e 138 | malicious users: 10 | test acc 0.7712 test loss 0.634367 best test_acc 0.9279
e 139 | malicious users: 5 | test acc 0.7448 test loss 0.821519 best test_acc 0.9279
e 140 | malicious users: 5 | test acc 0.7837 test loss 0.627157 best test_acc 0.9279
e 141 | malicious users: 7 | test acc 0.7977 test loss 0.719618 best test_acc 0.9279
e 142 | malicious users: 5 | test acc 0.8459 test loss 0.768995 best test_acc 0.9279
e 143 | malicious users: 5 | test acc 0.7273 test loss 0.782575 best test_acc 0.9279
e 144 | malicious users: 4 | test acc 0.8465 test loss 0.648758 best test_acc 0.9279
e 145 | malicious users: 5 | test acc 0.8120 test loss 0.685166 best test_acc 0.9279
e 146 | malicious users: 1 | test acc 0.7255 test loss 0.745874 best test_acc 0.9279
e 147 | malicious users: 5 | test acc 0.8549 test loss 0.603632 best test_acc 0.9279
e 148 | malicious users: 8 | test acc 0.7567 test loss 0.708016 best test_acc 0.9279
e 149 | malicious users: 2 | test acc 0.7571 test loss 0.798066 best test_acc 0.9279
e 150 | malicious users: 8 | test acc 0.8033 test loss 0.665706 best test_acc 0.9279
e 151 | malicious users: 7 | test acc 0.7824 test loss 0.641508 best test_acc 0.9279
e 152 | malicious users: 3 | test acc 0.8312 test loss 0.707768 best test_acc 0.9279
e 153 | malicious users: 4 | test acc 0.8101 test loss 0.651530 best test_acc 0.9279
e 154 | malicious users: 5 | test acc 0.8072 test loss 0.607627 best test_acc 0.9279
e 155 | malicious users: 1 | test acc 0.8435 test loss 0.664451 best test_acc 0.9279
e 156 | malicious users: 3 | test acc 0.8024 test loss 0.692761 best test_acc 0.9279
e 157 | malicious users: 5 | test acc 0.8823 test loss 0.485786 best test_acc 0.9279
e 158 | malicious users: 5 | test acc 0.7939 test loss 0.599183 best test_acc 0.9279
e 159 | malicious users: 6 | test acc 0.7389 test loss 0.751330 best test_acc 0.9279
e 160 | malicious users: 4 | test acc 0.8070 test loss 0.641670 best test_acc 0.9279
e 161 | malicious users: 0 | test acc 0.9039 test loss 0.585714 best test_acc 0.9279
e 162 | malicious users: 4 | test acc 0.8401 test loss 0.596087 best test_acc 0.9279
e 163 | malicious users: 4 | test acc 0.7683 test loss 0.772457 best test_acc 0.9279
e 164 | malicious users: 1 | test acc 0.8453 test loss 0.563759 best test_acc 0.9279
e 165 | malicious users: 4 | test acc 0.8876 test loss 0.463904 best test_acc 0.9279
e 166 | malicious users: 8 | test acc 0.7725 test loss 0.610586 best test_acc 0.9279
e 167 | malicious users: 4 | test acc 0.6370 test loss 0.852991 best test_acc 0.9279
e 168 | malicious users: 5 | test acc 0.7935 test loss 0.720801 best test_acc 0.9279
e 169 | malicious users: 4 | test acc 0.7689 test loss 0.694457 best test_acc 0.9279
e 170 | malicious users: 3 | test acc 0.8248 test loss 0.663109 best test_acc 0.9279
e 171 | malicious users: 6 | test acc 0.8574 test loss 0.594648 best test_acc 0.9279
e 172 | malicious users: 5 | test acc 0.6099 test loss 0.939960 best test_acc 0.9279
e 173 | malicious users: 10 | test acc 0.7345 test loss 0.712791 best test_acc 0.9279
e 174 | malicious users: 7 | test acc 0.7088 test loss 0.864052 best test_acc 0.9279
e 175 | malicious users: 5 | test acc 0.7760 test loss 0.813285 best test_acc 0.9279
e 176 | malicious users: 6 | test acc 0.8933 test loss 0.647752 best test_acc 0.9279
e 177 | malicious users: 4 | test acc 0.8716 test loss 0.488994 best test_acc 0.9279
e 178 | malicious users: 4 | test acc 0.8147 test loss 0.770596 best test_acc 0.9279
e 179 | malicious users: 5 | test acc 0.8781 test loss 0.544895 best test_acc 0.9279
e 180 | malicious users: 1 | test acc 0.7740 test loss 0.755117 best test_acc 0.9279
e 181 | malicious users: 4 | test acc 0.8514 test loss 0.542475 best test_acc 0.9279
e 182 | malicious users: 4 | test acc 0.8559 test loss 0.529756 best test_acc 0.9279
e 183 | malicious users: 6 | test acc 0.7711 test loss 0.768811 best test_acc 0.9279
e 184 | malicious users: 1 | test acc 0.8434 test loss 0.620584 best test_acc 0.9279
e 185 | malicious users: 5 | test acc 0.8170 test loss 0.552716 best test_acc 0.9279
e 186 | malicious users: 5 | test acc 0.7773 test loss 0.668947 best test_acc 0.9279
