=> Saving data in Logs/FRL~try=565
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.9
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1736 test loss 2.229589 best test_acc 0.1736
e 1 | malicious users: 5 | test acc 0.5382 test loss 2.048626 best test_acc 0.5382
e 2 | malicious users: 2 | test acc 0.4538 test loss 1.861391 best test_acc 0.5382
e 3 | malicious users: 5 | test acc 0.4526 test loss 1.605319 best test_acc 0.5382
e 4 | malicious users: 7 | test acc 0.4569 test loss 1.573502 best test_acc 0.5382
e 5 | malicious users: 4 | test acc 0.6075 test loss 1.298425 best test_acc 0.6075
e 6 | malicious users: 4 | test acc 0.6657 test loss 1.120863 best test_acc 0.6657
e 7 | malicious users: 6 | test acc 0.7072 test loss 0.989134 best test_acc 0.7072
e 8 | malicious users: 3 | test acc 0.6778 test loss 1.042980 best test_acc 0.7072
e 9 | malicious users: 5 | test acc 0.7754 test loss 0.749252 best test_acc 0.7754
e 10 | malicious users: 8 | test acc 0.6469 test loss 1.065254 best test_acc 0.7754
e 11 | malicious users: 4 | test acc 0.6021 test loss 1.053049 best test_acc 0.7754
e 12 | malicious users: 3 | test acc 0.7894 test loss 0.738683 best test_acc 0.7894
e 13 | malicious users: 3 | test acc 0.7917 test loss 0.678705 best test_acc 0.7917
e 14 | malicious users: 6 | test acc 0.8057 test loss 0.692158 best test_acc 0.8057
e 15 | malicious users: 4 | test acc 0.6823 test loss 0.883249 best test_acc 0.8057
e 16 | malicious users: 6 | test acc 0.7759 test loss 0.725663 best test_acc 0.8057
e 17 | malicious users: 4 | test acc 0.7653 test loss 0.774563 best test_acc 0.8057
e 18 | malicious users: 3 | test acc 0.8827 test loss 0.639688 best test_acc 0.8827
e 19 | malicious users: 3 | test acc 0.8269 test loss 0.619688 best test_acc 0.8827
e 20 | malicious users: 10 | test acc 0.7500 test loss 0.711526 best test_acc 0.8827
e 21 | malicious users: 8 | test acc 0.8311 test loss 0.601707 best test_acc 0.8827
e 22 | malicious users: 5 | test acc 0.8553 test loss 0.525772 best test_acc 0.8827
e 23 | malicious users: 6 | test acc 0.7822 test loss 0.670087 best test_acc 0.8827
e 24 | malicious users: 6 | test acc 0.8360 test loss 0.665090 best test_acc 0.8827
e 25 | malicious users: 7 | test acc 0.8729 test loss 0.434594 best test_acc 0.8827
e 26 | malicious users: 7 | test acc 0.8164 test loss 0.756499 best test_acc 0.8827
e 27 | malicious users: 4 | test acc 0.8107 test loss 0.640343 best test_acc 0.8827
e 28 | malicious users: 5 | test acc 0.8627 test loss 0.545229 best test_acc 0.8827
e 29 | malicious users: 6 | test acc 0.8839 test loss 0.511347 best test_acc 0.8839
e 30 | malicious users: 8 | test acc 0.8965 test loss 0.551428 best test_acc 0.8965
e 31 | malicious users: 4 | test acc 0.9164 test loss 0.513569 best test_acc 0.9164
e 32 | malicious users: 5 | test acc 0.8136 test loss 0.583964 best test_acc 0.9164
e 33 | malicious users: 5 | test acc 0.8056 test loss 0.629279 best test_acc 0.9164
e 34 | malicious users: 4 | test acc 0.7935 test loss 0.703748 best test_acc 0.9164
e 35 | malicious users: 9 | test acc 0.7416 test loss 0.812221 best test_acc 0.9164
e 36 | malicious users: 5 | test acc 0.8427 test loss 0.556125 best test_acc 0.9164
e 37 | malicious users: 6 | test acc 0.8940 test loss 0.441376 best test_acc 0.9164
e 38 | malicious users: 9 | test acc 0.8241 test loss 0.572835 best test_acc 0.9164
e 39 | malicious users: 4 | test acc 0.8040 test loss 0.663036 best test_acc 0.9164
e 40 | malicious users: 6 | test acc 0.7824 test loss 0.686548 best test_acc 0.9164
e 41 | malicious users: 6 | test acc 0.9062 test loss 0.436862 best test_acc 0.9164
e 42 | malicious users: 5 | test acc 0.8938 test loss 0.566553 best test_acc 0.9164
e 43 | malicious users: 4 | test acc 0.9003 test loss 0.489841 best test_acc 0.9164
e 44 | malicious users: 7 | test acc 0.8201 test loss 0.589679 best test_acc 0.9164
e 45 | malicious users: 1 | test acc 0.7999 test loss 0.657771 best test_acc 0.9164
e 46 | malicious users: 4 | test acc 0.8799 test loss 0.538117 best test_acc 0.9164
