=> Saving data in Logs/FRL~try=566
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1354 test loss 2.294073 best test_acc 0.1354
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 1 | malicious users: 4 | test acc 0.1131 test loss 2.266262 best test_acc 0.1354
e 2 | malicious users: 4 | test acc 0.1616 test loss 2.217611 best test_acc 0.1616
e 3 | malicious users: 1 | test acc 0.3794 test loss 2.155384 best test_acc 0.3794
e 4 | malicious users: 2 | test acc 0.2653 test loss 2.203427 best test_acc 0.3794
e 5 | malicious users: 4 | test acc 0.3521 test loss 2.075884 best test_acc 0.3794
e 6 | malicious users: 2 | test acc 0.5849 test loss 1.901099 best test_acc 0.5849
e 7 | malicious users: 4 | test acc 0.3865 test loss 1.938763 best test_acc 0.5849
e 8 | malicious users: 4 | test acc 0.3451 test loss 1.806890 best test_acc 0.5849
e 9 | malicious users: 5 | test acc 0.6070 test loss 1.772556 best test_acc 0.6070
e 10 | malicious users: 12 | test acc 0.3119 test loss 2.093984 best test_acc 0.6070
e 11 | malicious users: 2 | test acc 0.5116 test loss 1.838922 best test_acc 0.6070
e 12 | malicious users: 6 | test acc 0.5495 test loss 1.514951 best test_acc 0.6070
e 13 | malicious users: 3 | test acc 0.6015 test loss 1.447147 best test_acc 0.6070
e 14 | malicious users: 8 | test acc 0.5170 test loss 1.374416 best test_acc 0.6070
e 15 | malicious users: 5 | test acc 0.5409 test loss 1.388958 best test_acc 0.6070
e 16 | malicious users: 4 | test acc 0.6812 test loss 1.342329 best test_acc 0.6812
e 17 | malicious users: 6 | test acc 0.5941 test loss 1.245420 best test_acc 0.6812
e 18 | malicious users: 5 | test acc 0.6399 test loss 1.284691 best test_acc 0.6812
e 19 | malicious users: 7 | test acc 0.5315 test loss 1.402644 best test_acc 0.6812
e 20 | malicious users: 5 | test acc 0.7175 test loss 1.191455 best test_acc 0.7175
e 21 | malicious users: 4 | test acc 0.6724 test loss 1.490842 best test_acc 0.7175
e 22 | malicious users: 7 | test acc 0.7576 test loss 1.324151 best test_acc 0.7576
e 23 | malicious users: 4 | test acc 0.8125 test loss 1.226673 best test_acc 0.8125
e 24 | malicious users: 7 | test acc 0.5576 test loss 1.180526 best test_acc 0.8125
e 25 | malicious users: 5 | test acc 0.7068 test loss 1.324819 best test_acc 0.8125
e 26 | malicious users: 6 | test acc 0.6898 test loss 1.123718 best test_acc 0.8125
e 27 | malicious users: 4 | test acc 0.6942 test loss 1.049168 best test_acc 0.8125
e 28 | malicious users: 5 | test acc 0.8038 test loss 1.173717 best test_acc 0.8125
e 29 | malicious users: 4 | test acc 0.7674 test loss 1.026587 best test_acc 0.8125
e 30 | malicious users: 4 | test acc 0.8671 test loss 0.959170 best test_acc 0.8671
e 31 | malicious users: 4 | test acc 0.7219 test loss 1.293398 best test_acc 0.8671
e 32 | malicious users: 5 | test acc 0.8583 test loss 1.091775 best test_acc 0.8671
e 33 | malicious users: 4 | test acc 0.8590 test loss 1.113651 best test_acc 0.8671
e 34 | malicious users: 6 | test acc 0.8351 test loss 1.115212 best test_acc 0.8671
e 35 | malicious users: 3 | test acc 0.8301 test loss 0.951525 best test_acc 0.8671
e 36 | malicious users: 3 | test acc 0.8887 test loss 0.954074 best test_acc 0.8887
e 37 | malicious users: 7 | test acc 0.7793 test loss 1.017607 best test_acc 0.8887
e 38 | malicious users: 6 | test acc 0.6404 test loss 1.226140 best test_acc 0.8887
e 39 | malicious users: 6 | test acc 0.7612 test loss 1.100966 best test_acc 0.8887
e 40 | malicious users: 6 | test acc 0.8485 test loss 1.020896 best test_acc 0.8887
e 41 | malicious users: 9 | test acc 0.5289 test loss 1.304096 best test_acc 0.8887
e 42 | malicious users: 4 | test acc 0.7608 test loss 1.285979 best test_acc 0.8887
e 43 | malicious users: 3 | test acc 0.8345 test loss 1.247478 best test_acc 0.8887
e 44 | malicious users: 3 | test acc 0.8496 test loss 1.035178 best test_acc 0.8887
e 45 | malicious users: 6 | test acc 0.8420 test loss 1.140743 best test_acc 0.8887
e 46 | malicious users: 7 | test acc 0.7772 test loss 1.026469 best test_acc 0.8887
e 47 | malicious users: 4 | test acc 0.7998 test loss 0.962274 best test_acc 0.8887
e 48 | malicious users: 3 | test acc 0.8506 test loss 0.928396 best test_acc 0.8887
e 49 | malicious users: 5 | test acc 0.8057 test loss 1.249512 best test_acc 0.8887
e 50 | malicious users: 7 | test acc 0.8115 test loss 0.974478 best test_acc 0.8887
e 51 | malicious users: 4 | test acc 0.7841 test loss 1.024537 best test_acc 0.8887
e 52 | malicious users: 7 | test acc 0.8323 test loss 0.936611 best test_acc 0.8887
e 53 | malicious users: 8 | test acc 0.6590 test loss 0.956439 best test_acc 0.8887
e 54 | malicious users: 3 | test acc 0.8098 test loss 1.045886 best test_acc 0.8887
e 55 | malicious users: 4 | test acc 0.6761 test loss 1.120285 best test_acc 0.8887
e 56 | malicious users: 7 | test acc 0.8031 test loss 1.000196 best test_acc 0.8887
e 57 | malicious users: 5 | test acc 0.6489 test loss 1.252942 best test_acc 0.8887
e 58 | malicious users: 4 | test acc 0.8741 test loss 1.039462 best test_acc 0.8887
e 59 | malicious users: 7 | test acc 0.6923 test loss 1.068445 best test_acc 0.8887
e 60 | malicious users: 4 | test acc 0.8232 test loss 1.103559 best test_acc 0.8887
e 61 | malicious users: 4 | test acc 0.7830 test loss 0.954094 best test_acc 0.8887
e 62 | malicious users: 2 | test acc 0.8961 test loss 0.807743 best test_acc 0.8961
e 63 | malicious users: 5 | test acc 0.7814 test loss 0.814221 best test_acc 0.8961
e 64 | malicious users: 5 | test acc 0.7414 test loss 1.000665 best test_acc 0.8961
e 65 | malicious users: 5 | test acc 0.8292 test loss 0.889094 best test_acc 0.8961
e 66 | malicious users: 4 | test acc 0.8182 test loss 1.006167 best test_acc 0.8961
e 67 | malicious users: 2 | test acc 0.8253 test loss 1.049052 best test_acc 0.8961
