=> Saving data in Logs/FRL~try=568
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 4 | test acc 0.0982 test loss 2.259501 best test_acc 0.0982
e 1 | malicious users: 4 | test acc 0.4224 test loss 2.158756 best test_acc 0.4224
e 2 | malicious users: 5 | test acc 0.4730 test loss 1.955036 best test_acc 0.4730
e 3 | malicious users: 8 | test acc 0.4467 test loss 1.906009 best test_acc 0.4730
e 4 | malicious users: 9 | test acc 0.5760 test loss 1.432206 best test_acc 0.5760
e 5 | malicious users: 4 | test acc 0.7008 test loss 1.304845 best test_acc 0.7008
e 6 | malicious users: 4 | test acc 0.5769 test loss 1.215930 best test_acc 0.7008
e 7 | malicious users: 6 | test acc 0.7269 test loss 1.078487 best test_acc 0.7269
e 8 | malicious users: 3 | test acc 0.6935 test loss 1.120477 best test_acc 0.7269
e 9 | malicious users: 7 | test acc 0.6879 test loss 1.097320 best test_acc 0.7269
e 10 | malicious users: 5 | test acc 0.7815 test loss 0.896699 best test_acc 0.7815
e 11 | malicious users: 1 | test acc 0.6646 test loss 1.056807 best test_acc 0.7815
e 12 | malicious users: 5 | test acc 0.7533 test loss 0.854243 best test_acc 0.7815
e 13 | malicious users: 4 | test acc 0.7692 test loss 0.798574 best test_acc 0.7815
e 14 | malicious users: 10 | test acc 0.6069 test loss 1.054373 best test_acc 0.7815
e 15 | malicious users: 6 | test acc 0.7637 test loss 1.046222 best test_acc 0.7815
e 16 | malicious users: 4 | test acc 0.7081 test loss 0.982584 best test_acc 0.7815
e 17 | malicious users: 6 | test acc 0.7374 test loss 0.825542 best test_acc 0.7815
e 18 | malicious users: 4 | test acc 0.8040 test loss 0.651699 best test_acc 0.8040
e 19 | malicious users: 4 | test acc 0.7729 test loss 0.715398 best test_acc 0.8040
e 20 | malicious users: 9 | test acc 0.6966 test loss 0.807421 best test_acc 0.8040
e 21 | malicious users: 4 | test acc 0.7590 test loss 0.719259 best test_acc 0.8040
e 22 | malicious users: 1 | test acc 0.8366 test loss 0.854667 best test_acc 0.8366
e 23 | malicious users: 7 | test acc 0.6832 test loss 0.938323 best test_acc 0.8366
e 24 | malicious users: 2 | test acc 0.8190 test loss 0.706161 best test_acc 0.8366
e 25 | malicious users: 8 | test acc 0.7197 test loss 0.970338 best test_acc 0.8366
e 26 | malicious users: 2 | test acc 0.7816 test loss 0.742973 best test_acc 0.8366
e 27 | malicious users: 2 | test acc 0.7826 test loss 0.606042 best test_acc 0.8366
e 28 | malicious users: 3 | test acc 0.7171 test loss 0.862656 best test_acc 0.8366
e 29 | malicious users: 5 | test acc 0.8445 test loss 0.883166 best test_acc 0.8445
e 30 | malicious users: 2 | test acc 0.8163 test loss 0.705507 best test_acc 0.8445
e 31 | malicious users: 4 | test acc 0.8212 test loss 0.652787 best test_acc 0.8445
e 32 | malicious users: 9 | test acc 0.7428 test loss 0.760511 best test_acc 0.8445
e 33 | malicious users: 6 | test acc 0.7138 test loss 0.790558 best test_acc 0.8445
