=> Saving data in Logs/FRL~try=572
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.3
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 4 | test acc 0.2011 test loss 2.246131 best test_acc 0.2011
e 1 | malicious users: 6 | test acc 0.3548 test loss 2.112278 best test_acc 0.3548
e 2 | malicious users: 3 | test acc 0.4246 test loss 2.021802 best test_acc 0.4246
e 3 | malicious users: 9 | test acc 0.3820 test loss 1.794603 best test_acc 0.4246
e 4 | malicious users: 1 | test acc 0.6135 test loss 1.596152 best test_acc 0.6135
e 5 | malicious users: 6 | test acc 0.5683 test loss 1.609450 best test_acc 0.6135
e 6 | malicious users: 5 | test acc 0.5882 test loss 1.569213 best test_acc 0.6135
e 7 | malicious users: 5 | test acc 0.6396 test loss 1.342586 best test_acc 0.6396
e 8 | malicious users: 5 | test acc 0.5788 test loss 1.238392 best test_acc 0.6396
e 9 | malicious users: 6 | test acc 0.6618 test loss 1.121293 best test_acc 0.6618
e 10 | malicious users: 3 | test acc 0.7169 test loss 1.057320 best test_acc 0.7169
e 11 | malicious users: 9 | test acc 0.5463 test loss 1.252300 best test_acc 0.7169
e 12 | malicious users: 6 | test acc 0.5895 test loss 1.270607 best test_acc 0.7169
e 13 | malicious users: 3 | test acc 0.7396 test loss 0.964291 best test_acc 0.7396
e 14 | malicious users: 6 | test acc 0.6958 test loss 1.155735 best test_acc 0.7396
e 15 | malicious users: 6 | test acc 0.6388 test loss 1.096535 best test_acc 0.7396
e 16 | malicious users: 3 | test acc 0.7289 test loss 0.991911 best test_acc 0.7396
e 17 | malicious users: 0 | test acc 0.7222 test loss 1.114939 best test_acc 0.7396
e 18 | malicious users: 2 | test acc 0.8127 test loss 0.898497 best test_acc 0.8127
e 19 | malicious users: 7 | test acc 0.7637 test loss 1.110111 best test_acc 0.8127
e 20 | malicious users: 6 | test acc 0.7751 test loss 1.127825 best test_acc 0.8127
e 21 | malicious users: 6 | test acc 0.6689 test loss 1.181759 best test_acc 0.8127
e 22 | malicious users: 4 | test acc 0.7500 test loss 0.779293 best test_acc 0.8127
e 23 | malicious users: 8 | test acc 0.7326 test loss 0.982374 best test_acc 0.8127
e 24 | malicious users: 1 | test acc 0.6968 test loss 0.956714 best test_acc 0.8127
e 25 | malicious users: 5 | test acc 0.7688 test loss 0.905108 best test_acc 0.8127
e 26 | malicious users: 7 | test acc 0.6777 test loss 1.006033 best test_acc 0.8127
e 27 | malicious users: 6 | test acc 0.6726 test loss 1.012125 best test_acc 0.8127
e 28 | malicious users: 5 | test acc 0.7597 test loss 0.966432 best test_acc 0.8127
e 29 | malicious users: 5 | test acc 0.6508 test loss 1.030822 best test_acc 0.8127
e 30 | malicious users: 4 | test acc 0.7685 test loss 0.987798 best test_acc 0.8127
e 31 | malicious users: 3 | test acc 0.7209 test loss 0.912067 best test_acc 0.8127
e 32 | malicious users: 5 | test acc 0.8526 test loss 0.735631 best test_acc 0.8526
e 33 | malicious users: 9 | test acc 0.5743 test loss 1.278005 best test_acc 0.8526
e 34 | malicious users: 4 | test acc 0.6288 test loss 1.227485 best test_acc 0.8526
e 35 | malicious users: 4 | test acc 0.7646 test loss 0.956578 best test_acc 0.8526
e 36 | malicious users: 3 | test acc 0.6899 test loss 0.952696 best test_acc 0.8526
e 37 | malicious users: 6 | test acc 0.8782 test loss 0.870517 best test_acc 0.8782
e 38 | malicious users: 8 | test acc 0.5917 test loss 1.168945 best test_acc 0.8782
