=> Saving data in Logs/FRL~try=573
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 2 | test acc 0.1695 test loss 2.248307 best test_acc 0.1695
e 1 | malicious users: 5 | test acc 0.2418 test loss 2.093871 best test_acc 0.2418
e 2 | malicious users: 1 | test acc 0.4849 test loss 2.096234 best test_acc 0.4849
e 3 | malicious users: 7 | test acc 0.3375 test loss 1.921328 best test_acc 0.4849
e 4 | malicious users: 7 | test acc 0.5312 test loss 1.461919 best test_acc 0.5312
e 5 | malicious users: 7 | test acc 0.6103 test loss 1.290733 best test_acc 0.6103
e 6 | malicious users: 7 | test acc 0.4821 test loss 1.328679 best test_acc 0.6103
e 7 | malicious users: 5 | test acc 0.5229 test loss 1.302871 best test_acc 0.6103
e 8 | malicious users: 5 | test acc 0.6698 test loss 1.188756 best test_acc 0.6698
e 9 | malicious users: 6 | test acc 0.6173 test loss 1.086327 best test_acc 0.6698
e 10 | malicious users: 6 | test acc 0.6432 test loss 1.082515 best test_acc 0.6698
e 11 | malicious users: 6 | test acc 0.7061 test loss 1.103410 best test_acc 0.7061
e 12 | malicious users: 7 | test acc 0.6183 test loss 1.112180 best test_acc 0.7061
e 13 | malicious users: 6 | test acc 0.5674 test loss 1.169358 best test_acc 0.7061
e 14 | malicious users: 4 | test acc 0.6531 test loss 1.071523 best test_acc 0.7061
e 15 | malicious users: 3 | test acc 0.7373 test loss 0.844912 best test_acc 0.7373
e 16 | malicious users: 4 | test acc 0.7732 test loss 0.825591 best test_acc 0.7732
e 17 | malicious users: 6 | test acc 0.6624 test loss 1.138548 best test_acc 0.7732
e 18 | malicious users: 3 | test acc 0.8368 test loss 0.681086 best test_acc 0.8368
e 19 | malicious users: 5 | test acc 0.7373 test loss 0.872875 best test_acc 0.8368
e 20 | malicious users: 7 | test acc 0.7929 test loss 0.681275 best test_acc 0.8368
e 21 | malicious users: 2 | test acc 0.8377 test loss 0.895452 best test_acc 0.8377
e 22 | malicious users: 5 | test acc 0.8223 test loss 0.655444 best test_acc 0.8377
e 23 | malicious users: 3 | test acc 0.6382 test loss 1.021858 best test_acc 0.8377
e 24 | malicious users: 9 | test acc 0.6783 test loss 0.928675 best test_acc 0.8377
e 25 | malicious users: 8 | test acc 0.6637 test loss 0.914925 best test_acc 0.8377
e 26 | malicious users: 3 | test acc 0.7391 test loss 0.792948 best test_acc 0.8377
e 27 | malicious users: 5 | test acc 0.7332 test loss 0.849400 best test_acc 0.8377
e 28 | malicious users: 4 | test acc 0.7103 test loss 0.865964 best test_acc 0.8377
e 29 | malicious users: 8 | test acc 0.5904 test loss 0.979252 best test_acc 0.8377
e 30 | malicious users: 4 | test acc 0.8073 test loss 0.689205 best test_acc 0.8377
e 31 | malicious users: 3 | test acc 0.8098 test loss 0.720171 best test_acc 0.8377
e 32 | malicious users: 7 | test acc 0.7198 test loss 0.852479 best test_acc 0.8377
e 33 | malicious users: 6 | test acc 0.7539 test loss 0.827643 best test_acc 0.8377
e 34 | malicious users: 6 | test acc 0.7480 test loss 0.790637 best test_acc 0.8377
e 35 | malicious users: 5 | test acc 0.7019 test loss 0.751750 best test_acc 0.8377
e 36 | malicious users: 4 | test acc 0.7507 test loss 0.809253 best test_acc 0.8377
e 37 | malicious users: 6 | test acc 0.8110 test loss 0.819601 best test_acc 0.8377
e 38 | malicious users: 3 | test acc 0.8434 test loss 0.582038 best test_acc 0.8434
e 39 | malicious users: 5 | test acc 0.7767 test loss 0.638961 best test_acc 0.8434
e 40 | malicious users: 8 | test acc 0.7535 test loss 0.632990 best test_acc 0.8434
e 41 | malicious users: 5 | test acc 0.7838 test loss 0.884729 best test_acc 0.8434
e 42 | malicious users: 6 | test acc 0.8592 test loss 0.558991 best test_acc 0.8592
e 43 | malicious users: 10 | test acc 0.7640 test loss 0.803206 best test_acc 0.8592
e 44 | malicious users: 7 | test acc 0.7095 test loss 0.874836 best test_acc 0.8592
e 45 | malicious users: 3 | test acc 0.7975 test loss 0.894397 best test_acc 0.8592
e 46 | malicious users: 5 | test acc 0.7360 test loss 0.742982 best test_acc 0.8592
e 47 | malicious users: 4 | test acc 0.7388 test loss 0.871623 best test_acc 0.8592
e 48 | malicious users: 4 | test acc 0.7210 test loss 0.834540 best test_acc 0.8592
e 49 | malicious users: 5 | test acc 0.8505 test loss 0.880953 best test_acc 0.8592
e 50 | malicious users: 6 | test acc 0.8431 test loss 0.520993 best test_acc 0.8592
e 51 | malicious users: 5 | test acc 0.7381 test loss 0.817479 best test_acc 0.8592
e 52 | malicious users: 3 | test acc 0.7969 test loss 0.870019 best test_acc 0.8592
e 53 | malicious users: 4 | test acc 0.7999 test loss 0.760898 best test_acc 0.8592
e 54 | malicious users: 4 | test acc 0.8513 test loss 0.608083 best test_acc 0.8592
e 55 | malicious users: 9 | test acc 0.8099 test loss 0.637673 best test_acc 0.8592
e 56 | malicious users: 7 | test acc 0.8241 test loss 0.703605 best test_acc 0.8592
e 57 | malicious users: 7 | test acc 0.6594 test loss 0.973371 best test_acc 0.8592
e 58 | malicious users: 4 | test acc 0.8051 test loss 0.837079 best test_acc 0.8592
e 59 | malicious users: 6 | test acc 0.7676 test loss 0.650300 best test_acc 0.8592
e 60 | malicious users: 9 | test acc 0.7429 test loss 0.853793 best test_acc 0.8592
e 61 | malicious users: 7 | test acc 0.7685 test loss 0.918973 best test_acc 0.8592
e 62 | malicious users: 5 | test acc 0.8151 test loss 0.612658 best test_acc 0.8592
e 63 | malicious users: 4 | test acc 0.8398 test loss 0.728974 best test_acc 0.8592
e 64 | malicious users: 2 | test acc 0.8481 test loss 0.650328 best test_acc 0.8592
e 65 | malicious users: 1 | test acc 0.7891 test loss 0.643466 best test_acc 0.8592
e 66 | malicious users: 7 | test acc 0.7214 test loss 0.819551 best test_acc 0.8592
e 67 | malicious users: 5 | test acc 0.8276 test loss 0.587515 best test_acc 0.8592
e 68 | malicious users: 2 | test acc 0.8585 test loss 0.753063 best test_acc 0.8592
e 69 | malicious users: 5 | test acc 0.8133 test loss 0.740562 best test_acc 0.8592
e 70 | malicious users: 7 | test acc 0.7633 test loss 0.716285 best test_acc 0.8592
e 71 | malicious users: 7 | test acc 0.7859 test loss 0.791475 best test_acc 0.8592
e 72 | malicious users: 2 | test acc 0.7697 test loss 0.780425 best test_acc 0.8592
e 73 | malicious users: 4 | test acc 0.9106 test loss 0.457406 best test_acc 0.9106
e 74 | malicious users: 4 | test acc 0.8595 test loss 0.683945 best test_acc 0.9106
e 75 | malicious users: 2 | test acc 0.8081 test loss 0.723858 best test_acc 0.9106
e 76 | malicious users: 3 | test acc 0.8071 test loss 0.584533 best test_acc 0.9106
e 77 | malicious users: 6 | test acc 0.8630 test loss 0.558743 best test_acc 0.9106
e 78 | malicious users: 4 | test acc 0.7857 test loss 0.719073 best test_acc 0.9106
e 79 | malicious users: 4 | test acc 0.8131 test loss 0.727210 best test_acc 0.9106
e 80 | malicious users: 4 | test acc 0.8852 test loss 0.632673 best test_acc 0.9106
e 81 | malicious users: 4 | test acc 0.8461 test loss 0.592654 best test_acc 0.9106
e 82 | malicious users: 7 | test acc 0.7862 test loss 0.791326 best test_acc 0.9106
e 83 | malicious users: 5 | test acc 0.7373 test loss 0.702063 best test_acc 0.9106
e 84 | malicious users: 4 | test acc 0.8184 test loss 0.682819 best test_acc 0.9106
e 85 | malicious users: 4 | test acc 0.7524 test loss 0.653891 best test_acc 0.9106
e 86 | malicious users: 5 | test acc 0.8439 test loss 0.758855 best test_acc 0.9106
e 87 | malicious users: 10 | test acc 0.7957 test loss 0.662003 best test_acc 0.9106
e 88 | malicious users: 4 | test acc 0.8320 test loss 0.639225 best test_acc 0.9106
e 89 | malicious users: 2 | test acc 0.8533 test loss 0.634561 best test_acc 0.9106
e 90 | malicious users: 3 | test acc 0.8123 test loss 0.553563 best test_acc 0.9106
e 91 | malicious users: 3 | test acc 0.7160 test loss 0.836307 best test_acc 0.9106
e 92 | malicious users: 5 | test acc 0.8263 test loss 0.577331 best test_acc 0.9106
