=> Saving data in Logs/FRL~try=574
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.7
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 3 | test acc 0.1340 test loss 2.269867 best test_acc 0.1340
e 1 | malicious users: 2 | test acc 0.3756 test loss 2.063908 best test_acc 0.3756
e 2 | malicious users: 6 | test acc 0.4743 test loss 1.797372 best test_acc 0.4743
e 3 | malicious users: 8 | test acc 0.5455 test loss 1.354597 best test_acc 0.5455
e 4 | malicious users: 5 | test acc 0.5331 test loss 1.419199 best test_acc 0.5455
e 5 | malicious users: 4 | test acc 0.5563 test loss 1.538978 best test_acc 0.5563
e 6 | malicious users: 3 | test acc 0.6640 test loss 1.123274 best test_acc 0.6640
e 7 | malicious users: 10 | test acc 0.6209 test loss 1.256123 best test_acc 0.6640
e 8 | malicious users: 7 | test acc 0.6843 test loss 0.966518 best test_acc 0.6843
e 9 | malicious users: 4 | test acc 0.7808 test loss 0.893079 best test_acc 0.7808
e 10 | malicious users: 6 | test acc 0.7054 test loss 0.886053 best test_acc 0.7808
e 11 | malicious users: 6 | test acc 0.8441 test loss 0.630898 best test_acc 0.8441
e 12 | malicious users: 6 | test acc 0.8085 test loss 0.797964 best test_acc 0.8441
e 13 | malicious users: 5 | test acc 0.7046 test loss 0.874165 best test_acc 0.8441
e 14 | malicious users: 6 | test acc 0.6895 test loss 0.903544 best test_acc 0.8441
e 15 | malicious users: 7 | test acc 0.7358 test loss 0.819057 best test_acc 0.8441
e 16 | malicious users: 6 | test acc 0.7417 test loss 0.754468 best test_acc 0.8441
e 17 | malicious users: 6 | test acc 0.8325 test loss 0.672153 best test_acc 0.8441
e 18 | malicious users: 1 | test acc 0.7743 test loss 0.714426 best test_acc 0.8441
e 19 | malicious users: 5 | test acc 0.8763 test loss 0.466558 best test_acc 0.8763
e 20 | malicious users: 2 | test acc 0.6652 test loss 0.918035 best test_acc 0.8763
e 21 | malicious users: 9 | test acc 0.7686 test loss 0.641463 best test_acc 0.8763
e 22 | malicious users: 8 | test acc 0.7484 test loss 0.846738 best test_acc 0.8763
e 23 | malicious users: 8 | test acc 0.6579 test loss 0.933829 best test_acc 0.8763
e 24 | malicious users: 2 | test acc 0.7236 test loss 0.766104 best test_acc 0.8763
e 25 | malicious users: 7 | test acc 0.8560 test loss 0.626909 best test_acc 0.8763
e 26 | malicious users: 6 | test acc 0.8246 test loss 0.605349 best test_acc 0.8763
e 27 | malicious users: 4 | test acc 0.8296 test loss 0.564923 best test_acc 0.8763
e 28 | malicious users: 5 | test acc 0.8208 test loss 0.635053 best test_acc 0.8763
e 29 | malicious users: 7 | test acc 0.8777 test loss 0.529189 best test_acc 0.8777
e 30 | malicious users: 4 | test acc 0.8928 test loss 0.468020 best test_acc 0.8928
e 31 | malicious users: 3 | test acc 0.8078 test loss 0.739577 best test_acc 0.8928
e 32 | malicious users: 4 | test acc 0.8668 test loss 0.530437 best test_acc 0.8928
e 33 | malicious users: 4 | test acc 0.7767 test loss 0.694206 best test_acc 0.8928
e 34 | malicious users: 3 | test acc 0.7409 test loss 0.774024 best test_acc 0.8928
e 35 | malicious users: 8 | test acc 0.8319 test loss 0.589565 best test_acc 0.8928
e 36 | malicious users: 4 | test acc 0.8788 test loss 0.427912 best test_acc 0.8928
e 37 | malicious users: 3 | test acc 0.8434 test loss 0.614540 best test_acc 0.8928
e 38 | malicious users: 6 | test acc 0.8067 test loss 0.629198 best test_acc 0.8928
e 39 | malicious users: 7 | test acc 0.6705 test loss 0.907584 best test_acc 0.8928
e 40 | malicious users: 10 | test acc 0.7764 test loss 0.707457 best test_acc 0.8928
e 41 | malicious users: 8 | test acc 0.8242 test loss 0.602901 best test_acc 0.8928
e 42 | malicious users: 4 | test acc 0.8874 test loss 0.556821 best test_acc 0.8928
e 43 | malicious users: 2 | test acc 0.9147 test loss 0.337044 best test_acc 0.9147
e 44 | malicious users: 6 | test acc 0.7987 test loss 0.566578 best test_acc 0.9147
e 45 | malicious users: 2 | test acc 0.8397 test loss 0.667012 best test_acc 0.9147
e 46 | malicious users: 4 | test acc 0.8545 test loss 0.529577 best test_acc 0.9147
e 47 | malicious users: 4 | test acc 0.8670 test loss 0.514368 best test_acc 0.9147
e 48 | malicious users: 2 | test acc 0.8180 test loss 0.507030 best test_acc 0.9147
e 49 | malicious users: 5 | test acc 0.8711 test loss 0.570649 best test_acc 0.9147
e 50 | malicious users: 2 | test acc 0.8065 test loss 0.529684 best test_acc 0.9147
e 51 | malicious users: 4 | test acc 0.7508 test loss 0.699082 best test_acc 0.9147
e 52 | malicious users: 7 | test acc 0.8378 test loss 0.481762 best test_acc 0.9147
e 53 | malicious users: 5 | test acc 0.8142 test loss 0.691503 best test_acc 0.9147
e 54 | malicious users: 3 | test acc 0.9057 test loss 0.475927 best test_acc 0.9147
e 55 | malicious users: 5 | test acc 0.8216 test loss 0.617944 best test_acc 0.9147
e 56 | malicious users: 5 | test acc 0.9139 test loss 0.388026 best test_acc 0.9147
e 57 | malicious users: 2 | test acc 0.8340 test loss 0.663315 best test_acc 0.9147
e 58 | malicious users: 7 | test acc 0.7115 test loss 0.945518 best test_acc 0.9147
e 59 | malicious users: 5 | test acc 0.8612 test loss 0.720686 best test_acc 0.9147
e 60 | malicious users: 4 | test acc 0.8200 test loss 0.589287 best test_acc 0.9147
e 61 | malicious users: 5 | test acc 0.8799 test loss 0.590414 best test_acc 0.9147
e 62 | malicious users: 3 | test acc 0.7370 test loss 0.717348 best test_acc 0.9147
e 63 | malicious users: 1 | test acc 0.8432 test loss 0.585639 best test_acc 0.9147
e 64 | malicious users: 5 | test acc 0.8305 test loss 0.484785 best test_acc 0.9147
e 65 | malicious users: 3 | test acc 0.7897 test loss 0.640359 best test_acc 0.9147
e 66 | malicious users: 7 | test acc 0.8331 test loss 0.531820 best test_acc 0.9147
e 67 | malicious users: 8 | test acc 0.8874 test loss 0.609348 best test_acc 0.9147
e 68 | malicious users: 7 | test acc 0.8269 test loss 0.539280 best test_acc 0.9147
e 69 | malicious users: 3 | test acc 0.8704 test loss 0.646793 best test_acc 0.9147
e 70 | malicious users: 1 | test acc 0.7980 test loss 0.670271 best test_acc 0.9147
e 71 | malicious users: 3 | test acc 0.8963 test loss 0.396486 best test_acc 0.9147
e 72 | malicious users: 4 | test acc 0.9044 test loss 0.424240 best test_acc 0.9147
e 73 | malicious users: 2 | test acc 0.8606 test loss 0.539606 best test_acc 0.9147
e 74 | malicious users: 5 | test acc 0.8317 test loss 0.636905 best test_acc 0.9147
e 75 | malicious users: 5 | test acc 0.8128 test loss 0.666757 best test_acc 0.9147
e 76 | malicious users: 5 | test acc 0.8073 test loss 0.699166 best test_acc 0.9147
e 77 | malicious users: 3 | test acc 0.8156 test loss 0.585723 best test_acc 0.9147
e 78 | malicious users: 1 | test acc 0.8890 test loss 0.450292 best test_acc 0.9147
e 79 | malicious users: 8 | test acc 0.8751 test loss 0.538159 best test_acc 0.9147
e 80 | malicious users: 6 | test acc 0.8766 test loss 0.555055 best test_acc 0.9147
e 81 | malicious users: 7 | test acc 0.7998 test loss 0.700128 best test_acc 0.9147
e 82 | malicious users: 2 | test acc 0.8238 test loss 0.574029 best test_acc 0.9147
e 83 | malicious users: 5 | test acc 0.8585 test loss 0.668044 best test_acc 0.9147
e 84 | malicious users: 3 | test acc 0.8204 test loss 0.616762 best test_acc 0.9147
e 85 | malicious users: 6 | test acc 0.8395 test loss 0.438787 best test_acc 0.9147
e 86 | malicious users: 2 | test acc 0.8001 test loss 0.640127 best test_acc 0.9147
e 87 | malicious users: 3 | test acc 0.8329 test loss 0.524898 best test_acc 0.9147
e 88 | malicious users: 9 | test acc 0.8342 test loss 0.539770 best test_acc 0.9147
e 89 | malicious users: 5 | test acc 0.8390 test loss 0.617983 best test_acc 0.9147
e 90 | malicious users: 4 | test acc 0.8061 test loss 0.656712 best test_acc 0.9147
e 91 | malicious users: 2 | test acc 0.9146 test loss 0.460086 best test_acc 0.9147
e 92 | malicious users: 7 | test acc 0.8785 test loss 0.508150 best test_acc 0.9147
e 93 | malicious users: 2 | test acc 0.7942 test loss 0.773798 best test_acc 0.9147
e 94 | malicious users: 3 | test acc 0.8823 test loss 0.439169 best test_acc 0.9147
e 95 | malicious users: 4 | test acc 0.8508 test loss 0.602473 best test_acc 0.9147
e 96 | malicious users: 8 | test acc 0.7830 test loss 0.612278 best test_acc 0.9147
e 97 | malicious users: 3 | test acc 0.8506 test loss 0.577576 best test_acc 0.9147
e 98 | malicious users: 5 | test acc 0.9209 test loss 0.390410 best test_acc 0.9209
e 99 | malicious users: 6 | test acc 0.8071 test loss 0.708383 best test_acc 0.9209
e 100 | malicious users: 4 | test acc 0.8743 test loss 0.608633 best test_acc 0.9209
e 101 | malicious users: 8 | test acc 0.7505 test loss 0.703808 best test_acc 0.9209
e 102 | malicious users: 5 | test acc 0.8043 test loss 0.738225 best test_acc 0.9209
e 103 | malicious users: 6 | test acc 0.7885 test loss 0.641758 best test_acc 0.9209
e 104 | malicious users: 8 | test acc 0.8614 test loss 0.585501 best test_acc 0.9209
e 105 | malicious users: 8 | test acc 0.7584 test loss 0.698086 best test_acc 0.9209
e 106 | malicious users: 4 | test acc 0.7162 test loss 0.743966 best test_acc 0.9209
e 107 | malicious users: 7 | test acc 0.7104 test loss 0.869182 best test_acc 0.9209
e 108 | malicious users: 10 | test acc 0.7744 test loss 0.703495 best test_acc 0.9209
e 109 | malicious users: 9 | test acc 0.7904 test loss 0.836979 best test_acc 0.9209
e 110 | malicious users: 4 | test acc 0.8732 test loss 0.488530 best test_acc 0.9209
e 111 | malicious users: 3 | test acc 0.7994 test loss 0.761919 best test_acc 0.9209
e 112 | malicious users: 3 | test acc 0.8510 test loss 0.674079 best test_acc 0.9209
e 113 | malicious users: 4 | test acc 0.7478 test loss 0.753280 best test_acc 0.9209
e 114 | malicious users: 7 | test acc 0.8315 test loss 0.627615 best test_acc 0.9209
e 115 | malicious users: 6 | test acc 0.8003 test loss 0.784329 best test_acc 0.9209
e 116 | malicious users: 5 | test acc 0.7811 test loss 0.896207 best test_acc 0.9209
e 117 | malicious users: 8 | test acc 0.8954 test loss 0.464871 best test_acc 0.9209
e 118 | malicious users: 5 | test acc 0.7562 test loss 0.714450 best test_acc 0.9209
e 119 | malicious users: 0 | test acc 0.8332 test loss 0.517642 best test_acc 0.9209
e 120 | malicious users: 3 | test acc 0.8253 test loss 0.659375 best test_acc 0.9209
e 121 | malicious users: 3 | test acc 0.8475 test loss 0.554842 best test_acc 0.9209
e 122 | malicious users: 4 | test acc 0.7494 test loss 0.739191 best test_acc 0.9209
e 123 | malicious users: 2 | test acc 0.8198 test loss 0.776486 best test_acc 0.9209
e 124 | malicious users: 6 | test acc 0.8382 test loss 0.458094 best test_acc 0.9209
e 125 | malicious users: 6 | test acc 0.8153 test loss 0.699262 best test_acc 0.9209
e 126 | malicious users: 5 | test acc 0.8969 test loss 0.530318 best test_acc 0.9209
e 127 | malicious users: 6 | test acc 0.8134 test loss 0.774162 best test_acc 0.9209
e 128 | malicious users: 3 | test acc 0.8641 test loss 0.500386 best test_acc 0.9209
e 129 | malicious users: 5 | test acc 0.7597 test loss 0.696642 best test_acc 0.9209
e 130 | malicious users: 5 | test acc 0.8021 test loss 0.612689 best test_acc 0.9209
e 131 | malicious users: 6 | test acc 0.8059 test loss 0.798790 best test_acc 0.9209
e 132 | malicious users: 2 | test acc 0.7847 test loss 0.680848 best test_acc 0.9209
e 133 | malicious users: 5 | test acc 0.8960 test loss 0.574938 best test_acc 0.9209
e 134 | malicious users: 4 | test acc 0.8435 test loss 0.541167 best test_acc 0.9209
