=> Saving data in Logs/FRL~try=575
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.9
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 4 | test acc 0.1790 test loss 2.249071 best test_acc 0.1790
e 1 | malicious users: 7 | test acc 0.3001 test loss 2.208113 best test_acc 0.3001
e 2 | malicious users: 6 | test acc 0.4218 test loss 2.002897 best test_acc 0.4218
e 3 | malicious users: 4 | test acc 0.4407 test loss 1.861529 best test_acc 0.4407
e 4 | malicious users: 7 | test acc 0.5659 test loss 1.370048 best test_acc 0.5659
e 5 | malicious users: 4 | test acc 0.5972 test loss 1.376813 best test_acc 0.5972
e 6 | malicious users: 6 | test acc 0.6640 test loss 1.259661 best test_acc 0.6640
e 7 | malicious users: 3 | test acc 0.7262 test loss 1.006472 best test_acc 0.7262
e 8 | malicious users: 3 | test acc 0.7174 test loss 1.122081 best test_acc 0.7262
e 9 | malicious users: 6 | test acc 0.7060 test loss 0.966637 best test_acc 0.7262
e 10 | malicious users: 7 | test acc 0.7587 test loss 0.923267 best test_acc 0.7587
e 11 | malicious users: 9 | test acc 0.8084 test loss 0.740552 best test_acc 0.8084
e 12 | malicious users: 4 | test acc 0.7528 test loss 0.756512 best test_acc 0.8084
e 13 | malicious users: 8 | test acc 0.7811 test loss 0.712918 best test_acc 0.8084
e 14 | malicious users: 3 | test acc 0.7374 test loss 0.842998 best test_acc 0.8084
e 15 | malicious users: 4 | test acc 0.7832 test loss 0.754248 best test_acc 0.8084
e 16 | malicious users: 6 | test acc 0.6919 test loss 0.959267 best test_acc 0.8084
e 17 | malicious users: 4 | test acc 0.8018 test loss 0.712403 best test_acc 0.8084
e 18 | malicious users: 8 | test acc 0.8455 test loss 0.518897 best test_acc 0.8455
e 19 | malicious users: 7 | test acc 0.7470 test loss 0.725991 best test_acc 0.8455
e 20 | malicious users: 5 | test acc 0.8083 test loss 0.640906 best test_acc 0.8455
e 21 | malicious users: 6 | test acc 0.8914 test loss 0.507585 best test_acc 0.8914
e 22 | malicious users: 5 | test acc 0.8487 test loss 0.653240 best test_acc 0.8914
e 23 | malicious users: 6 | test acc 0.8062 test loss 0.590737 best test_acc 0.8914
e 24 | malicious users: 4 | test acc 0.7875 test loss 0.957146 best test_acc 0.8914
e 25 | malicious users: 3 | test acc 0.8667 test loss 0.496365 best test_acc 0.8914
e 26 | malicious users: 8 | test acc 0.7849 test loss 0.671044 best test_acc 0.8914
e 27 | malicious users: 4 | test acc 0.7601 test loss 0.630024 best test_acc 0.8914
e 28 | malicious users: 3 | test acc 0.7841 test loss 0.606519 best test_acc 0.8914
e 29 | malicious users: 5 | test acc 0.8260 test loss 0.594155 best test_acc 0.8914
e 30 | malicious users: 4 | test acc 0.8640 test loss 0.615136 best test_acc 0.8914
e 31 | malicious users: 5 | test acc 0.8373 test loss 0.469089 best test_acc 0.8914
e 32 | malicious users: 9 | test acc 0.8081 test loss 0.672447 best test_acc 0.8914
e 33 | malicious users: 5 | test acc 0.8195 test loss 0.588073 best test_acc 0.8914
e 34 | malicious users: 3 | test acc 0.8337 test loss 0.633849 best test_acc 0.8914
e 35 | malicious users: 5 | test acc 0.8409 test loss 0.564269 best test_acc 0.8914
e 36 | malicious users: 6 | test acc 0.8488 test loss 0.522318 best test_acc 0.8914
e 37 | malicious users: 6 | test acc 0.8861 test loss 0.439495 best test_acc 0.8914
e 38 | malicious users: 6 | test acc 0.9012 test loss 0.457926 best test_acc 0.9012
e 39 | malicious users: 4 | test acc 0.8264 test loss 0.547534 best test_acc 0.9012
e 40 | malicious users: 6 | test acc 0.8877 test loss 0.411834 best test_acc 0.9012
e 41 | malicious users: 5 | test acc 0.8434 test loss 0.589496 best test_acc 0.9012
e 42 | malicious users: 9 | test acc 0.8978 test loss 0.453450 best test_acc 0.9012
e 43 | malicious users: 6 | test acc 0.9090 test loss 0.453498 best test_acc 0.9090
e 44 | malicious users: 7 | test acc 0.8323 test loss 0.575264 best test_acc 0.9090
e 45 | malicious users: 5 | test acc 0.9162 test loss 0.471150 best test_acc 0.9162
e 46 | malicious users: 6 | test acc 0.8485 test loss 0.470584 best test_acc 0.9162
e 47 | malicious users: 9 | test acc 0.8708 test loss 0.483685 best test_acc 0.9162
e 48 | malicious users: 4 | test acc 0.8734 test loss 0.604023 best test_acc 0.9162
e 49 | malicious users: 1 | test acc 0.8493 test loss 0.505885 best test_acc 0.9162
e 50 | malicious users: 3 | test acc 0.8198 test loss 0.573334 best test_acc 0.9162
e 51 | malicious users: 4 | test acc 0.9131 test loss 0.397157 best test_acc 0.9162
e 52 | malicious users: 4 | test acc 0.9036 test loss 0.429774 best test_acc 0.9162
e 53 | malicious users: 3 | test acc 0.8046 test loss 0.717983 best test_acc 0.9162
e 54 | malicious users: 3 | test acc 0.9292 test loss 0.359637 best test_acc 0.9292
e 55 | malicious users: 6 | test acc 0.8112 test loss 0.539876 best test_acc 0.9292
e 56 | malicious users: 9 | test acc 0.7486 test loss 0.789910 best test_acc 0.9292
