=> Saving data in Logs/FRL~try=576
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 4 | test acc 0.1020 test loss 2.380082 best test_acc 0.1020
e 1 | malicious users: 3 | test acc 0.1881 test loss 2.265074 best test_acc 0.1881
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 2 | malicious users: 2 | test acc 0.2558 test loss 2.213787 best test_acc 0.2558
e 3 | malicious users: 2 | test acc 0.2538 test loss 2.191473 best test_acc 0.2558
e 4 | malicious users: 2 | test acc 0.3660 test loss 2.249478 best test_acc 0.3660
e 5 | malicious users: 6 | test acc 0.2943 test loss 2.173452 best test_acc 0.3660
e 6 | malicious users: 6 | test acc 0.4066 test loss 1.910582 best test_acc 0.4066
e 7 | malicious users: 10 | test acc 0.2263 test loss 2.008667 best test_acc 0.4066
e 8 | malicious users: 7 | test acc 0.5800 test loss 1.768661 best test_acc 0.5800
e 9 | malicious users: 3 | test acc 0.5943 test loss 1.592786 best test_acc 0.5943
e 10 | malicious users: 5 | test acc 0.6221 test loss 1.583251 best test_acc 0.6221
e 11 | malicious users: 7 | test acc 0.5778 test loss 1.437874 best test_acc 0.6221
e 12 | malicious users: 5 | test acc 0.5094 test loss 1.386128 best test_acc 0.6221
e 13 | malicious users: 6 | test acc 0.5310 test loss 1.583809 best test_acc 0.6221
e 14 | malicious users: 4 | test acc 0.7503 test loss 1.289163 best test_acc 0.7503
e 15 | malicious users: 4 | test acc 0.6012 test loss 1.283845 best test_acc 0.7503
e 16 | malicious users: 4 | test acc 0.5163 test loss 1.547387 best test_acc 0.7503
e 17 | malicious users: 6 | test acc 0.7239 test loss 1.294722 best test_acc 0.7503
e 18 | malicious users: 2 | test acc 0.7856 test loss 1.142877 best test_acc 0.7856
e 19 | malicious users: 6 | test acc 0.5471 test loss 1.479783 best test_acc 0.7856
e 20 | malicious users: 6 | test acc 0.7318 test loss 1.387856 best test_acc 0.7856
e 21 | malicious users: 6 | test acc 0.6323 test loss 1.255878 best test_acc 0.7856
e 22 | malicious users: 3 | test acc 0.8046 test loss 1.214835 best test_acc 0.8046
e 23 | malicious users: 5 | test acc 0.7820 test loss 1.071713 best test_acc 0.8046
e 24 | malicious users: 6 | test acc 0.5663 test loss 1.316053 best test_acc 0.8046
e 25 | malicious users: 6 | test acc 0.7594 test loss 1.111129 best test_acc 0.8046
e 26 | malicious users: 3 | test acc 0.7457 test loss 1.083501 best test_acc 0.8046
e 27 | malicious users: 5 | test acc 0.8004 test loss 1.250477 best test_acc 0.8046
e 28 | malicious users: 3 | test acc 0.8028 test loss 1.180472 best test_acc 0.8046
e 29 | malicious users: 8 | test acc 0.7801 test loss 1.178524 best test_acc 0.8046
e 30 | malicious users: 2 | test acc 0.8798 test loss 1.039783 best test_acc 0.8798
e 31 | malicious users: 7 | test acc 0.7076 test loss 1.130556 best test_acc 0.8798
e 32 | malicious users: 8 | test acc 0.6863 test loss 1.248847 best test_acc 0.8798
e 33 | malicious users: 6 | test acc 0.6913 test loss 1.024216 best test_acc 0.8798
e 34 | malicious users: 5 | test acc 0.8673 test loss 0.964143 best test_acc 0.8798
e 35 | malicious users: 8 | test acc 0.7665 test loss 1.004135 best test_acc 0.8798
e 36 | malicious users: 5 | test acc 0.7592 test loss 1.199545 best test_acc 0.8798
e 37 | malicious users: 5 | test acc 0.6894 test loss 1.040939 best test_acc 0.8798
e 38 | malicious users: 4 | test acc 0.8582 test loss 0.861407 best test_acc 0.8798
