=> Saving data in Logs/FRL~try=577
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.3
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 6 | test acc 0.1707 test loss 2.243975 best test_acc 0.1707
e 1 | malicious users: 7 | test acc 0.2377 test loss 2.110043 best test_acc 0.2377
e 2 | malicious users: 8 | test acc 0.3371 test loss 1.976327 best test_acc 0.3371
e 3 | malicious users: 4 | test acc 0.5338 test loss 1.766015 best test_acc 0.5338
e 4 | malicious users: 5 | test acc 0.5107 test loss 1.659706 best test_acc 0.5338
e 5 | malicious users: 4 | test acc 0.5895 test loss 1.297199 best test_acc 0.5895
e 6 | malicious users: 3 | test acc 0.6408 test loss 1.254927 best test_acc 0.6408
e 7 | malicious users: 7 | test acc 0.6188 test loss 1.201971 best test_acc 0.6408
e 8 | malicious users: 5 | test acc 0.5333 test loss 1.250242 best test_acc 0.6408
e 9 | malicious users: 6 | test acc 0.6041 test loss 1.126840 best test_acc 0.6408
e 10 | malicious users: 8 | test acc 0.6277 test loss 1.491950 best test_acc 0.6408
e 11 | malicious users: 5 | test acc 0.5132 test loss 1.180549 best test_acc 0.6408
e 12 | malicious users: 7 | test acc 0.6357 test loss 1.151351 best test_acc 0.6408
e 13 | malicious users: 7 | test acc 0.6861 test loss 1.032287 best test_acc 0.6861
e 14 | malicious users: 6 | test acc 0.5937 test loss 1.164220 best test_acc 0.6861
e 15 | malicious users: 7 | test acc 0.7470 test loss 1.046653 best test_acc 0.7470
e 16 | malicious users: 6 | test acc 0.7516 test loss 0.807885 best test_acc 0.7516
e 17 | malicious users: 1 | test acc 0.7086 test loss 1.066430 best test_acc 0.7516
e 18 | malicious users: 4 | test acc 0.7604 test loss 0.895070 best test_acc 0.7604
e 19 | malicious users: 3 | test acc 0.7317 test loss 0.944201 best test_acc 0.7604
e 20 | malicious users: 5 | test acc 0.8420 test loss 0.779925 best test_acc 0.8420
e 21 | malicious users: 3 | test acc 0.6611 test loss 1.019752 best test_acc 0.8420
e 22 | malicious users: 6 | test acc 0.8495 test loss 0.750642 best test_acc 0.8495
e 23 | malicious users: 4 | test acc 0.7978 test loss 0.821484 best test_acc 0.8495
e 24 | malicious users: 4 | test acc 0.6586 test loss 0.933728 best test_acc 0.8495
e 25 | malicious users: 8 | test acc 0.7975 test loss 0.710376 best test_acc 0.8495
e 26 | malicious users: 8 | test acc 0.7349 test loss 0.777721 best test_acc 0.8495
e 27 | malicious users: 6 | test acc 0.8564 test loss 0.717425 best test_acc 0.8564
e 28 | malicious users: 4 | test acc 0.7637 test loss 0.840980 best test_acc 0.8564
e 29 | malicious users: 3 | test acc 0.8674 test loss 0.806480 best test_acc 0.8674
e 30 | malicious users: 5 | test acc 0.7991 test loss 0.877143 best test_acc 0.8674
e 31 | malicious users: 5 | test acc 0.8185 test loss 0.699402 best test_acc 0.8674
