=> Saving data in Logs/FRL~try=582
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.3
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 4 | test acc 0.2026 test loss 2.259305 best test_acc 0.2026
e 1 | malicious users: 3 | test acc 0.2675 test loss 2.123244 best test_acc 0.2675
e 2 | malicious users: 3 | test acc 0.3712 test loss 2.011389 best test_acc 0.3712
e 3 | malicious users: 1 | test acc 0.5737 test loss 1.805915 best test_acc 0.5737
e 4 | malicious users: 3 | test acc 0.6422 test loss 1.875309 best test_acc 0.6422
e 5 | malicious users: 7 | test acc 0.5569 test loss 1.589318 best test_acc 0.6422
e 6 | malicious users: 5 | test acc 0.5100 test loss 1.460103 best test_acc 0.6422
e 7 | malicious users: 7 | test acc 0.5598 test loss 1.418582 best test_acc 0.6422
e 8 | malicious users: 2 | test acc 0.6105 test loss 1.281494 best test_acc 0.6422
e 9 | malicious users: 10 | test acc 0.4591 test loss 1.477949 best test_acc 0.6422
e 10 | malicious users: 4 | test acc 0.6455 test loss 1.086099 best test_acc 0.6455
e 11 | malicious users: 5 | test acc 0.5268 test loss 1.297836 best test_acc 0.6455
e 12 | malicious users: 6 | test acc 0.5525 test loss 1.298621 best test_acc 0.6455
e 13 | malicious users: 2 | test acc 0.6985 test loss 1.113652 best test_acc 0.6985
e 14 | malicious users: 3 | test acc 0.6915 test loss 1.102473 best test_acc 0.6985
e 15 | malicious users: 6 | test acc 0.7391 test loss 1.007883 best test_acc 0.7391
e 16 | malicious users: 6 | test acc 0.6649 test loss 1.027784 best test_acc 0.7391
e 17 | malicious users: 2 | test acc 0.7407 test loss 0.843118 best test_acc 0.7407
e 18 | malicious users: 8 | test acc 0.5679 test loss 1.092054 best test_acc 0.7407
e 19 | malicious users: 4 | test acc 0.7243 test loss 0.938889 best test_acc 0.7407
e 20 | malicious users: 3 | test acc 0.7034 test loss 0.922941 best test_acc 0.7407
e 21 | malicious users: 4 | test acc 0.8034 test loss 0.846900 best test_acc 0.8034
e 22 | malicious users: 7 | test acc 0.7990 test loss 0.918902 best test_acc 0.8034
e 23 | malicious users: 4 | test acc 0.7402 test loss 0.791041 best test_acc 0.8034
