=> Saving data in Logs/FRL~try=583
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 7 | test acc 0.1009 test loss 2.253353 best test_acc 0.1009
e 1 | malicious users: 9 | test acc 0.1813 test loss 2.223315 best test_acc 0.1813
e 2 | malicious users: 5 | test acc 0.3610 test loss 1.990304 best test_acc 0.3610
e 3 | malicious users: 2 | test acc 0.4449 test loss 1.839077 best test_acc 0.4449
e 4 | malicious users: 5 | test acc 0.5726 test loss 1.639468 best test_acc 0.5726
e 5 | malicious users: 1 | test acc 0.5752 test loss 1.390948 best test_acc 0.5752
e 6 | malicious users: 4 | test acc 0.6503 test loss 1.386704 best test_acc 0.6503
e 7 | malicious users: 4 | test acc 0.5910 test loss 1.216813 best test_acc 0.6503
e 8 | malicious users: 5 | test acc 0.6184 test loss 1.112872 best test_acc 0.6503
e 9 | malicious users: 4 | test acc 0.6729 test loss 1.004679 best test_acc 0.6729
e 10 | malicious users: 3 | test acc 0.7560 test loss 0.909410 best test_acc 0.7560
e 11 | malicious users: 3 | test acc 0.7319 test loss 0.865849 best test_acc 0.7560
e 12 | malicious users: 6 | test acc 0.6969 test loss 0.979578 best test_acc 0.7560
e 13 | malicious users: 7 | test acc 0.7143 test loss 0.720626 best test_acc 0.7560
e 14 | malicious users: 4 | test acc 0.7315 test loss 0.938712 best test_acc 0.7560
e 15 | malicious users: 5 | test acc 0.8430 test loss 0.615301 best test_acc 0.8430
e 16 | malicious users: 5 | test acc 0.7810 test loss 0.737359 best test_acc 0.8430
e 17 | malicious users: 5 | test acc 0.7993 test loss 0.911977 best test_acc 0.8430
e 18 | malicious users: 7 | test acc 0.8222 test loss 0.719651 best test_acc 0.8430
e 19 | malicious users: 5 | test acc 0.8234 test loss 0.600348 best test_acc 0.8430
e 20 | malicious users: 5 | test acc 0.6919 test loss 0.858181 best test_acc 0.8430
e 21 | malicious users: 4 | test acc 0.7645 test loss 0.725360 best test_acc 0.8430
e 22 | malicious users: 4 | test acc 0.8177 test loss 0.652834 best test_acc 0.8430
e 23 | malicious users: 5 | test acc 0.6915 test loss 0.804900 best test_acc 0.8430
e 24 | malicious users: 4 | test acc 0.7859 test loss 0.763962 best test_acc 0.8430
e 25 | malicious users: 6 | test acc 0.8733 test loss 0.577277 best test_acc 0.8733
