=> Saving data in Logs/FRL~try=584
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.7
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 7 | test acc 0.1820 test loss 2.252845 best test_acc 0.1820
e 1 | malicious users: 4 | test acc 0.3445 test loss 2.103768 best test_acc 0.3445
e 2 | malicious users: 5 | test acc 0.5058 test loss 1.767605 best test_acc 0.5058
e 3 | malicious users: 6 | test acc 0.5300 test loss 1.889902 best test_acc 0.5300
e 4 | malicious users: 4 | test acc 0.5657 test loss 1.248882 best test_acc 0.5657
e 5 | malicious users: 5 | test acc 0.5686 test loss 1.490670 best test_acc 0.5686
e 6 | malicious users: 7 | test acc 0.6003 test loss 1.184402 best test_acc 0.6003
e 7 | malicious users: 7 | test acc 0.6240 test loss 1.101296 best test_acc 0.6240
e 8 | malicious users: 3 | test acc 0.7205 test loss 0.942383 best test_acc 0.7205
e 9 | malicious users: 5 | test acc 0.6426 test loss 1.041316 best test_acc 0.7205
e 10 | malicious users: 7 | test acc 0.6627 test loss 0.987736 best test_acc 0.7205
e 11 | malicious users: 5 | test acc 0.6595 test loss 1.000639 best test_acc 0.7205
e 12 | malicious users: 4 | test acc 0.6859 test loss 0.942162 best test_acc 0.7205
e 13 | malicious users: 2 | test acc 0.7934 test loss 0.716931 best test_acc 0.7934
e 14 | malicious users: 5 | test acc 0.7210 test loss 0.920688 best test_acc 0.7934
e 15 | malicious users: 8 | test acc 0.7337 test loss 0.830164 best test_acc 0.7934
e 16 | malicious users: 4 | test acc 0.8538 test loss 0.704977 best test_acc 0.8538
e 17 | malicious users: 7 | test acc 0.8151 test loss 0.618915 best test_acc 0.8538
e 18 | malicious users: 6 | test acc 0.8522 test loss 0.625940 best test_acc 0.8538
e 19 | malicious users: 7 | test acc 0.7633 test loss 0.799650 best test_acc 0.8538
e 20 | malicious users: 5 | test acc 0.8246 test loss 0.569096 best test_acc 0.8538
e 21 | malicious users: 7 | test acc 0.8517 test loss 0.536630 best test_acc 0.8538
e 22 | malicious users: 7 | test acc 0.7497 test loss 0.730600 best test_acc 0.8538
e 23 | malicious users: 2 | test acc 0.7283 test loss 0.770559 best test_acc 0.8538
e 24 | malicious users: 10 | test acc 0.7480 test loss 0.714835 best test_acc 0.8538
e 25 | malicious users: 6 | test acc 0.7136 test loss 0.854327 best test_acc 0.8538
e 26 | malicious users: 6 | test acc 0.8756 test loss 0.502414 best test_acc 0.8756
e 27 | malicious users: 3 | test acc 0.8134 test loss 0.682415 best test_acc 0.8756
e 28 | malicious users: 8 | test acc 0.8332 test loss 0.546867 best test_acc 0.8756
e 29 | malicious users: 4 | test acc 0.7644 test loss 0.644987 best test_acc 0.8756
e 30 | malicious users: 5 | test acc 0.8891 test loss 0.564594 best test_acc 0.8891
e 31 | malicious users: 9 | test acc 0.7886 test loss 0.698208 best test_acc 0.8891
e 32 | malicious users: 5 | test acc 0.8242 test loss 0.677499 best test_acc 0.8891
e 33 | malicious users: 6 | test acc 0.8406 test loss 0.501095 best test_acc 0.8891
e 34 | malicious users: 10 | test acc 0.8058 test loss 0.624678 best test_acc 0.8891
e 35 | malicious users: 4 | test acc 0.8226 test loss 0.559613 best test_acc 0.8891
e 36 | malicious users: 10 | test acc 0.7162 test loss 0.795035 best test_acc 0.8891
e 37 | malicious users: 5 | test acc 0.7829 test loss 0.655351 best test_acc 0.8891
e 38 | malicious users: 3 | test acc 0.8025 test loss 0.707089 best test_acc 0.8891
e 39 | malicious users: 4 | test acc 0.7933 test loss 0.594598 best test_acc 0.8891
e 40 | malicious users: 5 | test acc 0.8411 test loss 0.527274 best test_acc 0.8891
e 41 | malicious users: 6 | test acc 0.8411 test loss 0.799705 best test_acc 0.8891
e 42 | malicious users: 3 | test acc 0.9124 test loss 0.405112 best test_acc 0.9124
e 43 | malicious users: 5 | test acc 0.7805 test loss 0.588137 best test_acc 0.9124
e 44 | malicious users: 5 | test acc 0.7510 test loss 0.739003 best test_acc 0.9124
e 45 | malicious users: 9 | test acc 0.8881 test loss 0.497414 best test_acc 0.9124
e 46 | malicious users: 5 | test acc 0.9201 test loss 0.306912 best test_acc 0.9201
e 47 | malicious users: 5 | test acc 0.7892 test loss 0.617370 best test_acc 0.9201
e 48 | malicious users: 2 | test acc 0.8653 test loss 0.563716 best test_acc 0.9201
e 49 | malicious users: 6 | test acc 0.8779 test loss 0.425041 best test_acc 0.9201
e 50 | malicious users: 2 | test acc 0.8889 test loss 0.626767 best test_acc 0.9201
e 51 | malicious users: 8 | test acc 0.8539 test loss 0.442633 best test_acc 0.9201
e 52 | malicious users: 3 | test acc 0.8522 test loss 0.523513 best test_acc 0.9201
e 53 | malicious users: 7 | test acc 0.8907 test loss 0.386720 best test_acc 0.9201
e 54 | malicious users: 5 | test acc 0.7861 test loss 0.705921 best test_acc 0.9201
e 55 | malicious users: 3 | test acc 0.7487 test loss 0.746142 best test_acc 0.9201
e 56 | malicious users: 7 | test acc 0.8660 test loss 0.499484 best test_acc 0.9201
e 57 | malicious users: 5 | test acc 0.9038 test loss 0.416265 best test_acc 0.9201
e 58 | malicious users: 4 | test acc 0.8430 test loss 0.611579 best test_acc 0.9201
e 59 | malicious users: 8 | test acc 0.8703 test loss 0.532761 best test_acc 0.9201
e 60 | malicious users: 5 | test acc 0.9048 test loss 0.428154 best test_acc 0.9201
e 61 | malicious users: 5 | test acc 0.8102 test loss 0.628166 best test_acc 0.9201
e 62 | malicious users: 6 | test acc 0.8047 test loss 0.676553 best test_acc 0.9201
e 63 | malicious users: 4 | test acc 0.7447 test loss 0.791043 best test_acc 0.9201
e 64 | malicious users: 6 | test acc 0.9291 test loss 0.380193 best test_acc 0.9291
e 65 | malicious users: 2 | test acc 0.9238 test loss 0.411979 best test_acc 0.9291
e 66 | malicious users: 5 | test acc 0.7732 test loss 0.599494 best test_acc 0.9291
e 67 | malicious users: 4 | test acc 0.9211 test loss 0.448262 best test_acc 0.9291
e 68 | malicious users: 6 | test acc 0.8800 test loss 0.512229 best test_acc 0.9291
e 69 | malicious users: 7 | test acc 0.9105 test loss 0.409220 best test_acc 0.9291
e 70 | malicious users: 3 | test acc 0.8032 test loss 0.578570 best test_acc 0.9291
e 71 | malicious users: 6 | test acc 0.8658 test loss 0.538509 best test_acc 0.9291
e 72 | malicious users: 4 | test acc 0.9265 test loss 0.357403 best test_acc 0.9291
e 73 | malicious users: 4 | test acc 0.8364 test loss 0.630371 best test_acc 0.9291
e 74 | malicious users: 8 | test acc 0.8183 test loss 0.571445 best test_acc 0.9291
e 75 | malicious users: 5 | test acc 0.7899 test loss 0.669872 best test_acc 0.9291
e 76 | malicious users: 7 | test acc 0.7549 test loss 0.654539 best test_acc 0.9291
e 77 | malicious users: 3 | test acc 0.7854 test loss 0.776747 best test_acc 0.9291
e 78 | malicious users: 3 | test acc 0.7755 test loss 0.652269 best test_acc 0.9291
e 79 | malicious users: 6 | test acc 0.8634 test loss 0.565923 best test_acc 0.9291
e 80 | malicious users: 10 | test acc 0.8457 test loss 0.520154 best test_acc 0.9291
e 81 | malicious users: 2 | test acc 0.8880 test loss 0.524057 best test_acc 0.9291
e 82 | malicious users: 7 | test acc 0.8511 test loss 0.537687 best test_acc 0.9291
e 83 | malicious users: 2 | test acc 0.8059 test loss 0.579005 best test_acc 0.9291
e 84 | malicious users: 6 | test acc 0.9118 test loss 0.405927 best test_acc 0.9291
e 85 | malicious users: 10 | test acc 0.8003 test loss 0.626882 best test_acc 0.9291
e 86 | malicious users: 4 | test acc 0.9175 test loss 0.374200 best test_acc 0.9291
e 87 | malicious users: 4 | test acc 0.8674 test loss 0.434566 best test_acc 0.9291
e 88 | malicious users: 5 | test acc 0.8333 test loss 0.514197 best test_acc 0.9291
e 89 | malicious users: 7 | test acc 0.8893 test loss 0.393067 best test_acc 0.9291
e 90 | malicious users: 7 | test acc 0.7107 test loss 0.788984 best test_acc 0.9291
e 91 | malicious users: 4 | test acc 0.8279 test loss 0.483185 best test_acc 0.9291
e 92 | malicious users: 7 | test acc 0.8340 test loss 0.693503 best test_acc 0.9291
e 93 | malicious users: 4 | test acc 0.8072 test loss 0.568302 best test_acc 0.9291
e 94 | malicious users: 2 | test acc 0.7355 test loss 0.741800 best test_acc 0.9291
e 95 | malicious users: 6 | test acc 0.8775 test loss 0.626318 best test_acc 0.9291
e 96 | malicious users: 6 | test acc 0.9013 test loss 0.515692 best test_acc 0.9291
e 97 | malicious users: 9 | test acc 0.8181 test loss 0.632713 best test_acc 0.9291
e 98 | malicious users: 5 | test acc 0.8648 test loss 0.560927 best test_acc 0.9291
e 99 | malicious users: 2 | test acc 0.9077 test loss 0.409979 best test_acc 0.9291
e 100 | malicious users: 6 | test acc 0.8777 test loss 0.466561 best test_acc 0.9291
e 101 | malicious users: 5 | test acc 0.9238 test loss 0.401171 best test_acc 0.9291
e 102 | malicious users: 2 | test acc 0.8896 test loss 0.481226 best test_acc 0.9291
e 103 | malicious users: 5 | test acc 0.6891 test loss 0.832606 best test_acc 0.9291
e 104 | malicious users: 4 | test acc 0.7223 test loss 0.718758 best test_acc 0.9291
e 105 | malicious users: 7 | test acc 0.8036 test loss 0.654976 best test_acc 0.9291
e 106 | malicious users: 5 | test acc 0.8546 test loss 0.628346 best test_acc 0.9291
e 107 | malicious users: 8 | test acc 0.8905 test loss 0.387864 best test_acc 0.9291
e 108 | malicious users: 7 | test acc 0.7924 test loss 0.644324 best test_acc 0.9291
e 109 | malicious users: 9 | test acc 0.8432 test loss 0.570057 best test_acc 0.9291
e 110 | malicious users: 3 | test acc 0.8702 test loss 0.652294 best test_acc 0.9291
e 111 | malicious users: 8 | test acc 0.8563 test loss 0.478694 best test_acc 0.9291
e 112 | malicious users: 9 | test acc 0.6990 test loss 0.894288 best test_acc 0.9291
e 113 | malicious users: 7 | test acc 0.8685 test loss 0.612366 best test_acc 0.9291
e 114 | malicious users: 2 | test acc 0.7176 test loss 0.791075 best test_acc 0.9291
e 115 | malicious users: 8 | test acc 0.6816 test loss 0.786811 best test_acc 0.9291
e 116 | malicious users: 9 | test acc 0.8348 test loss 0.574415 best test_acc 0.9291
e 117 | malicious users: 8 | test acc 0.7652 test loss 0.883055 best test_acc 0.9291
e 118 | malicious users: 5 | test acc 0.8682 test loss 0.524824 best test_acc 0.9291
e 119 | malicious users: 6 | test acc 0.8802 test loss 0.606730 best test_acc 0.9291
e 120 | malicious users: 6 | test acc 0.8918 test loss 0.487907 best test_acc 0.9291
e 121 | malicious users: 6 | test acc 0.8043 test loss 0.842395 best test_acc 0.9291
e 122 | malicious users: 8 | test acc 0.6940 test loss 0.848696 best test_acc 0.9291
