=> Saving data in Logs/FRL~try=591
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 7 | test acc 0.2264 test loss 2.303621 best test_acc 0.2264
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 1 | malicious users: 3 | test acc 0.1014 test loss 2.295376 best test_acc 0.2264
e 2 | malicious users: 5 | test acc 0.1816 test loss 2.289589 best test_acc 0.2264
e 3 | malicious users: 8 | test acc 0.1033 test loss 2.281493 best test_acc 0.2264
e 4 | malicious users: 9 | test acc 0.1059 test loss 2.258981 best test_acc 0.2264
e 5 | malicious users: 4 | test acc 0.2974 test loss 2.198351 best test_acc 0.2974
e 6 | malicious users: 6 | test acc 0.2347 test loss 2.182820 best test_acc 0.2974
e 7 | malicious users: 6 | test acc 0.2885 test loss 2.194900 best test_acc 0.2974
e 8 | malicious users: 4 | test acc 0.2014 test loss 2.219398 best test_acc 0.2974
e 9 | malicious users: 7 | test acc 0.1926 test loss 2.173007 best test_acc 0.2974
e 10 | malicious users: 0 | test acc 0.2721 test loss 2.210472 best test_acc 0.2974
e 11 | malicious users: 2 | test acc 0.3522 test loss 2.071831 best test_acc 0.3522
e 12 | malicious users: 5 | test acc 0.2876 test loss 2.132325 best test_acc 0.3522
e 13 | malicious users: 4 | test acc 0.2677 test loss 2.078343 best test_acc 0.3522
e 14 | malicious users: 7 | test acc 0.5962 test loss 1.985228 best test_acc 0.5962
e 15 | malicious users: 5 | test acc 0.4646 test loss 1.784552 best test_acc 0.5962
e 16 | malicious users: 3 | test acc 0.3377 test loss 2.019472 best test_acc 0.5962
e 17 | malicious users: 6 | test acc 0.5110 test loss 1.755181 best test_acc 0.5962
e 18 | malicious users: 5 | test acc 0.5223 test loss 1.842749 best test_acc 0.5962
e 19 | malicious users: 7 | test acc 0.4405 test loss 1.773216 best test_acc 0.5962
e 20 | malicious users: 5 | test acc 0.6736 test loss 1.725395 best test_acc 0.6736
e 21 | malicious users: 5 | test acc 0.6153 test loss 1.573608 best test_acc 0.6736
e 22 | malicious users: 5 | test acc 0.6598 test loss 1.580190 best test_acc 0.6736
e 23 | malicious users: 7 | test acc 0.5592 test loss 1.779861 best test_acc 0.6736
e 24 | malicious users: 5 | test acc 0.7203 test loss 1.570465 best test_acc 0.7203
e 25 | malicious users: 4 | test acc 0.7269 test loss 1.527530 best test_acc 0.7269
e 26 | malicious users: 5 | test acc 0.7194 test loss 1.636436 best test_acc 0.7269
e 27 | malicious users: 1 | test acc 0.7234 test loss 1.305188 best test_acc 0.7269
e 28 | malicious users: 9 | test acc 0.6647 test loss 1.517561 best test_acc 0.7269
e 29 | malicious users: 3 | test acc 0.7213 test loss 1.192579 best test_acc 0.7269
e 30 | malicious users: 1 | test acc 0.7244 test loss 1.277378 best test_acc 0.7269
e 31 | malicious users: 4 | test acc 0.7453 test loss 1.384704 best test_acc 0.7453
e 32 | malicious users: 7 | test acc 0.5806 test loss 1.645193 best test_acc 0.7453
e 33 | malicious users: 6 | test acc 0.7333 test loss 1.347368 best test_acc 0.7453
e 34 | malicious users: 7 | test acc 0.7930 test loss 1.421552 best test_acc 0.7930
e 35 | malicious users: 9 | test acc 0.6617 test loss 1.544983 best test_acc 0.7930
e 36 | malicious users: 4 | test acc 0.7401 test loss 1.274861 best test_acc 0.7930
e 37 | malicious users: 4 | test acc 0.7718 test loss 1.441745 best test_acc 0.7930
e 38 | malicious users: 5 | test acc 0.7774 test loss 1.471615 best test_acc 0.7930
e 39 | malicious users: 7 | test acc 0.7513 test loss 1.311468 best test_acc 0.7930
e 40 | malicious users: 7 | test acc 0.7798 test loss 1.324270 best test_acc 0.7930
e 41 | malicious users: 4 | test acc 0.8094 test loss 1.274639 best test_acc 0.8094
e 42 | malicious users: 4 | test acc 0.8303 test loss 1.261365 best test_acc 0.8303
e 43 | malicious users: 6 | test acc 0.6625 test loss 1.266933 best test_acc 0.8303
e 44 | malicious users: 7 | test acc 0.7434 test loss 1.276689 best test_acc 0.8303
e 45 | malicious users: 3 | test acc 0.7501 test loss 1.158406 best test_acc 0.8303
e 46 | malicious users: 5 | test acc 0.8514 test loss 1.273977 best test_acc 0.8514
e 47 | malicious users: 4 | test acc 0.8347 test loss 1.107270 best test_acc 0.8514
e 48 | malicious users: 6 | test acc 0.7707 test loss 1.130613 best test_acc 0.8514
e 49 | malicious users: 3 | test acc 0.8281 test loss 1.076308 best test_acc 0.8514
e 50 | malicious users: 2 | test acc 0.8025 test loss 1.102089 best test_acc 0.8514
e 51 | malicious users: 9 | test acc 0.7490 test loss 1.415738 best test_acc 0.8514
e 52 | malicious users: 3 | test acc 0.8647 test loss 1.357810 best test_acc 0.8647
e 53 | malicious users: 4 | test acc 0.8467 test loss 1.104742 best test_acc 0.8647
e 54 | malicious users: 6 | test acc 0.8033 test loss 1.351242 best test_acc 0.8647
e 55 | malicious users: 4 | test acc 0.8578 test loss 1.123831 best test_acc 0.8647
e 56 | malicious users: 1 | test acc 0.8597 test loss 0.869396 best test_acc 0.8647
e 57 | malicious users: 4 | test acc 0.8189 test loss 1.116223 best test_acc 0.8647
e 58 | malicious users: 7 | test acc 0.8209 test loss 1.199100 best test_acc 0.8647
e 59 | malicious users: 8 | test acc 0.5859 test loss 1.417479 best test_acc 0.8647
e 60 | malicious users: 5 | test acc 0.7559 test loss 1.359273 best test_acc 0.8647
e 61 | malicious users: 8 | test acc 0.8818 test loss 1.149818 best test_acc 0.8818
e 62 | malicious users: 3 | test acc 0.8166 test loss 0.986869 best test_acc 0.8818
e 63 | malicious users: 6 | test acc 0.8700 test loss 1.155443 best test_acc 0.8818
e 64 | malicious users: 5 | test acc 0.8201 test loss 1.179211 best test_acc 0.8818
e 65 | malicious users: 4 | test acc 0.7658 test loss 1.059889 best test_acc 0.8818
e 66 | malicious users: 5 | test acc 0.8237 test loss 1.275717 best test_acc 0.8818
