=> Saving data in Logs/FRL~try=592
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.3
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 7 | test acc 0.1022 test loss 2.301639 best test_acc 0.1022
e 1 | malicious users: 11 | test acc 0.1785 test loss 2.283302 best test_acc 0.1785
e 2 | malicious users: 6 | test acc 0.1917 test loss 2.267818 best test_acc 0.1917
e 3 | malicious users: 5 | test acc 0.2979 test loss 2.184183 best test_acc 0.2979
e 4 | malicious users: 5 | test acc 0.4743 test loss 2.088747 best test_acc 0.4743
e 5 | malicious users: 9 | test acc 0.3016 test loss 2.061210 best test_acc 0.4743
e 6 | malicious users: 6 | test acc 0.5686 test loss 1.715349 best test_acc 0.5686
e 7 | malicious users: 7 | test acc 0.4461 test loss 1.663063 best test_acc 0.5686
e 8 | malicious users: 3 | test acc 0.6007 test loss 1.452667 best test_acc 0.6007
e 9 | malicious users: 3 | test acc 0.6086 test loss 1.759132 best test_acc 0.6086
e 10 | malicious users: 4 | test acc 0.6788 test loss 1.554741 best test_acc 0.6788
e 11 | malicious users: 4 | test acc 0.7091 test loss 1.127076 best test_acc 0.7091
e 12 | malicious users: 1 | test acc 0.6475 test loss 1.095571 best test_acc 0.7091
e 13 | malicious users: 7 | test acc 0.7045 test loss 1.173923 best test_acc 0.7091
e 14 | malicious users: 6 | test acc 0.7046 test loss 1.216892 best test_acc 0.7091
e 15 | malicious users: 7 | test acc 0.6125 test loss 1.093960 best test_acc 0.7091
e 16 | malicious users: 4 | test acc 0.7206 test loss 1.033583 best test_acc 0.7206
e 17 | malicious users: 5 | test acc 0.6603 test loss 1.007187 best test_acc 0.7206
e 18 | malicious users: 6 | test acc 0.6830 test loss 0.976655 best test_acc 0.7206
e 19 | malicious users: 6 | test acc 0.5849 test loss 1.199712 best test_acc 0.7206
e 20 | malicious users: 3 | test acc 0.7927 test loss 0.909404 best test_acc 0.7927
e 21 | malicious users: 5 | test acc 0.7599 test loss 0.870280 best test_acc 0.7927
e 22 | malicious users: 4 | test acc 0.7303 test loss 0.966219 best test_acc 0.7927
e 23 | malicious users: 6 | test acc 0.7461 test loss 1.019665 best test_acc 0.7927
e 24 | malicious users: 4 | test acc 0.8273 test loss 0.709557 best test_acc 0.8273
e 25 | malicious users: 3 | test acc 0.7593 test loss 0.921615 best test_acc 0.8273
e 26 | malicious users: 6 | test acc 0.8493 test loss 0.688645 best test_acc 0.8493
e 27 | malicious users: 5 | test acc 0.7746 test loss 0.925172 best test_acc 0.8493
e 28 | malicious users: 7 | test acc 0.7148 test loss 0.832705 best test_acc 0.8493
e 29 | malicious users: 4 | test acc 0.7316 test loss 0.804622 best test_acc 0.8493
e 30 | malicious users: 7 | test acc 0.7451 test loss 1.075930 best test_acc 0.8493
e 31 | malicious users: 5 | test acc 0.8192 test loss 0.606388 best test_acc 0.8493
e 32 | malicious users: 3 | test acc 0.8457 test loss 0.681663 best test_acc 0.8493
e 33 | malicious users: 7 | test acc 0.7848 test loss 0.873515 best test_acc 0.8493
e 34 | malicious users: 6 | test acc 0.7030 test loss 0.789883 best test_acc 0.8493
e 35 | malicious users: 7 | test acc 0.8724 test loss 0.726815 best test_acc 0.8724
e 36 | malicious users: 4 | test acc 0.8070 test loss 0.701145 best test_acc 0.8724
e 37 | malicious users: 5 | test acc 0.8567 test loss 0.528577 best test_acc 0.8724
e 38 | malicious users: 5 | test acc 0.8620 test loss 0.732033 best test_acc 0.8724
e 39 | malicious users: 7 | test acc 0.8676 test loss 0.658527 best test_acc 0.8724
e 40 | malicious users: 7 | test acc 0.8681 test loss 0.473608 best test_acc 0.8724
e 41 | malicious users: 4 | test acc 0.8290 test loss 0.746028 best test_acc 0.8724
e 42 | malicious users: 4 | test acc 0.7978 test loss 0.626852 best test_acc 0.8724
e 43 | malicious users: 4 | test acc 0.8617 test loss 0.708675 best test_acc 0.8724
e 44 | malicious users: 6 | test acc 0.8741 test loss 0.662235 best test_acc 0.8741
e 45 | malicious users: 7 | test acc 0.8671 test loss 0.516317 best test_acc 0.8741
e 46 | malicious users: 3 | test acc 0.8177 test loss 0.738113 best test_acc 0.8741
e 47 | malicious users: 4 | test acc 0.6280 test loss 0.971572 best test_acc 0.8741
e 48 | malicious users: 8 | test acc 0.8830 test loss 0.564076 best test_acc 0.8830
e 49 | malicious users: 1 | test acc 0.8907 test loss 0.500085 best test_acc 0.8907
e 50 | malicious users: 5 | test acc 0.7297 test loss 0.969213 best test_acc 0.8907
e 51 | malicious users: 7 | test acc 0.8236 test loss 0.773898 best test_acc 0.8907
e 52 | malicious users: 5 | test acc 0.8730 test loss 0.597116 best test_acc 0.8907
e 53 | malicious users: 6 | test acc 0.8694 test loss 0.611117 best test_acc 0.8907
e 54 | malicious users: 3 | test acc 0.8381 test loss 0.620392 best test_acc 0.8907
e 55 | malicious users: 2 | test acc 0.8985 test loss 0.577102 best test_acc 0.8985
e 56 | malicious users: 6 | test acc 0.8680 test loss 0.515861 best test_acc 0.8985
e 57 | malicious users: 5 | test acc 0.8144 test loss 0.593638 best test_acc 0.8985
e 58 | malicious users: 3 | test acc 0.8071 test loss 0.669975 best test_acc 0.8985
e 59 | malicious users: 8 | test acc 0.7961 test loss 0.581465 best test_acc 0.8985
e 60 | malicious users: 6 | test acc 0.8283 test loss 0.679669 best test_acc 0.8985
e 61 | malicious users: 9 | test acc 0.8418 test loss 0.699550 best test_acc 0.8985
e 62 | malicious users: 4 | test acc 0.8334 test loss 0.505958 best test_acc 0.8985
e 63 | malicious users: 7 | test acc 0.8496 test loss 0.630322 best test_acc 0.8985
