=> Saving data in Logs/FRL~try=596
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 3 | test acc 0.1371 test loss 2.292128 best test_acc 0.1371
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 1 | malicious users: 4 | test acc 0.1892 test loss 2.292361 best test_acc 0.1892
e 2 | malicious users: 4 | test acc 0.1049 test loss 2.289418 best test_acc 0.1892
e 3 | malicious users: 6 | test acc 0.1035 test loss 2.280269 best test_acc 0.1892
e 4 | malicious users: 4 | test acc 0.2433 test loss 2.271135 best test_acc 0.2433
e 5 | malicious users: 2 | test acc 0.1853 test loss 2.258674 best test_acc 0.2433
e 6 | malicious users: 6 | test acc 0.1889 test loss 2.272308 best test_acc 0.2433
e 7 | malicious users: 3 | test acc 0.2251 test loss 2.253613 best test_acc 0.2433
e 8 | malicious users: 7 | test acc 0.1970 test loss 2.243343 best test_acc 0.2433
e 9 | malicious users: 7 | test acc 0.1013 test loss 2.270104 best test_acc 0.2433
e 10 | malicious users: 3 | test acc 0.2584 test loss 2.246533 best test_acc 0.2584
e 11 | malicious users: 2 | test acc 0.0989 test loss 2.226536 best test_acc 0.2584
e 12 | malicious users: 2 | test acc 0.5332 test loss 2.108712 best test_acc 0.5332
e 13 | malicious users: 3 | test acc 0.4059 test loss 2.137422 best test_acc 0.5332
e 14 | malicious users: 6 | test acc 0.2159 test loss 2.105230 best test_acc 0.5332
e 15 | malicious users: 4 | test acc 0.2668 test loss 2.196710 best test_acc 0.5332
e 16 | malicious users: 3 | test acc 0.4688 test loss 2.060612 best test_acc 0.5332
e 17 | malicious users: 7 | test acc 0.3909 test loss 2.124001 best test_acc 0.5332
e 18 | malicious users: 3 | test acc 0.2859 test loss 2.036666 best test_acc 0.5332
e 19 | malicious users: 7 | test acc 0.3452 test loss 2.183415 best test_acc 0.5332
e 20 | malicious users: 6 | test acc 0.2619 test loss 2.086869 best test_acc 0.5332
e 21 | malicious users: 7 | test acc 0.4162 test loss 2.086868 best test_acc 0.5332
e 22 | malicious users: 6 | test acc 0.5148 test loss 2.040344 best test_acc 0.5332
e 23 | malicious users: 2 | test acc 0.4004 test loss 2.086113 best test_acc 0.5332
e 24 | malicious users: 6 | test acc 0.4893 test loss 1.970479 best test_acc 0.5332
e 25 | malicious users: 5 | test acc 0.4944 test loss 1.932877 best test_acc 0.5332
e 26 | malicious users: 8 | test acc 0.4538 test loss 1.988803 best test_acc 0.5332
e 27 | malicious users: 7 | test acc 0.2854 test loss 2.116468 best test_acc 0.5332
e 28 | malicious users: 5 | test acc 0.3369 test loss 1.952663 best test_acc 0.5332
e 29 | malicious users: 5 | test acc 0.4948 test loss 1.926919 best test_acc 0.5332
e 30 | malicious users: 5 | test acc 0.5797 test loss 1.873915 best test_acc 0.5797
e 31 | malicious users: 3 | test acc 0.4433 test loss 1.941819 best test_acc 0.5797
e 32 | malicious users: 5 | test acc 0.5259 test loss 1.863061 best test_acc 0.5797
e 33 | malicious users: 5 | test acc 0.6911 test loss 1.812301 best test_acc 0.6911
e 34 | malicious users: 5 | test acc 0.6463 test loss 1.741929 best test_acc 0.6911
e 35 | malicious users: 2 | test acc 0.6414 test loss 1.619898 best test_acc 0.6911
e 36 | malicious users: 5 | test acc 0.6710 test loss 1.696004 best test_acc 0.6911
e 37 | malicious users: 4 | test acc 0.6930 test loss 1.698414 best test_acc 0.6930
e 38 | malicious users: 6 | test acc 0.6201 test loss 1.777265 best test_acc 0.6930
e 39 | malicious users: 7 | test acc 0.4089 test loss 1.823713 best test_acc 0.6930
e 40 | malicious users: 6 | test acc 0.5744 test loss 1.904961 best test_acc 0.6930
e 41 | malicious users: 8 | test acc 0.5247 test loss 1.992830 best test_acc 0.6930
e 42 | malicious users: 5 | test acc 0.5974 test loss 1.876053 best test_acc 0.6930
