=> Saving data in Logs/FRL~try=597
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.3
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 1 | test acc 0.1238 test loss 2.268499 best test_acc 0.1238
e 1 | malicious users: 5 | test acc 0.2430 test loss 2.249625 best test_acc 0.2430
e 2 | malicious users: 4 | test acc 0.1983 test loss 2.176759 best test_acc 0.2430
e 3 | malicious users: 6 | test acc 0.4605 test loss 2.159644 best test_acc 0.4605
e 4 | malicious users: 6 | test acc 0.4337 test loss 2.103905 best test_acc 0.4605
e 5 | malicious users: 9 | test acc 0.2528 test loss 2.229239 best test_acc 0.4605
e 6 | malicious users: 6 | test acc 0.4091 test loss 2.239237 best test_acc 0.4605
e 7 | malicious users: 7 | test acc 0.3127 test loss 2.163110 best test_acc 0.4605
e 8 | malicious users: 6 | test acc 0.4228 test loss 2.031164 best test_acc 0.4605
e 9 | malicious users: 1 | test acc 0.4955 test loss 1.978401 best test_acc 0.4955
e 10 | malicious users: 3 | test acc 0.4216 test loss 1.837556 best test_acc 0.4955
e 11 | malicious users: 5 | test acc 0.5706 test loss 1.739630 best test_acc 0.5706
e 12 | malicious users: 7 | test acc 0.5246 test loss 2.067018 best test_acc 0.5706
e 13 | malicious users: 2 | test acc 0.4943 test loss 1.624975 best test_acc 0.5706
e 14 | malicious users: 5 | test acc 0.5755 test loss 1.724385 best test_acc 0.5755
e 15 | malicious users: 5 | test acc 0.5276 test loss 1.751859 best test_acc 0.5755
e 16 | malicious users: 4 | test acc 0.5205 test loss 1.657887 best test_acc 0.5755
e 17 | malicious users: 7 | test acc 0.5427 test loss 1.805866 best test_acc 0.5755
e 18 | malicious users: 6 | test acc 0.5665 test loss 1.891416 best test_acc 0.5755
e 19 | malicious users: 10 | test acc 0.4481 test loss 2.087777 best test_acc 0.5755
e 20 | malicious users: 6 | test acc 0.4642 test loss 1.837520 best test_acc 0.5755
e 21 | malicious users: 2 | test acc 0.5101 test loss 1.682576 best test_acc 0.5755
e 22 | malicious users: 8 | test acc 0.6412 test loss 1.676349 best test_acc 0.6412
e 23 | malicious users: 4 | test acc 0.5858 test loss 1.576149 best test_acc 0.6412
e 24 | malicious users: 8 | test acc 0.5334 test loss 1.806330 best test_acc 0.6412
e 25 | malicious users: 0 | test acc 0.6556 test loss 1.357386 best test_acc 0.6556
e 26 | malicious users: 9 | test acc 0.5574 test loss 1.940984 best test_acc 0.6556
e 27 | malicious users: 3 | test acc 0.6905 test loss 1.532564 best test_acc 0.6905
e 28 | malicious users: 2 | test acc 0.6996 test loss 1.468629 best test_acc 0.6996
e 29 | malicious users: 3 | test acc 0.6296 test loss 1.295494 best test_acc 0.6996
e 30 | malicious users: 7 | test acc 0.6513 test loss 1.528288 best test_acc 0.6996
e 31 | malicious users: 10 | test acc 0.6255 test loss 1.993616 best test_acc 0.6996
e 32 | malicious users: 8 | test acc 0.6612 test loss 1.862797 best test_acc 0.6996
e 33 | malicious users: 8 | test acc 0.5368 test loss 1.887519 best test_acc 0.6996
e 34 | malicious users: 2 | test acc 0.6872 test loss 1.587071 best test_acc 0.6996
e 35 | malicious users: 2 | test acc 0.7389 test loss 1.346907 best test_acc 0.7389
e 36 | malicious users: 8 | test acc 0.6665 test loss 1.662861 best test_acc 0.7389
e 37 | malicious users: 6 | test acc 0.6790 test loss 1.591352 best test_acc 0.7389
e 38 | malicious users: 4 | test acc 0.7268 test loss 1.436371 best test_acc 0.7389
e 39 | malicious users: 8 | test acc 0.6337 test loss 1.791953 best test_acc 0.7389
e 40 | malicious users: 7 | test acc 0.6886 test loss 1.724437 best test_acc 0.7389
e 41 | malicious users: 8 | test acc 0.7591 test loss 1.941978 best test_acc 0.7591
e 42 | malicious users: 2 | test acc 0.5173 test loss 1.395136 best test_acc 0.7591
e 43 | malicious users: 7 | test acc 0.6796 test loss 1.679912 best test_acc 0.7591
e 44 | malicious users: 3 | test acc 0.6772 test loss 1.430847 best test_acc 0.7591
e 45 | malicious users: 5 | test acc 0.6542 test loss 1.476740 best test_acc 0.7591
e 46 | malicious users: 6 | test acc 0.6993 test loss 1.372935 best test_acc 0.7591
e 47 | malicious users: 7 | test acc 0.7326 test loss 1.356236 best test_acc 0.7591
e 48 | malicious users: 6 | test acc 0.7143 test loss 1.547052 best test_acc 0.7591
e 49 | malicious users: 4 | test acc 0.6244 test loss 1.358992 best test_acc 0.7591
e 50 | malicious users: 7 | test acc 0.6855 test loss 1.450113 best test_acc 0.7591
e 51 | malicious users: 5 | test acc 0.7037 test loss 1.444025 best test_acc 0.7591
e 52 | malicious users: 6 | test acc 0.5962 test loss 1.353045 best test_acc 0.7591
e 53 | malicious users: 5 | test acc 0.7604 test loss 1.524856 best test_acc 0.7604
e 54 | malicious users: 5 | test acc 0.6716 test loss 1.288478 best test_acc 0.7604
e 55 | malicious users: 3 | test acc 0.7408 test loss 0.992589 best test_acc 0.7604
e 56 | malicious users: 7 | test acc 0.7138 test loss 1.394313 best test_acc 0.7604
e 57 | malicious users: 4 | test acc 0.7399 test loss 1.124077 best test_acc 0.7604
e 58 | malicious users: 4 | test acc 0.6727 test loss 1.145620 best test_acc 0.7604
e 59 | malicious users: 3 | test acc 0.7544 test loss 0.992673 best test_acc 0.7604
e 60 | malicious users: 4 | test acc 0.7583 test loss 1.128633 best test_acc 0.7604
e 61 | malicious users: 3 | test acc 0.7648 test loss 0.976421 best test_acc 0.7648
e 62 | malicious users: 9 | test acc 0.6908 test loss 1.311852 best test_acc 0.7648
e 63 | malicious users: 7 | test acc 0.7004 test loss 1.311511 best test_acc 0.7648
e 64 | malicious users: 9 | test acc 0.6529 test loss 1.224937 best test_acc 0.7648
e 65 | malicious users: 8 | test acc 0.6755 test loss 1.682498 best test_acc 0.7648
e 66 | malicious users: 8 | test acc 0.6832 test loss 1.556134 best test_acc 0.7648
e 67 | malicious users: 6 | test acc 0.7511 test loss 1.565718 best test_acc 0.7648
e 68 | malicious users: 3 | test acc 0.6739 test loss 1.074749 best test_acc 0.7648
e 69 | malicious users: 4 | test acc 0.7752 test loss 1.089054 best test_acc 0.7752
e 70 | malicious users: 4 | test acc 0.6499 test loss 1.231883 best test_acc 0.7752
e 71 | malicious users: 5 | test acc 0.6620 test loss 1.274771 best test_acc 0.7752
e 72 | malicious users: 6 | test acc 0.8052 test loss 1.353038 best test_acc 0.8052
e 73 | malicious users: 5 | test acc 0.7661 test loss 1.291090 best test_acc 0.8052
e 74 | malicious users: 7 | test acc 0.5890 test loss 1.718755 best test_acc 0.8052
