=> Saving data in Logs/FRL~try=598
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 6 | test acc 0.2407 test loss 2.278256 best test_acc 0.2407
e 1 | malicious users: 2 | test acc 0.1935 test loss 2.169458 best test_acc 0.2407
e 2 | malicious users: 3 | test acc 0.6070 test loss 2.093234 best test_acc 0.6070
e 3 | malicious users: 7 | test acc 0.4311 test loss 1.944937 best test_acc 0.6070
e 4 | malicious users: 7 | test acc 0.4765 test loss 1.946208 best test_acc 0.6070
e 5 | malicious users: 4 | test acc 0.5313 test loss 1.947122 best test_acc 0.6070
e 6 | malicious users: 5 | test acc 0.5316 test loss 1.793780 best test_acc 0.6070
e 7 | malicious users: 4 | test acc 0.6548 test loss 1.773172 best test_acc 0.6548
e 8 | malicious users: 5 | test acc 0.5962 test loss 1.396139 best test_acc 0.6548
e 9 | malicious users: 3 | test acc 0.6168 test loss 1.270034 best test_acc 0.6548
e 10 | malicious users: 6 | test acc 0.7101 test loss 1.202205 best test_acc 0.7101
e 11 | malicious users: 4 | test acc 0.5719 test loss 1.304644 best test_acc 0.7101
e 12 | malicious users: 4 | test acc 0.7121 test loss 1.221262 best test_acc 0.7121
e 13 | malicious users: 3 | test acc 0.7161 test loss 1.076779 best test_acc 0.7161
e 14 | malicious users: 5 | test acc 0.7460 test loss 0.735325 best test_acc 0.7460
e 15 | malicious users: 5 | test acc 0.6981 test loss 1.036341 best test_acc 0.7460
e 16 | malicious users: 7 | test acc 0.7825 test loss 1.048153 best test_acc 0.7825
e 17 | malicious users: 6 | test acc 0.7764 test loss 0.850147 best test_acc 0.7825
e 18 | malicious users: 4 | test acc 0.7787 test loss 1.139165 best test_acc 0.7825
e 19 | malicious users: 4 | test acc 0.6978 test loss 1.062122 best test_acc 0.7825
e 20 | malicious users: 4 | test acc 0.6832 test loss 1.092022 best test_acc 0.7825
e 21 | malicious users: 4 | test acc 0.7705 test loss 1.023972 best test_acc 0.7825
e 22 | malicious users: 6 | test acc 0.7809 test loss 0.834238 best test_acc 0.7825
e 23 | malicious users: 10 | test acc 0.7087 test loss 0.950302 best test_acc 0.7825
e 24 | malicious users: 6 | test acc 0.8647 test loss 0.797371 best test_acc 0.8647
e 25 | malicious users: 4 | test acc 0.7418 test loss 0.837918 best test_acc 0.8647
e 26 | malicious users: 5 | test acc 0.7519 test loss 0.946823 best test_acc 0.8647
e 27 | malicious users: 4 | test acc 0.8094 test loss 0.812070 best test_acc 0.8647
e 28 | malicious users: 6 | test acc 0.7140 test loss 0.954493 best test_acc 0.8647
e 29 | malicious users: 5 | test acc 0.7924 test loss 0.916408 best test_acc 0.8647
e 30 | malicious users: 6 | test acc 0.8144 test loss 0.866659 best test_acc 0.8647
e 31 | malicious users: 3 | test acc 0.8281 test loss 0.823253 best test_acc 0.8647
e 32 | malicious users: 4 | test acc 0.8573 test loss 0.651204 best test_acc 0.8647
e 33 | malicious users: 2 | test acc 0.7449 test loss 0.919530 best test_acc 0.8647
e 34 | malicious users: 3 | test acc 0.8156 test loss 0.726380 best test_acc 0.8647
e 35 | malicious users: 7 | test acc 0.8549 test loss 0.858970 best test_acc 0.8647
e 36 | malicious users: 7 | test acc 0.8782 test loss 0.574565 best test_acc 0.8782
e 37 | malicious users: 6 | test acc 0.7783 test loss 0.771411 best test_acc 0.8782
e 38 | malicious users: 8 | test acc 0.8496 test loss 0.528035 best test_acc 0.8782
e 39 | malicious users: 3 | test acc 0.8723 test loss 0.716426 best test_acc 0.8782
e 40 | malicious users: 5 | test acc 0.7783 test loss 0.675738 best test_acc 0.8782
e 41 | malicious users: 7 | test acc 0.8851 test loss 0.515110 best test_acc 0.8851
e 42 | malicious users: 3 | test acc 0.7284 test loss 0.824916 best test_acc 0.8851
e 43 | malicious users: 5 | test acc 0.9009 test loss 0.437567 best test_acc 0.9009
e 44 | malicious users: 4 | test acc 0.7762 test loss 0.762662 best test_acc 0.9009
e 45 | malicious users: 7 | test acc 0.8652 test loss 0.793821 best test_acc 0.9009
e 46 | malicious users: 6 | test acc 0.8155 test loss 0.527730 best test_acc 0.9009
e 47 | malicious users: 1 | test acc 0.7997 test loss 0.665022 best test_acc 0.9009
