=> Saving data in Logs/FRL~try=601
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 3 | test acc 0.1319 test loss 2.289231 best test_acc 0.1319
e 1 | malicious users: 6 | test acc 0.1758 test loss 2.291990 best test_acc 0.1758
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 2 | malicious users: 5 | test acc 0.0976 test loss 2.291104 best test_acc 0.1758
e 3 | malicious users: 5 | test acc 0.1232 test loss 2.274975 best test_acc 0.1758
e 4 | malicious users: 6 | test acc 0.1002 test loss 2.263705 best test_acc 0.1758
e 5 | malicious users: 6 | test acc 0.1070 test loss 2.270009 best test_acc 0.1758
e 6 | malicious users: 7 | test acc 0.0982 test loss 2.263738 best test_acc 0.1758
e 7 | malicious users: 6 | test acc 0.3052 test loss 2.236893 best test_acc 0.3052
e 8 | malicious users: 6 | test acc 0.2155 test loss 2.207601 best test_acc 0.3052
e 9 | malicious users: 7 | test acc 0.0960 test loss 2.253409 best test_acc 0.3052
e 10 | malicious users: 6 | test acc 0.3170 test loss 2.226399 best test_acc 0.3170
e 11 | malicious users: 7 | test acc 0.1364 test loss 2.238552 best test_acc 0.3170
e 12 | malicious users: 7 | test acc 0.0901 test loss 2.246466 best test_acc 0.3170
e 13 | malicious users: 3 | test acc 0.1760 test loss 2.219021 best test_acc 0.3170
e 14 | malicious users: 6 | test acc 0.2624 test loss 2.173215 best test_acc 0.3170
e 15 | malicious users: 5 | test acc 0.3504 test loss 2.143431 best test_acc 0.3504
e 16 | malicious users: 5 | test acc 0.3098 test loss 2.127943 best test_acc 0.3504
e 17 | malicious users: 6 | test acc 0.4357 test loss 2.076491 best test_acc 0.4357
e 18 | malicious users: 5 | test acc 0.3917 test loss 2.058444 best test_acc 0.4357
e 19 | malicious users: 8 | test acc 0.3733 test loss 2.129853 best test_acc 0.4357
e 20 | malicious users: 7 | test acc 0.3280 test loss 2.115268 best test_acc 0.4357
e 21 | malicious users: 2 | test acc 0.2519 test loss 2.137920 best test_acc 0.4357
e 22 | malicious users: 9 | test acc 0.3974 test loss 2.097040 best test_acc 0.4357
e 23 | malicious users: 6 | test acc 0.4382 test loss 2.031183 best test_acc 0.4382
e 24 | malicious users: 4 | test acc 0.3398 test loss 1.935091 best test_acc 0.4382
e 25 | malicious users: 5 | test acc 0.6252 test loss 1.783171 best test_acc 0.6252
