=> Saving data in Logs/FRL~try=602
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.3
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1813 test loss 2.278138 best test_acc 0.1813
e 1 | malicious users: 4 | test acc 0.1064 test loss 2.274804 best test_acc 0.1813
e 2 | malicious users: 2 | test acc 0.3865 test loss 2.163407 best test_acc 0.3865
e 3 | malicious users: 6 | test acc 0.3368 test loss 2.043451 best test_acc 0.3865
e 4 | malicious users: 8 | test acc 0.5748 test loss 1.892893 best test_acc 0.5748
e 5 | malicious users: 6 | test acc 0.5715 test loss 1.723063 best test_acc 0.5748
e 6 | malicious users: 1 | test acc 0.5852 test loss 1.628295 best test_acc 0.5852
e 7 | malicious users: 8 | test acc 0.5297 test loss 1.806512 best test_acc 0.5852
e 8 | malicious users: 5 | test acc 0.4968 test loss 1.667314 best test_acc 0.5852
e 9 | malicious users: 5 | test acc 0.5799 test loss 1.554013 best test_acc 0.5852
e 10 | malicious users: 4 | test acc 0.5370 test loss 1.333597 best test_acc 0.5852
e 11 | malicious users: 4 | test acc 0.6049 test loss 1.409204 best test_acc 0.6049
e 12 | malicious users: 4 | test acc 0.7157 test loss 1.144994 best test_acc 0.7157
e 13 | malicious users: 8 | test acc 0.6905 test loss 0.956227 best test_acc 0.7157
e 14 | malicious users: 8 | test acc 0.6508 test loss 1.256260 best test_acc 0.7157
e 15 | malicious users: 5 | test acc 0.7737 test loss 1.075925 best test_acc 0.7737
e 16 | malicious users: 7 | test acc 0.6862 test loss 1.030892 best test_acc 0.7737
e 17 | malicious users: 2 | test acc 0.6315 test loss 1.113486 best test_acc 0.7737
e 18 | malicious users: 5 | test acc 0.5864 test loss 1.164453 best test_acc 0.7737
e 19 | malicious users: 3 | test acc 0.7727 test loss 1.149202 best test_acc 0.7737
e 20 | malicious users: 7 | test acc 0.7782 test loss 0.875745 best test_acc 0.7782
e 21 | malicious users: 9 | test acc 0.7267 test loss 0.880450 best test_acc 0.7782
e 22 | malicious users: 5 | test acc 0.6323 test loss 1.004100 best test_acc 0.7782
e 23 | malicious users: 5 | test acc 0.6618 test loss 0.968804 best test_acc 0.7782
e 24 | malicious users: 3 | test acc 0.7490 test loss 0.746736 best test_acc 0.7782
e 25 | malicious users: 8 | test acc 0.8035 test loss 0.951004 best test_acc 0.8035
e 26 | malicious users: 6 | test acc 0.7773 test loss 0.720014 best test_acc 0.8035
e 27 | malicious users: 7 | test acc 0.7404 test loss 0.811297 best test_acc 0.8035
e 28 | malicious users: 5 | test acc 0.6499 test loss 1.075199 best test_acc 0.8035
e 29 | malicious users: 6 | test acc 0.7731 test loss 0.723571 best test_acc 0.8035
e 30 | malicious users: 3 | test acc 0.8576 test loss 0.754651 best test_acc 0.8576
