=> Saving data in Logs/FRL~try=605
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.9
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 4 | test acc 0.1020 test loss 2.291222 best test_acc 0.1020
e 1 | malicious users: 2 | test acc 0.2563 test loss 2.189945 best test_acc 0.2563
e 2 | malicious users: 7 | test acc 0.4280 test loss 2.111319 best test_acc 0.4280
e 3 | malicious users: 4 | test acc 0.4959 test loss 1.720692 best test_acc 0.4959
e 4 | malicious users: 2 | test acc 0.5217 test loss 1.467962 best test_acc 0.5217
e 5 | malicious users: 3 | test acc 0.6143 test loss 1.566321 best test_acc 0.6143
e 6 | malicious users: 4 | test acc 0.6968 test loss 1.166628 best test_acc 0.6968
e 7 | malicious users: 4 | test acc 0.6761 test loss 0.937338 best test_acc 0.6968
e 8 | malicious users: 6 | test acc 0.7144 test loss 1.016436 best test_acc 0.7144
e 9 | malicious users: 4 | test acc 0.7792 test loss 0.826524 best test_acc 0.7792
e 10 | malicious users: 7 | test acc 0.7746 test loss 0.917128 best test_acc 0.7792
e 11 | malicious users: 3 | test acc 0.8279 test loss 0.561913 best test_acc 0.8279
e 12 | malicious users: 6 | test acc 0.7263 test loss 0.957484 best test_acc 0.8279
e 13 | malicious users: 4 | test acc 0.8082 test loss 0.653697 best test_acc 0.8279
e 14 | malicious users: 2 | test acc 0.8263 test loss 0.807334 best test_acc 0.8279
e 15 | malicious users: 6 | test acc 0.8341 test loss 0.542045 best test_acc 0.8341
e 16 | malicious users: 4 | test acc 0.7894 test loss 0.694631 best test_acc 0.8341
e 17 | malicious users: 4 | test acc 0.8239 test loss 0.542028 best test_acc 0.8341
e 18 | malicious users: 5 | test acc 0.8635 test loss 0.603952 best test_acc 0.8635
e 19 | malicious users: 3 | test acc 0.9078 test loss 0.435785 best test_acc 0.9078
e 20 | malicious users: 4 | test acc 0.7569 test loss 0.596293 best test_acc 0.9078
e 21 | malicious users: 6 | test acc 0.7887 test loss 0.679283 best test_acc 0.9078
e 22 | malicious users: 4 | test acc 0.8417 test loss 0.471726 best test_acc 0.9078
e 23 | malicious users: 7 | test acc 0.8431 test loss 0.784044 best test_acc 0.9078
e 24 | malicious users: 3 | test acc 0.8320 test loss 0.511869 best test_acc 0.9078
e 25 | malicious users: 4 | test acc 0.8646 test loss 0.441584 best test_acc 0.9078
e 26 | malicious users: 6 | test acc 0.6974 test loss 0.902107 best test_acc 0.9078
