=> Saving data in Logs/FRL~try=606
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 7 | test acc 0.2011 test loss 5.507236 best test_acc 0.2011
e 1 | malicious users: 2 | test acc 0.1298 test loss 2.285334 best test_acc 0.2011
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 2 | malicious users: 6 | test acc 0.2124 test loss 2.213654 best test_acc 0.2124
e 3 | malicious users: 5 | test acc 0.2711 test loss 2.248496 best test_acc 0.2711
e 4 | malicious users: 6 | test acc 0.1571 test loss 2.237122 best test_acc 0.2711
e 5 | malicious users: 7 | test acc 0.1805 test loss 2.143857 best test_acc 0.2711
e 6 | malicious users: 4 | test acc 0.2576 test loss 1.999650 best test_acc 0.2711
e 7 | malicious users: 5 | test acc 0.3432 test loss 1.892573 best test_acc 0.3432
e 8 | malicious users: 4 | test acc 0.4640 test loss 1.868284 best test_acc 0.4640
e 9 | malicious users: 2 | test acc 0.4880 test loss 1.869275 best test_acc 0.4880
e 10 | malicious users: 6 | test acc 0.2640 test loss 2.301258 best test_acc 0.4880
e 11 | malicious users: 3 | test acc 0.2884 test loss 2.110788 best test_acc 0.4880
e 12 | malicious users: 4 | test acc 0.3870 test loss 1.797584 best test_acc 0.4880
e 13 | malicious users: 2 | test acc 0.3657 test loss 1.798775 best test_acc 0.4880
e 14 | malicious users: 4 | test acc 0.5255 test loss 1.855118 best test_acc 0.5255
e 15 | malicious users: 6 | test acc 0.4541 test loss 1.769742 best test_acc 0.5255
e 16 | malicious users: 4 | test acc 0.4636 test loss 1.668073 best test_acc 0.5255
e 17 | malicious users: 8 | test acc 0.1889 test loss 2.594955 best test_acc 0.5255
e 18 | malicious users: 10 | test acc 0.1117 test loss 11.374893 best test_acc 0.5255
e 19 | malicious users: 6 | test acc 0.0953 test loss 2.303056 best test_acc 0.5255
e 20 | malicious users: 3 | test acc 0.0982 test loss 2.293499 best test_acc 0.5255
e 21 | malicious users: 6 | test acc 0.1359 test loss 2.294904 best test_acc 0.5255
e 22 | malicious users: 6 | test acc 0.2421 test loss 2.281480 best test_acc 0.5255
e 23 | malicious users: 8 | test acc 0.1433 test loss 2.449193 best test_acc 0.5255
e 24 | malicious users: 2 | test acc 0.4014 test loss 2.088384 best test_acc 0.5255
e 25 | malicious users: 4 | test acc 0.2549 test loss 2.149233 best test_acc 0.5255
e 26 | malicious users: 5 | test acc 0.2663 test loss 1.977294 best test_acc 0.5255
e 27 | malicious users: 6 | test acc 0.3189 test loss 2.035907 best test_acc 0.5255
e 28 | malicious users: 4 | test acc 0.3546 test loss 2.063158 best test_acc 0.5255
e 29 | malicious users: 4 | test acc 0.4270 test loss 1.847417 best test_acc 0.5255
e 30 | malicious users: 5 | test acc 0.4379 test loss 1.964376 best test_acc 0.5255
e 31 | malicious users: 4 | test acc 0.3826 test loss 1.861138 best test_acc 0.5255
e 32 | malicious users: 3 | test acc 0.3699 test loss 1.731292 best test_acc 0.5255
e 33 | malicious users: 7 | test acc 0.2934 test loss 1.871047 best test_acc 0.5255
e 34 | malicious users: 4 | test acc 0.4483 test loss 1.793824 best test_acc 0.5255
e 35 | malicious users: 6 | test acc 0.5459 test loss 1.544889 best test_acc 0.5459
