=> Saving data in Logs/FRL~try=607
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.3
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 6 | test acc 0.2031 test loss 2.289887 best test_acc 0.2031
e 1 | malicious users: 3 | test acc 0.2517 test loss 2.136194 best test_acc 0.2517
e 2 | malicious users: 7 | test acc 0.3445 test loss 2.098121 best test_acc 0.3445
e 3 | malicious users: 4 | test acc 0.3828 test loss 2.112023 best test_acc 0.3828
e 4 | malicious users: 5 | test acc 0.4461 test loss 1.627584 best test_acc 0.4461
e 5 | malicious users: 2 | test acc 0.4862 test loss 1.876938 best test_acc 0.4862
e 6 | malicious users: 7 | test acc 0.3651 test loss 4.292881 best test_acc 0.4862
e 7 | malicious users: 4 | test acc 0.4124 test loss 2.017523 best test_acc 0.4862
e 8 | malicious users: 4 | test acc 0.5136 test loss 1.670929 best test_acc 0.5136
e 9 | malicious users: 3 | test acc 0.5481 test loss 1.569092 best test_acc 0.5481
e 10 | malicious users: 5 | test acc 0.5636 test loss 1.446406 best test_acc 0.5636
e 11 | malicious users: 3 | test acc 0.6897 test loss 1.335448 best test_acc 0.6897
e 12 | malicious users: 2 | test acc 0.7694 test loss 1.209908 best test_acc 0.7694
e 13 | malicious users: 6 | test acc 0.5216 test loss 1.202553 best test_acc 0.7694
e 14 | malicious users: 5 | test acc 0.5429 test loss 1.355314 best test_acc 0.7694
e 15 | malicious users: 6 | test acc 0.4826 test loss 1.481800 best test_acc 0.7694
e 16 | malicious users: 3 | test acc 0.6554 test loss 1.156106 best test_acc 0.7694
e 17 | malicious users: 8 | test acc 0.1803 test loss 2.375104 best test_acc 0.7694
e 18 | malicious users: 4 | test acc 0.4140 test loss 2.072483 best test_acc 0.7694
e 19 | malicious users: 7 | test acc 0.4208 test loss 2.042325 best test_acc 0.7694
e 20 | malicious users: 5 | test acc 0.5753 test loss 1.650976 best test_acc 0.7694
e 21 | malicious users: 6 | test acc 0.4153 test loss 1.495779 best test_acc 0.7694
e 22 | malicious users: 4 | test acc 0.5773 test loss 1.460202 best test_acc 0.7694
e 23 | malicious users: 2 | test acc 0.6045 test loss 1.301799 best test_acc 0.7694
e 24 | malicious users: 5 | test acc 0.5701 test loss 1.137078 best test_acc 0.7694
e 25 | malicious users: 4 | test acc 0.6258 test loss 1.177738 best test_acc 0.7694
e 26 | malicious users: 5 | test acc 0.7125 test loss 1.074754 best test_acc 0.7694
e 27 | malicious users: 3 | test acc 0.7355 test loss 0.902321 best test_acc 0.7694
e 28 | malicious users: 4 | test acc 0.7040 test loss 1.038956 best test_acc 0.7694
e 29 | malicious users: 3 | test acc 0.7589 test loss 0.884514 best test_acc 0.7694
