=> Saving data in Logs/FRL~try=608
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1020 test loss 2.569977 best test_acc 0.1020
e 1 | malicious users: 1 | test acc 0.4462 test loss 2.142903 best test_acc 0.4462
e 2 | malicious users: 4 | test acc 0.6182 test loss 1.711637 best test_acc 0.6182
e 3 | malicious users: 4 | test acc 0.4693 test loss 1.603491 best test_acc 0.6182
e 4 | malicious users: 3 | test acc 0.5849 test loss 1.301235 best test_acc 0.6182
e 5 | malicious users: 4 | test acc 0.5626 test loss 1.214095 best test_acc 0.6182
e 6 | malicious users: 2 | test acc 0.6375 test loss 1.169197 best test_acc 0.6375
e 7 | malicious users: 2 | test acc 0.6631 test loss 1.094654 best test_acc 0.6631
e 8 | malicious users: 4 | test acc 0.6932 test loss 1.056742 best test_acc 0.6932
e 9 | malicious users: 5 | test acc 0.6906 test loss 0.895547 best test_acc 0.6932
e 10 | malicious users: 5 | test acc 0.5025 test loss 1.355690 best test_acc 0.6932
e 11 | malicious users: 7 | test acc 0.6303 test loss 1.026645 best test_acc 0.6932
e 12 | malicious users: 6 | test acc 0.6971 test loss 0.783480 best test_acc 0.6971
e 13 | malicious users: 4 | test acc 0.5655 test loss 1.176844 best test_acc 0.6971
e 14 | malicious users: 5 | test acc 0.6942 test loss 0.853737 best test_acc 0.6971
e 15 | malicious users: 3 | test acc 0.6824 test loss 1.121268 best test_acc 0.6971
e 16 | malicious users: 7 | test acc 0.5975 test loss 1.381336 best test_acc 0.6971
e 17 | malicious users: 5 | test acc 0.6049 test loss 1.200753 best test_acc 0.6971
e 18 | malicious users: 5 | test acc 0.7952 test loss 0.619191 best test_acc 0.7952
e 19 | malicious users: 6 | test acc 0.5803 test loss 1.370920 best test_acc 0.7952
e 20 | malicious users: 3 | test acc 0.7961 test loss 0.644042 best test_acc 0.7961
e 21 | malicious users: 3 | test acc 0.7043 test loss 0.888410 best test_acc 0.7961
e 22 | malicious users: 6 | test acc 0.6307 test loss 1.019296 best test_acc 0.7961
e 23 | malicious users: 5 | test acc 0.6570 test loss 0.971088 best test_acc 0.7961
e 24 | malicious users: 2 | test acc 0.7504 test loss 0.790105 best test_acc 0.7961
e 25 | malicious users: 6 | test acc 0.6544 test loss 1.053742 best test_acc 0.7961
e 26 | malicious users: 6 | test acc 0.6426 test loss 1.082704 best test_acc 0.7961
e 27 | malicious users: 2 | test acc 0.5934 test loss 1.192672 best test_acc 0.7961
e 28 | malicious users: 4 | test acc 0.6639 test loss 1.096635 best test_acc 0.7961
e 29 | malicious users: 5 | test acc 0.7120 test loss 0.865411 best test_acc 0.7961
e 30 | malicious users: 3 | test acc 0.8513 test loss 0.676373 best test_acc 0.8513
e 31 | malicious users: 10 | test acc 0.5956 test loss 1.222258 best test_acc 0.8513
e 32 | malicious users: 5 | test acc 0.7409 test loss 0.830433 best test_acc 0.8513
e 33 | malicious users: 7 | test acc 0.5863 test loss 1.230323 best test_acc 0.8513
e 34 | malicious users: 3 | test acc 0.7657 test loss 0.894685 best test_acc 0.8513
e 35 | malicious users: 4 | test acc 0.8138 test loss 0.673137 best test_acc 0.8513
e 36 | malicious users: 7 | test acc 0.6085 test loss 1.170202 best test_acc 0.8513
e 37 | malicious users: 5 | test acc 0.6538 test loss 0.920952 best test_acc 0.8513
e 38 | malicious users: 5 | test acc 0.7908 test loss 0.753199 best test_acc 0.8513
e 39 | malicious users: 6 | test acc 0.5979 test loss 1.053767 best test_acc 0.8513
e 40 | malicious users: 7 | test acc 0.4217 test loss 1.771061 best test_acc 0.8513
e 41 | malicious users: 6 | test acc 0.7181 test loss 1.052273 best test_acc 0.8513
e 42 | malicious users: 3 | test acc 0.7984 test loss 0.857561 best test_acc 0.8513
e 43 | malicious users: 4 | test acc 0.8147 test loss 0.848743 best test_acc 0.8513
e 44 | malicious users: 5 | test acc 0.7993 test loss 0.754840 best test_acc 0.8513
e 45 | malicious users: 8 | test acc 0.2590 test loss 2.239054 best test_acc 0.8513
e 46 | malicious users: 3 | test acc 0.7751 test loss 1.035585 best test_acc 0.8513
e 47 | malicious users: 9 | test acc 0.1309 test loss 2.515013 best test_acc 0.8513
e 48 | malicious users: 3 | test acc 0.2848 test loss 2.052949 best test_acc 0.8513
e 49 | malicious users: 5 | test acc 0.6075 test loss 1.187983 best test_acc 0.8513
e 50 | malicious users: 4 | test acc 0.4811 test loss 1.587833 best test_acc 0.8513
e 51 | malicious users: 5 | test acc 0.6468 test loss 1.119035 best test_acc 0.8513
e 52 | malicious users: 5 | test acc 0.5213 test loss 1.238071 best test_acc 0.8513
e 53 | malicious users: 4 | test acc 0.7893 test loss 0.767012 best test_acc 0.8513
e 54 | malicious users: 7 | test acc 0.5200 test loss 1.248691 best test_acc 0.8513
e 55 | malicious users: 9 | test acc 0.1044 test loss 4.980881 best test_acc 0.8513
e 56 | malicious users: 4 | test acc 0.0985 test loss 2.298688 best test_acc 0.8513
e 57 | malicious users: 7 | test acc 0.1042 test loss 2.570811 best test_acc 0.8513
e 58 | malicious users: 5 | test acc 0.1970 test loss 2.267902 best test_acc 0.8513
e 59 | malicious users: 6 | test acc 0.3770 test loss 1.910997 best test_acc 0.8513
e 60 | malicious users: 3 | test acc 0.6022 test loss 1.419628 best test_acc 0.8513
e 61 | malicious users: 8 | test acc 0.1856 test loss 1.936752 best test_acc 0.8513
e 62 | malicious users: 8 | test acc 0.6231 test loss 1.631311 best test_acc 0.8513
e 63 | malicious users: 8 | test acc 0.2606 test loss 2.226526 best test_acc 0.8513
e 64 | malicious users: 4 | test acc 0.5906 test loss 1.339681 best test_acc 0.8513
e 65 | malicious users: 4 | test acc 0.5628 test loss 1.152970 best test_acc 0.8513
e 66 | malicious users: 11 | test acc 0.2520 test loss 2.145242 best test_acc 0.8513
e 67 | malicious users: 5 | test acc 0.6110 test loss 1.337584 best test_acc 0.8513
e 68 | malicious users: 4 | test acc 0.5938 test loss 1.274243 best test_acc 0.8513
e 69 | malicious users: 3 | test acc 0.6219 test loss 1.167684 best test_acc 0.8513
e 70 | malicious users: 4 | test acc 0.5074 test loss 1.243339 best test_acc 0.8513
e 71 | malicious users: 5 | test acc 0.6185 test loss 1.092302 best test_acc 0.8513
e 72 | malicious users: 4 | test acc 0.7535 test loss 0.951124 best test_acc 0.8513
e 73 | malicious users: 3 | test acc 0.6646 test loss 1.064852 best test_acc 0.8513
e 74 | malicious users: 5 | test acc 0.6368 test loss 1.035247 best test_acc 0.8513
e 75 | malicious users: 5 | test acc 0.7112 test loss 0.894771 best test_acc 0.8513
e 76 | malicious users: 1 | test acc 0.6656 test loss 1.013981 best test_acc 0.8513
e 77 | malicious users: 3 | test acc 0.7279 test loss 0.824265 best test_acc 0.8513
e 78 | malicious users: 6 | test acc 0.5521 test loss 1.111990 best test_acc 0.8513
e 79 | malicious users: 3 | test acc 0.7519 test loss 1.037872 best test_acc 0.8513
e 80 | malicious users: 8 | test acc 0.2191 test loss 2.208288 best test_acc 0.8513
e 81 | malicious users: 8 | test acc 0.3167 test loss 2.102885 best test_acc 0.8513
e 82 | malicious users: 5 | test acc 0.6894 test loss 1.178278 best test_acc 0.8513
e 83 | malicious users: 5 | test acc 0.5472 test loss 1.272829 best test_acc 0.8513
e 84 | malicious users: 5 | test acc 0.6670 test loss 1.081124 best test_acc 0.8513
e 85 | malicious users: 6 | test acc 0.6098 test loss 1.294521 best test_acc 0.8513
e 86 | malicious users: 3 | test acc 0.7092 test loss 0.954216 best test_acc 0.8513
e 87 | malicious users: 9 | test acc 0.3042 test loss 2.116784 best test_acc 0.8513
e 88 | malicious users: 4 | test acc 0.4872 test loss 1.804410 best test_acc 0.8513
e 89 | malicious users: 4 | test acc 0.6064 test loss 1.218284 best test_acc 0.8513
e 90 | malicious users: 6 | test acc 0.5496 test loss 1.389625 best test_acc 0.8513
e 91 | malicious users: 6 | test acc 0.5236 test loss 1.340030 best test_acc 0.8513
e 92 | malicious users: 2 | test acc 0.7059 test loss 1.544114 best test_acc 0.8513
e 93 | malicious users: 6 | test acc 0.5958 test loss 1.194515 best test_acc 0.8513
e 94 | malicious users: 4 | test acc 0.4278 test loss 1.378687 best test_acc 0.8513
e 95 | malicious users: 4 | test acc 0.6257 test loss 1.003893 best test_acc 0.8513
e 96 | malicious users: 4 | test acc 0.7462 test loss 1.267997 best test_acc 0.8513
e 97 | malicious users: 3 | test acc 0.6629 test loss 0.965935 best test_acc 0.8513
e 98 | malicious users: 2 | test acc 0.7359 test loss 1.271986 best test_acc 0.8513
e 99 | malicious users: 5 | test acc 0.6878 test loss 0.874104 best test_acc 0.8513
e 100 | malicious users: 6 | test acc 0.5834 test loss 1.187399 best test_acc 0.8513
e 101 | malicious users: 3 | test acc 0.7814 test loss 0.833945 best test_acc 0.8513
e 102 | malicious users: 5 | test acc 0.6414 test loss 1.019916 best test_acc 0.8513
e 103 | malicious users: 7 | test acc 0.5333 test loss 1.348653 best test_acc 0.8513
e 104 | malicious users: 4 | test acc 0.7362 test loss 1.005050 best test_acc 0.8513
e 105 | malicious users: 4 | test acc 0.5835 test loss 1.070748 best test_acc 0.8513
e 106 | malicious users: 6 | test acc 0.5561 test loss 1.264063 best test_acc 0.8513
e 107 | malicious users: 2 | test acc 0.7110 test loss 0.885813 best test_acc 0.8513
e 108 | malicious users: 5 | test acc 0.6765 test loss 1.054968 best test_acc 0.8513
e 109 | malicious users: 7 | test acc 0.5851 test loss 1.082934 best test_acc 0.8513
e 110 | malicious users: 2 | test acc 0.5938 test loss 1.209538 best test_acc 0.8513
e 111 | malicious users: 5 | test acc 0.7184 test loss 0.858166 best test_acc 0.8513
e 112 | malicious users: 6 | test acc 0.7291 test loss 1.022582 best test_acc 0.8513
e 113 | malicious users: 3 | test acc 0.7525 test loss 0.933480 best test_acc 0.8513
e 114 | malicious users: 6 | test acc 0.7112 test loss 0.830992 best test_acc 0.8513
e 115 | malicious users: 9 | test acc 0.2717 test loss 3.335847 best test_acc 0.8513
e 116 | malicious users: 6 | test acc 0.1262 test loss 2.153232 best test_acc 0.8513
e 117 | malicious users: 7 | test acc 0.2596 test loss 1.935556 best test_acc 0.8513
e 118 | malicious users: 6 | test acc 0.3470 test loss 1.747315 best test_acc 0.8513
e 119 | malicious users: 7 | test acc 0.6362 test loss 1.384788 best test_acc 0.8513
e 120 | malicious users: 1 | test acc 0.6325 test loss 1.347132 best test_acc 0.8513
e 121 | malicious users: 6 | test acc 0.6338 test loss 1.017055 best test_acc 0.8513
e 122 | malicious users: 7 | test acc 0.2790 test loss 1.920642 best test_acc 0.8513
e 123 | malicious users: 5 | test acc 0.6130 test loss 1.340226 best test_acc 0.8513
e 124 | malicious users: 4 | test acc 0.3395 test loss 1.620809 best test_acc 0.8513
e 125 | malicious users: 2 | test acc 0.6028 test loss 1.385357 best test_acc 0.8513
e 126 | malicious users: 3 | test acc 0.5503 test loss 1.543066 best test_acc 0.8513
e 127 | malicious users: 9 | test acc 0.4826 test loss 1.328959 best test_acc 0.8513
e 128 | malicious users: 5 | test acc 0.3331 test loss 1.713288 best test_acc 0.8513
e 129 | malicious users: 7 | test acc 0.5817 test loss 1.217508 best test_acc 0.8513
e 130 | malicious users: 3 | test acc 0.4654 test loss 1.682395 best test_acc 0.8513
e 131 | malicious users: 6 | test acc 0.4530 test loss 1.593438 best test_acc 0.8513
e 132 | malicious users: 5 | test acc 0.3833 test loss 1.765676 best test_acc 0.8513
e 133 | malicious users: 5 | test acc 0.5302 test loss 1.403571 best test_acc 0.8513
e 134 | malicious users: 4 | test acc 0.1869 test loss 1.896582 best test_acc 0.8513
e 135 | malicious users: 5 | test acc 0.6463 test loss 1.551736 best test_acc 0.8513
e 136 | malicious users: 4 | test acc 0.6249 test loss 1.123369 best test_acc 0.8513
e 137 | malicious users: 6 | test acc 0.6025 test loss 1.478434 best test_acc 0.8513
e 138 | malicious users: 4 | test acc 0.6331 test loss 1.144023 best test_acc 0.8513
e 139 | malicious users: 5 | test acc 0.3716 test loss 1.559250 best test_acc 0.8513
e 140 | malicious users: 10 | test acc 0.3149 test loss 1.656206 best test_acc 0.8513
e 141 | malicious users: 5 | test acc 0.5481 test loss 1.318388 best test_acc 0.8513
e 142 | malicious users: 3 | test acc 0.6082 test loss 1.265242 best test_acc 0.8513
e 143 | malicious users: 6 | test acc 0.5540 test loss 1.142156 best test_acc 0.8513
e 144 | malicious users: 8 | test acc 0.3039 test loss 2.000430 best test_acc 0.8513
e 145 | malicious users: 3 | test acc 0.3611 test loss 1.761981 best test_acc 0.8513
e 146 | malicious users: 7 | test acc 0.6349 test loss 1.275198 best test_acc 0.8513
e 147 | malicious users: 3 | test acc 0.4199 test loss 1.512269 best test_acc 0.8513
e 148 | malicious users: 6 | test acc 0.5618 test loss 1.316999 best test_acc 0.8513
e 149 | malicious users: 6 | test acc 0.3956 test loss 1.720827 best test_acc 0.8513
e 150 | malicious users: 1 | test acc 0.5908 test loss 1.665012 best test_acc 0.8513
e 151 | malicious users: 7 | test acc 0.4608 test loss 1.475065 best test_acc 0.8513
e 152 | malicious users: 4 | test acc 0.4586 test loss 1.756941 best test_acc 0.8513
e 153 | malicious users: 4 | test acc 0.5158 test loss 1.521129 best test_acc 0.8513
e 154 | malicious users: 4 | test acc 0.4677 test loss 1.666356 best test_acc 0.8513
e 155 | malicious users: 5 | test acc 0.5432 test loss 1.315811 best test_acc 0.8513
e 156 | malicious users: 5 | test acc 0.5513 test loss 1.496673 best test_acc 0.8513
e 157 | malicious users: 4 | test acc 0.4382 test loss 1.482822 best test_acc 0.8513
e 158 | malicious users: 2 | test acc 0.6064 test loss 1.375339 best test_acc 0.8513
e 159 | malicious users: 5 | test acc 0.5631 test loss 1.287306 best test_acc 0.8513
e 160 | malicious users: 6 | test acc 0.2571 test loss 1.858739 best test_acc 0.8513
e 161 | malicious users: 6 | test acc 0.4716 test loss 1.721497 best test_acc 0.8513
