=> Saving data in Logs/FRL~try=611
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 4 | test acc 0.2259 test loss 2.289506 best test_acc 0.2259
e 1 | malicious users: 4 | test acc 0.1524 test loss 2.281515 best test_acc 0.2259
e 2 | malicious users: 3 | test acc 0.3621 test loss 2.219689 best test_acc 0.3621
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 3 | malicious users: 6 | test acc 0.3622 test loss 2.156643 best test_acc 0.3622
e 4 | malicious users: 4 | test acc 0.2441 test loss 2.139246 best test_acc 0.3622
e 5 | malicious users: 5 | test acc 0.5510 test loss 1.853133 best test_acc 0.5510
e 6 | malicious users: 6 | test acc 0.5055 test loss 1.891265 best test_acc 0.5510
e 7 | malicious users: 4 | test acc 0.3634 test loss 1.732314 best test_acc 0.5510
e 8 | malicious users: 2 | test acc 0.6133 test loss 1.686856 best test_acc 0.6133
e 9 | malicious users: 6 | test acc 0.3785 test loss 1.644117 best test_acc 0.6133
e 10 | malicious users: 4 | test acc 0.6558 test loss 1.526231 best test_acc 0.6558
e 11 | malicious users: 5 | test acc 0.5806 test loss 1.360281 best test_acc 0.6558
e 12 | malicious users: 4 | test acc 0.7260 test loss 1.430606 best test_acc 0.7260
e 13 | malicious users: 4 | test acc 0.6910 test loss 1.333698 best test_acc 0.7260
e 14 | malicious users: 6 | test acc 0.5874 test loss 1.550912 best test_acc 0.7260
e 15 | malicious users: 3 | test acc 0.7457 test loss 1.314861 best test_acc 0.7457
e 16 | malicious users: 6 | test acc 0.7584 test loss 1.162367 best test_acc 0.7584
e 17 | malicious users: 5 | test acc 0.7302 test loss 1.158174 best test_acc 0.7584
e 18 | malicious users: 5 | test acc 0.6490 test loss 1.414875 best test_acc 0.7584
e 19 | malicious users: 3 | test acc 0.7535 test loss 1.224760 best test_acc 0.7584
e 20 | malicious users: 2 | test acc 0.8468 test loss 1.148701 best test_acc 0.8468
e 21 | malicious users: 5 | test acc 0.7261 test loss 1.075670 best test_acc 0.8468
