=> Saving data in Logs/FRL~try=613
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 7 | test acc 0.1021 test loss 3.031490 best test_acc 0.1021
e 1 | malicious users: 4 | test acc 0.1799 test loss 2.225304 best test_acc 0.1799
e 2 | malicious users: 4 | test acc 0.4854 test loss 1.924945 best test_acc 0.4854
e 3 | malicious users: 8 | test acc 0.2299 test loss 2.228416 best test_acc 0.4854
e 4 | malicious users: 6 | test acc 0.5162 test loss 1.502128 best test_acc 0.5162
e 5 | malicious users: 4 | test acc 0.4954 test loss 1.342797 best test_acc 0.5162
e 6 | malicious users: 2 | test acc 0.6343 test loss 1.222065 best test_acc 0.6343
e 7 | malicious users: 6 | test acc 0.5556 test loss 1.247612 best test_acc 0.6343
e 8 | malicious users: 7 | test acc 0.5818 test loss 1.346293 best test_acc 0.6343
e 9 | malicious users: 6 | test acc 0.5825 test loss 1.276658 best test_acc 0.6343
e 10 | malicious users: 4 | test acc 0.6833 test loss 1.180414 best test_acc 0.6833
e 11 | malicious users: 5 | test acc 0.6129 test loss 1.134736 best test_acc 0.6833
e 12 | malicious users: 6 | test acc 0.5311 test loss 1.227133 best test_acc 0.6833
e 13 | malicious users: 5 | test acc 0.6109 test loss 1.055117 best test_acc 0.6833
e 14 | malicious users: 5 | test acc 0.6799 test loss 1.023607 best test_acc 0.6833
e 15 | malicious users: 5 | test acc 0.5984 test loss 1.039403 best test_acc 0.6833
e 16 | malicious users: 6 | test acc 0.5342 test loss 1.144911 best test_acc 0.6833
e 17 | malicious users: 3 | test acc 0.6954 test loss 0.951832 best test_acc 0.6954
e 18 | malicious users: 7 | test acc 0.5398 test loss 1.296292 best test_acc 0.6954
e 19 | malicious users: 6 | test acc 0.5286 test loss 1.515017 best test_acc 0.6954
e 20 | malicious users: 2 | test acc 0.7173 test loss 0.843173 best test_acc 0.7173
e 21 | malicious users: 6 | test acc 0.7063 test loss 1.020087 best test_acc 0.7173
e 22 | malicious users: 4 | test acc 0.7822 test loss 0.877154 best test_acc 0.7822
