=> Saving data in Logs/FRL~try=616
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 7 | test acc 0.1019 test loss 2.303304 best test_acc 0.1019
e 1 | malicious users: 8 | test acc 0.0984 test loss 2.304298 best test_acc 0.1019
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 2 | malicious users: 3 | test acc 0.1013 test loss 2.305015 best test_acc 0.1019
e 3 | malicious users: 5 | test acc 0.1186 test loss 2.308297 best test_acc 0.1186
e 4 | malicious users: 5 | test acc 0.0982 test loss 2.458542 best test_acc 0.1186
e 5 | malicious users: 8 | test acc 0.1035 test loss 4.280414 best test_acc 0.1186
e 6 | malicious users: 8 | test acc 0.1134 test loss 2.306703 best test_acc 0.1186
e 7 | malicious users: 2 | test acc 0.0976 test loss 2.306542 best test_acc 0.1186
e 8 | malicious users: 2 | test acc 0.1006 test loss 2.303192 best test_acc 0.1186
e 9 | malicious users: 6 | test acc 0.1168 test loss 2.974518 best test_acc 0.1186
e 10 | malicious users: 4 | test acc 0.1052 test loss 2.304207 best test_acc 0.1186
e 11 | malicious users: 3 | test acc 0.1392 test loss 2.270996 best test_acc 0.1392
e 12 | malicious users: 11 | test acc 0.1841 test loss 2.337582 best test_acc 0.1841
e 13 | malicious users: 6 | test acc 0.1020 test loss 2.760087 best test_acc 0.1841
e 14 | malicious users: 10 | test acc 0.1020 test loss 5.980100 best test_acc 0.1841
e 15 | malicious users: 4 | test acc 0.1020 test loss 2.282803 best test_acc 0.1841
e 16 | malicious users: 4 | test acc 0.1307 test loss 2.265634 best test_acc 0.1841
e 17 | malicious users: 7 | test acc 0.1722 test loss 2.503117 best test_acc 0.1841
e 18 | malicious users: 3 | test acc 0.1705 test loss 2.207446 best test_acc 0.1841
e 19 | malicious users: 7 | test acc 0.1004 test loss 2.307552 best test_acc 0.1841
e 20 | malicious users: 7 | test acc 0.1294 test loss 2.987819 best test_acc 0.1841
e 21 | malicious users: 6 | test acc 0.2412 test loss 2.216130 best test_acc 0.2412
e 22 | malicious users: 3 | test acc 0.3623 test loss 2.057805 best test_acc 0.3623
e 23 | malicious users: 4 | test acc 0.2393 test loss 2.123163 best test_acc 0.3623
e 24 | malicious users: 9 | test acc 0.1014 test loss 5.762732 best test_acc 0.3623
e 25 | malicious users: 9 | test acc 0.1020 test loss 2.301143 best test_acc 0.3623
e 26 | malicious users: 6 | test acc 0.1933 test loss 2.308663 best test_acc 0.3623
e 27 | malicious users: 4 | test acc 0.1890 test loss 2.253175 best test_acc 0.3623
e 28 | malicious users: 4 | test acc 0.1135 test loss 2.266696 best test_acc 0.3623
e 29 | malicious users: 3 | test acc 0.1834 test loss 2.244933 best test_acc 0.3623
e 30 | malicious users: 3 | test acc 0.1744 test loss 2.189966 best test_acc 0.3623
e 31 | malicious users: 3 | test acc 0.1538 test loss 2.206536 best test_acc 0.3623
e 32 | malicious users: 3 | test acc 0.2161 test loss 2.248573 best test_acc 0.3623
e 33 | malicious users: 7 | test acc 0.2353 test loss 2.067581 best test_acc 0.3623
e 34 | malicious users: 5 | test acc 0.1777 test loss 2.230788 best test_acc 0.3623
e 35 | malicious users: 5 | test acc 0.1499 test loss 2.678520 best test_acc 0.3623
e 36 | malicious users: 3 | test acc 0.2480 test loss 2.199350 best test_acc 0.3623
e 37 | malicious users: 8 | test acc 0.1435 test loss 2.301342 best test_acc 0.3623
e 38 | malicious users: 2 | test acc 0.2573 test loss 2.257098 best test_acc 0.3623
e 39 | malicious users: 7 | test acc 0.0796 test loss 2.301074 best test_acc 0.3623
e 40 | malicious users: 6 | test acc 0.1013 test loss 2.333446 best test_acc 0.3623
e 41 | malicious users: 9 | test acc 0.1383 test loss 2.288076 best test_acc 0.3623
e 42 | malicious users: 6 | test acc 0.1117 test loss 2.374342 best test_acc 0.3623
e 43 | malicious users: 5 | test acc 0.1554 test loss 2.264756 best test_acc 0.3623
e 44 | malicious users: 6 | test acc 0.1323 test loss 2.288981 best test_acc 0.3623
e 45 | malicious users: 3 | test acc 0.0798 test loss 2.247796 best test_acc 0.3623
e 46 | malicious users: 3 | test acc 0.0909 test loss 2.247066 best test_acc 0.3623
e 47 | malicious users: 4 | test acc 0.1268 test loss 2.262896 best test_acc 0.3623
e 48 | malicious users: 4 | test acc 0.0991 test loss 2.202626 best test_acc 0.3623
e 49 | malicious users: 3 | test acc 0.1715 test loss 2.235294 best test_acc 0.3623
e 50 | malicious users: 4 | test acc 0.1373 test loss 2.207618 best test_acc 0.3623
e 51 | malicious users: 6 | test acc 0.1009 test loss 2.512818 best test_acc 0.3623
e 52 | malicious users: 6 | test acc 0.1013 test loss 2.290848 best test_acc 0.3623
