=> Saving data in Logs/FRL~try=617
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.3
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 2 | test acc 0.1009 test loss 2.262943 best test_acc 0.1009
e 1 | malicious users: 4 | test acc 0.1117 test loss 2.219105 best test_acc 0.1117
e 2 | malicious users: 4 | test acc 0.4423 test loss 2.027143 best test_acc 0.4423
e 3 | malicious users: 2 | test acc 0.4742 test loss 1.732834 best test_acc 0.4742
e 4 | malicious users: 3 | test acc 0.5621 test loss 1.514237 best test_acc 0.5621
e 5 | malicious users: 9 | test acc 0.2517 test loss 2.504627 best test_acc 0.5621
e 6 | malicious users: 6 | test acc 0.2102 test loss 2.039965 best test_acc 0.5621
e 7 | malicious users: 7 | test acc 0.1461 test loss 2.366490 best test_acc 0.5621
e 8 | malicious users: 5 | test acc 0.5143 test loss 1.679583 best test_acc 0.5621
e 9 | malicious users: 4 | test acc 0.5413 test loss 1.379200 best test_acc 0.5621
e 10 | malicious users: 2 | test acc 0.6147 test loss 1.563934 best test_acc 0.6147
e 11 | malicious users: 4 | test acc 0.5636 test loss 1.237450 best test_acc 0.6147
e 12 | malicious users: 6 | test acc 0.6183 test loss 1.368787 best test_acc 0.6183
e 13 | malicious users: 5 | test acc 0.5042 test loss 1.395891 best test_acc 0.6183
e 14 | malicious users: 1 | test acc 0.6503 test loss 1.162686 best test_acc 0.6503
e 15 | malicious users: 5 | test acc 0.4488 test loss 1.461221 best test_acc 0.6503
e 16 | malicious users: 6 | test acc 0.3028 test loss 2.169878 best test_acc 0.6503
e 17 | malicious users: 5 | test acc 0.6525 test loss 1.329832 best test_acc 0.6525
e 18 | malicious users: 6 | test acc 0.4909 test loss 1.439243 best test_acc 0.6525
e 19 | malicious users: 9 | test acc 0.1185 test loss 9.118355 best test_acc 0.6525
e 20 | malicious users: 6 | test acc 0.3377 test loss 2.198021 best test_acc 0.6525
e 21 | malicious users: 8 | test acc 0.1009 test loss 2.304055 best test_acc 0.6525
e 22 | malicious users: 9 | test acc 0.0215 test loss 2.320263 best test_acc 0.6525
e 23 | malicious users: 5 | test acc 0.0982 test loss 2.303448 best test_acc 0.6525
e 24 | malicious users: 8 | test acc 0.1134 test loss 2.303601 best test_acc 0.6525
e 25 | malicious users: 7 | test acc 0.0953 test loss 3.454684 best test_acc 0.6525
e 26 | malicious users: 4 | test acc 0.0976 test loss 2.308822 best test_acc 0.6525
e 27 | malicious users: 4 | test acc 0.0953 test loss 2.335114 best test_acc 0.6525
e 28 | malicious users: 11 | test acc 0.1134 test loss 2.413305 best test_acc 0.6525
e 29 | malicious users: 6 | test acc 0.1020 test loss 2.357476 best test_acc 0.6525
e 30 | malicious users: 4 | test acc 0.0976 test loss 2.310933 best test_acc 0.6525
e 31 | malicious users: 4 | test acc 0.1075 test loss 2.391592 best test_acc 0.6525
e 32 | malicious users: 4 | test acc 0.1535 test loss 2.308184 best test_acc 0.6525
e 33 | malicious users: 2 | test acc 0.1246 test loss 2.221195 best test_acc 0.6525
e 34 | malicious users: 7 | test acc 0.0998 test loss 2.176850 best test_acc 0.6525
e 35 | malicious users: 9 | test acc 0.3080 test loss 2.025490 best test_acc 0.6525
e 36 | malicious users: 8 | test acc 0.0722 test loss 2.763765 best test_acc 0.6525
e 37 | malicious users: 3 | test acc 0.1012 test loss 2.298262 best test_acc 0.6525
e 38 | malicious users: 9 | test acc 0.0981 test loss 2.304765 best test_acc 0.6525
e 39 | malicious users: 8 | test acc 0.1009 test loss 2.307252 best test_acc 0.6525
e 40 | malicious users: 6 | test acc 0.0976 test loss 2.455247 best test_acc 0.6525
e 41 | malicious users: 4 | test acc 0.0953 test loss 2.302076 best test_acc 0.6525
e 42 | malicious users: 7 | test acc 0.0625 test loss 2.316449 best test_acc 0.6525
e 43 | malicious users: 8 | test acc 0.0953 test loss 2.329702 best test_acc 0.6525
e 44 | malicious users: 5 | test acc 0.1825 test loss 2.275629 best test_acc 0.6525
e 45 | malicious users: 5 | test acc 0.2226 test loss 2.137704 best test_acc 0.6525
e 46 | malicious users: 3 | test acc 0.3900 test loss 2.089340 best test_acc 0.6525
e 47 | malicious users: 5 | test acc 0.2394 test loss 2.062885 best test_acc 0.6525
e 48 | malicious users: 8 | test acc 0.3712 test loss 1.824918 best test_acc 0.6525
e 49 | malicious users: 7 | test acc 0.1057 test loss 2.280906 best test_acc 0.6525
e 50 | malicious users: 7 | test acc 0.3111 test loss 2.016387 best test_acc 0.6525
e 51 | malicious users: 6 | test acc 0.2618 test loss 2.202665 best test_acc 0.6525
e 52 | malicious users: 4 | test acc 0.2602 test loss 1.992625 best test_acc 0.6525
e 53 | malicious users: 4 | test acc 0.3674 test loss 1.838064 best test_acc 0.6525
e 54 | malicious users: 5 | test acc 0.2706 test loss 1.728445 best test_acc 0.6525
e 55 | malicious users: 4 | test acc 0.1923 test loss 2.157038 best test_acc 0.6525
e 56 | malicious users: 3 | test acc 0.2483 test loss 1.868058 best test_acc 0.6525
e 57 | malicious users: 3 | test acc 0.4096 test loss 1.886039 best test_acc 0.6525
e 58 | malicious users: 3 | test acc 0.2588 test loss 1.960723 best test_acc 0.6525
e 59 | malicious users: 8 | test acc 0.3001 test loss 1.710453 best test_acc 0.6525
e 60 | malicious users: 5 | test acc 0.1820 test loss 2.022240 best test_acc 0.6525
e 61 | malicious users: 5 | test acc 0.1967 test loss 1.964472 best test_acc 0.6525
e 62 | malicious users: 7 | test acc 0.1917 test loss 2.042353 best test_acc 0.6525
e 63 | malicious users: 4 | test acc 0.4064 test loss 1.971113 best test_acc 0.6525
e 64 | malicious users: 8 | test acc 0.0968 test loss 2.625344 best test_acc 0.6525
e 65 | malicious users: 2 | test acc 0.1597 test loss 2.294759 best test_acc 0.6525
e 66 | malicious users: 5 | test acc 0.1122 test loss 2.374355 best test_acc 0.6525
e 67 | malicious users: 1 | test acc 0.1861 test loss 2.216437 best test_acc 0.6525
e 68 | malicious users: 4 | test acc 0.0943 test loss 2.037170 best test_acc 0.6525
e 69 | malicious users: 7 | test acc 0.3088 test loss 1.976744 best test_acc 0.6525
e 70 | malicious users: 1 | test acc 0.1731 test loss 2.050530 best test_acc 0.6525
e 71 | malicious users: 3 | test acc 0.2257 test loss 2.008435 best test_acc 0.6525
e 72 | malicious users: 5 | test acc 0.3605 test loss 1.812891 best test_acc 0.6525
e 73 | malicious users: 3 | test acc 0.2391 test loss 2.005467 best test_acc 0.6525
e 74 | malicious users: 6 | test acc 0.3612 test loss 1.827231 best test_acc 0.6525
e 75 | malicious users: 5 | test acc 0.2044 test loss 2.062412 best test_acc 0.6525
e 76 | malicious users: 3 | test acc 0.1949 test loss 1.991644 best test_acc 0.6525
e 77 | malicious users: 3 | test acc 0.3297 test loss 2.069202 best test_acc 0.6525
e 78 | malicious users: 2 | test acc 0.2447 test loss 1.884690 best test_acc 0.6525
e 79 | malicious users: 6 | test acc 0.3171 test loss 1.772282 best test_acc 0.6525
e 80 | malicious users: 7 | test acc 0.2562 test loss 1.979604 best test_acc 0.6525
e 81 | malicious users: 3 | test acc 0.3571 test loss 1.969644 best test_acc 0.6525
e 82 | malicious users: 5 | test acc 0.2757 test loss 1.771243 best test_acc 0.6525
e 83 | malicious users: 3 | test acc 0.3164 test loss 1.882169 best test_acc 0.6525
e 84 | malicious users: 4 | test acc 0.3731 test loss 1.867622 best test_acc 0.6525
e 85 | malicious users: 6 | test acc 0.4534 test loss 1.509240 best test_acc 0.6525
e 86 | malicious users: 5 | test acc 0.4444 test loss 1.884368 best test_acc 0.6525
e 87 | malicious users: 5 | test acc 0.4173 test loss 1.675072 best test_acc 0.6525
e 88 | malicious users: 8 | test acc 0.2463 test loss 3.256537 best test_acc 0.6525
e 89 | malicious users: 4 | test acc 0.1851 test loss 2.267228 best test_acc 0.6525
e 90 | malicious users: 2 | test acc 0.1827 test loss 2.265521 best test_acc 0.6525
e 91 | malicious users: 3 | test acc 0.1469 test loss 2.234033 best test_acc 0.6525
e 92 | malicious users: 5 | test acc 0.1683 test loss 2.159607 best test_acc 0.6525
e 93 | malicious users: 4 | test acc 0.1557 test loss 2.123536 best test_acc 0.6525
e 94 | malicious users: 6 | test acc 0.2941 test loss 2.027769 best test_acc 0.6525
e 95 | malicious users: 3 | test acc 0.2921 test loss 2.142210 best test_acc 0.6525
e 96 | malicious users: 9 | test acc 0.3160 test loss 2.591792 best test_acc 0.6525
e 97 | malicious users: 6 | test acc 0.2600 test loss 2.231595 best test_acc 0.6525
e 98 | malicious users: 7 | test acc 0.2594 test loss 2.099071 best test_acc 0.6525
e 99 | malicious users: 7 | test acc 0.1964 test loss 2.209673 best test_acc 0.6525
e 100 | malicious users: 6 | test acc 0.1538 test loss 2.351068 best test_acc 0.6525
e 101 | malicious users: 5 | test acc 0.1112 test loss 2.390388 best test_acc 0.6525
e 102 | malicious users: 5 | test acc 0.2358 test loss 2.149832 best test_acc 0.6525
e 103 | malicious users: 5 | test acc 0.1151 test loss 2.265274 best test_acc 0.6525
