=> Saving data in Logs/FRL~try=619
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.7
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 4 | test acc 0.2638 test loss 2.221718 best test_acc 0.2638
e 1 | malicious users: 4 | test acc 0.3080 test loss 2.008079 best test_acc 0.3080
e 2 | malicious users: 3 | test acc 0.5247 test loss 1.543548 best test_acc 0.5247
e 3 | malicious users: 4 | test acc 0.5369 test loss 1.476146 best test_acc 0.5369
e 4 | malicious users: 4 | test acc 0.6234 test loss 1.123360 best test_acc 0.6234
e 5 | malicious users: 3 | test acc 0.7355 test loss 1.246902 best test_acc 0.7355
e 6 | malicious users: 4 | test acc 0.6662 test loss 1.079800 best test_acc 0.7355
e 7 | malicious users: 6 | test acc 0.3234 test loss 1.894171 best test_acc 0.7355
e 8 | malicious users: 5 | test acc 0.6694 test loss 1.034800 best test_acc 0.7355
e 9 | malicious users: 4 | test acc 0.6659 test loss 0.936752 best test_acc 0.7355
e 10 | malicious users: 7 | test acc 0.6566 test loss 1.260282 best test_acc 0.7355
e 11 | malicious users: 3 | test acc 0.7283 test loss 0.892019 best test_acc 0.7355
e 12 | malicious users: 7 | test acc 0.4069 test loss 1.948420 best test_acc 0.7355
e 13 | malicious users: 8 | test acc 0.7027 test loss 1.182948 best test_acc 0.7355
e 14 | malicious users: 7 | test acc 0.6084 test loss 1.390583 best test_acc 0.7355
e 15 | malicious users: 3 | test acc 0.7332 test loss 1.596204 best test_acc 0.7355
e 16 | malicious users: 5 | test acc 0.6849 test loss 0.905595 best test_acc 0.7355
e 17 | malicious users: 6 | test acc 0.7100 test loss 0.976175 best test_acc 0.7355
e 18 | malicious users: 6 | test acc 0.7423 test loss 0.885231 best test_acc 0.7423
e 19 | malicious users: 8 | test acc 0.1002 test loss 2.368731 best test_acc 0.7423
e 20 | malicious users: 7 | test acc 0.3366 test loss 2.218806 best test_acc 0.7423
e 21 | malicious users: 1 | test acc 0.4202 test loss 1.982737 best test_acc 0.7423
e 22 | malicious users: 4 | test acc 0.5145 test loss 1.607781 best test_acc 0.7423
e 23 | malicious users: 7 | test acc 0.4255 test loss 1.777395 best test_acc 0.7423
e 24 | malicious users: 5 | test acc 0.3456 test loss 1.833505 best test_acc 0.7423
e 25 | malicious users: 4 | test acc 0.6544 test loss 1.093502 best test_acc 0.7423
e 26 | malicious users: 9 | test acc 0.1891 test loss 2.257965 best test_acc 0.7423
e 27 | malicious users: 4 | test acc 0.4887 test loss 1.583119 best test_acc 0.7423
e 28 | malicious users: 8 | test acc 0.2768 test loss 2.409804 best test_acc 0.7423
e 29 | malicious users: 5 | test acc 0.4864 test loss 1.676329 best test_acc 0.7423
e 30 | malicious users: 3 | test acc 0.6653 test loss 1.200515 best test_acc 0.7423
e 31 | malicious users: 6 | test acc 0.7163 test loss 1.102866 best test_acc 0.7423
e 32 | malicious users: 9 | test acc 0.1145 test loss 3.346663 best test_acc 0.7423
e 33 | malicious users: 6 | test acc 0.1134 test loss 2.299329 best test_acc 0.7423
