=> Saving data in Logs/FRL~try=630
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.2372 test loss 2.262626 best test_acc 0.2372
e 1 | malicious users: 6 | test acc 0.2725 test loss 2.138072 best test_acc 0.2725
e 2 | malicious users: 9 | test acc 0.4613 test loss 1.683587 best test_acc 0.4613
e 3 | malicious users: 6 | test acc 0.3887 test loss 1.773801 best test_acc 0.4613
e 4 | malicious users: 4 | test acc 0.6024 test loss 1.339025 best test_acc 0.6024
e 5 | malicious users: 5 | test acc 0.6569 test loss 1.298006 best test_acc 0.6569
e 6 | malicious users: 3 | test acc 0.5714 test loss 1.157612 best test_acc 0.6569
e 7 | malicious users: 6 | test acc 0.5990 test loss 1.180942 best test_acc 0.6569
e 8 | malicious users: 5 | test acc 0.6808 test loss 0.895046 best test_acc 0.6808
e 9 | malicious users: 4 | test acc 0.6551 test loss 1.066376 best test_acc 0.6808
e 10 | malicious users: 7 | test acc 0.6168 test loss 1.108647 best test_acc 0.6808
e 11 | malicious users: 9 | test acc 0.7022 test loss 0.875655 best test_acc 0.7022
e 12 | malicious users: 8 | test acc 0.7907 test loss 0.928977 best test_acc 0.7907
e 13 | malicious users: 9 | test acc 0.7906 test loss 0.647346 best test_acc 0.7907
e 14 | malicious users: 3 | test acc 0.7823 test loss 0.718452 best test_acc 0.7907
e 15 | malicious users: 5 | test acc 0.7884 test loss 0.694134 best test_acc 0.7907
e 16 | malicious users: 8 | test acc 0.7415 test loss 0.798925 best test_acc 0.7907
e 17 | malicious users: 6 | test acc 0.7537 test loss 0.678086 best test_acc 0.7907
e 18 | malicious users: 2 | test acc 0.8163 test loss 0.665934 best test_acc 0.8163
e 19 | malicious users: 8 | test acc 0.8797 test loss 0.481726 best test_acc 0.8797
e 20 | malicious users: 8 | test acc 0.8503 test loss 0.594080 best test_acc 0.8797
e 21 | malicious users: 4 | test acc 0.8731 test loss 0.595679 best test_acc 0.8797
e 22 | malicious users: 6 | test acc 0.8205 test loss 0.637339 best test_acc 0.8797
e 23 | malicious users: 4 | test acc 0.9085 test loss 0.423086 best test_acc 0.9085
e 24 | malicious users: 4 | test acc 0.8345 test loss 0.561156 best test_acc 0.9085
e 25 | malicious users: 7 | test acc 0.8001 test loss 0.639451 best test_acc 0.9085
e 26 | malicious users: 3 | test acc 0.8808 test loss 0.418493 best test_acc 0.9085
e 27 | malicious users: 10 | test acc 0.8686 test loss 0.495283 best test_acc 0.9085
e 28 | malicious users: 4 | test acc 0.8847 test loss 0.612024 best test_acc 0.9085
e 29 | malicious users: 8 | test acc 0.7448 test loss 0.746442 best test_acc 0.9085
e 30 | malicious users: 6 | test acc 0.8289 test loss 0.619882 best test_acc 0.9085
e 31 | malicious users: 3 | test acc 0.7961 test loss 0.555581 best test_acc 0.9085
e 32 | malicious users: 1 | test acc 0.8953 test loss 0.497121 best test_acc 0.9085
e 33 | malicious users: 6 | test acc 0.7997 test loss 0.692761 best test_acc 0.9085
e 34 | malicious users: 4 | test acc 0.7770 test loss 0.650077 best test_acc 0.9085
e 35 | malicious users: 7 | test acc 0.7901 test loss 0.617897 best test_acc 0.9085
e 36 | malicious users: 5 | test acc 0.8389 test loss 0.624323 best test_acc 0.9085
e 37 | malicious users: 4 | test acc 0.7874 test loss 0.609988 best test_acc 0.9085
e 38 | malicious users: 5 | test acc 0.8097 test loss 0.614268 best test_acc 0.9085
e 39 | malicious users: 5 | test acc 0.7824 test loss 0.769426 best test_acc 0.9085
e 40 | malicious users: 6 | test acc 0.8779 test loss 0.511509 best test_acc 0.9085
e 41 | malicious users: 5 | test acc 0.8682 test loss 0.475823 best test_acc 0.9085
e 42 | malicious users: 4 | test acc 0.9184 test loss 0.387642 best test_acc 0.9184
e 43 | malicious users: 4 | test acc 0.8151 test loss 0.593690 best test_acc 0.9184
e 44 | malicious users: 6 | test acc 0.8965 test loss 0.510519 best test_acc 0.9184
e 45 | malicious users: 6 | test acc 0.7674 test loss 0.800982 best test_acc 0.9184
e 46 | malicious users: 6 | test acc 0.8173 test loss 0.538946 best test_acc 0.9184
e 47 | malicious users: 5 | test acc 0.9052 test loss 0.461802 best test_acc 0.9184
e 48 | malicious users: 5 | test acc 0.8719 test loss 0.634920 best test_acc 0.9184
e 49 | malicious users: 4 | test acc 0.9258 test loss 0.393561 best test_acc 0.9258
e 50 | malicious users: 5 | test acc 0.9133 test loss 0.360813 best test_acc 0.9258
