=> Saving data in Logs/FRL~try=634
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.25 | total number of malicious clients: 250
e 0 | malicious users: 8 | test acc 0.1037 test loss 2.232679 best test_acc 0.1037
e 1 | malicious users: 8 | test acc 0.2438 test loss 2.051432 best test_acc 0.2438
e 2 | malicious users: 4 | test acc 0.4905 test loss 1.956863 best test_acc 0.4905
e 3 | malicious users: 7 | test acc 0.5260 test loss 1.522877 best test_acc 0.5260
e 4 | malicious users: 8 | test acc 0.6297 test loss 1.505849 best test_acc 0.6297
e 5 | malicious users: 10 | test acc 0.5997 test loss 1.265172 best test_acc 0.6297
e 6 | malicious users: 4 | test acc 0.7139 test loss 1.027429 best test_acc 0.7139
e 7 | malicious users: 7 | test acc 0.5656 test loss 1.314273 best test_acc 0.7139
e 8 | malicious users: 4 | test acc 0.7324 test loss 0.824020 best test_acc 0.7324
e 9 | malicious users: 5 | test acc 0.6544 test loss 0.965397 best test_acc 0.7324
e 10 | malicious users: 7 | test acc 0.7693 test loss 0.763292 best test_acc 0.7693
e 11 | malicious users: 6 | test acc 0.7528 test loss 0.787224 best test_acc 0.7693
e 12 | malicious users: 12 | test acc 0.8164 test loss 0.746914 best test_acc 0.8164
e 13 | malicious users: 9 | test acc 0.8274 test loss 0.709376 best test_acc 0.8274
e 14 | malicious users: 6 | test acc 0.7573 test loss 0.724768 best test_acc 0.8274
e 15 | malicious users: 8 | test acc 0.7903 test loss 0.767783 best test_acc 0.8274
e 16 | malicious users: 5 | test acc 0.8643 test loss 0.527955 best test_acc 0.8643
e 17 | malicious users: 12 | test acc 0.7032 test loss 0.959855 best test_acc 0.8643
e 18 | malicious users: 4 | test acc 0.8444 test loss 0.600933 best test_acc 0.8643
e 19 | malicious users: 8 | test acc 0.8026 test loss 0.611822 best test_acc 0.8643
e 20 | malicious users: 4 | test acc 0.8851 test loss 0.499148 best test_acc 0.8851
e 21 | malicious users: 6 | test acc 0.8647 test loss 0.538714 best test_acc 0.8851
e 22 | malicious users: 10 | test acc 0.8907 test loss 0.511832 best test_acc 0.8907
e 23 | malicious users: 7 | test acc 0.8437 test loss 0.513059 best test_acc 0.8907
e 24 | malicious users: 5 | test acc 0.7853 test loss 0.729492 best test_acc 0.8907
