=> Saving data in Logs/FRL~try=638
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.05 | total number of malicious clients: 50
e 0 | malicious users: 1 | test acc 0.1210 test loss 2.246716 best test_acc 0.1210
e 1 | malicious users: 1 | test acc 0.2770 test loss 2.057122 best test_acc 0.2770
e 2 | malicious users: 0 | test acc 0.5675 test loss 1.818480 best test_acc 0.5675
e 3 | malicious users: 3 | test acc 0.6501 test loss 1.484050 best test_acc 0.6501
e 4 | malicious users: 3 | test acc 0.7083 test loss 1.115739 best test_acc 0.7083
e 5 | malicious users: 0 | test acc 0.6874 test loss 1.063014 best test_acc 0.7083
e 6 | malicious users: 0 | test acc 0.6561 test loss 1.149741 best test_acc 0.7083
e 7 | malicious users: 2 | test acc 0.7564 test loss 0.784524 best test_acc 0.7564
e 8 | malicious users: 1 | test acc 0.7143 test loss 1.015885 best test_acc 0.7564
e 9 | malicious users: 1 | test acc 0.8589 test loss 0.613999 best test_acc 0.8589
e 10 | malicious users: 1 | test acc 0.8170 test loss 0.692177 best test_acc 0.8589
e 11 | malicious users: 1 | test acc 0.8395 test loss 0.545803 best test_acc 0.8589
e 12 | malicious users: 2 | test acc 0.6927 test loss 0.840842 best test_acc 0.8589
e 13 | malicious users: 1 | test acc 0.8234 test loss 0.594300 best test_acc 0.8589
e 14 | malicious users: 4 | test acc 0.8410 test loss 0.508570 best test_acc 0.8589
e 15 | malicious users: 1 | test acc 0.8951 test loss 0.495604 best test_acc 0.8951
e 16 | malicious users: 2 | test acc 0.8925 test loss 0.465723 best test_acc 0.8951
e 17 | malicious users: 1 | test acc 0.8905 test loss 0.473333 best test_acc 0.8951
e 18 | malicious users: 0 | test acc 0.8603 test loss 0.477925 best test_acc 0.8951
e 19 | malicious users: 0 | test acc 0.9053 test loss 0.523465 best test_acc 0.9053
e 20 | malicious users: 3 | test acc 0.9213 test loss 0.335162 best test_acc 0.9213
e 21 | malicious users: 4 | test acc 0.8779 test loss 0.506970 best test_acc 0.9213
e 22 | malicious users: 2 | test acc 0.8281 test loss 0.592868 best test_acc 0.9213
e 23 | malicious users: 2 | test acc 0.8103 test loss 0.517179 best test_acc 0.9213
e 24 | malicious users: 1 | test acc 0.7456 test loss 0.700927 best test_acc 0.9213
e 25 | malicious users: 0 | test acc 0.7564 test loss 0.683744 best test_acc 0.9213
e 26 | malicious users: 0 | test acc 0.8017 test loss 0.498904 best test_acc 0.9213
e 27 | malicious users: 1 | test acc 0.8741 test loss 0.490031 best test_acc 0.9213
e 28 | malicious users: 1 | test acc 0.8620 test loss 0.456433 best test_acc 0.9213
e 29 | malicious users: 2 | test acc 0.8110 test loss 0.644444 best test_acc 0.9213
e 30 | malicious users: 1 | test acc 0.8300 test loss 0.524502 best test_acc 0.9213
e 31 | malicious users: 0 | test acc 0.8008 test loss 0.612755 best test_acc 0.9213
e 32 | malicious users: 2 | test acc 0.8284 test loss 0.493857 best test_acc 0.9213
e 33 | malicious users: 1 | test acc 0.9039 test loss 0.438552 best test_acc 0.9213
e 34 | malicious users: 1 | test acc 0.9043 test loss 0.379778 best test_acc 0.9213
e 35 | malicious users: 0 | test acc 0.8757 test loss 0.582166 best test_acc 0.9213
e 36 | malicious users: 2 | test acc 0.8645 test loss 0.405643 best test_acc 0.9213
e 37 | malicious users: 0 | test acc 0.9170 test loss 0.340969 best test_acc 0.9213
e 38 | malicious users: 2 | test acc 0.8299 test loss 0.584979 best test_acc 0.9213
e 39 | malicious users: 0 | test acc 0.9154 test loss 0.300068 best test_acc 0.9213
