=> Saving data in Logs/FRL~try=640
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 3 | test acc 0.1013 test loss 2.247721 best test_acc 0.1013
e 1 | malicious users: 1 | test acc 0.3911 test loss 2.120570 best test_acc 0.3911
e 2 | malicious users: 0 | test acc 0.6455 test loss 1.849939 best test_acc 0.6455
e 3 | malicious users: 2 | test acc 0.6107 test loss 1.552302 best test_acc 0.6455
e 4 | malicious users: 1 | test acc 0.6358 test loss 1.332598 best test_acc 0.6455
e 5 | malicious users: 0 | test acc 0.7149 test loss 1.127391 best test_acc 0.7149
e 6 | malicious users: 3 | test acc 0.6658 test loss 0.951959 best test_acc 0.7149
e 7 | malicious users: 2 | test acc 0.6785 test loss 1.079436 best test_acc 0.7149
e 8 | malicious users: 4 | test acc 0.7410 test loss 0.730543 best test_acc 0.7410
e 9 | malicious users: 2 | test acc 0.7443 test loss 0.862675 best test_acc 0.7443
e 10 | malicious users: 5 | test acc 0.7960 test loss 0.658605 best test_acc 0.7960
e 11 | malicious users: 7 | test acc 0.7036 test loss 0.926631 best test_acc 0.7960
e 12 | malicious users: 1 | test acc 0.7091 test loss 0.832174 best test_acc 0.7960
e 13 | malicious users: 2 | test acc 0.8115 test loss 0.757031 best test_acc 0.8115
e 14 | malicious users: 3 | test acc 0.8414 test loss 0.512338 best test_acc 0.8414
e 15 | malicious users: 4 | test acc 0.7888 test loss 0.670825 best test_acc 0.8414
e 16 | malicious users: 5 | test acc 0.8419 test loss 0.524815 best test_acc 0.8419
e 17 | malicious users: 3 | test acc 0.8424 test loss 0.485426 best test_acc 0.8424
e 18 | malicious users: 3 | test acc 0.8929 test loss 0.458492 best test_acc 0.8929
e 19 | malicious users: 4 | test acc 0.8113 test loss 0.658643 best test_acc 0.8929
e 20 | malicious users: 2 | test acc 0.8768 test loss 0.500036 best test_acc 0.8929
e 21 | malicious users: 3 | test acc 0.9008 test loss 0.444911 best test_acc 0.9008
e 22 | malicious users: 1 | test acc 0.8688 test loss 0.519521 best test_acc 0.9008
e 23 | malicious users: 1 | test acc 0.8959 test loss 0.423841 best test_acc 0.9008
e 24 | malicious users: 5 | test acc 0.8596 test loss 0.591329 best test_acc 0.9008
e 25 | malicious users: 3 | test acc 0.8667 test loss 0.485101 best test_acc 0.9008
e 26 | malicious users: 0 | test acc 0.8743 test loss 0.385252 best test_acc 0.9008
e 27 | malicious users: 3 | test acc 0.8526 test loss 0.541417 best test_acc 0.9008
e 28 | malicious users: 0 | test acc 0.8445 test loss 0.448690 best test_acc 0.9008
e 29 | malicious users: 3 | test acc 0.8504 test loss 0.555393 best test_acc 0.9008
e 30 | malicious users: 6 | test acc 0.8859 test loss 0.435767 best test_acc 0.9008
e 31 | malicious users: 0 | test acc 0.8695 test loss 0.396360 best test_acc 0.9008
e 32 | malicious users: 5 | test acc 0.9327 test loss 0.334169 best test_acc 0.9327
e 33 | malicious users: 7 | test acc 0.9104 test loss 0.434610 best test_acc 0.9327
e 34 | malicious users: 1 | test acc 0.9154 test loss 0.379121 best test_acc 0.9327
e 35 | malicious users: 4 | test acc 0.9332 test loss 0.321374 best test_acc 0.9332
e 36 | malicious users: 0 | test acc 0.7653 test loss 0.619004 best test_acc 0.9332
e 37 | malicious users: 4 | test acc 0.9300 test loss 0.260487 best test_acc 0.9332
e 38 | malicious users: 1 | test acc 0.8906 test loss 0.496337 best test_acc 0.9332
e 39 | malicious users: 2 | test acc 0.9370 test loss 0.251208 best test_acc 0.9370
e 40 | malicious users: 3 | test acc 0.9124 test loss 0.371309 best test_acc 0.9370
e 41 | malicious users: 2 | test acc 0.8574 test loss 0.517626 best test_acc 0.9370
e 42 | malicious users: 2 | test acc 0.8968 test loss 0.415874 best test_acc 0.9370
e 43 | malicious users: 2 | test acc 0.9269 test loss 0.304245 best test_acc 0.9370
e 44 | malicious users: 2 | test acc 0.9183 test loss 0.322048 best test_acc 0.9370
e 45 | malicious users: 4 | test acc 0.8318 test loss 0.544447 best test_acc 0.9370
e 46 | malicious users: 2 | test acc 0.9307 test loss 0.265848 best test_acc 0.9370
e 47 | malicious users: 1 | test acc 0.7621 test loss 0.605247 best test_acc 0.9370
e 48 | malicious users: 4 | test acc 0.8897 test loss 0.348413 best test_acc 0.9370
e 49 | malicious users: 2 | test acc 0.8490 test loss 0.590073 best test_acc 0.9370
e 50 | malicious users: 6 | test acc 0.9208 test loss 0.338986 best test_acc 0.9370
e 51 | malicious users: 3 | test acc 0.8370 test loss 0.470721 best test_acc 0.9370
e 52 | malicious users: 1 | test acc 0.8323 test loss 0.483683 best test_acc 0.9370
e 53 | malicious users: 0 | test acc 0.9391 test loss 0.282853 best test_acc 0.9391
e 54 | malicious users: 4 | test acc 0.9291 test loss 0.274734 best test_acc 0.9391
e 55 | malicious users: 3 | test acc 0.9025 test loss 0.347210 best test_acc 0.9391
e 56 | malicious users: 2 | test acc 0.7447 test loss 0.755604 best test_acc 0.9391
e 57 | malicious users: 2 | test acc 0.9398 test loss 0.249664 best test_acc 0.9398
e 58 | malicious users: 1 | test acc 0.8623 test loss 0.437413 best test_acc 0.9398
e 59 | malicious users: 3 | test acc 0.8348 test loss 0.570811 best test_acc 0.9398
e 60 | malicious users: 3 | test acc 0.8569 test loss 0.438927 best test_acc 0.9398
e 61 | malicious users: 1 | test acc 0.9022 test loss 0.373423 best test_acc 0.9398
e 62 | malicious users: 3 | test acc 0.9183 test loss 0.345635 best test_acc 0.9398
e 63 | malicious users: 6 | test acc 0.8485 test loss 0.458389 best test_acc 0.9398
e 64 | malicious users: 1 | test acc 0.8587 test loss 0.375089 best test_acc 0.9398
e 65 | malicious users: 2 | test acc 0.9326 test loss 0.286841 best test_acc 0.9398
e 66 | malicious users: 3 | test acc 0.9385 test loss 0.237709 best test_acc 0.9398
e 67 | malicious users: 2 | test acc 0.9206 test loss 0.355233 best test_acc 0.9398
e 68 | malicious users: 2 | test acc 0.8615 test loss 0.385699 best test_acc 0.9398
e 69 | malicious users: 2 | test acc 0.8316 test loss 0.468148 best test_acc 0.9398
e 70 | malicious users: 3 | test acc 0.8379 test loss 0.517742 best test_acc 0.9398
e 71 | malicious users: 4 | test acc 0.8991 test loss 0.368853 best test_acc 0.9398
e 72 | malicious users: 4 | test acc 0.9109 test loss 0.325936 best test_acc 0.9398
e 73 | malicious users: 5 | test acc 0.8090 test loss 0.654786 best test_acc 0.9398
e 74 | malicious users: 1 | test acc 0.9269 test loss 0.291126 best test_acc 0.9398
e 75 | malicious users: 2 | test acc 0.8391 test loss 0.492719 best test_acc 0.9398
e 76 | malicious users: 2 | test acc 0.9389 test loss 0.295223 best test_acc 0.9398
e 77 | malicious users: 1 | test acc 0.8746 test loss 0.458321 best test_acc 0.9398
e 78 | malicious users: 4 | test acc 0.9327 test loss 0.381266 best test_acc 0.9398
e 79 | malicious users: 2 | test acc 0.8892 test loss 0.369736 best test_acc 0.9398
e 80 | malicious users: 6 | test acc 0.8507 test loss 0.548776 best test_acc 0.9398
e 81 | malicious users: 4 | test acc 0.8047 test loss 0.492486 best test_acc 0.9398
