=> Saving data in Logs/FRL~try=644
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.15 | total number of malicious clients: 150
e 0 | malicious users: 1 | test acc 0.1020 test loss 2.250067 best test_acc 0.1020
e 1 | malicious users: 4 | test acc 0.3093 test loss 2.130212 best test_acc 0.3093
e 2 | malicious users: 1 | test acc 0.5849 test loss 1.771681 best test_acc 0.5849
e 3 | malicious users: 3 | test acc 0.5519 test loss 1.504906 best test_acc 0.5849
e 4 | malicious users: 3 | test acc 0.6739 test loss 1.310245 best test_acc 0.6739
e 5 | malicious users: 3 | test acc 0.7078 test loss 1.061341 best test_acc 0.7078
e 6 | malicious users: 8 | test acc 0.7144 test loss 1.078490 best test_acc 0.7144
e 7 | malicious users: 2 | test acc 0.7788 test loss 0.729765 best test_acc 0.7788
e 8 | malicious users: 4 | test acc 0.6814 test loss 1.010633 best test_acc 0.7788
e 9 | malicious users: 4 | test acc 0.7281 test loss 0.755084 best test_acc 0.7788
e 10 | malicious users: 1 | test acc 0.8573 test loss 0.633506 best test_acc 0.8573
e 11 | malicious users: 5 | test acc 0.7403 test loss 0.770585 best test_acc 0.8573
e 12 | malicious users: 0 | test acc 0.8486 test loss 0.684067 best test_acc 0.8573
e 13 | malicious users: 2 | test acc 0.8160 test loss 0.693565 best test_acc 0.8573
e 14 | malicious users: 4 | test acc 0.7791 test loss 0.697307 best test_acc 0.8573
e 15 | malicious users: 3 | test acc 0.8629 test loss 0.576580 best test_acc 0.8629
e 16 | malicious users: 7 | test acc 0.7892 test loss 0.703761 best test_acc 0.8629
e 17 | malicious users: 3 | test acc 0.8494 test loss 0.613446 best test_acc 0.8629
e 18 | malicious users: 4 | test acc 0.8847 test loss 0.500350 best test_acc 0.8847
e 19 | malicious users: 3 | test acc 0.8638 test loss 0.513851 best test_acc 0.8847
e 20 | malicious users: 3 | test acc 0.8297 test loss 0.582402 best test_acc 0.8847
e 21 | malicious users: 5 | test acc 0.8893 test loss 0.457446 best test_acc 0.8893
e 22 | malicious users: 5 | test acc 0.8605 test loss 0.520939 best test_acc 0.8893
e 23 | malicious users: 7 | test acc 0.8444 test loss 0.551275 best test_acc 0.8893
e 24 | malicious users: 2 | test acc 0.8401 test loss 0.478226 best test_acc 0.8893
e 25 | malicious users: 3 | test acc 0.8984 test loss 0.412273 best test_acc 0.8984
e 26 | malicious users: 2 | test acc 0.8415 test loss 0.467953 best test_acc 0.8984
e 27 | malicious users: 4 | test acc 0.7903 test loss 0.658233 best test_acc 0.8984
e 28 | malicious users: 6 | test acc 0.9177 test loss 0.391621 best test_acc 0.9177
e 29 | malicious users: 6 | test acc 0.8974 test loss 0.445773 best test_acc 0.9177
e 30 | malicious users: 3 | test acc 0.8271 test loss 0.567185 best test_acc 0.9177
e 31 | malicious users: 1 | test acc 0.8444 test loss 0.490947 best test_acc 0.9177
e 32 | malicious users: 4 | test acc 0.7873 test loss 0.609317 best test_acc 0.9177
e 33 | malicious users: 7 | test acc 0.8410 test loss 0.498084 best test_acc 0.9177
e 34 | malicious users: 2 | test acc 0.9256 test loss 0.349791 best test_acc 0.9256
e 35 | malicious users: 5 | test acc 0.8787 test loss 0.523261 best test_acc 0.9256
e 36 | malicious users: 3 | test acc 0.8909 test loss 0.569572 best test_acc 0.9256
e 37 | malicious users: 6 | test acc 0.8175 test loss 0.645206 best test_acc 0.9256
e 38 | malicious users: 6 | test acc 0.8725 test loss 0.403026 best test_acc 0.9256
e 39 | malicious users: 4 | test acc 0.9019 test loss 0.439061 best test_acc 0.9256
e 40 | malicious users: 3 | test acc 0.9278 test loss 0.334553 best test_acc 0.9278
e 41 | malicious users: 3 | test acc 0.8107 test loss 0.561254 best test_acc 0.9278
e 42 | malicious users: 5 | test acc 0.7669 test loss 0.661754 best test_acc 0.9278
e 43 | malicious users: 3 | test acc 0.8780 test loss 0.453354 best test_acc 0.9278
e 44 | malicious users: 5 | test acc 0.8316 test loss 0.533171 best test_acc 0.9278
e 45 | malicious users: 6 | test acc 0.8774 test loss 0.462568 best test_acc 0.9278
e 46 | malicious users: 3 | test acc 0.8252 test loss 0.549230 best test_acc 0.9278
e 47 | malicious users: 2 | test acc 0.9164 test loss 0.325586 best test_acc 0.9278
e 48 | malicious users: 6 | test acc 0.9282 test loss 0.292431 best test_acc 0.9282
e 49 | malicious users: 5 | test acc 0.9101 test loss 0.369213 best test_acc 0.9282
e 50 | malicious users: 4 | test acc 0.9089 test loss 0.403841 best test_acc 0.9282
e 51 | malicious users: 5 | test acc 0.8499 test loss 0.502714 best test_acc 0.9282
e 52 | malicious users: 1 | test acc 0.8649 test loss 0.428061 best test_acc 0.9282
e 53 | malicious users: 5 | test acc 0.8443 test loss 0.480283 best test_acc 0.9282
e 54 | malicious users: 3 | test acc 0.7948 test loss 0.574634 best test_acc 0.9282
e 55 | malicious users: 4 | test acc 0.8946 test loss 0.457152 best test_acc 0.9282
e 56 | malicious users: 3 | test acc 0.9139 test loss 0.370799 best test_acc 0.9282
