=> Saving data in Logs/FRL~try=647
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 8 | test acc 0.2012 test loss 2.226701 best test_acc 0.2012
e 1 | malicious users: 5 | test acc 0.3920 test loss 1.976228 best test_acc 0.3920
e 2 | malicious users: 2 | test acc 0.4701 test loss 1.663525 best test_acc 0.4701
e 3 | malicious users: 6 | test acc 0.5631 test loss 1.411724 best test_acc 0.5631
e 4 | malicious users: 5 | test acc 0.5298 test loss 1.418573 best test_acc 0.5631
e 5 | malicious users: 3 | test acc 0.6166 test loss 1.130459 best test_acc 0.6166
e 6 | malicious users: 7 | test acc 0.6615 test loss 1.131400 best test_acc 0.6615
e 7 | malicious users: 6 | test acc 0.6593 test loss 1.020377 best test_acc 0.6615
e 8 | malicious users: 9 | test acc 0.7429 test loss 0.858880 best test_acc 0.7429
e 9 | malicious users: 7 | test acc 0.7609 test loss 0.827121 best test_acc 0.7609
e 10 | malicious users: 7 | test acc 0.7462 test loss 0.864014 best test_acc 0.7609
e 11 | malicious users: 4 | test acc 0.8012 test loss 0.691559 best test_acc 0.8012
e 12 | malicious users: 6 | test acc 0.8148 test loss 0.812287 best test_acc 0.8148
e 13 | malicious users: 5 | test acc 0.7664 test loss 0.814350 best test_acc 0.8148
e 14 | malicious users: 9 | test acc 0.7145 test loss 0.825811 best test_acc 0.8148
e 15 | malicious users: 3 | test acc 0.6913 test loss 0.861181 best test_acc 0.8148
e 16 | malicious users: 7 | test acc 0.8273 test loss 0.781124 best test_acc 0.8273
e 17 | malicious users: 4 | test acc 0.8339 test loss 0.680244 best test_acc 0.8339
e 18 | malicious users: 7 | test acc 0.7719 test loss 0.759961 best test_acc 0.8339
e 19 | malicious users: 6 | test acc 0.8164 test loss 0.615776 best test_acc 0.8339
e 20 | malicious users: 5 | test acc 0.8116 test loss 0.704891 best test_acc 0.8339
e 21 | malicious users: 5 | test acc 0.7723 test loss 0.689576 best test_acc 0.8339
e 22 | malicious users: 4 | test acc 0.8502 test loss 0.604747 best test_acc 0.8502
e 23 | malicious users: 3 | test acc 0.8474 test loss 0.590545 best test_acc 0.8502
e 24 | malicious users: 6 | test acc 0.8236 test loss 0.556609 best test_acc 0.8502
e 25 | malicious users: 4 | test acc 0.7825 test loss 0.693176 best test_acc 0.8502
e 26 | malicious users: 5 | test acc 0.8649 test loss 0.491938 best test_acc 0.8649
e 27 | malicious users: 2 | test acc 0.8703 test loss 0.479775 best test_acc 0.8703
e 28 | malicious users: 4 | test acc 0.7901 test loss 0.653555 best test_acc 0.8703
e 29 | malicious users: 5 | test acc 0.8011 test loss 0.746084 best test_acc 0.8703
e 30 | malicious users: 2 | test acc 0.9194 test loss 0.490245 best test_acc 0.9194
e 31 | malicious users: 5 | test acc 0.7777 test loss 0.678841 best test_acc 0.9194
e 32 | malicious users: 4 | test acc 0.8821 test loss 0.544637 best test_acc 0.9194
e 33 | malicious users: 3 | test acc 0.9112 test loss 0.381686 best test_acc 0.9194
e 34 | malicious users: 6 | test acc 0.8034 test loss 0.596308 best test_acc 0.9194
e 35 | malicious users: 5 | test acc 0.9028 test loss 0.484918 best test_acc 0.9194
e 36 | malicious users: 4 | test acc 0.8836 test loss 0.373539 best test_acc 0.9194
e 37 | malicious users: 5 | test acc 0.8294 test loss 0.740859 best test_acc 0.9194
e 38 | malicious users: 3 | test acc 0.8877 test loss 0.475728 best test_acc 0.9194
e 39 | malicious users: 4 | test acc 0.9320 test loss 0.286115 best test_acc 0.9320
e 40 | malicious users: 4 | test acc 0.8538 test loss 0.624172 best test_acc 0.9320
e 41 | malicious users: 8 | test acc 0.8739 test loss 0.462500 best test_acc 0.9320
e 42 | malicious users: 5 | test acc 0.8232 test loss 0.582362 best test_acc 0.9320
e 43 | malicious users: 7 | test acc 0.8312 test loss 0.529848 best test_acc 0.9320
e 44 | malicious users: 8 | test acc 0.8152 test loss 0.601842 best test_acc 0.9320
e 45 | malicious users: 6 | test acc 0.8964 test loss 0.476881 best test_acc 0.9320
e 46 | malicious users: 4 | test acc 0.8317 test loss 0.524686 best test_acc 0.9320
e 47 | malicious users: 8 | test acc 0.7778 test loss 0.659512 best test_acc 0.9320
e 48 | malicious users: 6 | test acc 0.9093 test loss 0.448736 best test_acc 0.9320
e 49 | malicious users: 6 | test acc 0.8091 test loss 0.609996 best test_acc 0.9320
e 50 | malicious users: 6 | test acc 0.8697 test loss 0.553746 best test_acc 0.9320
e 51 | malicious users: 3 | test acc 0.9161 test loss 0.405430 best test_acc 0.9320
e 52 | malicious users: 6 | test acc 0.8470 test loss 0.483576 best test_acc 0.9320
e 53 | malicious users: 4 | test acc 0.8708 test loss 0.587681 best test_acc 0.9320
e 54 | malicious users: 6 | test acc 0.8499 test loss 0.542454 best test_acc 0.9320
e 55 | malicious users: 4 | test acc 0.9130 test loss 0.411073 best test_acc 0.9320
e 56 | malicious users: 5 | test acc 0.8654 test loss 0.495939 best test_acc 0.9320
e 57 | malicious users: 2 | test acc 0.8541 test loss 0.493956 best test_acc 0.9320
e 58 | malicious users: 5 | test acc 0.8258 test loss 0.556380 best test_acc 0.9320
e 59 | malicious users: 8 | test acc 0.8614 test loss 0.462445 best test_acc 0.9320
