=> Saving data in Logs/FRL~try=652
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.05 | total number of malicious clients: 50
e 0 | malicious users: 0 | test acc 0.1787 test loss 2.218698 best test_acc 0.1787
e 1 | malicious users: 2 | test acc 0.3453 test loss 2.113551 best test_acc 0.3453
e 2 | malicious users: 3 | test acc 0.4062 test loss 1.869335 best test_acc 0.4062
e 3 | malicious users: 1 | test acc 0.5456 test loss 1.823300 best test_acc 0.5456
e 4 | malicious users: 1 | test acc 0.5782 test loss 1.341569 best test_acc 0.5782
e 5 | malicious users: 1 | test acc 0.5893 test loss 1.392506 best test_acc 0.5893
e 6 | malicious users: 4 | test acc 0.6409 test loss 1.058154 best test_acc 0.6409
e 7 | malicious users: 1 | test acc 0.7570 test loss 0.989860 best test_acc 0.7570
e 8 | malicious users: 0 | test acc 0.7583 test loss 0.897278 best test_acc 0.7583
e 9 | malicious users: 2 | test acc 0.6885 test loss 0.957986 best test_acc 0.7583
e 10 | malicious users: 1 | test acc 0.7856 test loss 0.761793 best test_acc 0.7856
e 11 | malicious users: 0 | test acc 0.7711 test loss 0.805684 best test_acc 0.7856
e 12 | malicious users: 2 | test acc 0.7762 test loss 0.747834 best test_acc 0.7856
e 13 | malicious users: 0 | test acc 0.7790 test loss 0.727876 best test_acc 0.7856
e 14 | malicious users: 2 | test acc 0.8286 test loss 0.603327 best test_acc 0.8286
e 15 | malicious users: 1 | test acc 0.8507 test loss 0.532105 best test_acc 0.8507
e 16 | malicious users: 2 | test acc 0.8340 test loss 0.537541 best test_acc 0.8507
e 17 | malicious users: 2 | test acc 0.8845 test loss 0.438086 best test_acc 0.8845
e 18 | malicious users: 1 | test acc 0.7819 test loss 0.668354 best test_acc 0.8845
e 19 | malicious users: 1 | test acc 0.8363 test loss 0.507141 best test_acc 0.8845
e 20 | malicious users: 2 | test acc 0.8827 test loss 0.504136 best test_acc 0.8845
e 21 | malicious users: 1 | test acc 0.7662 test loss 0.675249 best test_acc 0.8845
e 22 | malicious users: 1 | test acc 0.8542 test loss 0.503366 best test_acc 0.8845
e 23 | malicious users: 3 | test acc 0.8461 test loss 0.470383 best test_acc 0.8845
e 24 | malicious users: 0 | test acc 0.9144 test loss 0.372982 best test_acc 0.9144
e 25 | malicious users: 0 | test acc 0.8397 test loss 0.514678 best test_acc 0.9144
e 26 | malicious users: 0 | test acc 0.9063 test loss 0.359274 best test_acc 0.9144
e 27 | malicious users: 0 | test acc 0.8348 test loss 0.522438 best test_acc 0.9144
