=> Saving data in Logs/FRL~try=654
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 3 | test acc 0.4632 test loss 2.248626 best test_acc 0.4632
e 1 | malicious users: 3 | test acc 0.4653 test loss 2.024832 best test_acc 0.4653
e 2 | malicious users: 2 | test acc 0.5604 test loss 1.697522 best test_acc 0.5604
e 3 | malicious users: 2 | test acc 0.5720 test loss 1.707893 best test_acc 0.5720
e 4 | malicious users: 3 | test acc 0.6177 test loss 1.373599 best test_acc 0.6177
e 5 | malicious users: 3 | test acc 0.6428 test loss 1.315338 best test_acc 0.6428
e 6 | malicious users: 5 | test acc 0.7176 test loss 0.983807 best test_acc 0.7176
e 7 | malicious users: 3 | test acc 0.6726 test loss 0.989457 best test_acc 0.7176
e 8 | malicious users: 2 | test acc 0.6477 test loss 1.095199 best test_acc 0.7176
e 9 | malicious users: 3 | test acc 0.7329 test loss 0.813092 best test_acc 0.7329
e 10 | malicious users: 3 | test acc 0.8199 test loss 0.753595 best test_acc 0.8199
e 11 | malicious users: 3 | test acc 0.7748 test loss 0.912666 best test_acc 0.8199
e 12 | malicious users: 1 | test acc 0.8177 test loss 0.558738 best test_acc 0.8199
e 13 | malicious users: 2 | test acc 0.7424 test loss 0.799783 best test_acc 0.8199
e 14 | malicious users: 2 | test acc 0.8947 test loss 0.478398 best test_acc 0.8947
e 15 | malicious users: 3 | test acc 0.8669 test loss 0.603440 best test_acc 0.8947
e 16 | malicious users: 3 | test acc 0.8969 test loss 0.426063 best test_acc 0.8969
e 17 | malicious users: 1 | test acc 0.7720 test loss 0.809265 best test_acc 0.8969
e 18 | malicious users: 2 | test acc 0.8974 test loss 0.450486 best test_acc 0.8974
e 19 | malicious users: 2 | test acc 0.8094 test loss 0.641713 best test_acc 0.8974
