=> Saving data in Logs/FRL~try=659
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.15 | total number of malicious clients: 150
e 0 | malicious users: 5 | test acc 0.2297 test loss 2.265289 best test_acc 0.2297
e 1 | malicious users: 0 | test acc 0.3912 test loss 2.066257 best test_acc 0.3912
e 2 | malicious users: 3 | test acc 0.5181 test loss 1.789155 best test_acc 0.5181
e 3 | malicious users: 4 | test acc 0.5689 test loss 1.705916 best test_acc 0.5689
e 4 | malicious users: 3 | test acc 0.6166 test loss 1.422884 best test_acc 0.6166
e 5 | malicious users: 0 | test acc 0.6710 test loss 1.246173 best test_acc 0.6710
e 6 | malicious users: 6 | test acc 0.6717 test loss 1.006167 best test_acc 0.6717
e 7 | malicious users: 4 | test acc 0.6985 test loss 0.948967 best test_acc 0.6985
e 8 | malicious users: 4 | test acc 0.6681 test loss 1.017910 best test_acc 0.6985
e 9 | malicious users: 2 | test acc 0.7029 test loss 0.939457 best test_acc 0.7029
e 10 | malicious users: 5 | test acc 0.7951 test loss 0.758996 best test_acc 0.7951
e 11 | malicious users: 3 | test acc 0.8031 test loss 0.712094 best test_acc 0.8031
e 12 | malicious users: 4 | test acc 0.7615 test loss 0.702838 best test_acc 0.8031
e 13 | malicious users: 1 | test acc 0.8548 test loss 0.605459 best test_acc 0.8548
e 14 | malicious users: 1 | test acc 0.7142 test loss 0.827073 best test_acc 0.8548
e 15 | malicious users: 4 | test acc 0.7665 test loss 0.746116 best test_acc 0.8548
e 16 | malicious users: 4 | test acc 0.8374 test loss 0.591110 best test_acc 0.8548
e 17 | malicious users: 3 | test acc 0.7877 test loss 0.631269 best test_acc 0.8548
e 18 | malicious users: 1 | test acc 0.8902 test loss 0.532811 best test_acc 0.8902
e 19 | malicious users: 3 | test acc 0.7156 test loss 0.859891 best test_acc 0.8902
e 20 | malicious users: 3 | test acc 0.7934 test loss 0.632228 best test_acc 0.8902
e 21 | malicious users: 5 | test acc 0.7298 test loss 0.718846 best test_acc 0.8902
e 22 | malicious users: 4 | test acc 0.8676 test loss 0.462644 best test_acc 0.8902
e 23 | malicious users: 3 | test acc 0.8066 test loss 0.764955 best test_acc 0.8902
e 24 | malicious users: 3 | test acc 0.8942 test loss 0.484175 best test_acc 0.8942
e 25 | malicious users: 9 | test acc 0.7897 test loss 0.632767 best test_acc 0.8942
e 26 | malicious users: 1 | test acc 0.8677 test loss 0.463692 best test_acc 0.8942
e 27 | malicious users: 4 | test acc 0.7233 test loss 0.741431 best test_acc 0.8942
e 28 | malicious users: 3 | test acc 0.7666 test loss 0.694625 best test_acc 0.8942
e 29 | malicious users: 4 | test acc 0.8192 test loss 0.522508 best test_acc 0.8942
e 30 | malicious users: 3 | test acc 0.7968 test loss 0.673184 best test_acc 0.8942
e 31 | malicious users: 4 | test acc 0.8455 test loss 0.489845 best test_acc 0.8942
e 32 | malicious users: 1 | test acc 0.8052 test loss 0.536573 best test_acc 0.8942
e 33 | malicious users: 7 | test acc 0.9094 test loss 0.448904 best test_acc 0.9094
e 34 | malicious users: 3 | test acc 0.8109 test loss 0.536797 best test_acc 0.9094
e 35 | malicious users: 2 | test acc 0.9090 test loss 0.359310 best test_acc 0.9094
e 36 | malicious users: 7 | test acc 0.9130 test loss 0.454761 best test_acc 0.9130
e 37 | malicious users: 7 | test acc 0.9298 test loss 0.318128 best test_acc 0.9298
e 38 | malicious users: 5 | test acc 0.8544 test loss 0.503426 best test_acc 0.9298
e 39 | malicious users: 4 | test acc 0.8666 test loss 0.419598 best test_acc 0.9298
e 40 | malicious users: 6 | test acc 0.8318 test loss 0.547880 best test_acc 0.9298
e 41 | malicious users: 5 | test acc 0.8623 test loss 0.370234 best test_acc 0.9298
e 42 | malicious users: 2 | test acc 0.7612 test loss 0.630203 best test_acc 0.9298
e 43 | malicious users: 2 | test acc 0.8953 test loss 0.448644 best test_acc 0.9298
e 44 | malicious users: 4 | test acc 0.8901 test loss 0.401716 best test_acc 0.9298
e 45 | malicious users: 3 | test acc 0.8464 test loss 0.497509 best test_acc 0.9298
