=> Saving data in Logs/FRL~try=660
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 4 | test acc 0.3088 test loss 2.249261 best test_acc 0.3088
e 1 | malicious users: 2 | test acc 0.4711 test loss 2.061133 best test_acc 0.4711
e 2 | malicious users: 5 | test acc 0.4452 test loss 1.951252 best test_acc 0.4711
e 3 | malicious users: 4 | test acc 0.5975 test loss 1.517533 best test_acc 0.5975
e 4 | malicious users: 6 | test acc 0.5802 test loss 1.685931 best test_acc 0.5975
e 5 | malicious users: 7 | test acc 0.6717 test loss 1.053190 best test_acc 0.6717
e 6 | malicious users: 4 | test acc 0.6532 test loss 1.178247 best test_acc 0.6717
e 7 | malicious users: 5 | test acc 0.7254 test loss 0.951856 best test_acc 0.7254
e 8 | malicious users: 8 | test acc 0.8147 test loss 0.878902 best test_acc 0.8147
e 9 | malicious users: 10 | test acc 0.8336 test loss 0.794190 best test_acc 0.8336
e 10 | malicious users: 3 | test acc 0.8312 test loss 0.617745 best test_acc 0.8336
e 11 | malicious users: 4 | test acc 0.7793 test loss 0.748201 best test_acc 0.8336
e 12 | malicious users: 3 | test acc 0.8609 test loss 0.586696 best test_acc 0.8609
e 13 | malicious users: 5 | test acc 0.7964 test loss 0.642029 best test_acc 0.8609
e 14 | malicious users: 5 | test acc 0.8335 test loss 0.566555 best test_acc 0.8609
e 15 | malicious users: 7 | test acc 0.8303 test loss 0.546415 best test_acc 0.8609
e 16 | malicious users: 4 | test acc 0.8252 test loss 0.591024 best test_acc 0.8609
e 17 | malicious users: 4 | test acc 0.7579 test loss 0.709757 best test_acc 0.8609
e 18 | malicious users: 5 | test acc 0.7599 test loss 0.852632 best test_acc 0.8609
e 19 | malicious users: 3 | test acc 0.8272 test loss 0.530234 best test_acc 0.8609
e 20 | malicious users: 6 | test acc 0.8721 test loss 0.694570 best test_acc 0.8721
e 21 | malicious users: 6 | test acc 0.6605 test loss 0.865902 best test_acc 0.8721
e 22 | malicious users: 5 | test acc 0.8004 test loss 0.590760 best test_acc 0.8721
e 23 | malicious users: 4 | test acc 0.8192 test loss 0.663768 best test_acc 0.8721
e 24 | malicious users: 6 | test acc 0.8759 test loss 0.453142 best test_acc 0.8759
e 25 | malicious users: 5 | test acc 0.7824 test loss 0.652057 best test_acc 0.8759
e 26 | malicious users: 5 | test acc 0.8775 test loss 0.489939 best test_acc 0.8775
e 27 | malicious users: 4 | test acc 0.9166 test loss 0.340978 best test_acc 0.9166
e 28 | malicious users: 6 | test acc 0.7895 test loss 0.636562 best test_acc 0.9166
e 29 | malicious users: 3 | test acc 0.9140 test loss 0.355278 best test_acc 0.9166
e 30 | malicious users: 6 | test acc 0.9104 test loss 0.479901 best test_acc 0.9166
e 31 | malicious users: 8 | test acc 0.8453 test loss 0.491396 best test_acc 0.9166
e 32 | malicious users: 6 | test acc 0.8038 test loss 0.544062 best test_acc 0.9166
e 33 | malicious users: 5 | test acc 0.7845 test loss 0.599566 best test_acc 0.9166
e 34 | malicious users: 4 | test acc 0.7810 test loss 0.581182 best test_acc 0.9166
e 35 | malicious users: 6 | test acc 0.7134 test loss 0.811750 best test_acc 0.9166
e 36 | malicious users: 6 | test acc 0.8669 test loss 0.515739 best test_acc 0.9166
e 37 | malicious users: 6 | test acc 0.8538 test loss 0.425192 best test_acc 0.9166
e 38 | malicious users: 8 | test acc 0.7721 test loss 0.641073 best test_acc 0.9166
e 39 | malicious users: 8 | test acc 0.9102 test loss 0.366471 best test_acc 0.9166
e 40 | malicious users: 7 | test acc 0.9121 test loss 0.459935 best test_acc 0.9166
e 41 | malicious users: 2 | test acc 0.8569 test loss 0.467078 best test_acc 0.9166
e 42 | malicious users: 4 | test acc 0.9318 test loss 0.330054 best test_acc 0.9318
e 43 | malicious users: 3 | test acc 0.9298 test loss 0.296102 best test_acc 0.9318
e 44 | malicious users: 3 | test acc 0.8674 test loss 0.418222 best test_acc 0.9318
e 45 | malicious users: 3 | test acc 0.8080 test loss 0.567631 best test_acc 0.9318
e 46 | malicious users: 5 | test acc 0.9034 test loss 0.315713 best test_acc 0.9318
e 47 | malicious users: 7 | test acc 0.8713 test loss 0.572727 best test_acc 0.9318
e 48 | malicious users: 5 | test acc 0.8956 test loss 0.414932 best test_acc 0.9318
e 49 | malicious users: 4 | test acc 0.7844 test loss 0.555852 best test_acc 0.9318
e 50 | malicious users: 3 | test acc 0.8529 test loss 0.421527 best test_acc 0.9318
e 51 | malicious users: 4 | test acc 0.9058 test loss 0.435887 best test_acc 0.9318
e 52 | malicious users: 4 | test acc 0.8631 test loss 0.459128 best test_acc 0.9318
e 53 | malicious users: 12 | test acc 0.7687 test loss 0.644897 best test_acc 0.9318
e 54 | malicious users: 6 | test acc 0.8919 test loss 0.723657 best test_acc 0.9318
e 55 | malicious users: 6 | test acc 0.9385 test loss 0.256127 best test_acc 0.9385
e 56 | malicious users: 5 | test acc 0.8217 test loss 0.584427 best test_acc 0.9385
e 57 | malicious users: 6 | test acc 0.8676 test loss 0.450535 best test_acc 0.9385
e 58 | malicious users: 7 | test acc 0.9167 test loss 0.349817 best test_acc 0.9385
e 59 | malicious users: 7 | test acc 0.7715 test loss 0.609559 best test_acc 0.9385
e 60 | malicious users: 4 | test acc 0.8200 test loss 0.552636 best test_acc 0.9385
e 61 | malicious users: 7 | test acc 0.9271 test loss 0.350458 best test_acc 0.9385
e 62 | malicious users: 5 | test acc 0.8883 test loss 0.418349 best test_acc 0.9385
e 63 | malicious users: 4 | test acc 0.9275 test loss 0.329798 best test_acc 0.9385
e 64 | malicious users: 5 | test acc 0.8844 test loss 0.428717 best test_acc 0.9385
e 65 | malicious users: 5 | test acc 0.8791 test loss 0.380713 best test_acc 0.9385
e 66 | malicious users: 2 | test acc 0.9087 test loss 0.337197 best test_acc 0.9385
e 67 | malicious users: 9 | test acc 0.8556 test loss 0.404033 best test_acc 0.9385
e 68 | malicious users: 7 | test acc 0.8834 test loss 0.471368 best test_acc 0.9385
e 69 | malicious users: 7 | test acc 0.8346 test loss 0.535084 best test_acc 0.9385
e 70 | malicious users: 5 | test acc 0.9267 test loss 0.318817 best test_acc 0.9385
e 71 | malicious users: 7 | test acc 0.8062 test loss 0.562680 best test_acc 0.9385
e 72 | malicious users: 6 | test acc 0.9494 test loss 0.202579 best test_acc 0.9494
e 73 | malicious users: 7 | test acc 0.8388 test loss 0.520644 best test_acc 0.9494
e 74 | malicious users: 8 | test acc 0.8505 test loss 0.401627 best test_acc 0.9494
e 75 | malicious users: 3 | test acc 0.8103 test loss 0.516898 best test_acc 0.9494
e 76 | malicious users: 3 | test acc 0.8395 test loss 0.547025 best test_acc 0.9494
e 77 | malicious users: 4 | test acc 0.9137 test loss 0.389162 best test_acc 0.9494
e 78 | malicious users: 3 | test acc 0.9310 test loss 0.320618 best test_acc 0.9494
e 79 | malicious users: 6 | test acc 0.8897 test loss 0.296759 best test_acc 0.9494
e 80 | malicious users: 4 | test acc 0.8981 test loss 0.490099 best test_acc 0.9494
e 81 | malicious users: 2 | test acc 0.8620 test loss 0.341179 best test_acc 0.9494
e 82 | malicious users: 2 | test acc 0.8928 test loss 0.351791 best test_acc 0.9494
e 83 | malicious users: 5 | test acc 0.8756 test loss 0.405996 best test_acc 0.9494
e 84 | malicious users: 3 | test acc 0.8940 test loss 0.373607 best test_acc 0.9494
e 85 | malicious users: 8 | test acc 0.8775 test loss 0.342559 best test_acc 0.9494
e 86 | malicious users: 3 | test acc 0.9256 test loss 0.288668 best test_acc 0.9494
e 87 | malicious users: 4 | test acc 0.9111 test loss 0.337478 best test_acc 0.9494
e 88 | malicious users: 4 | test acc 0.8642 test loss 0.507584 best test_acc 0.9494
e 89 | malicious users: 5 | test acc 0.9457 test loss 0.222201 best test_acc 0.9494
e 90 | malicious users: 5 | test acc 0.8633 test loss 0.490216 best test_acc 0.9494
e 91 | malicious users: 4 | test acc 0.9060 test loss 0.385583 best test_acc 0.9494
e 92 | malicious users: 1 | test acc 0.8580 test loss 0.392587 best test_acc 0.9494
e 93 | malicious users: 3 | test acc 0.9328 test loss 0.279244 best test_acc 0.9494
e 94 | malicious users: 8 | test acc 0.8949 test loss 0.485210 best test_acc 0.9494
e 95 | malicious users: 8 | test acc 0.9415 test loss 0.260576 best test_acc 0.9494
e 96 | malicious users: 7 | test acc 0.8333 test loss 0.602136 best test_acc 0.9494
e 97 | malicious users: 8 | test acc 0.8980 test loss 0.377292 best test_acc 0.9494
e 98 | malicious users: 5 | test acc 0.8505 test loss 0.438299 best test_acc 0.9494
e 99 | malicious users: 8 | test acc 0.8778 test loss 0.356056 best test_acc 0.9494
e 100 | malicious users: 7 | test acc 0.8788 test loss 0.429399 best test_acc 0.9494
e 101 | malicious users: 5 | test acc 0.9408 test loss 0.257687 best test_acc 0.9494
e 102 | malicious users: 5 | test acc 0.8443 test loss 0.455556 best test_acc 0.9494
e 103 | malicious users: 7 | test acc 0.8837 test loss 0.390316 best test_acc 0.9494
e 104 | malicious users: 4 | test acc 0.8934 test loss 0.457306 best test_acc 0.9494
e 105 | malicious users: 7 | test acc 0.9111 test loss 0.333196 best test_acc 0.9494
e 106 | malicious users: 3 | test acc 0.9501 test loss 0.250965 best test_acc 0.9501
e 107 | malicious users: 7 | test acc 0.9055 test loss 0.340962 best test_acc 0.9501
e 108 | malicious users: 8 | test acc 0.9011 test loss 0.329932 best test_acc 0.9501
e 109 | malicious users: 4 | test acc 0.8619 test loss 0.532187 best test_acc 0.9501
e 110 | malicious users: 5 | test acc 0.8681 test loss 0.445970 best test_acc 0.9501
e 111 | malicious users: 5 | test acc 0.6837 test loss 0.814254 best test_acc 0.9501
e 112 | malicious users: 1 | test acc 0.9322 test loss 0.229101 best test_acc 0.9501
