=> Saving data in Logs/FRL~try=662
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 11 | test acc 0.1452 test loss 2.295302 best test_acc 0.1452
e 1 | malicious users: 5 | test acc 0.1614 test loss 2.170670 best test_acc 0.1614
e 2 | malicious users: 5 | test acc 0.6130 test loss 2.010006 best test_acc 0.6130
e 3 | malicious users: 6 | test acc 0.5337 test loss 1.910560 best test_acc 0.6130
e 4 | malicious users: 2 | test acc 0.5896 test loss 1.619564 best test_acc 0.6130
e 5 | malicious users: 4 | test acc 0.6899 test loss 1.196409 best test_acc 0.6899
e 6 | malicious users: 6 | test acc 0.6745 test loss 1.235087 best test_acc 0.6899
e 7 | malicious users: 9 | test acc 0.6962 test loss 0.949185 best test_acc 0.6962
e 8 | malicious users: 6 | test acc 0.6772 test loss 1.023326 best test_acc 0.6962
e 9 | malicious users: 6 | test acc 0.7584 test loss 0.799961 best test_acc 0.7584
e 10 | malicious users: 7 | test acc 0.7526 test loss 0.852485 best test_acc 0.7584
e 11 | malicious users: 7 | test acc 0.7368 test loss 0.802356 best test_acc 0.7584
e 12 | malicious users: 5 | test acc 0.8766 test loss 0.706908 best test_acc 0.8766
e 13 | malicious users: 7 | test acc 0.7536 test loss 0.695493 best test_acc 0.8766
e 14 | malicious users: 5 | test acc 0.8783 test loss 0.631204 best test_acc 0.8783
e 15 | malicious users: 4 | test acc 0.8200 test loss 0.630323 best test_acc 0.8783
e 16 | malicious users: 7 | test acc 0.8110 test loss 0.714511 best test_acc 0.8783
e 17 | malicious users: 6 | test acc 0.7962 test loss 0.608549 best test_acc 0.8783
e 18 | malicious users: 3 | test acc 0.7794 test loss 0.675171 best test_acc 0.8783
e 19 | malicious users: 3 | test acc 0.8303 test loss 0.627491 best test_acc 0.8783
e 20 | malicious users: 6 | test acc 0.8645 test loss 0.537599 best test_acc 0.8783
e 21 | malicious users: 8 | test acc 0.7710 test loss 0.762867 best test_acc 0.8783
e 22 | malicious users: 6 | test acc 0.8168 test loss 0.660103 best test_acc 0.8783
e 23 | malicious users: 8 | test acc 0.7627 test loss 0.673426 best test_acc 0.8783
e 24 | malicious users: 3 | test acc 0.8870 test loss 0.504737 best test_acc 0.8870
e 25 | malicious users: 4 | test acc 0.8672 test loss 0.543878 best test_acc 0.8870
e 26 | malicious users: 5 | test acc 0.8429 test loss 0.500104 best test_acc 0.8870
e 27 | malicious users: 4 | test acc 0.7825 test loss 0.689334 best test_acc 0.8870
e 28 | malicious users: 11 | test acc 0.7930 test loss 0.711414 best test_acc 0.8870
e 29 | malicious users: 2 | test acc 0.8958 test loss 0.453018 best test_acc 0.8958
e 30 | malicious users: 6 | test acc 0.9228 test loss 0.309731 best test_acc 0.9228
e 31 | malicious users: 3 | test acc 0.8496 test loss 0.677869 best test_acc 0.9228
e 32 | malicious users: 4 | test acc 0.9310 test loss 0.285082 best test_acc 0.9310
e 33 | malicious users: 4 | test acc 0.7421 test loss 0.853896 best test_acc 0.9310
e 34 | malicious users: 7 | test acc 0.8249 test loss 0.559201 best test_acc 0.9310
e 35 | malicious users: 7 | test acc 0.8684 test loss 0.462458 best test_acc 0.9310
e 36 | malicious users: 5 | test acc 0.8128 test loss 0.589999 best test_acc 0.9310
e 37 | malicious users: 6 | test acc 0.8976 test loss 0.338221 best test_acc 0.9310
e 38 | malicious users: 4 | test acc 0.7984 test loss 0.604660 best test_acc 0.9310
