=> Saving data in Logs/FRL~try=668
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.05 | total number of malicious clients: 50
e 0 | malicious users: 0 | test acc 0.2321 test loss 2.231964 best test_acc 0.2321
e 1 | malicious users: 3 | test acc 0.5285 test loss 1.936645 best test_acc 0.5285
e 2 | malicious users: 1 | test acc 0.5839 test loss 1.644675 best test_acc 0.5839
e 3 | malicious users: 1 | test acc 0.6240 test loss 1.794868 best test_acc 0.6240
e 4 | malicious users: 1 | test acc 0.6930 test loss 1.067520 best test_acc 0.6930
e 5 | malicious users: 1 | test acc 0.6444 test loss 1.256214 best test_acc 0.6930
e 6 | malicious users: 1 | test acc 0.7094 test loss 0.922459 best test_acc 0.7094
e 7 | malicious users: 3 | test acc 0.7606 test loss 0.714171 best test_acc 0.7606
e 8 | malicious users: 1 | test acc 0.7373 test loss 0.938206 best test_acc 0.7606
e 9 | malicious users: 0 | test acc 0.7875 test loss 0.665329 best test_acc 0.7875
e 10 | malicious users: 1 | test acc 0.7089 test loss 0.919706 best test_acc 0.7875
e 11 | malicious users: 0 | test acc 0.8092 test loss 0.536400 best test_acc 0.8092
e 12 | malicious users: 1 | test acc 0.8268 test loss 0.661299 best test_acc 0.8268
e 13 | malicious users: 1 | test acc 0.8396 test loss 0.539631 best test_acc 0.8396
e 14 | malicious users: 1 | test acc 0.9017 test loss 0.446018 best test_acc 0.9017
e 15 | malicious users: 1 | test acc 0.8191 test loss 0.577811 best test_acc 0.9017
e 16 | malicious users: 1 | test acc 0.8376 test loss 0.670261 best test_acc 0.9017
e 17 | malicious users: 2 | test acc 0.8724 test loss 0.467336 best test_acc 0.9017
e 18 | malicious users: 3 | test acc 0.7318 test loss 0.728279 best test_acc 0.9017
e 19 | malicious users: 0 | test acc 0.6943 test loss 0.811857 best test_acc 0.9017
e 20 | malicious users: 0 | test acc 0.8186 test loss 0.525159 best test_acc 0.9017
e 21 | malicious users: 0 | test acc 0.8359 test loss 0.545897 best test_acc 0.9017
e 22 | malicious users: 1 | test acc 0.8159 test loss 0.759501 best test_acc 0.9017
e 23 | malicious users: 1 | test acc 0.8958 test loss 0.393187 best test_acc 0.9017
e 24 | malicious users: 2 | test acc 0.9121 test loss 0.503868 best test_acc 0.9121
e 25 | malicious users: 3 | test acc 0.9132 test loss 0.342528 best test_acc 0.9132
e 26 | malicious users: 1 | test acc 0.9240 test loss 0.417662 best test_acc 0.9240
e 27 | malicious users: 0 | test acc 0.9149 test loss 0.423912 best test_acc 0.9240
e 28 | malicious users: 2 | test acc 0.8349 test loss 0.494465 best test_acc 0.9240
e 29 | malicious users: 2 | test acc 0.8444 test loss 0.488931 best test_acc 0.9240
e 30 | malicious users: 0 | test acc 0.9316 test loss 0.342726 best test_acc 0.9316
e 31 | malicious users: 1 | test acc 0.8601 test loss 0.637420 best test_acc 0.9316
e 32 | malicious users: 1 | test acc 0.8961 test loss 0.378067 best test_acc 0.9316
e 33 | malicious users: 0 | test acc 0.8175 test loss 0.662698 best test_acc 0.9316
e 34 | malicious users: 1 | test acc 0.9106 test loss 0.394398 best test_acc 0.9316
