=> Saving data in Logs/FRL~try=671
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 1 | test acc 0.2502 test loss 2.240789 best test_acc 0.2502
e 1 | malicious users: 1 | test acc 0.3652 test loss 2.080139 best test_acc 0.3652
e 2 | malicious users: 2 | test acc 0.5240 test loss 1.627654 best test_acc 0.5240
e 3 | malicious users: 0 | test acc 0.6019 test loss 1.529642 best test_acc 0.6019
e 4 | malicious users: 5 | test acc 0.5283 test loss 1.278243 best test_acc 0.6019
e 5 | malicious users: 2 | test acc 0.6389 test loss 1.105670 best test_acc 0.6389
e 6 | malicious users: 0 | test acc 0.6920 test loss 0.931623 best test_acc 0.6920
e 7 | malicious users: 1 | test acc 0.7315 test loss 0.938745 best test_acc 0.7315
e 8 | malicious users: 2 | test acc 0.7629 test loss 0.820755 best test_acc 0.7629
e 9 | malicious users: 1 | test acc 0.7963 test loss 0.670434 best test_acc 0.7963
e 10 | malicious users: 2 | test acc 0.8168 test loss 0.700358 best test_acc 0.8168
e 11 | malicious users: 2 | test acc 0.8670 test loss 0.538384 best test_acc 0.8670
e 12 | malicious users: 4 | test acc 0.7385 test loss 0.814752 best test_acc 0.8670
e 13 | malicious users: 2 | test acc 0.8378 test loss 0.523530 best test_acc 0.8670
e 14 | malicious users: 3 | test acc 0.7711 test loss 0.761480 best test_acc 0.8670
e 15 | malicious users: 5 | test acc 0.8460 test loss 0.475090 best test_acc 0.8670
e 16 | malicious users: 2 | test acc 0.7769 test loss 0.713492 best test_acc 0.8670
e 17 | malicious users: 2 | test acc 0.7944 test loss 0.627896 best test_acc 0.8670
e 18 | malicious users: 4 | test acc 0.7361 test loss 0.732383 best test_acc 0.8670
e 19 | malicious users: 6 | test acc 0.7991 test loss 0.679308 best test_acc 0.8670
e 20 | malicious users: 3 | test acc 0.8189 test loss 0.632864 best test_acc 0.8670
e 21 | malicious users: 5 | test acc 0.8217 test loss 0.560577 best test_acc 0.8670
e 22 | malicious users: 1 | test acc 0.8131 test loss 0.625287 best test_acc 0.8670
e 23 | malicious users: 1 | test acc 0.9006 test loss 0.382565 best test_acc 0.9006
e 24 | malicious users: 4 | test acc 0.7148 test loss 0.809918 best test_acc 0.9006
e 25 | malicious users: 0 | test acc 0.8141 test loss 0.681263 best test_acc 0.9006
e 26 | malicious users: 1 | test acc 0.9264 test loss 0.388298 best test_acc 0.9264
e 27 | malicious users: 5 | test acc 0.7057 test loss 0.903559 best test_acc 0.9264
e 28 | malicious users: 1 | test acc 0.8453 test loss 0.664966 best test_acc 0.9264
e 29 | malicious users: 4 | test acc 0.8130 test loss 0.571845 best test_acc 0.9264
e 30 | malicious users: 2 | test acc 0.8459 test loss 0.685051 best test_acc 0.9264
e 31 | malicious users: 3 | test acc 0.8887 test loss 0.452324 best test_acc 0.9264
e 32 | malicious users: 2 | test acc 0.9237 test loss 0.366196 best test_acc 0.9264
e 33 | malicious users: 3 | test acc 0.8602 test loss 0.567797 best test_acc 0.9264
e 34 | malicious users: 3 | test acc 0.8945 test loss 0.414010 best test_acc 0.9264
e 35 | malicious users: 3 | test acc 0.7606 test loss 0.654830 best test_acc 0.9264
e 36 | malicious users: 3 | test acc 0.7834 test loss 0.587635 best test_acc 0.9264
e 37 | malicious users: 3 | test acc 0.7931 test loss 0.918089 best test_acc 0.9264
e 38 | malicious users: 7 | test acc 0.6684 test loss 1.149517 best test_acc 0.9264
e 39 | malicious users: 1 | test acc 0.7060 test loss 1.082851 best test_acc 0.9264
e 40 | malicious users: 1 | test acc 0.9123 test loss 0.440880 best test_acc 0.9264
e 41 | malicious users: 1 | test acc 0.7975 test loss 0.631584 best test_acc 0.9264
e 42 | malicious users: 2 | test acc 0.7338 test loss 0.710453 best test_acc 0.9264
e 43 | malicious users: 1 | test acc 0.8077 test loss 0.625519 best test_acc 0.9264
e 44 | malicious users: 3 | test acc 0.7652 test loss 0.788651 best test_acc 0.9264
e 45 | malicious users: 0 | test acc 0.7917 test loss 0.715398 best test_acc 0.9264
e 46 | malicious users: 2 | test acc 0.8012 test loss 0.610471 best test_acc 0.9264
e 47 | malicious users: 1 | test acc 0.7434 test loss 0.666537 best test_acc 0.9264
e 48 | malicious users: 0 | test acc 0.8044 test loss 0.650755 best test_acc 0.9264
e 49 | malicious users: 1 | test acc 0.7726 test loss 0.699847 best test_acc 0.9264
e 50 | malicious users: 5 | test acc 0.7681 test loss 0.790062 best test_acc 0.9264
e 51 | malicious users: 3 | test acc 0.8243 test loss 0.680271 best test_acc 0.9264
e 52 | malicious users: 1 | test acc 0.9038 test loss 0.353594 best test_acc 0.9264
e 53 | malicious users: 3 | test acc 0.8684 test loss 0.553119 best test_acc 0.9264
e 54 | malicious users: 3 | test acc 0.8059 test loss 0.523506 best test_acc 0.9264
e 55 | malicious users: 0 | test acc 0.7896 test loss 0.660288 best test_acc 0.9264
e 56 | malicious users: 1 | test acc 0.8533 test loss 0.510322 best test_acc 0.9264
e 57 | malicious users: 3 | test acc 0.8900 test loss 0.420727 best test_acc 0.9264
e 58 | malicious users: 1 | test acc 0.8894 test loss 0.503002 best test_acc 0.9264
e 59 | malicious users: 3 | test acc 0.8292 test loss 0.595228 best test_acc 0.9264
e 60 | malicious users: 5 | test acc 0.6996 test loss 0.753428 best test_acc 0.9264
e 61 | malicious users: 0 | test acc 0.8523 test loss 0.478013 best test_acc 0.9264
e 62 | malicious users: 2 | test acc 0.8193 test loss 0.553643 best test_acc 0.9264
e 63 | malicious users: 5 | test acc 0.8789 test loss 0.448440 best test_acc 0.9264
e 64 | malicious users: 0 | test acc 0.9033 test loss 0.446029 best test_acc 0.9264
e 65 | malicious users: 1 | test acc 0.9285 test loss 0.358123 best test_acc 0.9285
e 66 | malicious users: 3 | test acc 0.9172 test loss 0.302161 best test_acc 0.9285
e 67 | malicious users: 3 | test acc 0.7736 test loss 0.677239 best test_acc 0.9285
e 68 | malicious users: 0 | test acc 0.8114 test loss 0.575700 best test_acc 0.9285
e 69 | malicious users: 0 | test acc 0.8401 test loss 0.585027 best test_acc 0.9285
e 70 | malicious users: 4 | test acc 0.8640 test loss 0.413187 best test_acc 0.9285
e 71 | malicious users: 1 | test acc 0.8063 test loss 0.725418 best test_acc 0.9285
e 72 | malicious users: 5 | test acc 0.8630 test loss 0.411661 best test_acc 0.9285
e 73 | malicious users: 4 | test acc 0.7053 test loss 0.966719 best test_acc 0.9285
e 74 | malicious users: 2 | test acc 0.8565 test loss 0.404200 best test_acc 0.9285
e 75 | malicious users: 3 | test acc 0.8609 test loss 0.590493 best test_acc 0.9285
e 76 | malicious users: 4 | test acc 0.8412 test loss 0.435195 best test_acc 0.9285
e 77 | malicious users: 3 | test acc 0.8742 test loss 0.561353 best test_acc 0.9285
e 78 | malicious users: 3 | test acc 0.8745 test loss 0.419773 best test_acc 0.9285
e 79 | malicious users: 2 | test acc 0.7436 test loss 0.817438 best test_acc 0.9285
