=> Saving data in Logs/FRL~try=674
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.15 | total number of malicious clients: 150
e 0 | malicious users: 3 | test acc 0.2065 test loss 2.198827 best test_acc 0.2065
e 1 | malicious users: 4 | test acc 0.3860 test loss 1.935993 best test_acc 0.3860
e 2 | malicious users: 3 | test acc 0.5460 test loss 1.610047 best test_acc 0.5460
e 3 | malicious users: 2 | test acc 0.6379 test loss 1.194056 best test_acc 0.6379
e 4 | malicious users: 2 | test acc 0.6529 test loss 1.118805 best test_acc 0.6529
e 5 | malicious users: 2 | test acc 0.7635 test loss 0.827485 best test_acc 0.7635
e 6 | malicious users: 5 | test acc 0.6483 test loss 1.117765 best test_acc 0.7635
e 7 | malicious users: 3 | test acc 0.7363 test loss 0.878889 best test_acc 0.7635
e 8 | malicious users: 2 | test acc 0.6340 test loss 1.021684 best test_acc 0.7635
e 9 | malicious users: 4 | test acc 0.7415 test loss 0.813854 best test_acc 0.7635
e 10 | malicious users: 1 | test acc 0.8456 test loss 0.610143 best test_acc 0.8456
e 11 | malicious users: 4 | test acc 0.7205 test loss 0.822768 best test_acc 0.8456
e 12 | malicious users: 6 | test acc 0.7062 test loss 0.887312 best test_acc 0.8456
e 13 | malicious users: 5 | test acc 0.7727 test loss 0.630475 best test_acc 0.8456
e 14 | malicious users: 5 | test acc 0.7718 test loss 0.797127 best test_acc 0.8456
e 15 | malicious users: 5 | test acc 0.8024 test loss 0.735806 best test_acc 0.8456
e 16 | malicious users: 4 | test acc 0.7699 test loss 1.009374 best test_acc 0.8456
e 17 | malicious users: 2 | test acc 0.8210 test loss 0.643560 best test_acc 0.8456
e 18 | malicious users: 6 | test acc 0.8081 test loss 0.551522 best test_acc 0.8456
e 19 | malicious users: 6 | test acc 0.6369 test loss 1.282254 best test_acc 0.8456
e 20 | malicious users: 5 | test acc 0.7772 test loss 0.715074 best test_acc 0.8456
e 21 | malicious users: 3 | test acc 0.7531 test loss 1.133222 best test_acc 0.8456
e 22 | malicious users: 0 | test acc 0.7690 test loss 0.654245 best test_acc 0.8456
e 23 | malicious users: 4 | test acc 0.6620 test loss 0.991465 best test_acc 0.8456
e 24 | malicious users: 2 | test acc 0.8468 test loss 0.533226 best test_acc 0.8468
e 25 | malicious users: 3 | test acc 0.8375 test loss 0.596570 best test_acc 0.8468
e 26 | malicious users: 6 | test acc 0.6308 test loss 1.104520 best test_acc 0.8468
e 27 | malicious users: 2 | test acc 0.7555 test loss 0.813589 best test_acc 0.8468
e 28 | malicious users: 3 | test acc 0.8552 test loss 0.566461 best test_acc 0.8552
e 29 | malicious users: 4 | test acc 0.8664 test loss 0.567501 best test_acc 0.8664
e 30 | malicious users: 1 | test acc 0.8745 test loss 0.598071 best test_acc 0.8745
e 31 | malicious users: 4 | test acc 0.7676 test loss 0.761230 best test_acc 0.8745
e 32 | malicious users: 2 | test acc 0.8687 test loss 0.504093 best test_acc 0.8745
e 33 | malicious users: 7 | test acc 0.6013 test loss 1.221358 best test_acc 0.8745
e 34 | malicious users: 4 | test acc 0.7564 test loss 1.124264 best test_acc 0.8745
e 35 | malicious users: 3 | test acc 0.8984 test loss 0.467458 best test_acc 0.8984
e 36 | malicious users: 6 | test acc 0.6634 test loss 0.979577 best test_acc 0.8984
e 37 | malicious users: 5 | test acc 0.7354 test loss 0.728850 best test_acc 0.8984
e 38 | malicious users: 5 | test acc 0.7581 test loss 0.802706 best test_acc 0.8984
e 39 | malicious users: 3 | test acc 0.7828 test loss 0.670157 best test_acc 0.8984
e 40 | malicious users: 4 | test acc 0.8834 test loss 0.547206 best test_acc 0.8984
e 41 | malicious users: 4 | test acc 0.7427 test loss 0.752067 best test_acc 0.8984
e 42 | malicious users: 5 | test acc 0.7695 test loss 0.807921 best test_acc 0.8984
e 43 | malicious users: 3 | test acc 0.8058 test loss 0.568540 best test_acc 0.8984
e 44 | malicious users: 2 | test acc 0.8227 test loss 0.584544 best test_acc 0.8984
e 45 | malicious users: 3 | test acc 0.8236 test loss 0.562604 best test_acc 0.8984
e 46 | malicious users: 3 | test acc 0.7854 test loss 0.622670 best test_acc 0.8984
e 47 | malicious users: 2 | test acc 0.8493 test loss 0.629755 best test_acc 0.8984
e 48 | malicious users: 1 | test acc 0.9295 test loss 0.397028 best test_acc 0.9295
e 49 | malicious users: 3 | test acc 0.8910 test loss 0.416602 best test_acc 0.9295
e 50 | malicious users: 3 | test acc 0.8900 test loss 0.434634 best test_acc 0.9295
e 51 | malicious users: 5 | test acc 0.7559 test loss 0.650971 best test_acc 0.9295
e 52 | malicious users: 3 | test acc 0.8191 test loss 0.584113 best test_acc 0.9295
e 53 | malicious users: 4 | test acc 0.8379 test loss 0.480748 best test_acc 0.9295
e 54 | malicious users: 3 | test acc 0.8216 test loss 0.614136 best test_acc 0.9295
e 55 | malicious users: 3 | test acc 0.7974 test loss 0.608539 best test_acc 0.9295
e 56 | malicious users: 4 | test acc 0.7874 test loss 0.709497 best test_acc 0.9295
e 57 | malicious users: 3 | test acc 0.8519 test loss 0.547045 best test_acc 0.9295
e 58 | malicious users: 5 | test acc 0.8014 test loss 0.617117 best test_acc 0.9295
e 59 | malicious users: 3 | test acc 0.7965 test loss 0.568104 best test_acc 0.9295
e 60 | malicious users: 7 | test acc 0.4574 test loss 2.282574 best test_acc 0.9295
e 61 | malicious users: 3 | test acc 0.6970 test loss 1.638451 best test_acc 0.9295
e 62 | malicious users: 1 | test acc 0.7221 test loss 0.818100 best test_acc 0.9295
e 63 | malicious users: 1 | test acc 0.7344 test loss 0.875507 best test_acc 0.9295
e 64 | malicious users: 1 | test acc 0.7898 test loss 0.588700 best test_acc 0.9295
e 65 | malicious users: 5 | test acc 0.7912 test loss 0.673887 best test_acc 0.9295
e 66 | malicious users: 1 | test acc 0.8436 test loss 0.578497 best test_acc 0.9295
e 67 | malicious users: 2 | test acc 0.7909 test loss 0.593751 best test_acc 0.9295
e 68 | malicious users: 5 | test acc 0.8289 test loss 0.647837 best test_acc 0.9295
e 69 | malicious users: 3 | test acc 0.8302 test loss 0.577381 best test_acc 0.9295
e 70 | malicious users: 2 | test acc 0.7888 test loss 0.592002 best test_acc 0.9295
e 71 | malicious users: 1 | test acc 0.7568 test loss 0.640896 best test_acc 0.9295
e 72 | malicious users: 1 | test acc 0.8796 test loss 0.540464 best test_acc 0.9295
e 73 | malicious users: 5 | test acc 0.8008 test loss 0.647550 best test_acc 0.9295
e 74 | malicious users: 5 | test acc 0.8301 test loss 0.627868 best test_acc 0.9295
e 75 | malicious users: 3 | test acc 0.8544 test loss 0.532574 best test_acc 0.9295
e 76 | malicious users: 1 | test acc 0.8340 test loss 0.623071 best test_acc 0.9295
e 77 | malicious users: 4 | test acc 0.8066 test loss 0.655565 best test_acc 0.9295
e 78 | malicious users: 3 | test acc 0.8494 test loss 0.515199 best test_acc 0.9295
