=> Saving data in Logs/FRL~try=676
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 6 | test acc 0.3358 test loss 2.122508 best test_acc 0.3358
e 1 | malicious users: 2 | test acc 0.4414 test loss 2.000524 best test_acc 0.4414
e 2 | malicious users: 6 | test acc 0.4997 test loss 1.419538 best test_acc 0.4997
e 3 | malicious users: 4 | test acc 0.6254 test loss 1.563953 best test_acc 0.6254
e 4 | malicious users: 4 | test acc 0.7192 test loss 1.025579 best test_acc 0.7192
e 5 | malicious users: 4 | test acc 0.6041 test loss 1.169031 best test_acc 0.7192
e 6 | malicious users: 4 | test acc 0.8356 test loss 0.815408 best test_acc 0.8356
e 7 | malicious users: 8 | test acc 0.1999 test loss 2.298778 best test_acc 0.8356
e 8 | malicious users: 4 | test acc 0.5378 test loss 1.880065 best test_acc 0.8356
e 9 | malicious users: 2 | test acc 0.7041 test loss 0.995789 best test_acc 0.8356
e 10 | malicious users: 7 | test acc 0.5816 test loss 1.280020 best test_acc 0.8356
e 11 | malicious users: 5 | test acc 0.7061 test loss 0.980733 best test_acc 0.8356
e 12 | malicious users: 5 | test acc 0.6812 test loss 0.917957 best test_acc 0.8356
e 13 | malicious users: 4 | test acc 0.7436 test loss 0.917375 best test_acc 0.8356
e 14 | malicious users: 4 | test acc 0.6947 test loss 0.836878 best test_acc 0.8356
e 15 | malicious users: 6 | test acc 0.7584 test loss 1.040195 best test_acc 0.8356
e 16 | malicious users: 4 | test acc 0.8183 test loss 0.580063 best test_acc 0.8356
e 17 | malicious users: 5 | test acc 0.8282 test loss 0.954233 best test_acc 0.8356
e 18 | malicious users: 5 | test acc 0.8362 test loss 0.507024 best test_acc 0.8362
e 19 | malicious users: 4 | test acc 0.6347 test loss 1.081833 best test_acc 0.8362
e 20 | malicious users: 4 | test acc 0.8185 test loss 0.679340 best test_acc 0.8362
e 21 | malicious users: 3 | test acc 0.7946 test loss 0.641809 best test_acc 0.8362
e 22 | malicious users: 7 | test acc 0.6974 test loss 0.828459 best test_acc 0.8362
e 23 | malicious users: 4 | test acc 0.6799 test loss 1.356723 best test_acc 0.8362
e 24 | malicious users: 5 | test acc 0.7828 test loss 0.599042 best test_acc 0.8362
e 25 | malicious users: 6 | test acc 0.7267 test loss 0.953143 best test_acc 0.8362
e 26 | malicious users: 9 | test acc 0.0873 test loss 2.352217 best test_acc 0.8362
e 27 | malicious users: 3 | test acc 0.1695 test loss 2.283659 best test_acc 0.8362
e 28 | malicious users: 6 | test acc 0.3780 test loss 1.788165 best test_acc 0.8362
e 29 | malicious users: 7 | test acc 0.4200 test loss 1.642827 best test_acc 0.8362
e 30 | malicious users: 4 | test acc 0.5349 test loss 1.321941 best test_acc 0.8362
e 31 | malicious users: 4 | test acc 0.5440 test loss 1.203969 best test_acc 0.8362
e 32 | malicious users: 3 | test acc 0.6510 test loss 1.077203 best test_acc 0.8362
e 33 | malicious users: 4 | test acc 0.5963 test loss 1.168570 best test_acc 0.8362
e 34 | malicious users: 5 | test acc 0.7198 test loss 1.013024 best test_acc 0.8362
e 35 | malicious users: 6 | test acc 0.6461 test loss 1.111484 best test_acc 0.8362
e 36 | malicious users: 4 | test acc 0.7065 test loss 1.003111 best test_acc 0.8362
e 37 | malicious users: 5 | test acc 0.7615 test loss 0.930167 best test_acc 0.8362
e 38 | malicious users: 7 | test acc 0.5088 test loss 1.392187 best test_acc 0.8362
e 39 | malicious users: 7 | test acc 0.4844 test loss 1.515284 best test_acc 0.8362
e 40 | malicious users: 5 | test acc 0.6067 test loss 1.296140 best test_acc 0.8362
e 41 | malicious users: 2 | test acc 0.7727 test loss 0.928237 best test_acc 0.8362
e 42 | malicious users: 4 | test acc 0.5075 test loss 1.315395 best test_acc 0.8362
e 43 | malicious users: 6 | test acc 0.6405 test loss 1.025091 best test_acc 0.8362
e 44 | malicious users: 7 | test acc 0.3731 test loss 1.982651 best test_acc 0.8362
e 45 | malicious users: 3 | test acc 0.6479 test loss 1.354640 best test_acc 0.8362
e 46 | malicious users: 6 | test acc 0.6688 test loss 1.085404 best test_acc 0.8362
e 47 | malicious users: 4 | test acc 0.5542 test loss 1.318193 best test_acc 0.8362
e 48 | malicious users: 7 | test acc 0.4984 test loss 1.226370 best test_acc 0.8362
e 49 | malicious users: 4 | test acc 0.6525 test loss 1.295190 best test_acc 0.8362
e 50 | malicious users: 9 | test acc 0.3396 test loss 2.380911 best test_acc 0.8362
e 51 | malicious users: 2 | test acc 0.2932 test loss 2.125966 best test_acc 0.8362
e 52 | malicious users: 7 | test acc 0.4026 test loss 1.581560 best test_acc 0.8362
e 53 | malicious users: 7 | test acc 0.4507 test loss 1.615979 best test_acc 0.8362
e 54 | malicious users: 6 | test acc 0.5095 test loss 1.517823 best test_acc 0.8362
e 55 | malicious users: 5 | test acc 0.5000 test loss 1.526102 best test_acc 0.8362
e 56 | malicious users: 2 | test acc 0.6310 test loss 1.509547 best test_acc 0.8362
e 57 | malicious users: 6 | test acc 0.4634 test loss 1.437623 best test_acc 0.8362
e 58 | malicious users: 6 | test acc 0.3570 test loss 1.698717 best test_acc 0.8362
e 59 | malicious users: 4 | test acc 0.4367 test loss 1.826777 best test_acc 0.8362
e 60 | malicious users: 5 | test acc 0.4556 test loss 1.606161 best test_acc 0.8362
e 61 | malicious users: 3 | test acc 0.4591 test loss 1.654862 best test_acc 0.8362
e 62 | malicious users: 3 | test acc 0.4473 test loss 1.609647 best test_acc 0.8362
e 63 | malicious users: 1 | test acc 0.7041 test loss 1.488618 best test_acc 0.8362
e 64 | malicious users: 5 | test acc 0.5413 test loss 1.410887 best test_acc 0.8362
e 65 | malicious users: 5 | test acc 0.5595 test loss 1.336496 best test_acc 0.8362
e 66 | malicious users: 5 | test acc 0.7026 test loss 1.128861 best test_acc 0.8362
e 67 | malicious users: 6 | test acc 0.4810 test loss 1.589775 best test_acc 0.8362
e 68 | malicious users: 5 | test acc 0.5215 test loss 1.284289 best test_acc 0.8362
e 69 | malicious users: 6 | test acc 0.4107 test loss 1.579180 best test_acc 0.8362
e 70 | malicious users: 1 | test acc 0.3585 test loss 1.574917 best test_acc 0.8362
e 71 | malicious users: 10 | test acc 0.3835 test loss 1.693450 best test_acc 0.8362
e 72 | malicious users: 9 | test acc 0.5587 test loss 1.479735 best test_acc 0.8362
e 73 | malicious users: 6 | test acc 0.3791 test loss 1.682266 best test_acc 0.8362
