=> Saving data in Logs/FRL~try=679
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.25 | total number of malicious clients: 250
e 0 | malicious users: 5 | test acc 0.1117 test loss 2.210913 best test_acc 0.1117
e 1 | malicious users: 10 | test acc 0.2529 test loss 2.388863 best test_acc 0.2529
e 2 | malicious users: 3 | test acc 0.1872 test loss 2.301325 best test_acc 0.2529
e 3 | malicious users: 3 | test acc 0.1014 test loss 2.287704 best test_acc 0.2529
e 4 | malicious users: 6 | test acc 0.0894 test loss 2.227686 best test_acc 0.2529
e 5 | malicious users: 6 | test acc 0.3872 test loss 1.958684 best test_acc 0.3872
e 6 | malicious users: 7 | test acc 0.3427 test loss 1.809930 best test_acc 0.3872
e 7 | malicious users: 6 | test acc 0.5381 test loss 1.545562 best test_acc 0.5381
e 8 | malicious users: 9 | test acc 0.1010 test loss 2.505073 best test_acc 0.5381
e 9 | malicious users: 4 | test acc 0.0953 test loss 2.302633 best test_acc 0.5381
e 10 | malicious users: 6 | test acc 0.1134 test loss 2.296909 best test_acc 0.5381
e 11 | malicious users: 4 | test acc 0.2719 test loss 2.262552 best test_acc 0.5381
e 12 | malicious users: 6 | test acc 0.3029 test loss 2.004166 best test_acc 0.5381
e 13 | malicious users: 8 | test acc 0.2022 test loss 2.278322 best test_acc 0.5381
e 14 | malicious users: 4 | test acc 0.4883 test loss 1.743677 best test_acc 0.5381
e 15 | malicious users: 6 | test acc 0.4635 test loss 1.691251 best test_acc 0.5381
e 16 | malicious users: 8 | test acc 0.2032 test loss 2.324491 best test_acc 0.5381
e 17 | malicious users: 11 | test acc 0.4984 test loss 1.671291 best test_acc 0.5381
e 18 | malicious users: 10 | test acc 0.1989 test loss 2.275442 best test_acc 0.5381
e 19 | malicious users: 7 | test acc 0.4975 test loss 1.849569 best test_acc 0.5381
e 20 | malicious users: 7 | test acc 0.4212 test loss 1.738656 best test_acc 0.5381
e 21 | malicious users: 9 | test acc 0.1037 test loss 2.877299 best test_acc 0.5381
e 22 | malicious users: 8 | test acc 0.0984 test loss 2.297538 best test_acc 0.5381
e 23 | malicious users: 5 | test acc 0.1501 test loss 2.234453 best test_acc 0.5381
e 24 | malicious users: 1 | test acc 0.3701 test loss 2.053207 best test_acc 0.5381
e 25 | malicious users: 8 | test acc 0.4911 test loss 1.627561 best test_acc 0.5381
e 26 | malicious users: 5 | test acc 0.5039 test loss 1.814941 best test_acc 0.5381
e 27 | malicious users: 6 | test acc 0.5480 test loss 1.416824 best test_acc 0.5480
e 28 | malicious users: 7 | test acc 0.4616 test loss 1.566532 best test_acc 0.5480
e 29 | malicious users: 7 | test acc 0.2726 test loss 1.858852 best test_acc 0.5480
e 30 | malicious users: 6 | test acc 0.4401 test loss 1.635087 best test_acc 0.5480
e 31 | malicious users: 5 | test acc 0.2731 test loss 1.865707 best test_acc 0.5480
e 32 | malicious users: 7 | test acc 0.4781 test loss 1.526531 best test_acc 0.5480
e 33 | malicious users: 7 | test acc 0.3199 test loss 1.866667 best test_acc 0.5480
e 34 | malicious users: 6 | test acc 0.3147 test loss 1.816013 best test_acc 0.5480
e 35 | malicious users: 4 | test acc 0.4060 test loss 1.601018 best test_acc 0.5480
e 36 | malicious users: 6 | test acc 0.4208 test loss 1.565328 best test_acc 0.5480
e 37 | malicious users: 7 | test acc 0.3745 test loss 1.698317 best test_acc 0.5480
e 38 | malicious users: 4 | test acc 0.3448 test loss 2.088346 best test_acc 0.5480
e 39 | malicious users: 5 | test acc 0.3987 test loss 1.607755 best test_acc 0.5480
e 40 | malicious users: 8 | test acc 0.6082 test loss 1.568373 best test_acc 0.6082
e 41 | malicious users: 3 | test acc 0.6179 test loss 1.312375 best test_acc 0.6179
e 42 | malicious users: 3 | test acc 0.6882 test loss 1.217775 best test_acc 0.6882
e 43 | malicious users: 3 | test acc 0.5494 test loss 1.266667 best test_acc 0.6882
e 44 | malicious users: 8 | test acc 0.2791 test loss 2.015780 best test_acc 0.6882
e 45 | malicious users: 11 | test acc 0.3976 test loss 1.824244 best test_acc 0.6882
e 46 | malicious users: 5 | test acc 0.4418 test loss 1.500885 best test_acc 0.6882
e 47 | malicious users: 5 | test acc 0.5162 test loss 1.734293 best test_acc 0.6882
e 48 | malicious users: 6 | test acc 0.5078 test loss 1.332890 best test_acc 0.6882
e 49 | malicious users: 9 | test acc 0.1901 test loss 3.395508 best test_acc 0.6882
e 50 | malicious users: 3 | test acc 0.2965 test loss 2.252261 best test_acc 0.6882
e 51 | malicious users: 3 | test acc 0.4874 test loss 1.630615 best test_acc 0.6882
e 52 | malicious users: 8 | test acc 0.2008 test loss 2.208131 best test_acc 0.6882
e 53 | malicious users: 11 | test acc 0.2880 test loss 1.986932 best test_acc 0.6882
e 54 | malicious users: 4 | test acc 0.2623 test loss 2.036401 best test_acc 0.6882
e 55 | malicious users: 4 | test acc 0.3390 test loss 1.825699 best test_acc 0.6882
e 56 | malicious users: 7 | test acc 0.2813 test loss 1.908910 best test_acc 0.6882
e 57 | malicious users: 7 | test acc 0.2447 test loss 2.234287 best test_acc 0.6882
e 58 | malicious users: 6 | test acc 0.1520 test loss 2.165334 best test_acc 0.6882
e 59 | malicious users: 6 | test acc 0.2826 test loss 1.935939 best test_acc 0.6882
e 60 | malicious users: 8 | test acc 0.3939 test loss 1.885042 best test_acc 0.6882
e 61 | malicious users: 9 | test acc 0.1946 test loss 1.984829 best test_acc 0.6882
e 62 | malicious users: 9 | test acc 0.3099 test loss 1.977035 best test_acc 0.6882
e 63 | malicious users: 6 | test acc 0.3015 test loss 1.872747 best test_acc 0.6882
e 64 | malicious users: 7 | test acc 0.2678 test loss 2.049311 best test_acc 0.6882
e 65 | malicious users: 7 | test acc 0.3734 test loss 1.861363 best test_acc 0.6882
e 66 | malicious users: 11 | test acc 0.2152 test loss 1.989041 best test_acc 0.6882
e 67 | malicious users: 5 | test acc 0.3372 test loss 1.982764 best test_acc 0.6882
e 68 | malicious users: 8 | test acc 0.3727 test loss 1.859751 best test_acc 0.6882
e 69 | malicious users: 5 | test acc 0.3327 test loss 1.925238 best test_acc 0.6882
e 70 | malicious users: 12 | test acc 0.2833 test loss 2.048017 best test_acc 0.6882
e 71 | malicious users: 6 | test acc 0.2665 test loss 1.986307 best test_acc 0.6882
e 72 | malicious users: 6 | test acc 0.3183 test loss 1.978095 best test_acc 0.6882
e 73 | malicious users: 5 | test acc 0.3955 test loss 1.836179 best test_acc 0.6882
e 74 | malicious users: 5 | test acc 0.3927 test loss 1.638836 best test_acc 0.6882
e 75 | malicious users: 6 | test acc 0.1905 test loss 1.972818 best test_acc 0.6882
e 76 | malicious users: 4 | test acc 0.3401 test loss 1.863585 best test_acc 0.6882
e 77 | malicious users: 5 | test acc 0.3768 test loss 1.938134 best test_acc 0.6882
e 78 | malicious users: 5 | test acc 0.3668 test loss 1.909333 best test_acc 0.6882
e 79 | malicious users: 3 | test acc 0.3902 test loss 1.795681 best test_acc 0.6882
e 80 | malicious users: 3 | test acc 0.5020 test loss 1.702841 best test_acc 0.6882
e 81 | malicious users: 8 | test acc 0.4340 test loss 1.618968 best test_acc 0.6882
e 82 | malicious users: 2 | test acc 0.2028 test loss 1.951133 best test_acc 0.6882
e 83 | malicious users: 6 | test acc 0.4431 test loss 1.778470 best test_acc 0.6882
e 84 | malicious users: 4 | test acc 0.2844 test loss 1.836585 best test_acc 0.6882
e 85 | malicious users: 4 | test acc 0.4666 test loss 1.705484 best test_acc 0.6882
e 86 | malicious users: 8 | test acc 0.2983 test loss 1.793486 best test_acc 0.6882
e 87 | malicious users: 4 | test acc 0.4108 test loss 1.656563 best test_acc 0.6882
e 88 | malicious users: 6 | test acc 0.5111 test loss 1.607974 best test_acc 0.6882
e 89 | malicious users: 7 | test acc 0.3836 test loss 1.754658 best test_acc 0.6882
e 90 | malicious users: 7 | test acc 0.5242 test loss 1.488634 best test_acc 0.6882
e 91 | malicious users: 8 | test acc 0.2190 test loss 2.123158 best test_acc 0.6882
e 92 | malicious users: 6 | test acc 0.2105 test loss 2.088379 best test_acc 0.6882
e 93 | malicious users: 8 | test acc 0.3567 test loss 1.881596 best test_acc 0.6882
e 94 | malicious users: 6 | test acc 0.2559 test loss 1.974518 best test_acc 0.6882
e 95 | malicious users: 9 | test acc 0.2075 test loss 2.045624 best test_acc 0.6882
e 96 | malicious users: 8 | test acc 0.2448 test loss 1.998105 best test_acc 0.6882
e 97 | malicious users: 10 | test acc 0.2945 test loss 1.961490 best test_acc 0.6882
e 98 | malicious users: 4 | test acc 0.4541 test loss 1.793270 best test_acc 0.6882
e 99 | malicious users: 8 | test acc 0.1858 test loss 1.964670 best test_acc 0.6882
e 100 | malicious users: 9 | test acc 0.3093 test loss 1.932596 best test_acc 0.6882
e 101 | malicious users: 9 | test acc 0.2269 test loss 1.896906 best test_acc 0.6882
e 102 | malicious users: 8 | test acc 0.1998 test loss 1.962302 best test_acc 0.6882
e 103 | malicious users: 11 | test acc 0.5162 test loss 1.636916 best test_acc 0.6882
e 104 | malicious users: 5 | test acc 0.2996 test loss 1.906139 best test_acc 0.6882
e 105 | malicious users: 7 | test acc 0.2211 test loss 1.873879 best test_acc 0.6882
e 106 | malicious users: 9 | test acc 0.3632 test loss 1.769563 best test_acc 0.6882
e 107 | malicious users: 8 | test acc 0.2979 test loss 1.835723 best test_acc 0.6882
e 108 | malicious users: 9 | test acc 0.2166 test loss 2.207262 best test_acc 0.6882
e 109 | malicious users: 7 | test acc 0.2567 test loss 2.096011 best test_acc 0.6882
e 110 | malicious users: 4 | test acc 0.3274 test loss 1.976627 best test_acc 0.6882
e 111 | malicious users: 3 | test acc 0.2424 test loss 1.964651 best test_acc 0.6882
e 112 | malicious users: 9 | test acc 0.2695 test loss 1.951005 best test_acc 0.6882
e 113 | malicious users: 5 | test acc 0.2183 test loss 2.086294 best test_acc 0.6882
e 114 | malicious users: 7 | test acc 0.1949 test loss 2.140438 best test_acc 0.6882
e 115 | malicious users: 6 | test acc 0.1410 test loss 2.064071 best test_acc 0.6882
e 116 | malicious users: 4 | test acc 0.1047 test loss 2.020481 best test_acc 0.6882
e 117 | malicious users: 5 | test acc 0.3113 test loss 2.075654 best test_acc 0.6882
e 118 | malicious users: 4 | test acc 0.2053 test loss 1.919512 best test_acc 0.6882
e 119 | malicious users: 10 | test acc 0.3297 test loss 1.966447 best test_acc 0.6882
e 120 | malicious users: 9 | test acc 0.2458 test loss 2.044636 best test_acc 0.6882
e 121 | malicious users: 6 | test acc 0.1641 test loss 1.867782 best test_acc 0.6882
e 122 | malicious users: 7 | test acc 0.1677 test loss 1.986171 best test_acc 0.6882
e 123 | malicious users: 6 | test acc 0.2773 test loss 1.930956 best test_acc 0.6882
e 124 | malicious users: 5 | test acc 0.1571 test loss 2.010821 best test_acc 0.6882
e 125 | malicious users: 9 | test acc 0.2898 test loss 1.887981 best test_acc 0.6882
e 126 | malicious users: 8 | test acc 0.2707 test loss 1.979033 best test_acc 0.6882
e 127 | malicious users: 7 | test acc 0.2326 test loss 1.937682 best test_acc 0.6882
e 128 | malicious users: 6 | test acc 0.2799 test loss 1.879320 best test_acc 0.6882
e 129 | malicious users: 9 | test acc 0.2828 test loss 1.988418 best test_acc 0.6882
e 130 | malicious users: 7 | test acc 0.2051 test loss 2.017394 best test_acc 0.6882
e 131 | malicious users: 8 | test acc 0.2366 test loss 1.950033 best test_acc 0.6882
e 132 | malicious users: 1 | test acc 0.3520 test loss 1.911573 best test_acc 0.6882
e 133 | malicious users: 8 | test acc 0.1594 test loss 1.909093 best test_acc 0.6882
e 134 | malicious users: 7 | test acc 0.2573 test loss 1.886984 best test_acc 0.6882
e 135 | malicious users: 5 | test acc 0.1518 test loss 1.937350 best test_acc 0.6882
e 136 | malicious users: 5 | test acc 0.2895 test loss 1.842475 best test_acc 0.6882
e 137 | malicious users: 6 | test acc 0.1572 test loss 2.019759 best test_acc 0.6882
e 138 | malicious users: 4 | test acc 0.3853 test loss 1.708511 best test_acc 0.6882
e 139 | malicious users: 7 | test acc 0.3318 test loss 1.668983 best test_acc 0.6882
e 140 | malicious users: 5 | test acc 0.1544 test loss 1.986248 best test_acc 0.6882
e 141 | malicious users: 8 | test acc 0.2344 test loss 1.968129 best test_acc 0.6882
e 142 | malicious users: 5 | test acc 0.2386 test loss 1.863170 best test_acc 0.6882
e 143 | malicious users: 4 | test acc 0.3608 test loss 1.828166 best test_acc 0.6882
e 144 | malicious users: 8 | test acc 0.3066 test loss 1.855734 best test_acc 0.6882
e 145 | malicious users: 10 | test acc 0.2547 test loss 1.904969 best test_acc 0.6882
e 146 | malicious users: 7 | test acc 0.4218 test loss 1.636220 best test_acc 0.6882
e 147 | malicious users: 4 | test acc 0.3284 test loss 1.889612 best test_acc 0.6882
e 148 | malicious users: 9 | test acc 0.3921 test loss 1.787169 best test_acc 0.6882
e 149 | malicious users: 7 | test acc 0.4225 test loss 1.837203 best test_acc 0.6882
e 150 | malicious users: 2 | test acc 0.4025 test loss 1.635918 best test_acc 0.6882
e 151 | malicious users: 6 | test acc 0.2517 test loss 1.936422 best test_acc 0.6882
e 152 | malicious users: 6 | test acc 0.1772 test loss 1.938654 best test_acc 0.6882
e 153 | malicious users: 4 | test acc 0.4385 test loss 1.773441 best test_acc 0.6882
e 154 | malicious users: 7 | test acc 0.2206 test loss 1.906289 best test_acc 0.6882
e 155 | malicious users: 6 | test acc 0.3777 test loss 1.748625 best test_acc 0.6882
e 156 | malicious users: 5 | test acc 0.1649 test loss 1.986845 best test_acc 0.6882
e 157 | malicious users: 4 | test acc 0.4218 test loss 1.667745 best test_acc 0.6882
e 158 | malicious users: 5 | test acc 0.3804 test loss 1.795869 best test_acc 0.6882
e 159 | malicious users: 7 | test acc 0.4454 test loss 1.550184 best test_acc 0.6882
e 160 | malicious users: 7 | test acc 0.2679 test loss 1.828063 best test_acc 0.6882
e 161 | malicious users: 2 | test acc 0.3047 test loss 1.960094 best test_acc 0.6882
e 162 | malicious users: 6 | test acc 0.4346 test loss 1.640390 best test_acc 0.6882
