=> Saving data in Logs/FRL~try=681
dataset to use is:  Fashion
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
generating participant indices for alpha 0.5
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 3 | test acc 0.2349 test loss 2.291886 best test_acc 0.2349
e 1 | malicious users: 9 | test acc 0.3690 test loss 1.990652 best test_acc 0.3690
e 2 | malicious users: 4 | test acc 0.3510 test loss 2.081044 best test_acc 0.3690
e 3 | malicious users: 5 | test acc 0.4005 test loss 1.661952 best test_acc 0.4005
e 4 | malicious users: 2 | test acc 0.2798 test loss 1.918380 best test_acc 0.4005
e 5 | malicious users: 6 | test acc 0.3186 test loss 1.666263 best test_acc 0.4005
e 6 | malicious users: 6 | test acc 0.3770 test loss 1.690428 best test_acc 0.4005
e 7 | malicious users: 5 | test acc 0.3861 test loss 1.668290 best test_acc 0.4005
e 8 | malicious users: 5 | test acc 0.4302 test loss 1.600466 best test_acc 0.4302
e 9 | malicious users: 5 | test acc 0.4259 test loss 1.680193 best test_acc 0.4302
e 10 | malicious users: 6 | test acc 0.4993 test loss 1.488180 best test_acc 0.4993
e 11 | malicious users: 3 | test acc 0.3520 test loss 1.609641 best test_acc 0.4993
e 12 | malicious users: 7 | test acc 0.5625 test loss 1.565162 best test_acc 0.5625
e 13 | malicious users: 6 | test acc 0.3844 test loss 1.629059 best test_acc 0.5625
e 14 | malicious users: 5 | test acc 0.4670 test loss 1.597162 best test_acc 0.5625
e 15 | malicious users: 5 | test acc 0.5111 test loss 1.558102 best test_acc 0.5625
e 16 | malicious users: 4 | test acc 0.6026 test loss 1.552537 best test_acc 0.6026
e 17 | malicious users: 6 | test acc 0.4437 test loss 1.432181 best test_acc 0.6026
e 18 | malicious users: 6 | test acc 0.3959 test loss 1.516519 best test_acc 0.6026
e 19 | malicious users: 3 | test acc 0.5037 test loss 1.461581 best test_acc 0.6026
e 20 | malicious users: 5 | test acc 0.4594 test loss 1.552314 best test_acc 0.6026
e 21 | malicious users: 4 | test acc 0.4629 test loss 1.428786 best test_acc 0.6026
e 22 | malicious users: 3 | test acc 0.4287 test loss 1.624537 best test_acc 0.6026
e 23 | malicious users: 2 | test acc 0.5227 test loss 1.493390 best test_acc 0.6026
e 24 | malicious users: 5 | test acc 0.5187 test loss 1.441933 best test_acc 0.6026
e 25 | malicious users: 3 | test acc 0.5577 test loss 1.428534 best test_acc 0.6026
e 26 | malicious users: 5 | test acc 0.4986 test loss 1.515516 best test_acc 0.6026
e 27 | malicious users: 3 | test acc 0.4199 test loss 1.671825 best test_acc 0.6026
e 28 | malicious users: 6 | test acc 0.4015 test loss 1.562791 best test_acc 0.6026
e 29 | malicious users: 5 | test acc 0.5522 test loss 1.448794 best test_acc 0.6026
e 30 | malicious users: 5 | test acc 0.5400 test loss 1.286330 best test_acc 0.6026
e 31 | malicious users: 4 | test acc 0.3877 test loss 1.620768 best test_acc 0.6026
e 32 | malicious users: 6 | test acc 0.4362 test loss 1.607365 best test_acc 0.6026
e 33 | malicious users: 6 | test acc 0.6024 test loss 1.284375 best test_acc 0.6026
e 34 | malicious users: 4 | test acc 0.4437 test loss 1.441894 best test_acc 0.6026
e 35 | malicious users: 7 | test acc 0.4592 test loss 1.559245 best test_acc 0.6026
e 36 | malicious users: 3 | test acc 0.4559 test loss 1.371657 best test_acc 0.6026
e 37 | malicious users: 8 | test acc 0.4990 test loss 1.526120 best test_acc 0.6026
e 38 | malicious users: 3 | test acc 0.4555 test loss 1.402092 best test_acc 0.6026
e 39 | malicious users: 5 | test acc 0.5945 test loss 1.461619 best test_acc 0.6026
