=> Saving data in Logs/FRL~try=682
dataset to use is:  Fashion
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 4 | test acc 0.2818 test loss 2.245244 best test_acc 0.2818
e 1 | malicious users: 3 | test acc 0.3273 test loss 2.010615 best test_acc 0.3273
e 2 | malicious users: 7 | test acc 0.1771 test loss 2.223260 best test_acc 0.3273
e 3 | malicious users: 6 | test acc 0.3178 test loss 2.017490 best test_acc 0.3273
e 4 | malicious users: 5 | test acc 0.3318 test loss 1.850808 best test_acc 0.3318
e 5 | malicious users: 2 | test acc 0.4075 test loss 1.618122 best test_acc 0.4075
e 6 | malicious users: 5 | test acc 0.3272 test loss 1.713569 best test_acc 0.4075
e 7 | malicious users: 5 | test acc 0.4356 test loss 1.633346 best test_acc 0.4356
e 8 | malicious users: 7 | test acc 0.4544 test loss 1.625538 best test_acc 0.4544
e 9 | malicious users: 4 | test acc 0.4348 test loss 1.584601 best test_acc 0.4544
e 10 | malicious users: 5 | test acc 0.4572 test loss 1.607526 best test_acc 0.4572
e 11 | malicious users: 4 | test acc 0.5123 test loss 1.624920 best test_acc 0.5123
e 12 | malicious users: 4 | test acc 0.5352 test loss 1.483108 best test_acc 0.5352
e 13 | malicious users: 2 | test acc 0.3989 test loss 1.628613 best test_acc 0.5352
e 14 | malicious users: 2 | test acc 0.5013 test loss 1.409222 best test_acc 0.5352
e 15 | malicious users: 5 | test acc 0.5378 test loss 1.453506 best test_acc 0.5378
e 16 | malicious users: 3 | test acc 0.5105 test loss 1.536569 best test_acc 0.5378
e 17 | malicious users: 7 | test acc 0.5153 test loss 1.419188 best test_acc 0.5378
e 18 | malicious users: 4 | test acc 0.5027 test loss 1.435712 best test_acc 0.5378
e 19 | malicious users: 4 | test acc 0.4741 test loss 1.623944 best test_acc 0.5378
e 20 | malicious users: 10 | test acc 0.4177 test loss 1.475377 best test_acc 0.5378
e 21 | malicious users: 7 | test acc 0.3533 test loss 1.577345 best test_acc 0.5378
e 22 | malicious users: 6 | test acc 0.4929 test loss 1.390343 best test_acc 0.5378
e 23 | malicious users: 9 | test acc 0.5503 test loss 1.603621 best test_acc 0.5503
e 24 | malicious users: 3 | test acc 0.5260 test loss 1.353984 best test_acc 0.5503
e 25 | malicious users: 2 | test acc 0.5165 test loss 1.497649 best test_acc 0.5503
e 26 | malicious users: 4 | test acc 0.4750 test loss 1.501139 best test_acc 0.5503
e 27 | malicious users: 3 | test acc 0.4876 test loss 1.565229 best test_acc 0.5503
e 28 | malicious users: 6 | test acc 0.4339 test loss 1.568242 best test_acc 0.5503
e 29 | malicious users: 6 | test acc 0.4707 test loss 1.541751 best test_acc 0.5503
e 30 | malicious users: 6 | test acc 0.5370 test loss 1.467038 best test_acc 0.5503
e 31 | malicious users: 3 | test acc 0.5430 test loss 1.411017 best test_acc 0.5503
e 32 | malicious users: 8 | test acc 0.3696 test loss 1.528488 best test_acc 0.5503
e 33 | malicious users: 8 | test acc 0.4965 test loss 1.545352 best test_acc 0.5503
e 34 | malicious users: 5 | test acc 0.5900 test loss 1.556906 best test_acc 0.5900
e 35 | malicious users: 3 | test acc 0.4693 test loss 1.533669 best test_acc 0.5900
e 36 | malicious users: 2 | test acc 0.4198 test loss 1.602877 best test_acc 0.5900
e 37 | malicious users: 6 | test acc 0.5237 test loss 1.525061 best test_acc 0.5900
e 38 | malicious users: 2 | test acc 0.5276 test loss 1.409485 best test_acc 0.5900
e 39 | malicious users: 6 | test acc 0.5421 test loss 1.568821 best test_acc 0.5900
e 40 | malicious users: 7 | test acc 0.4310 test loss 1.463282 best test_acc 0.5900
e 41 | malicious users: 5 | test acc 0.4275 test loss 1.658384 best test_acc 0.5900
e 42 | malicious users: 7 | test acc 0.4806 test loss 1.560297 best test_acc 0.5900
e 43 | malicious users: 3 | test acc 0.4969 test loss 1.437955 best test_acc 0.5900
e 44 | malicious users: 3 | test acc 0.4747 test loss 1.566279 best test_acc 0.5900
e 45 | malicious users: 1 | test acc 0.4757 test loss 1.399798 best test_acc 0.5900
e 46 | malicious users: 9 | test acc 0.2805 test loss 1.765213 best test_acc 0.5900
e 47 | malicious users: 3 | test acc 0.4875 test loss 1.567796 best test_acc 0.5900
e 48 | malicious users: 3 | test acc 0.4313 test loss 1.692580 best test_acc 0.5900
e 49 | malicious users: 6 | test acc 0.4695 test loss 1.635896 best test_acc 0.5900
e 50 | malicious users: 6 | test acc 0.5437 test loss 1.628918 best test_acc 0.5900
