=> Saving data in Logs/FRL~try=683
dataset to use is:  Fashion
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 10 | test acc 0.1890 test loss 2.281891 best test_acc 0.1890
e 1 | malicious users: 7 | test acc 0.2132 test loss 2.120341 best test_acc 0.2132
e 2 | malicious users: 3 | test acc 0.3426 test loss 1.940222 best test_acc 0.3426
e 3 | malicious users: 6 | test acc 0.2191 test loss 2.114032 best test_acc 0.3426
e 4 | malicious users: 5 | test acc 0.4463 test loss 1.769855 best test_acc 0.4463
e 5 | malicious users: 7 | test acc 0.2798 test loss 1.855882 best test_acc 0.4463
e 6 | malicious users: 8 | test acc 0.4728 test loss 1.709195 best test_acc 0.4728
e 7 | malicious users: 4 | test acc 0.2919 test loss 1.677370 best test_acc 0.4728
e 8 | malicious users: 6 | test acc 0.4882 test loss 1.655937 best test_acc 0.4882
e 9 | malicious users: 9 | test acc 0.3558 test loss 1.678007 best test_acc 0.4882
e 10 | malicious users: 6 | test acc 0.4088 test loss 1.771423 best test_acc 0.4882
e 11 | malicious users: 5 | test acc 0.4635 test loss 1.641417 best test_acc 0.4882
e 12 | malicious users: 4 | test acc 0.3589 test loss 1.819586 best test_acc 0.4882
e 13 | malicious users: 4 | test acc 0.3623 test loss 1.671161 best test_acc 0.4882
e 14 | malicious users: 7 | test acc 0.4369 test loss 1.627572 best test_acc 0.4882
e 15 | malicious users: 5 | test acc 0.4899 test loss 1.529967 best test_acc 0.4899
e 16 | malicious users: 7 | test acc 0.3997 test loss 1.486169 best test_acc 0.4899
e 17 | malicious users: 6 | test acc 0.4076 test loss 1.659399 best test_acc 0.4899
e 18 | malicious users: 4 | test acc 0.4388 test loss 1.562638 best test_acc 0.4899
e 19 | malicious users: 4 | test acc 0.4131 test loss 1.619910 best test_acc 0.4899
e 20 | malicious users: 4 | test acc 0.5181 test loss 1.540220 best test_acc 0.5181
e 21 | malicious users: 4 | test acc 0.4305 test loss 1.555359 best test_acc 0.5181
e 22 | malicious users: 4 | test acc 0.5633 test loss 1.462099 best test_acc 0.5633
e 23 | malicious users: 5 | test acc 0.5299 test loss 1.504018 best test_acc 0.5633
e 24 | malicious users: 2 | test acc 0.4979 test loss 1.375698 best test_acc 0.5633
e 25 | malicious users: 4 | test acc 0.4641 test loss 1.460262 best test_acc 0.5633
e 26 | malicious users: 5 | test acc 0.4551 test loss 1.648194 best test_acc 0.5633
e 27 | malicious users: 4 | test acc 0.4659 test loss 1.407986 best test_acc 0.5633
e 28 | malicious users: 4 | test acc 0.6176 test loss 1.562239 best test_acc 0.6176
e 29 | malicious users: 4 | test acc 0.4433 test loss 1.523512 best test_acc 0.6176
e 30 | malicious users: 6 | test acc 0.3138 test loss 1.768076 best test_acc 0.6176
e 31 | malicious users: 6 | test acc 0.4604 test loss 1.481162 best test_acc 0.6176
e 32 | malicious users: 6 | test acc 0.3384 test loss 1.549314 best test_acc 0.6176
e 33 | malicious users: 4 | test acc 0.4134 test loss 1.526753 best test_acc 0.6176
e 34 | malicious users: 4 | test acc 0.4338 test loss 1.543695 best test_acc 0.6176
e 35 | malicious users: 4 | test acc 0.4289 test loss 1.447580 best test_acc 0.6176
e 36 | malicious users: 8 | test acc 0.4544 test loss 1.513042 best test_acc 0.6176
e 37 | malicious users: 4 | test acc 0.3009 test loss 1.610728 best test_acc 0.6176
e 38 | malicious users: 3 | test acc 0.4418 test loss 1.584004 best test_acc 0.6176
e 39 | malicious users: 3 | test acc 0.4887 test loss 1.599507 best test_acc 0.6176
e 40 | malicious users: 5 | test acc 0.4441 test loss 1.478600 best test_acc 0.6176
e 41 | malicious users: 4 | test acc 0.4998 test loss 1.442768 best test_acc 0.6176
e 42 | malicious users: 7 | test acc 0.3559 test loss 1.653122 best test_acc 0.6176
e 43 | malicious users: 3 | test acc 0.4130 test loss 1.643721 best test_acc 0.6176
e 44 | malicious users: 4 | test acc 0.5604 test loss 1.665393 best test_acc 0.6176
e 45 | malicious users: 6 | test acc 0.5033 test loss 1.582067 best test_acc 0.6176
e 46 | malicious users: 6 | test acc 0.4668 test loss 1.728858 best test_acc 0.6176
e 47 | malicious users: 5 | test acc 0.4154 test loss 1.687593 best test_acc 0.6176
e 48 | malicious users: 6 | test acc 0.3343 test loss 1.619969 best test_acc 0.6176
e 49 | malicious users: 5 | test acc 0.5036 test loss 1.618845 best test_acc 0.6176
e 50 | malicious users: 4 | test acc 0.4545 test loss 1.374831 best test_acc 0.6176
e 51 | malicious users: 7 | test acc 0.3837 test loss 1.632310 best test_acc 0.6176
e 52 | malicious users: 6 | test acc 0.3814 test loss 1.503139 best test_acc 0.6176
e 53 | malicious users: 6 | test acc 0.3826 test loss 1.622131 best test_acc 0.6176
e 54 | malicious users: 7 | test acc 0.4886 test loss 1.433722 best test_acc 0.6176
e 55 | malicious users: 6 | test acc 0.4849 test loss 1.597311 best test_acc 0.6176
e 56 | malicious users: 7 | test acc 0.4572 test loss 1.577485 best test_acc 0.6176
e 57 | malicious users: 3 | test acc 0.5037 test loss 1.534666 best test_acc 0.6176
e 58 | malicious users: 6 | test acc 0.4005 test loss 1.522087 best test_acc 0.6176
e 59 | malicious users: 3 | test acc 0.4309 test loss 1.674532 best test_acc 0.6176
e 60 | malicious users: 4 | test acc 0.5090 test loss 1.526040 best test_acc 0.6176
e 61 | malicious users: 8 | test acc 0.4784 test loss 1.535395 best test_acc 0.6176
e 62 | malicious users: 7 | test acc 0.3858 test loss 1.609946 best test_acc 0.6176
e 63 | malicious users: 7 | test acc 0.5183 test loss 1.384014 best test_acc 0.6176
e 64 | malicious users: 7 | test acc 0.4009 test loss 1.565363 best test_acc 0.6176
e 65 | malicious users: 8 | test acc 0.4824 test loss 1.325974 best test_acc 0.6176
e 66 | malicious users: 7 | test acc 0.3626 test loss 1.639261 best test_acc 0.6176
e 67 | malicious users: 4 | test acc 0.4994 test loss 1.433716 best test_acc 0.6176
e 68 | malicious users: 8 | test acc 0.4510 test loss 1.555964 best test_acc 0.6176
e 69 | malicious users: 7 | test acc 0.5396 test loss 1.420398 best test_acc 0.6176
e 70 | malicious users: 4 | test acc 0.4712 test loss 1.624217 best test_acc 0.6176
e 71 | malicious users: 2 | test acc 0.4106 test loss 1.439561 best test_acc 0.6176
e 72 | malicious users: 6 | test acc 0.5280 test loss 1.381054 best test_acc 0.6176
e 73 | malicious users: 6 | test acc 0.4557 test loss 1.381192 best test_acc 0.6176
e 74 | malicious users: 5 | test acc 0.4097 test loss 1.520391 best test_acc 0.6176
e 75 | malicious users: 1 | test acc 0.5076 test loss 1.608490 best test_acc 0.6176
e 76 | malicious users: 4 | test acc 0.4854 test loss 1.547649 best test_acc 0.6176
e 77 | malicious users: 6 | test acc 0.4923 test loss 1.539731 best test_acc 0.6176
e 78 | malicious users: 4 | test acc 0.5491 test loss 1.421144 best test_acc 0.6176
e 79 | malicious users: 6 | test acc 0.5145 test loss 1.430420 best test_acc 0.6176
e 80 | malicious users: 3 | test acc 0.4631 test loss 1.576613 best test_acc 0.6176
e 81 | malicious users: 6 | test acc 0.4740 test loss 1.468290 best test_acc 0.6176
e 82 | malicious users: 2 | test acc 0.4866 test loss 1.452275 best test_acc 0.6176
e 83 | malicious users: 4 | test acc 0.4623 test loss 1.464457 best test_acc 0.6176
e 84 | malicious users: 4 | test acc 0.5330 test loss 1.287035 best test_acc 0.6176
e 85 | malicious users: 4 | test acc 0.5477 test loss 1.326892 best test_acc 0.6176
e 86 | malicious users: 4 | test acc 0.6154 test loss 1.374408 best test_acc 0.6176
e 87 | malicious users: 6 | test acc 0.4760 test loss 1.328588 best test_acc 0.6176
e 88 | malicious users: 5 | test acc 0.3895 test loss 1.489350 best test_acc 0.6176
e 89 | malicious users: 5 | test acc 0.3081 test loss 1.461261 best test_acc 0.6176
e 90 | malicious users: 9 | test acc 0.4255 test loss 1.509623 best test_acc 0.6176
e 91 | malicious users: 5 | test acc 0.4464 test loss 1.451099 best test_acc 0.6176
e 92 | malicious users: 4 | test acc 0.5519 test loss 1.511269 best test_acc 0.6176
e 93 | malicious users: 6 | test acc 0.5854 test loss 1.254315 best test_acc 0.6176
