=> Saving data in Logs/FRL~try=704
dataset to use is:  Fashion
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_defense_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.2002 test loss 2.201570 best test_acc 0.2002
e 1 | malicious users: 5 | test acc 0.3154 test loss 1.851114 best test_acc 0.3154
e 2 | malicious users: 5 | test acc 0.5013 test loss 1.702136 best test_acc 0.5013
e 3 | malicious users: 5 | test acc 0.3148 test loss 1.837884 best test_acc 0.5013
e 4 | malicious users: 5 | test acc 0.3034 test loss 1.820564 best test_acc 0.5013
e 5 | malicious users: 5 | test acc 0.4120 test loss 1.549142 best test_acc 0.5013
e 6 | malicious users: 5 | test acc 0.3871 test loss 1.533704 best test_acc 0.5013
e 7 | malicious users: 5 | test acc 0.3825 test loss 1.592415 best test_acc 0.5013
e 8 | malicious users: 5 | test acc 0.5926 test loss 1.267813 best test_acc 0.5926
e 9 | malicious users: 5 | test acc 0.4499 test loss 1.578269 best test_acc 0.5926
e 10 | malicious users: 5 | test acc 0.4908 test loss 1.390899 best test_acc 0.5926
e 11 | malicious users: 5 | test acc 0.3471 test loss 1.635087 best test_acc 0.5926
e 12 | malicious users: 5 | test acc 0.4311 test loss 1.663462 best test_acc 0.5926
e 13 | malicious users: 5 | test acc 0.4475 test loss 1.540287 best test_acc 0.5926
e 14 | malicious users: 5 | test acc 0.3268 test loss 1.565542 best test_acc 0.5926
e 15 | malicious users: 5 | test acc 0.4610 test loss 1.424945 best test_acc 0.5926
e 16 | malicious users: 5 | test acc 0.4655 test loss 1.460434 best test_acc 0.5926
e 17 | malicious users: 5 | test acc 0.5120 test loss 1.327069 best test_acc 0.5926
e 18 | malicious users: 5 | test acc 0.4855 test loss 1.341252 best test_acc 0.5926
e 19 | malicious users: 5 | test acc 0.3811 test loss 1.463028 best test_acc 0.5926
e 20 | malicious users: 5 | test acc 0.4938 test loss 1.374558 best test_acc 0.5926
e 21 | malicious users: 5 | test acc 0.4063 test loss 1.535424 best test_acc 0.5926
e 22 | malicious users: 5 | test acc 0.5233 test loss 1.168097 best test_acc 0.5926
e 23 | malicious users: 5 | test acc 0.4599 test loss 1.356377 best test_acc 0.5926
e 24 | malicious users: 5 | test acc 0.2122 test loss 1.676893 best test_acc 0.5926
e 25 | malicious users: 5 | test acc 0.5137 test loss 1.243347 best test_acc 0.5926
e 26 | malicious users: 5 | test acc 0.5384 test loss 1.298519 best test_acc 0.5926
e 27 | malicious users: 5 | test acc 0.4610 test loss 1.469144 best test_acc 0.5926
e 28 | malicious users: 5 | test acc 0.3319 test loss 1.668212 best test_acc 0.5926
e 29 | malicious users: 5 | test acc 0.4376 test loss 1.537835 best test_acc 0.5926
e 30 | malicious users: 5 | test acc 0.5364 test loss 1.327102 best test_acc 0.5926
e 31 | malicious users: 5 | test acc 0.4745 test loss 1.247988 best test_acc 0.5926
e 32 | malicious users: 5 | test acc 0.3566 test loss 1.724517 best test_acc 0.5926
e 33 | malicious users: 5 | test acc 0.4448 test loss 1.474719 best test_acc 0.5926
e 34 | malicious users: 5 | test acc 0.4568 test loss 1.432365 best test_acc 0.5926
e 35 | malicious users: 5 | test acc 0.5277 test loss 1.238521 best test_acc 0.5926
e 36 | malicious users: 5 | test acc 0.4862 test loss 1.451946 best test_acc 0.5926
e 37 | malicious users: 5 | test acc 0.3276 test loss 1.495828 best test_acc 0.5926
e 38 | malicious users: 5 | test acc 0.5282 test loss 1.322312 best test_acc 0.5926
e 39 | malicious users: 5 | test acc 0.5769 test loss 1.334938 best test_acc 0.5926
e 40 | malicious users: 5 | test acc 0.4608 test loss 1.378393 best test_acc 0.5926
e 41 | malicious users: 5 | test acc 0.4436 test loss 1.382497 best test_acc 0.5926
e 42 | malicious users: 5 | test acc 0.4874 test loss 1.348619 best test_acc 0.5926
e 43 | malicious users: 5 | test acc 0.4873 test loss 1.442863 best test_acc 0.5926
e 44 | malicious users: 5 | test acc 0.4828 test loss 1.219553 best test_acc 0.5926
e 45 | malicious users: 5 | test acc 0.3842 test loss 1.456417 best test_acc 0.5926
e 46 | malicious users: 5 | test acc 0.4461 test loss 1.404691 best test_acc 0.5926
e 47 | malicious users: 5 | test acc 0.3637 test loss 1.581491 best test_acc 0.5926
e 48 | malicious users: 5 | test acc 0.4861 test loss 1.348747 best test_acc 0.5926
e 49 | malicious users: 5 | test acc 0.5556 test loss 1.161509 best test_acc 0.5926
e 50 | malicious users: 5 | test acc 0.5494 test loss 1.120002 best test_acc 0.5926
e 51 | malicious users: 5 | test acc 0.5086 test loss 1.213037 best test_acc 0.5926
e 52 | malicious users: 5 | test acc 0.5259 test loss 1.516254 best test_acc 0.5926
e 53 | malicious users: 5 | test acc 0.5331 test loss 1.268427 best test_acc 0.5926
e 54 | malicious users: 5 | test acc 0.5016 test loss 1.198917 best test_acc 0.5926
e 55 | malicious users: 5 | test acc 0.4978 test loss 1.295299 best test_acc 0.5926
e 56 | malicious users: 5 | test acc 0.5346 test loss 1.367697 best test_acc 0.5926
e 57 | malicious users: 5 | test acc 0.4503 test loss 1.403738 best test_acc 0.5926
e 58 | malicious users: 5 | test acc 0.5017 test loss 1.296591 best test_acc 0.5926
e 59 | malicious users: 5 | test acc 0.5617 test loss 1.190189 best test_acc 0.5926
e 60 | malicious users: 5 | test acc 0.4460 test loss 1.344802 best test_acc 0.5926
e 61 | malicious users: 5 | test acc 0.5019 test loss 1.361341 best test_acc 0.5926
e 62 | malicious users: 5 | test acc 0.6667 test loss 1.064800 best test_acc 0.6667
e 63 | malicious users: 5 | test acc 0.5454 test loss 1.184654 best test_acc 0.6667
e 64 | malicious users: 5 | test acc 0.6577 test loss 0.924044 best test_acc 0.6667
e 65 | malicious users: 5 | test acc 0.5273 test loss 1.291771 best test_acc 0.6667
e 66 | malicious users: 5 | test acc 0.6964 test loss 1.062040 best test_acc 0.6964
e 67 | malicious users: 5 | test acc 0.6759 test loss 1.089573 best test_acc 0.6964
e 68 | malicious users: 5 | test acc 0.5441 test loss 1.199672 best test_acc 0.6964
e 69 | malicious users: 5 | test acc 0.6227 test loss 1.242698 best test_acc 0.6964
e 70 | malicious users: 5 | test acc 0.5161 test loss 1.206846 best test_acc 0.6964
e 71 | malicious users: 5 | test acc 0.6346 test loss 1.142141 best test_acc 0.6964
e 72 | malicious users: 5 | test acc 0.6275 test loss 1.055593 best test_acc 0.6964
e 73 | malicious users: 5 | test acc 0.5271 test loss 1.313399 best test_acc 0.6964
e 74 | malicious users: 5 | test acc 0.6180 test loss 1.096139 best test_acc 0.6964
e 75 | malicious users: 5 | test acc 0.4391 test loss 1.366417 best test_acc 0.6964
e 76 | malicious users: 5 | test acc 0.4887 test loss 1.324531 best test_acc 0.6964
e 77 | malicious users: 5 | test acc 0.4693 test loss 1.351574 best test_acc 0.6964
e 78 | malicious users: 5 | test acc 0.4901 test loss 1.140196 best test_acc 0.6964
e 79 | malicious users: 5 | test acc 0.5514 test loss 1.173480 best test_acc 0.6964
e 80 | malicious users: 5 | test acc 0.5335 test loss 1.191999 best test_acc 0.6964
e 81 | malicious users: 5 | test acc 0.4507 test loss 1.387079 best test_acc 0.6964
e 82 | malicious users: 5 | test acc 0.3492 test loss 1.635758 best test_acc 0.6964
e 83 | malicious users: 5 | test acc 0.5337 test loss 1.303747 best test_acc 0.6964
e 84 | malicious users: 5 | test acc 0.5574 test loss 1.267361 best test_acc 0.6964
e 85 | malicious users: 5 | test acc 0.3871 test loss 1.552698 best test_acc 0.6964
e 86 | malicious users: 5 | test acc 0.5548 test loss 1.213367 best test_acc 0.6964
e 87 | malicious users: 5 | test acc 0.4912 test loss 1.287537 best test_acc 0.6964
e 88 | malicious users: 5 | test acc 0.5421 test loss 1.079329 best test_acc 0.6964
e 89 | malicious users: 5 | test acc 0.6531 test loss 1.039100 best test_acc 0.6964
e 90 | malicious users: 5 | test acc 0.5242 test loss 1.201514 best test_acc 0.6964
e 91 | malicious users: 5 | test acc 0.6377 test loss 0.999808 best test_acc 0.6964
e 92 | malicious users: 5 | test acc 0.4768 test loss 1.256796 best test_acc 0.6964
e 93 | malicious users: 5 | test acc 0.5157 test loss 1.199244 best test_acc 0.6964
e 94 | malicious users: 5 | test acc 0.4892 test loss 1.378689 best test_acc 0.6964
e 95 | malicious users: 5 | test acc 0.5920 test loss 1.110888 best test_acc 0.6964
e 96 | malicious users: 5 | test acc 0.5814 test loss 1.181761 best test_acc 0.6964
e 97 | malicious users: 5 | test acc 0.6957 test loss 0.979490 best test_acc 0.6964
e 98 | malicious users: 5 | test acc 0.5483 test loss 1.130712 best test_acc 0.6964
e 99 | malicious users: 5 | test acc 0.4970 test loss 1.147535 best test_acc 0.6964
e 100 | malicious users: 5 | test acc 0.4798 test loss 1.351642 best test_acc 0.6964
e 101 | malicious users: 5 | test acc 0.5034 test loss 1.193045 best test_acc 0.6964
e 102 | malicious users: 5 | test acc 0.4831 test loss 1.142690 best test_acc 0.6964
e 103 | malicious users: 5 | test acc 0.4878 test loss 1.239588 best test_acc 0.6964
e 104 | malicious users: 5 | test acc 0.6145 test loss 1.060667 best test_acc 0.6964
e 105 | malicious users: 5 | test acc 0.6173 test loss 1.136065 best test_acc 0.6964
e 106 | malicious users: 5 | test acc 0.6195 test loss 0.944134 best test_acc 0.6964
e 107 | malicious users: 5 | test acc 0.5817 test loss 1.179878 best test_acc 0.6964
e 108 | malicious users: 5 | test acc 0.5328 test loss 1.290621 best test_acc 0.6964
e 109 | malicious users: 5 | test acc 0.4532 test loss 1.256220 best test_acc 0.6964
e 110 | malicious users: 5 | test acc 0.4057 test loss 1.439667 best test_acc 0.6964
e 111 | malicious users: 5 | test acc 0.4935 test loss 1.291151 best test_acc 0.6964
e 112 | malicious users: 5 | test acc 0.6792 test loss 0.984820 best test_acc 0.6964
e 113 | malicious users: 5 | test acc 0.6790 test loss 1.007872 best test_acc 0.6964
e 114 | malicious users: 5 | test acc 0.5693 test loss 1.070829 best test_acc 0.6964
e 115 | malicious users: 5 | test acc 0.5431 test loss 1.206155 best test_acc 0.6964
