=> Saving data in Logs/FRL~try=705
dataset to use is:  Fashion
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_defense_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.2775 test loss 2.236938 best test_acc 0.2775
e 1 | malicious users: 5 | test acc 0.3800 test loss 1.962541 best test_acc 0.3800
e 2 | malicious users: 5 | test acc 0.1007 test loss 2.192874 best test_acc 0.3800
e 3 | malicious users: 5 | test acc 0.1995 test loss 1.963029 best test_acc 0.3800
e 4 | malicious users: 5 | test acc 0.3469 test loss 1.740449 best test_acc 0.3800
e 5 | malicious users: 5 | test acc 0.3363 test loss 1.597824 best test_acc 0.3800
e 6 | malicious users: 5 | test acc 0.4422 test loss 1.624144 best test_acc 0.4422
e 7 | malicious users: 5 | test acc 0.3743 test loss 1.746736 best test_acc 0.4422
e 8 | malicious users: 5 | test acc 0.4513 test loss 1.608592 best test_acc 0.4513
e 9 | malicious users: 5 | test acc 0.3439 test loss 1.588789 best test_acc 0.4513
e 10 | malicious users: 5 | test acc 0.3507 test loss 1.714047 best test_acc 0.4513
e 11 | malicious users: 5 | test acc 0.3617 test loss 1.582062 best test_acc 0.4513
e 12 | malicious users: 5 | test acc 0.3222 test loss 1.577846 best test_acc 0.4513
e 13 | malicious users: 5 | test acc 0.3665 test loss 1.639081 best test_acc 0.4513
e 14 | malicious users: 5 | test acc 0.3651 test loss 1.701957 best test_acc 0.4513
e 15 | malicious users: 5 | test acc 0.4188 test loss 1.798668 best test_acc 0.4513
e 16 | malicious users: 5 | test acc 0.3926 test loss 1.711927 best test_acc 0.4513
e 17 | malicious users: 5 | test acc 0.3958 test loss 1.564241 best test_acc 0.4513
e 18 | malicious users: 5 | test acc 0.3406 test loss 1.607294 best test_acc 0.4513
e 19 | malicious users: 5 | test acc 0.3631 test loss 1.621338 best test_acc 0.4513
e 20 | malicious users: 5 | test acc 0.4585 test loss 1.627551 best test_acc 0.4585
e 21 | malicious users: 5 | test acc 0.3735 test loss 1.633880 best test_acc 0.4585
e 22 | malicious users: 5 | test acc 0.3922 test loss 1.805800 best test_acc 0.4585
e 23 | malicious users: 5 | test acc 0.3604 test loss 1.668141 best test_acc 0.4585
e 24 | malicious users: 5 | test acc 0.3705 test loss 1.692213 best test_acc 0.4585
e 25 | malicious users: 5 | test acc 0.3782 test loss 1.619328 best test_acc 0.4585
e 26 | malicious users: 5 | test acc 0.3234 test loss 1.824346 best test_acc 0.4585
e 27 | malicious users: 5 | test acc 0.3681 test loss 1.522283 best test_acc 0.4585
e 28 | malicious users: 5 | test acc 0.3691 test loss 1.776683 best test_acc 0.4585
e 29 | malicious users: 5 | test acc 0.3348 test loss 1.630075 best test_acc 0.4585
e 30 | malicious users: 5 | test acc 0.2901 test loss 1.817899 best test_acc 0.4585
e 31 | malicious users: 5 | test acc 0.2620 test loss 1.765322 best test_acc 0.4585
e 32 | malicious users: 5 | test acc 0.3409 test loss 1.795251 best test_acc 0.4585
e 33 | malicious users: 5 | test acc 0.2506 test loss 1.688101 best test_acc 0.4585
e 34 | malicious users: 5 | test acc 0.3948 test loss 1.726227 best test_acc 0.4585
e 35 | malicious users: 5 | test acc 0.3722 test loss 1.462220 best test_acc 0.4585
e 36 | malicious users: 5 | test acc 0.3564 test loss 1.561746 best test_acc 0.4585
e 37 | malicious users: 5 | test acc 0.3115 test loss 1.687039 best test_acc 0.4585
