=> Saving data in Logs/FRL~try=710
dataset to use is:  Fashion
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_defense_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.3393 test loss 2.070763 best test_acc 0.3393
e 1 | malicious users: 5 | test acc 0.1570 test loss 2.171900 best test_acc 0.3393
e 2 | malicious users: 5 | test acc 0.3231 test loss 1.607661 best test_acc 0.3393
e 3 | malicious users: 5 | test acc 0.4555 test loss 1.633065 best test_acc 0.4555
e 4 | malicious users: 5 | test acc 0.3328 test loss 2.005765 best test_acc 0.4555
e 5 | malicious users: 5 | test acc 0.3441 test loss 1.514351 best test_acc 0.4555
e 6 | malicious users: 5 | test acc 0.1983 test loss 2.097111 best test_acc 0.4555
e 7 | malicious users: 5 | test acc 0.3855 test loss 1.590390 best test_acc 0.4555
e 8 | malicious users: 5 | test acc 0.4198 test loss 1.704215 best test_acc 0.4555
e 9 | malicious users: 5 | test acc 0.3666 test loss 1.541180 best test_acc 0.4555
e 10 | malicious users: 5 | test acc 0.3901 test loss 1.741203 best test_acc 0.4555
e 11 | malicious users: 5 | test acc 0.4446 test loss 1.550758 best test_acc 0.4555
e 12 | malicious users: 5 | test acc 0.2985 test loss 1.712572 best test_acc 0.4555
e 13 | malicious users: 5 | test acc 0.4876 test loss 1.527675 best test_acc 0.4876
e 14 | malicious users: 5 | test acc 0.3255 test loss 1.681499 best test_acc 0.4876
e 15 | malicious users: 5 | test acc 0.4669 test loss 1.528583 best test_acc 0.4876
e 16 | malicious users: 5 | test acc 0.4413 test loss 1.507637 best test_acc 0.4876
e 17 | malicious users: 5 | test acc 0.3925 test loss 1.498108 best test_acc 0.4876
e 18 | malicious users: 5 | test acc 0.2993 test loss 1.599618 best test_acc 0.4876
e 19 | malicious users: 5 | test acc 0.3306 test loss 1.661096 best test_acc 0.4876
e 20 | malicious users: 5 | test acc 0.4280 test loss 1.555961 best test_acc 0.4876
e 21 | malicious users: 5 | test acc 0.4552 test loss 1.582404 best test_acc 0.4876
e 22 | malicious users: 5 | test acc 0.4700 test loss 1.418459 best test_acc 0.4876
e 23 | malicious users: 5 | test acc 0.3615 test loss 1.406412 best test_acc 0.4876
e 24 | malicious users: 5 | test acc 0.5045 test loss 1.418262 best test_acc 0.5045
e 25 | malicious users: 5 | test acc 0.5534 test loss 1.222362 best test_acc 0.5534
e 26 | malicious users: 5 | test acc 0.3895 test loss 1.495778 best test_acc 0.5534
e 27 | malicious users: 5 | test acc 0.4205 test loss 1.477313 best test_acc 0.5534
e 28 | malicious users: 5 | test acc 0.4978 test loss 1.439585 best test_acc 0.5534
e 29 | malicious users: 5 | test acc 0.4297 test loss 1.769096 best test_acc 0.5534
e 30 | malicious users: 5 | test acc 0.4191 test loss 1.698026 best test_acc 0.5534
e 31 | malicious users: 5 | test acc 0.4911 test loss 1.291711 best test_acc 0.5534
e 32 | malicious users: 5 | test acc 0.4930 test loss 1.500718 best test_acc 0.5534
e 33 | malicious users: 5 | test acc 0.5778 test loss 1.287213 best test_acc 0.5778
e 34 | malicious users: 5 | test acc 0.4537 test loss 1.564259 best test_acc 0.5778
e 35 | malicious users: 5 | test acc 0.4561 test loss 1.788971 best test_acc 0.5778
e 36 | malicious users: 5 | test acc 0.5056 test loss 1.290448 best test_acc 0.5778
e 37 | malicious users: 5 | test acc 0.3958 test loss 1.620657 best test_acc 0.5778
e 38 | malicious users: 5 | test acc 0.5277 test loss 1.486363 best test_acc 0.5778
e 39 | malicious users: 5 | test acc 0.4421 test loss 1.515747 best test_acc 0.5778
e 40 | malicious users: 5 | test acc 0.4190 test loss 1.577406 best test_acc 0.5778
e 41 | malicious users: 5 | test acc 0.4233 test loss 1.592172 best test_acc 0.5778
e 42 | malicious users: 5 | test acc 0.4886 test loss 1.488951 best test_acc 0.5778
e 43 | malicious users: 5 | test acc 0.4837 test loss 1.426349 best test_acc 0.5778
e 44 | malicious users: 5 | test acc 0.4227 test loss 1.464916 best test_acc 0.5778
