=> Saving data in Logs/FRL~try=711
dataset to use is:  Fashion
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_defense_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.2633 test loss 2.242102 best test_acc 0.2633
e 1 | malicious users: 5 | test acc 0.0999 test loss 2.255055 best test_acc 0.2633
e 2 | malicious users: 5 | test acc 0.2289 test loss 1.995507 best test_acc 0.2633
e 3 | malicious users: 5 | test acc 0.2781 test loss 1.938136 best test_acc 0.2781
e 4 | malicious users: 5 | test acc 0.3355 test loss 1.687419 best test_acc 0.3355
e 5 | malicious users: 5 | test acc 0.4062 test loss 1.556743 best test_acc 0.4062
e 6 | malicious users: 5 | test acc 0.2879 test loss 1.793849 best test_acc 0.4062
e 7 | malicious users: 5 | test acc 0.3657 test loss 1.557112 best test_acc 0.4062
e 8 | malicious users: 5 | test acc 0.3961 test loss 1.671128 best test_acc 0.4062
e 9 | malicious users: 5 | test acc 0.3808 test loss 1.521054 best test_acc 0.4062
e 10 | malicious users: 5 | test acc 0.3945 test loss 1.704636 best test_acc 0.4062
e 11 | malicious users: 5 | test acc 0.3699 test loss 1.491617 best test_acc 0.4062
e 12 | malicious users: 5 | test acc 0.3245 test loss 1.785670 best test_acc 0.4062
e 13 | malicious users: 5 | test acc 0.4673 test loss 1.465310 best test_acc 0.4673
e 14 | malicious users: 5 | test acc 0.4253 test loss 1.649725 best test_acc 0.4673
e 15 | malicious users: 5 | test acc 0.4515 test loss 1.535086 best test_acc 0.4673
e 16 | malicious users: 5 | test acc 0.5169 test loss 1.489546 best test_acc 0.5169
e 17 | malicious users: 5 | test acc 0.4953 test loss 1.524377 best test_acc 0.5169
e 18 | malicious users: 5 | test acc 0.3627 test loss 1.471966 best test_acc 0.5169
e 19 | malicious users: 5 | test acc 0.4193 test loss 1.570775 best test_acc 0.5169
e 20 | malicious users: 5 | test acc 0.4300 test loss 1.561560 best test_acc 0.5169
e 21 | malicious users: 5 | test acc 0.4218 test loss 1.599952 best test_acc 0.5169
e 22 | malicious users: 5 | test acc 0.4319 test loss 1.538945 best test_acc 0.5169
