=> Saving data in Logs/FRL~try=712
dataset to use is:  Fashion
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_defense_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.3182 test loss 2.103269 best test_acc 0.3182
e 1 | malicious users: 5 | test acc 0.2329 test loss 1.956213 best test_acc 0.3182
e 2 | malicious users: 5 | test acc 0.3945 test loss 1.667506 best test_acc 0.3945
e 3 | malicious users: 5 | test acc 0.2914 test loss 1.802925 best test_acc 0.3945
e 4 | malicious users: 5 | test acc 0.3588 test loss 1.700264 best test_acc 0.3945
e 5 | malicious users: 5 | test acc 0.3847 test loss 1.719023 best test_acc 0.3945
e 6 | malicious users: 5 | test acc 0.4843 test loss 1.545888 best test_acc 0.4843
e 7 | malicious users: 5 | test acc 0.4935 test loss 1.477704 best test_acc 0.4935
e 8 | malicious users: 5 | test acc 0.5144 test loss 1.506352 best test_acc 0.5144
e 9 | malicious users: 5 | test acc 0.4267 test loss 1.496863 best test_acc 0.5144
e 10 | malicious users: 5 | test acc 0.3834 test loss 1.507187 best test_acc 0.5144
e 11 | malicious users: 5 | test acc 0.4566 test loss 1.492804 best test_acc 0.5144
e 12 | malicious users: 5 | test acc 0.5178 test loss 1.388473 best test_acc 0.5178
e 13 | malicious users: 5 | test acc 0.3734 test loss 1.709569 best test_acc 0.5178
e 14 | malicious users: 5 | test acc 0.4968 test loss 1.281919 best test_acc 0.5178
e 15 | malicious users: 5 | test acc 0.5057 test loss 1.739952 best test_acc 0.5178
e 16 | malicious users: 5 | test acc 0.3970 test loss 1.812383 best test_acc 0.5178
e 17 | malicious users: 5 | test acc 0.4083 test loss 1.488842 best test_acc 0.5178
e 18 | malicious users: 5 | test acc 0.3294 test loss 1.559043 best test_acc 0.5178
e 19 | malicious users: 5 | test acc 0.4537 test loss 1.452473 best test_acc 0.5178
e 20 | malicious users: 5 | test acc 0.4287 test loss 1.798782 best test_acc 0.5178
e 21 | malicious users: 5 | test acc 0.4807 test loss 1.408748 best test_acc 0.5178
e 22 | malicious users: 5 | test acc 0.3610 test loss 1.652108 best test_acc 0.5178
