=> Saving data in Logs/FRL~try=713
dataset to use is:  Fashion
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_defense_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1648 test loss 2.233651 best test_acc 0.1648
e 1 | malicious users: 5 | test acc 0.3180 test loss 1.794662 best test_acc 0.3180
e 2 | malicious users: 5 | test acc 0.2501 test loss 2.097493 best test_acc 0.3180
e 3 | malicious users: 5 | test acc 0.2359 test loss 2.009854 best test_acc 0.3180
e 4 | malicious users: 5 | test acc 0.2838 test loss 1.825299 best test_acc 0.3180
e 5 | malicious users: 5 | test acc 0.2967 test loss 1.637764 best test_acc 0.3180
e 6 | malicious users: 5 | test acc 0.3753 test loss 1.690103 best test_acc 0.3753
e 7 | malicious users: 5 | test acc 0.4232 test loss 1.637414 best test_acc 0.4232
e 8 | malicious users: 5 | test acc 0.4213 test loss 1.504142 best test_acc 0.4232
e 9 | malicious users: 5 | test acc 0.4848 test loss 1.590551 best test_acc 0.4848
e 10 | malicious users: 5 | test acc 0.3457 test loss 1.614502 best test_acc 0.4848
e 11 | malicious users: 5 | test acc 0.4832 test loss 1.475062 best test_acc 0.4848
e 12 | malicious users: 5 | test acc 0.4311 test loss 1.591068 best test_acc 0.4848
e 13 | malicious users: 5 | test acc 0.4542 test loss 1.559902 best test_acc 0.4848
e 14 | malicious users: 5 | test acc 0.4591 test loss 1.465762 best test_acc 0.4848
e 15 | malicious users: 5 | test acc 0.3477 test loss 1.663231 best test_acc 0.4848
e 16 | malicious users: 5 | test acc 0.3808 test loss 1.515072 best test_acc 0.4848
e 17 | malicious users: 5 | test acc 0.4860 test loss 1.517268 best test_acc 0.4860
e 18 | malicious users: 5 | test acc 0.3469 test loss 1.626134 best test_acc 0.4860
e 19 | malicious users: 5 | test acc 0.4222 test loss 1.531678 best test_acc 0.4860
e 20 | malicious users: 5 | test acc 0.4869 test loss 1.461902 best test_acc 0.4869
e 21 | malicious users: 5 | test acc 0.5415 test loss 1.232834 best test_acc 0.5415
e 22 | malicious users: 5 | test acc 0.3971 test loss 1.505740 best test_acc 0.5415
e 23 | malicious users: 5 | test acc 0.3943 test loss 1.546221 best test_acc 0.5415
e 24 | malicious users: 5 | test acc 0.5936 test loss 1.279469 best test_acc 0.5936
e 25 | malicious users: 5 | test acc 0.4289 test loss 1.475194 best test_acc 0.5936
