=> Saving data in Logs/FRL~try=715
dataset to use is:  Fashion
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_defense_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.0999 test loss 2.287273 best test_acc 0.0999
e 1 | malicious users: 5 | test acc 0.1992 test loss 2.040860 best test_acc 0.1992
e 2 | malicious users: 5 | test acc 0.2743 test loss 1.873127 best test_acc 0.2743
e 3 | malicious users: 5 | test acc 0.3332 test loss 1.654033 best test_acc 0.3332
e 4 | malicious users: 5 | test acc 0.3525 test loss 1.709320 best test_acc 0.3525
e 5 | malicious users: 5 | test acc 0.3956 test loss 1.677668 best test_acc 0.3956
e 6 | malicious users: 5 | test acc 0.3747 test loss 1.671288 best test_acc 0.3956
e 7 | malicious users: 5 | test acc 0.3510 test loss 1.687577 best test_acc 0.3956
e 8 | malicious users: 5 | test acc 0.2973 test loss 1.741976 best test_acc 0.3956
e 9 | malicious users: 5 | test acc 0.3443 test loss 1.710101 best test_acc 0.3956
e 10 | malicious users: 5 | test acc 0.3898 test loss 1.557647 best test_acc 0.3956
e 11 | malicious users: 5 | test acc 0.3939 test loss 1.554861 best test_acc 0.3956
e 12 | malicious users: 5 | test acc 0.4709 test loss 1.535229 best test_acc 0.4709
e 13 | malicious users: 5 | test acc 0.4415 test loss 1.627115 best test_acc 0.4709
e 14 | malicious users: 5 | test acc 0.4403 test loss 1.659899 best test_acc 0.4709
e 15 | malicious users: 5 | test acc 0.4118 test loss 1.500776 best test_acc 0.4709
e 16 | malicious users: 5 | test acc 0.4957 test loss 1.719389 best test_acc 0.4957
e 17 | malicious users: 5 | test acc 0.4136 test loss 1.609915 best test_acc 0.4957
e 18 | malicious users: 5 | test acc 0.2904 test loss 1.706785 best test_acc 0.4957
e 19 | malicious users: 5 | test acc 0.4187 test loss 1.662791 best test_acc 0.4957
e 20 | malicious users: 5 | test acc 0.3590 test loss 1.785527 best test_acc 0.4957
e 21 | malicious users: 5 | test acc 0.4338 test loss 1.615128 best test_acc 0.4957
e 22 | malicious users: 5 | test acc 0.4495 test loss 1.613142 best test_acc 0.4957
e 23 | malicious users: 5 | test acc 0.4215 test loss 1.543542 best test_acc 0.4957
e 24 | malicious users: 5 | test acc 0.2977 test loss 1.760639 best test_acc 0.4957
e 25 | malicious users: 5 | test acc 0.3919 test loss 1.787454 best test_acc 0.4957
e 26 | malicious users: 5 | test acc 0.3844 test loss 1.537268 best test_acc 0.4957
e 27 | malicious users: 5 | test acc 0.3729 test loss 1.775318 best test_acc 0.4957
e 28 | malicious users: 5 | test acc 0.3010 test loss 1.769866 best test_acc 0.4957
e 29 | malicious users: 5 | test acc 0.3329 test loss 1.845796 best test_acc 0.4957
e 30 | malicious users: 5 | test acc 0.3411 test loss 1.646028 best test_acc 0.4957
e 31 | malicious users: 5 | test acc 0.3082 test loss 1.774822 best test_acc 0.4957
e 32 | malicious users: 5 | test acc 0.3525 test loss 1.659987 best test_acc 0.4957
e 33 | malicious users: 5 | test acc 0.2678 test loss 1.806658 best test_acc 0.4957
e 34 | malicious users: 5 | test acc 0.4288 test loss 1.794081 best test_acc 0.4957
e 35 | malicious users: 5 | test acc 0.3939 test loss 1.571797 best test_acc 0.4957
e 36 | malicious users: 5 | test acc 0.2533 test loss 1.789909 best test_acc 0.4957
e 37 | malicious users: 5 | test acc 0.3730 test loss 1.679635 best test_acc 0.4957
e 38 | malicious users: 5 | test acc 0.3135 test loss 1.714791 best test_acc 0.4957
e 39 | malicious users: 5 | test acc 0.3516 test loss 1.769653 best test_acc 0.4957
e 40 | malicious users: 5 | test acc 0.2722 test loss 1.754336 best test_acc 0.4957
e 41 | malicious users: 5 | test acc 0.3278 test loss 1.734154 best test_acc 0.4957
e 42 | malicious users: 5 | test acc 0.2172 test loss 1.866860 best test_acc 0.4957
e 43 | malicious users: 5 | test acc 0.4247 test loss 1.463738 best test_acc 0.4957
e 44 | malicious users: 5 | test acc 0.3201 test loss 1.649933 best test_acc 0.4957
e 45 | malicious users: 5 | test acc 0.3357 test loss 1.706367 best test_acc 0.4957
e 46 | malicious users: 5 | test acc 0.3629 test loss 1.610055 best test_acc 0.4957
