=> Saving data in Logs/FRL~try=724
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.9
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.00 | total number of malicious clients: 0
e 0 | malicious users: 0 | test acc 0.2827 test loss 2.196930 best test_acc 0.2827
e 1 | malicious users: 0 | test acc 0.5029 test loss 1.924718 best test_acc 0.5029
e 2 | malicious users: 0 | test acc 0.5654 test loss 2.039758 best test_acc 0.5654
e 3 | malicious users: 0 | test acc 0.5756 test loss 1.302860 best test_acc 0.5756
e 4 | malicious users: 0 | test acc 0.5892 test loss 1.641791 best test_acc 0.5892
e 5 | malicious users: 0 | test acc 0.6743 test loss 1.243035 best test_acc 0.6743
e 6 | malicious users: 0 | test acc 0.7019 test loss 0.955111 best test_acc 0.7019
e 7 | malicious users: 0 | test acc 0.6822 test loss 1.116609 best test_acc 0.7019
e 8 | malicious users: 0 | test acc 0.7144 test loss 0.823833 best test_acc 0.7144
e 9 | malicious users: 0 | test acc 0.6699 test loss 1.139162 best test_acc 0.7144
e 10 | malicious users: 0 | test acc 0.7791 test loss 0.721346 best test_acc 0.7791
e 11 | malicious users: 0 | test acc 0.7228 test loss 0.869099 best test_acc 0.7791
e 12 | malicious users: 0 | test acc 0.7945 test loss 0.825714 best test_acc 0.7945
e 13 | malicious users: 0 | test acc 0.7546 test loss 0.795304 best test_acc 0.7945
e 14 | malicious users: 0 | test acc 0.8654 test loss 0.643507 best test_acc 0.8654
e 15 | malicious users: 0 | test acc 0.8417 test loss 0.609772 best test_acc 0.8654
e 16 | malicious users: 0 | test acc 0.7728 test loss 0.696166 best test_acc 0.8654
e 17 | malicious users: 0 | test acc 0.7732 test loss 0.683032 best test_acc 0.8654
e 18 | malicious users: 0 | test acc 0.8225 test loss 0.694252 best test_acc 0.8654
e 19 | malicious users: 0 | test acc 0.8157 test loss 0.572967 best test_acc 0.8654
e 20 | malicious users: 0 | test acc 0.8691 test loss 0.562105 best test_acc 0.8691
e 21 | malicious users: 0 | test acc 0.7951 test loss 0.711850 best test_acc 0.8691
e 22 | malicious users: 0 | test acc 0.8699 test loss 0.495311 best test_acc 0.8699
e 23 | malicious users: 0 | test acc 0.8567 test loss 0.510094 best test_acc 0.8699
e 24 | malicious users: 0 | test acc 0.8869 test loss 0.516473 best test_acc 0.8869
e 25 | malicious users: 0 | test acc 0.8287 test loss 0.533136 best test_acc 0.8869
e 26 | malicious users: 0 | test acc 0.8397 test loss 0.615446 best test_acc 0.8869
e 27 | malicious users: 0 | test acc 0.8832 test loss 0.487252 best test_acc 0.8869
e 28 | malicious users: 0 | test acc 0.8509 test loss 0.523432 best test_acc 0.8869
e 29 | malicious users: 0 | test acc 0.8917 test loss 0.414001 best test_acc 0.8917
e 30 | malicious users: 0 | test acc 0.6966 test loss 0.740497 best test_acc 0.8917
e 31 | malicious users: 0 | test acc 0.8143 test loss 0.603768 best test_acc 0.8917
e 32 | malicious users: 0 | test acc 0.8722 test loss 0.466895 best test_acc 0.8917
e 33 | malicious users: 0 | test acc 0.9027 test loss 0.466221 best test_acc 0.9027
e 34 | malicious users: 0 | test acc 0.7826 test loss 0.618415 best test_acc 0.9027
e 35 | malicious users: 0 | test acc 0.8241 test loss 0.653912 best test_acc 0.9027
e 36 | malicious users: 0 | test acc 0.9282 test loss 0.336045 best test_acc 0.9282
e 37 | malicious users: 0 | test acc 0.8036 test loss 0.557382 best test_acc 0.9282
e 38 | malicious users: 0 | test acc 0.9121 test loss 0.403606 best test_acc 0.9282
e 39 | malicious users: 0 | test acc 0.8928 test loss 0.439465 best test_acc 0.9282
e 40 | malicious users: 0 | test acc 0.8626 test loss 0.437578 best test_acc 0.9282
