=> Saving data in Logs/FRL~try=732
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.3
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_defense_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.00 | total number of malicious clients: 0
e 0 | malicious users: 0 | test acc 0.2058 test loss 2.255630 best test_acc 0.2058
e 1 | malicious users: 0 | test acc 0.3120 test loss 2.146860 best test_acc 0.3120
e 2 | malicious users: 0 | test acc 0.5943 test loss 2.033010 best test_acc 0.5943
e 3 | malicious users: 0 | test acc 0.5690 test loss 1.928416 best test_acc 0.5943
e 4 | malicious users: 0 | test acc 0.6280 test loss 1.774206 best test_acc 0.6280
e 5 | malicious users: 0 | test acc 0.5203 test loss 1.745595 best test_acc 0.6280
e 6 | malicious users: 0 | test acc 0.6857 test loss 1.392779 best test_acc 0.6857
e 7 | malicious users: 0 | test acc 0.7173 test loss 1.532265 best test_acc 0.7173
e 8 | malicious users: 0 | test acc 0.7526 test loss 1.159824 best test_acc 0.7526
e 9 | malicious users: 0 | test acc 0.5514 test loss 1.564972 best test_acc 0.7526
e 10 | malicious users: 0 | test acc 0.7839 test loss 1.060547 best test_acc 0.7839
e 11 | malicious users: 0 | test acc 0.7548 test loss 1.071967 best test_acc 0.7839
e 12 | malicious users: 0 | test acc 0.6530 test loss 1.034458 best test_acc 0.7839
e 13 | malicious users: 0 | test acc 0.6947 test loss 1.018851 best test_acc 0.7839
e 14 | malicious users: 0 | test acc 0.7368 test loss 0.935268 best test_acc 0.7839
e 15 | malicious users: 0 | test acc 0.8517 test loss 0.839883 best test_acc 0.8517
e 16 | malicious users: 0 | test acc 0.7270 test loss 1.107808 best test_acc 0.8517
e 17 | malicious users: 0 | test acc 0.8624 test loss 0.728535 best test_acc 0.8624
e 18 | malicious users: 0 | test acc 0.8542 test loss 0.679866 best test_acc 0.8624
e 19 | malicious users: 0 | test acc 0.8104 test loss 0.946107 best test_acc 0.8624
e 20 | malicious users: 0 | test acc 0.7844 test loss 0.948690 best test_acc 0.8624
e 21 | malicious users: 0 | test acc 0.7745 test loss 0.875874 best test_acc 0.8624
e 22 | malicious users: 0 | test acc 0.7966 test loss 0.732361 best test_acc 0.8624
e 23 | malicious users: 0 | test acc 0.8906 test loss 0.624499 best test_acc 0.8906
e 24 | malicious users: 0 | test acc 0.8324 test loss 0.736498 best test_acc 0.8906
e 25 | malicious users: 0 | test acc 0.8116 test loss 0.761083 best test_acc 0.8906
e 26 | malicious users: 0 | test acc 0.8561 test loss 0.648144 best test_acc 0.8906
e 27 | malicious users: 0 | test acc 0.6992 test loss 0.887817 best test_acc 0.8906
e 28 | malicious users: 0 | test acc 0.8827 test loss 0.585842 best test_acc 0.8906
e 29 | malicious users: 0 | test acc 0.9018 test loss 0.688481 best test_acc 0.9018
e 30 | malicious users: 0 | test acc 0.8233 test loss 0.594682 best test_acc 0.9018
e 31 | malicious users: 0 | test acc 0.7242 test loss 0.796954 best test_acc 0.9018
e 32 | malicious users: 0 | test acc 0.8889 test loss 0.521385 best test_acc 0.9018
e 33 | malicious users: 0 | test acc 0.8399 test loss 0.505043 best test_acc 0.9018
e 34 | malicious users: 0 | test acc 0.8878 test loss 0.508132 best test_acc 0.9018
