=> Saving data in Logs/FRL~try=735
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_defense_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.00 | total number of malicious clients: 0
e 0 | malicious users: 0 | test acc 0.1032 test loss 2.234437 best test_acc 0.1032
e 1 | malicious users: 0 | test acc 0.3292 test loss 2.119508 best test_acc 0.3292
e 2 | malicious users: 0 | test acc 0.5389 test loss 1.708479 best test_acc 0.5389
e 3 | malicious users: 0 | test acc 0.5441 test loss 1.801795 best test_acc 0.5441
e 4 | malicious users: 0 | test acc 0.6757 test loss 1.432353 best test_acc 0.6757
e 5 | malicious users: 0 | test acc 0.6810 test loss 1.024012 best test_acc 0.6810
e 6 | malicious users: 0 | test acc 0.7073 test loss 1.066780 best test_acc 0.7073
e 7 | malicious users: 0 | test acc 0.7242 test loss 0.833051 best test_acc 0.7242
e 8 | malicious users: 0 | test acc 0.6907 test loss 0.953268 best test_acc 0.7242
e 9 | malicious users: 0 | test acc 0.7557 test loss 0.701619 best test_acc 0.7557
e 10 | malicious users: 0 | test acc 0.7528 test loss 0.754241 best test_acc 0.7557
e 11 | malicious users: 0 | test acc 0.7643 test loss 0.648629 best test_acc 0.7643
e 12 | malicious users: 0 | test acc 0.7859 test loss 0.756982 best test_acc 0.7859
e 13 | malicious users: 0 | test acc 0.8834 test loss 0.499951 best test_acc 0.8834
e 14 | malicious users: 0 | test acc 0.8171 test loss 0.589316 best test_acc 0.8834
e 15 | malicious users: 0 | test acc 0.8168 test loss 0.656993 best test_acc 0.8834
e 16 | malicious users: 0 | test acc 0.7881 test loss 0.664313 best test_acc 0.8834
e 17 | malicious users: 0 | test acc 0.7561 test loss 0.652429 best test_acc 0.8834
e 18 | malicious users: 0 | test acc 0.8122 test loss 0.607594 best test_acc 0.8834
e 19 | malicious users: 0 | test acc 0.8037 test loss 0.593870 best test_acc 0.8834
e 20 | malicious users: 0 | test acc 0.7637 test loss 0.771943 best test_acc 0.8834
e 21 | malicious users: 0 | test acc 0.8867 test loss 0.525685 best test_acc 0.8867
e 22 | malicious users: 0 | test acc 0.8812 test loss 0.418692 best test_acc 0.8867
e 23 | malicious users: 0 | test acc 0.8225 test loss 0.576855 best test_acc 0.8867
e 24 | malicious users: 0 | test acc 0.8417 test loss 0.467821 best test_acc 0.8867
e 25 | malicious users: 0 | test acc 0.8649 test loss 0.449808 best test_acc 0.8867
e 26 | malicious users: 0 | test acc 0.8331 test loss 0.572140 best test_acc 0.8867
e 27 | malicious users: 0 | test acc 0.9109 test loss 0.393699 best test_acc 0.9109
e 28 | malicious users: 0 | test acc 0.8470 test loss 0.473940 best test_acc 0.9109
e 29 | malicious users: 0 | test acc 0.7790 test loss 0.682727 best test_acc 0.9109
e 30 | malicious users: 0 | test acc 0.8019 test loss 0.654648 best test_acc 0.9109
e 31 | malicious users: 0 | test acc 0.8744 test loss 0.502725 best test_acc 0.9109
e 32 | malicious users: 0 | test acc 0.8869 test loss 0.436525 best test_acc 0.9109
e 33 | malicious users: 0 | test acc 0.8863 test loss 0.474690 best test_acc 0.9109
e 34 | malicious users: 0 | test acc 0.7318 test loss 0.759133 best test_acc 0.9109
e 35 | malicious users: 0 | test acc 0.8703 test loss 0.420737 best test_acc 0.9109
e 36 | malicious users: 0 | test acc 0.8368 test loss 0.456804 best test_acc 0.9109
e 37 | malicious users: 0 | test acc 0.9204 test loss 0.359694 best test_acc 0.9204
e 38 | malicious users: 0 | test acc 0.8887 test loss 0.393991 best test_acc 0.9204
e 39 | malicious users: 0 | test acc 0.8988 test loss 0.490114 best test_acc 0.9204
e 40 | malicious users: 0 | test acc 0.9229 test loss 0.357127 best test_acc 0.9229
e 41 | malicious users: 0 | test acc 0.8912 test loss 0.358336 best test_acc 0.9229
e 42 | malicious users: 0 | test acc 0.9233 test loss 0.309351 best test_acc 0.9233
e 43 | malicious users: 0 | test acc 0.9335 test loss 0.330193 best test_acc 0.9335
e 44 | malicious users: 0 | test acc 0.9338 test loss 0.321655 best test_acc 0.9338
e 45 | malicious users: 0 | test acc 0.8563 test loss 0.389967 best test_acc 0.9338
e 46 | malicious users: 0 | test acc 0.9072 test loss 0.391271 best test_acc 0.9338
e 47 | malicious users: 0 | test acc 0.8703 test loss 0.344171 best test_acc 0.9338
e 48 | malicious users: 0 | test acc 0.8648 test loss 0.401170 best test_acc 0.9338
e 49 | malicious users: 0 | test acc 0.7906 test loss 0.531676 best test_acc 0.9338
e 50 | malicious users: 0 | test acc 0.8518 test loss 0.509468 best test_acc 0.9338
e 51 | malicious users: 0 | test acc 0.8604 test loss 0.361470 best test_acc 0.9338
e 52 | malicious users: 0 | test acc 0.9290 test loss 0.373291 best test_acc 0.9338
e 53 | malicious users: 0 | test acc 0.9414 test loss 0.236883 best test_acc 0.9414
e 54 | malicious users: 0 | test acc 0.9311 test loss 0.349893 best test_acc 0.9414
e 55 | malicious users: 0 | test acc 0.9412 test loss 0.258060 best test_acc 0.9414
e 56 | malicious users: 0 | test acc 0.9281 test loss 0.375739 best test_acc 0.9414
e 57 | malicious users: 0 | test acc 0.9182 test loss 0.346097 best test_acc 0.9414
e 58 | malicious users: 0 | test acc 0.8545 test loss 0.406968 best test_acc 0.9414
e 59 | malicious users: 0 | test acc 0.9362 test loss 0.250870 best test_acc 0.9414
e 60 | malicious users: 0 | test acc 0.7843 test loss 0.559109 best test_acc 0.9414
e 61 | malicious users: 0 | test acc 0.9431 test loss 0.225264 best test_acc 0.9431
e 62 | malicious users: 0 | test acc 0.8308 test loss 0.587197 best test_acc 0.9431
e 63 | malicious users: 0 | test acc 0.9193 test loss 0.370108 best test_acc 0.9431
e 64 | malicious users: 0 | test acc 0.9265 test loss 0.296004 best test_acc 0.9431
e 65 | malicious users: 0 | test acc 0.9412 test loss 0.263274 best test_acc 0.9431
e 66 | malicious users: 0 | test acc 0.9286 test loss 0.298489 best test_acc 0.9431
e 67 | malicious users: 0 | test acc 0.8643 test loss 0.453487 best test_acc 0.9431
e 68 | malicious users: 0 | test acc 0.7955 test loss 0.536170 best test_acc 0.9431
e 69 | malicious users: 0 | test acc 0.9336 test loss 0.272504 best test_acc 0.9431
e 70 | malicious users: 0 | test acc 0.9153 test loss 0.422000 best test_acc 0.9431
e 71 | malicious users: 0 | test acc 0.8594 test loss 0.468233 best test_acc 0.9431
e 72 | malicious users: 0 | test acc 0.8478 test loss 0.408869 best test_acc 0.9431
e 73 | malicious users: 0 | test acc 0.7216 test loss 0.674278 best test_acc 0.9431
e 74 | malicious users: 0 | test acc 0.8566 test loss 0.383655 best test_acc 0.9431
e 75 | malicious users: 0 | test acc 0.8492 test loss 0.439356 best test_acc 0.9431
e 76 | malicious users: 0 | test acc 0.8639 test loss 0.346814 best test_acc 0.9431
e 77 | malicious users: 0 | test acc 0.9395 test loss 0.271421 best test_acc 0.9431
e 78 | malicious users: 0 | test acc 0.8161 test loss 0.473158 best test_acc 0.9431
e 79 | malicious users: 0 | test acc 0.8460 test loss 0.455078 best test_acc 0.9431
e 80 | malicious users: 0 | test acc 0.9197 test loss 0.272730 best test_acc 0.9431
e 81 | malicious users: 0 | test acc 0.8801 test loss 0.342955 best test_acc 0.9431
e 82 | malicious users: 0 | test acc 0.9026 test loss 0.411120 best test_acc 0.9431
e 83 | malicious users: 0 | test acc 0.9444 test loss 0.291424 best test_acc 0.9444
e 84 | malicious users: 0 | test acc 0.9072 test loss 0.376123 best test_acc 0.9444
e 85 | malicious users: 0 | test acc 0.8568 test loss 0.457217 best test_acc 0.9444
e 86 | malicious users: 0 | test acc 0.9156 test loss 0.471914 best test_acc 0.9444
e 87 | malicious users: 0 | test acc 0.9352 test loss 0.322103 best test_acc 0.9444
e 88 | malicious users: 0 | test acc 0.9221 test loss 0.331353 best test_acc 0.9444
e 89 | malicious users: 0 | test acc 0.8502 test loss 0.406796 best test_acc 0.9444
e 90 | malicious users: 0 | test acc 0.8598 test loss 0.434932 best test_acc 0.9444
e 91 | malicious users: 0 | test acc 0.8688 test loss 0.397947 best test_acc 0.9444
e 92 | malicious users: 0 | test acc 0.8920 test loss 0.398514 best test_acc 0.9444
e 93 | malicious users: 0 | test acc 0.8798 test loss 0.393123 best test_acc 0.9444
e 94 | malicious users: 0 | test acc 0.8201 test loss 0.513848 best test_acc 0.9444
e 95 | malicious users: 0 | test acc 0.8730 test loss 0.355983 best test_acc 0.9444
e 96 | malicious users: 0 | test acc 0.8853 test loss 0.350547 best test_acc 0.9444
e 97 | malicious users: 0 | test acc 0.8745 test loss 0.372279 best test_acc 0.9444
e 98 | malicious users: 0 | test acc 0.9390 test loss 0.249358 best test_acc 0.9444
e 99 | malicious users: 0 | test acc 0.9511 test loss 0.245450 best test_acc 0.9511
e 100 | malicious users: 0 | test acc 0.9428 test loss 0.278571 best test_acc 0.9511
e 101 | malicious users: 0 | test acc 0.8929 test loss 0.410444 best test_acc 0.9511
e 102 | malicious users: 0 | test acc 0.8928 test loss 0.404854 best test_acc 0.9511
e 103 | malicious users: 0 | test acc 0.9483 test loss 0.204620 best test_acc 0.9511
e 104 | malicious users: 0 | test acc 0.9342 test loss 0.298729 best test_acc 0.9511
e 105 | malicious users: 0 | test acc 0.9289 test loss 0.251946 best test_acc 0.9511
e 106 | malicious users: 0 | test acc 0.8834 test loss 0.453184 best test_acc 0.9511
e 107 | malicious users: 0 | test acc 0.9448 test loss 0.215764 best test_acc 0.9511
e 108 | malicious users: 0 | test acc 0.8563 test loss 0.520750 best test_acc 0.9511
e 109 | malicious users: 0 | test acc 0.9233 test loss 0.280269 best test_acc 0.9511
e 110 | malicious users: 0 | test acc 0.9133 test loss 0.297142 best test_acc 0.9511
e 111 | malicious users: 0 | test acc 0.7339 test loss 0.687993 best test_acc 0.9511
e 112 | malicious users: 0 | test acc 0.8932 test loss 0.340950 best test_acc 0.9511
e 113 | malicious users: 0 | test acc 0.8645 test loss 0.468082 best test_acc 0.9511
e 114 | malicious users: 0 | test acc 0.8784 test loss 0.353473 best test_acc 0.9511
e 115 | malicious users: 0 | test acc 0.9199 test loss 0.387920 best test_acc 0.9511
e 116 | malicious users: 0 | test acc 0.8751 test loss 0.378204 best test_acc 0.9511
e 117 | malicious users: 0 | test acc 0.9062 test loss 0.319655 best test_acc 0.9511
e 118 | malicious users: 0 | test acc 0.8568 test loss 0.411090 best test_acc 0.9511
e 119 | malicious users: 0 | test acc 0.8743 test loss 0.375273 best test_acc 0.9511
e 120 | malicious users: 0 | test acc 0.9517 test loss 0.263587 best test_acc 0.9517
e 121 | malicious users: 0 | test acc 0.9420 test loss 0.263942 best test_acc 0.9517
e 122 | malicious users: 0 | test acc 0.9398 test loss 0.272942 best test_acc 0.9517
e 123 | malicious users: 0 | test acc 0.9188 test loss 0.262033 best test_acc 0.9517
e 124 | malicious users: 0 | test acc 0.8708 test loss 0.477179 best test_acc 0.9517
e 125 | malicious users: 0 | test acc 0.9276 test loss 0.317513 best test_acc 0.9517
e 126 | malicious users: 0 | test acc 0.9411 test loss 0.305284 best test_acc 0.9517
