=> Saving data in Logs/FRL~try=738
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_defense_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.00 | total number of malicious clients: 0
e 0 | malicious users: 0 | test acc 0.2332 test loss 2.231056 best test_acc 0.2332
e 1 | malicious users: 0 | test acc 0.3761 test loss 2.099187 best test_acc 0.3761
e 2 | malicious users: 0 | test acc 0.5658 test loss 1.837730 best test_acc 0.5658
e 3 | malicious users: 0 | test acc 0.5998 test loss 1.899827 best test_acc 0.5998
e 4 | malicious users: 0 | test acc 0.5931 test loss 1.496764 best test_acc 0.5998
e 5 | malicious users: 0 | test acc 0.6346 test loss 1.423887 best test_acc 0.6346
e 6 | malicious users: 0 | test acc 0.6260 test loss 1.019319 best test_acc 0.6346
e 7 | malicious users: 0 | test acc 0.6458 test loss 1.174272 best test_acc 0.6458
e 8 | malicious users: 0 | test acc 0.7466 test loss 1.071317 best test_acc 0.7466
e 9 | malicious users: 0 | test acc 0.7758 test loss 1.017791 best test_acc 0.7758
e 10 | malicious users: 0 | test acc 0.6806 test loss 0.909205 best test_acc 0.7758
e 11 | malicious users: 0 | test acc 0.6514 test loss 1.192613 best test_acc 0.7758
e 12 | malicious users: 0 | test acc 0.6648 test loss 0.908424 best test_acc 0.7758
e 13 | malicious users: 0 | test acc 0.7953 test loss 0.818139 best test_acc 0.7953
e 14 | malicious users: 0 | test acc 0.7982 test loss 0.733397 best test_acc 0.7982
e 15 | malicious users: 0 | test acc 0.7907 test loss 0.820994 best test_acc 0.7982
e 16 | malicious users: 0 | test acc 0.7742 test loss 0.706012 best test_acc 0.7982
e 17 | malicious users: 0 | test acc 0.7555 test loss 0.794198 best test_acc 0.7982
e 18 | malicious users: 0 | test acc 0.7969 test loss 0.671859 best test_acc 0.7982
e 19 | malicious users: 0 | test acc 0.8553 test loss 0.609983 best test_acc 0.8553
e 20 | malicious users: 0 | test acc 0.8069 test loss 0.642042 best test_acc 0.8553
e 21 | malicious users: 0 | test acc 0.8545 test loss 0.550264 best test_acc 0.8553
e 22 | malicious users: 0 | test acc 0.8339 test loss 0.776710 best test_acc 0.8553
e 23 | malicious users: 0 | test acc 0.8171 test loss 0.513770 best test_acc 0.8553
e 24 | malicious users: 0 | test acc 0.8477 test loss 0.530577 best test_acc 0.8553
e 25 | malicious users: 0 | test acc 0.8244 test loss 0.600667 best test_acc 0.8553
e 26 | malicious users: 0 | test acc 0.8429 test loss 0.504650 best test_acc 0.8553
e 27 | malicious users: 0 | test acc 0.7513 test loss 0.685841 best test_acc 0.8553
e 28 | malicious users: 0 | test acc 0.8352 test loss 0.488168 best test_acc 0.8553
e 29 | malicious users: 0 | test acc 0.7934 test loss 0.714716 best test_acc 0.8553
e 30 | malicious users: 0 | test acc 0.8280 test loss 0.519480 best test_acc 0.8553
e 31 | malicious users: 0 | test acc 0.7448 test loss 0.793245 best test_acc 0.8553
e 32 | malicious users: 0 | test acc 0.8908 test loss 0.491862 best test_acc 0.8908
e 33 | malicious users: 0 | test acc 0.8288 test loss 0.546139 best test_acc 0.8908
e 34 | malicious users: 0 | test acc 0.8916 test loss 0.496271 best test_acc 0.8916
e 35 | malicious users: 0 | test acc 0.7290 test loss 0.716024 best test_acc 0.8916
e 36 | malicious users: 0 | test acc 0.7515 test loss 0.677206 best test_acc 0.8916
