=> Saving data in Logs/FRL~try=743
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_defense_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1035 test loss 2.266039 best test_acc 0.1035
e 1 | malicious users: 5 | test acc 0.1944 test loss 2.241285 best test_acc 0.1944
e 2 | malicious users: 5 | test acc 0.4066 test loss 1.979975 best test_acc 0.4066
e 3 | malicious users: 5 | test acc 0.3082 test loss 1.806152 best test_acc 0.4066
e 4 | malicious users: 5 | test acc 0.4536 test loss 1.559862 best test_acc 0.4536
e 5 | malicious users: 5 | test acc 0.5271 test loss 1.602765 best test_acc 0.5271
e 6 | malicious users: 5 | test acc 0.5707 test loss 1.356556 best test_acc 0.5707
e 7 | malicious users: 5 | test acc 0.5682 test loss 1.306759 best test_acc 0.5707
e 8 | malicious users: 5 | test acc 0.6489 test loss 1.152606 best test_acc 0.6489
e 9 | malicious users: 5 | test acc 0.7042 test loss 0.881805 best test_acc 0.7042
e 10 | malicious users: 5 | test acc 0.5508 test loss 1.192376 best test_acc 0.7042
e 11 | malicious users: 5 | test acc 0.6938 test loss 1.033592 best test_acc 0.7042
e 12 | malicious users: 5 | test acc 0.6379 test loss 0.984961 best test_acc 0.7042
e 13 | malicious users: 5 | test acc 0.6639 test loss 1.051179 best test_acc 0.7042
e 14 | malicious users: 5 | test acc 0.5598 test loss 1.257667 best test_acc 0.7042
e 15 | malicious users: 5 | test acc 0.6398 test loss 1.046762 best test_acc 0.7042
e 16 | malicious users: 5 | test acc 0.7237 test loss 0.893516 best test_acc 0.7237
e 17 | malicious users: 5 | test acc 0.7336 test loss 0.866266 best test_acc 0.7336
e 18 | malicious users: 5 | test acc 0.6873 test loss 0.968994 best test_acc 0.7336
e 19 | malicious users: 5 | test acc 0.7093 test loss 1.002427 best test_acc 0.7336
e 20 | malicious users: 5 | test acc 0.7165 test loss 0.914271 best test_acc 0.7336
