=> Saving data in Logs/FRL~try=744
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.9
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_defense_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1962 test loss 2.229879 best test_acc 0.1962
e 1 | malicious users: 5 | test acc 0.3501 test loss 1.994258 best test_acc 0.3501
e 2 | malicious users: 5 | test acc 0.3025 test loss 1.898371 best test_acc 0.3501
e 3 | malicious users: 5 | test acc 0.4784 test loss 1.548947 best test_acc 0.4784
e 4 | malicious users: 5 | test acc 0.4891 test loss 1.395822 best test_acc 0.4891
e 5 | malicious users: 5 | test acc 0.5098 test loss 1.364555 best test_acc 0.5098
e 6 | malicious users: 5 | test acc 0.5806 test loss 1.288652 best test_acc 0.5806
e 7 | malicious users: 5 | test acc 0.6335 test loss 1.244612 best test_acc 0.6335
e 8 | malicious users: 5 | test acc 0.6647 test loss 1.024819 best test_acc 0.6647
e 9 | malicious users: 5 | test acc 0.5973 test loss 1.138238 best test_acc 0.6647
e 10 | malicious users: 5 | test acc 0.6921 test loss 0.996676 best test_acc 0.6921
e 11 | malicious users: 5 | test acc 0.7766 test loss 0.932603 best test_acc 0.7766
e 12 | malicious users: 5 | test acc 0.6431 test loss 1.044845 best test_acc 0.7766
e 13 | malicious users: 5 | test acc 0.8091 test loss 0.654739 best test_acc 0.8091
e 14 | malicious users: 5 | test acc 0.7282 test loss 1.010893 best test_acc 0.8091
e 15 | malicious users: 5 | test acc 0.7289 test loss 0.802987 best test_acc 0.8091
e 16 | malicious users: 5 | test acc 0.8305 test loss 0.768995 best test_acc 0.8305
e 17 | malicious users: 5 | test acc 0.7566 test loss 0.843455 best test_acc 0.8305
e 18 | malicious users: 5 | test acc 0.7173 test loss 0.761171 best test_acc 0.8305
e 19 | malicious users: 5 | test acc 0.6855 test loss 0.947441 best test_acc 0.8305
e 20 | malicious users: 5 | test acc 0.7718 test loss 0.909931 best test_acc 0.8305
e 21 | malicious users: 5 | test acc 0.8783 test loss 0.616109 best test_acc 0.8783
e 22 | malicious users: 5 | test acc 0.7039 test loss 0.844332 best test_acc 0.8783
e 23 | malicious users: 5 | test acc 0.8176 test loss 0.629686 best test_acc 0.8783
e 24 | malicious users: 5 | test acc 0.7200 test loss 0.773791 best test_acc 0.8783
e 25 | malicious users: 5 | test acc 0.6675 test loss 0.798106 best test_acc 0.8783
e 26 | malicious users: 5 | test acc 0.8520 test loss 0.641342 best test_acc 0.8783
e 27 | malicious users: 5 | test acc 0.8118 test loss 0.589128 best test_acc 0.8783
e 28 | malicious users: 5 | test acc 0.7696 test loss 0.608017 best test_acc 0.8783
e 29 | malicious users: 5 | test acc 0.7670 test loss 0.939739 best test_acc 0.8783
e 30 | malicious users: 5 | test acc 0.8218 test loss 0.620308 best test_acc 0.8783
e 31 | malicious users: 5 | test acc 0.7207 test loss 0.846642 best test_acc 0.8783
e 32 | malicious users: 5 | test acc 0.8425 test loss 0.516576 best test_acc 0.8783
e 33 | malicious users: 5 | test acc 0.6991 test loss 0.901369 best test_acc 0.8783
e 34 | malicious users: 5 | test acc 0.8643 test loss 0.441070 best test_acc 0.8783
e 35 | malicious users: 5 | test acc 0.8978 test loss 0.591362 best test_acc 0.8978
e 36 | malicious users: 5 | test acc 0.8578 test loss 0.513615 best test_acc 0.8978
e 37 | malicious users: 5 | test acc 0.7639 test loss 0.778532 best test_acc 0.8978
e 38 | malicious users: 5 | test acc 0.8751 test loss 0.515679 best test_acc 0.8978
e 39 | malicious users: 5 | test acc 0.8780 test loss 0.563216 best test_acc 0.8978
e 40 | malicious users: 5 | test acc 0.7769 test loss 0.709381 best test_acc 0.8978
e 41 | malicious users: 5 | test acc 0.7549 test loss 0.719580 best test_acc 0.8978
e 42 | malicious users: 5 | test acc 0.9008 test loss 0.395597 best test_acc 0.9008
e 43 | malicious users: 5 | test acc 0.7480 test loss 0.890882 best test_acc 0.9008
e 44 | malicious users: 5 | test acc 0.6384 test loss 1.056675 best test_acc 0.9008
e 45 | malicious users: 5 | test acc 0.7117 test loss 0.789637 best test_acc 0.9008
e 46 | malicious users: 5 | test acc 0.9052 test loss 0.458950 best test_acc 0.9052
e 47 | malicious users: 5 | test acc 0.7462 test loss 0.694297 best test_acc 0.9052
e 48 | malicious users: 5 | test acc 0.7169 test loss 0.832324 best test_acc 0.9052
e 49 | malicious users: 5 | test acc 0.7317 test loss 0.787591 best test_acc 0.9052
e 50 | malicious users: 5 | test acc 0.8234 test loss 0.622845 best test_acc 0.9052
e 51 | malicious users: 5 | test acc 0.8089 test loss 0.586737 best test_acc 0.9052
e 52 | malicious users: 5 | test acc 0.6907 test loss 0.869892 best test_acc 0.9052
e 53 | malicious users: 5 | test acc 0.7243 test loss 0.776980 best test_acc 0.9052
e 54 | malicious users: 5 | test acc 0.6161 test loss 0.914234 best test_acc 0.9052
e 55 | malicious users: 5 | test acc 0.7895 test loss 0.741189 best test_acc 0.9052
e 56 | malicious users: 5 | test acc 0.8818 test loss 0.500280 best test_acc 0.9052
e 57 | malicious users: 5 | test acc 0.7616 test loss 0.804837 best test_acc 0.9052
e 58 | malicious users: 5 | test acc 0.8359 test loss 0.551153 best test_acc 0.9052
e 59 | malicious users: 5 | test acc 0.7171 test loss 0.711034 best test_acc 0.9052
e 60 | malicious users: 5 | test acc 0.7790 test loss 0.680202 best test_acc 0.9052
